column0,column1,column2,column3,column4
78,63,-21,-53,-2
21,-98,-74,66,-48
85,22,92,32,6
-45,74,74,-15,-69
52,-56,-68,77,-34
7,-95,1,2,4
-95,34,94,74,63
-66,-43,-5,-38,-80
-54,36,-4,57,-73
82,-31,-76,57,6
-49,-34,-66,-90,4
6,11,97,-80,-56
-3,-88,90,62,99
80,61,-91,-17,64
72,77,-21,3,-45
-18,85,-38,67,-4
1,0,78,93,31
56,-48,58,73,7
-78,-29,68,-53,58
37,-16,-86,48,84
-3,-49,69,96,-65
-93,2,-100,33,-6
-68,-93,-76,-36,68
80,78,37,-61,-34
-84,13,43,-99,-67
-95,-26,-82,64,4
-17,52,-48,-63,-72
-39,49,-76,-39,15
50,52,-48,-59,40
-88,71,-23,50,17
69,97,-16,14,-11
33,34,11,-7,98
-86,68,-65,71,40
72,-18,2,-56,92
-10,6,21,95,34
-63,50,-96,-36,-14
81,-58,14,-20,-4
-76,-74,-50,91,63
-67,85,-49,68,-94
-84,91,48,-97,84
-48,-91,-9,47,43
-16,-88,96,-38,-30
9,91,-46,-59,-10
-82,-9,-56,65,-4
63,56,-23,-4,31
-73,-20,-54,87,3
28,39,33,69,-36
74,2,-60,-24,64
20,-37,93,22,84
-26,45,-97,81,79
41,-78,-2,25,-29
-15,-10,28,98,-62
-40,-76,-58,-24,-96
-71,-10,-41,-89,0
-100,-92,-47,-32,59
-38,-12,-34,-45,29
-50,53,80,-4,40
-69,-80,-18,-45,-32
89,-97,64,-88,-95
34,24,-71,59,-8
-63,48,10,66,36
8,86,18,-96,-1
41,51,55,-99,-84
99,5,51,48,73
-81,37,-91,92,-81
69,82,-98,55,-76
50,-7,-80,-36,17
80,-45,43,-37,8
-7,-85,-52,28,42
-33,-86,49,-94,-14
-70,14,40,70,83
-8,-78,-35,-79,28
59,-21,-80,-100,94
41,-9,8,-61,66
-29,-85,-95,-98,0
-68,67,-97,77,14
-45,-65,11,-91,18
85,-36,30,32,-60
-10,44,-50,52,81
-23,-85,-76,-81,-34
11,-74,35,39,-54
53,-10,-14,12,-42
46,-96,-55,-30,-49
-83,60,82,7,39
51,38,70,-75,93
89,31,97,-9,-85
43,1,23,34,13
-45,-76,-65,37,67
21,-47,-90,27,15
56,15,5,6,-39
-83,42,77,26,-68
43,-25,-15,-38,68
5,59,-19,76,-27
52,-55,43,82,95
32,-27,-8,60,0
-98,-32,-77,-48,-7
91,-6,27,62,94
66,36,-56,9,88
24,-96,-87,37,0
94,30,64,-95,-64
70,-24,-34,-76,-34
42,-34,66,68,-31
49,-42,51,23,-71
-66,-90,-24,-44,-17
58,11,-3,7,-55
63,20,1,-2,11
79,53,-41,22,85
53,51,32,10,-3
58,-19,-82,54,-5
-12,56,-16,-82,-6
-44,12,-3,-10,61
3,66,-58,28,-37
49,95,-42,-47,38
-82,49,67,-60,70
83,34,-77,-62,-88
-24,0,73,-23,-93
54,-49,-76,80,-6
19,47,88,-32,-91
-34,-2,-86,-27,100
-15,24,95,-56,-33
-70,80,67,51,-83
-50,-76,87,20,98
-29,-57,94,-53,4
44,75,-29,54,-47
-63,70,-75,32,-27
-97,51,-27,73,-100
-75,11,-11,82,1
-48,29,-40,-55,-18
2,-21,-39,-40,-3
-52,-99,-67,-33,-86
-94,29,-98,-86,37
-37,37,12,-64,-83
65,6,-21,-78,78
66,-45,2,17,-94
89,-81,-98,3,-12
25,-6,13,58,-58
69,-10,30,-44,-81
-7,34,60,-26,-83
98,-5,42,41,24
-89,-69,-28,17,-53
95,-87,22,2,67
-13,64,-60,-59,44
