column0,column1,column2,column3,column4
-54,-72,-98,-92,-5
73,9,-54,-43,-12
-30,-70,85,-75,-92
13,84,-58,-9,-64
-29,-75,-31,38,-23
-67,93,-14,67,-66
-67,53,26,0,-58
-73,25,-72,77,-82
68,-91,11,-53,-62
88,15,64,-94,-74
-9,59,93,79,-18
36,-74,11,9,-45
-17,13,-70,2,37
-75,88,-92,-69,8
89,-71,38,84,57
-42,96,-65,-49,-60
-95,87,-86,22,-4
72,52,-16,16,-65
26,-81,58,65,-77
52,22,-7,72,-81
86,9,-87,-21,-81
-49,25,-78,39,-42
34,-30,-46,4,-85
-58,91,76,-99,-98
-9,89,-18,-68,6
20,-18,-43,75,8
-59,-83,-34,64,7
-76,-68,-2,71,-19
-45,17,-21,53,88
75,69,93,-63,55
32,3,-17,-42,70
-90,-31,-11,-85,2
21,65,-32,-57,13
61,-4,-51,-100,11
-67,96,81,-61,10
57,-39,81,67,-28
-45,-94,-24,62,-59
-32,45,8,29,20
-94,-94,-95,-82,-15
-55,-3,85,-97,31
-65,-24,67,-31,55
-63,-79,-11,-14,-51
67,-81,86,27,-95
-14,20,-39,15,-83
54,64,-28,32,-95
74,-76,81,97,25
86,63,70,-85,-88
-82,27,-1,43,54
75,75,79,-11,27
-94,31,-19,23,32
-80,-21,-26,94,-53
60,76,92,2,97
21,6,1,-27,31
68,-77,-85,36,-4
30,71,-45,-43,4
-25,-4,-54,5,4
19,9,65,42,-35
80,26,54,24,30
-18,94,77,74,61
-37,18,-28,17,88
46,-61,-29,-65,79
-12,34,59,-47,-2
-53,-46,-84,-55,-49
58,-15,-74,46,90
41,5,98,-55,-99
-15,-69,-99,-22,-36
-27,-73,-55,84,-36
-48,-9,85,99,-25
-21,80,40,-98,-65
-4,93,60,53,98
3,96,8,-60,17
18,-8,37,31,-85
63,47,-10,59,11
-63,-54,-54,92,16
15,-40,-44,3,38
-53,-10,39,61,-23
-12,100,-84,90,-75
30,98,67,-68,-13
-32,-15,-9,-73,-16
-26,73,20,95,-4
-16,-37,-100,-37,30
-9,-66,59,30,77
-54,18,-33,-39,42
-21,89,-73,19,6
-16,-29,-63,-47,1
-55,-82,39,-17,32
48,82,-40,65,-81
10,-17,73,9,-21
5,69,-99,-78,28
83,75,-24,-36,-32
11,-13,-50,90,-37
25,96,-15,-85,-69
36,21,37,84,60
-98,63,97,12,-2
-94,67,-8,92,-49
26,-57,-89,-69,35
86,56,97,-27,49
23,27,-81,-71,-63
-35,16,-88,59,-85
-31,-82,-51,-64,65
