column0,column1,column2,column3,column4
-73,-38,-19,-32,83
71,42,76,-91,73
-36,-9,61,7,-21
-19,-95,65,90,58
-54,24,85,72,-66
-97,32,-28,-27,44
50,-82,-54,-69,4
-8,65,3,-33,4
64,45,60,86,88
-16,59,82,63,90
99,71,-27,8,88
94,72,0,-33,-38
-38,-66,35,24,84
-2,-69,-31,-92,95
-15,35,17,-98,-61
-87,-26,-8,56,-3
-81,82,-28,-89,-76
-43,-64,-73,88,-98
94,-3,71,33,18
77,-60,-5,26,-35
-14,-18,92,3,-76
22,19,49,-75,37
-93,-9,-42,39,-83
-42,57,-19,-94,-68
-93,-10,69,-10,-80
-39,-39,16,-61,-94
-58,12,-72,24,-77
-56,22,73,-21,23
-56,-29,-56,99,52
65,-69,24,24,52
3,-73,0,82,-10
-1,94,98,86,28
80,83,42,52,-98
56,-90,42,-29,50
18,-26,30,-45,-78
-52,-46,80,15,86
-54,54,-57,39,77
61,-6,-5,-81,-42
-73,83,52,-74,-74
-33,-100,-74,79,-93
88,9,38,78,25
6,91,-39,-72,99
32,27,-89,58,68
17,3,-5,-59,44
2,-24,71,27,-32
-58,-73,-76,57,27
77,-6,68,-39,-6
81,91,89,12,-67
42,-8,71,92,75
86,34,-71,-27,0
8,-27,26,30,0
10,96,-46,19,35
52,23,59,0,20
37,-10,-15,-95,72
95,-63,69,79,-52
-5,76,-91,-85,39
69,1,-66,75,48
70,-37,86,-14,7
28,63,77,-5,-98
-1,-32,40,94,94
89,36,-60,98,-8
-22,-47,-45,23,84
12,48,38,38,34
85,86,-93,-33,-5
-18,98,64,5,-84
-44,25,-23,-6,-94
-51,86,-70,30,-18
82,91,-46,86,47
9,-45,8,-36,-17
51,55,-55,-98,-10
-73,-24,-90,69,-67
20,-16,5,-28,99
39,-60,72,-57,53
-3,42,-69,-9,92
63,-84,-39,25,34
-42,3,75,-46,69
12,73,-90,-14,-48
57,53,-46,48,62
-55,-7,88,55,-64
85,-61,-84,-18,-2
86,90,-93,94,51
-40,48,66,72,-82
59,-30,88,15,6
92,-78,34,-98,-70
37,-31,13,76,31
20,89,24,17,60
-94,-16,87,-14,-44
-72,-86,-61,97,8
-58,-68,-43,-57,-17
70,-71,-44,-40,21
-6,-67,18,-44,-62
61,5,-73,89,-3
34,-62,-86,89,40
-7,-5,-50,-9,-19
-100,84,-61,-26,-92
36,-17,68,-72,7
-80,-99,20,69,-87
-21,-90,30,-28,-69
54,-87,-14,-76,-12
33,66,-28,98,-90
7,-76,-87,47,15
-5,72,34,28,10
81,29,-58,-57,-31
85,66,58,87,0
-92,8,-30,39,18
-73,-79,-8,50,56
82,-15,13,27,21
7,87,32,22,13
0,-67,45,-84,21
35,92,-87,99,-69
-38,-17,-92,-67,-21
59,93,21,-71,13
29,-56,13,-92,-30
38,27,60,52,70
-11,84,-89,6,38
13,99,89,-49,-30
78,-71,37,78,57
42,9,-85,23,-62
-75,-35,72,94,71
7,-35,-66,55,47
-31,50,26,-89,48
59,-39,50,64,13
-77,-100,-14,-10,44
5,94,-48,3,93
9,24,-49,36,-42
66,98,-45,-35,-6
8,9,81,-54,-37
-56,-7,-74,-60,-76
-16,-94,-27,51,-80
7,40,24,-48,89
95,76,-77,32,52
-47,76,-4,-44,44
67,-98,-94,59,-91
87,-46,-91,5,-5
-23,3,49,42,86
66,-51,-93,-11,-66
-20,-51,-7,-40,-16
25,-70,-39,-20,-58
47,-22,100,97,-48
73,-47,-22,-64,-75
90,-100,36,-78,18
51,-81,-1,2,-23
63,37,41,86,-66
28,-6,93,59,8
76,49,12,-85,-6
-66,59,-82,-33,32
59,55,80,63,-78
-70,-14,6,28,-49
90,63,-47,9,-65
6,98,-83,-83,2
-86,-18,-75,20,52
34,-29,59,64,-82
86,89,79,-90,-42
28,-30,30,18,-65
57,96,-74,97,-86
90,-12,-89,-16,-23
-46,-3,-53,-96,-32
40,96,25,-85,90
96,31,72,65,14
16,-100,48,7,22
-18,-55,47,-79,22
91,-93,-26,-21,73
71,93,7,22,-17
73,-87,78,-35,-69
53,-82,99,96,-56
-80,41,-21,-70,-98
-18,30,63,-76,-47
66,-27,-90,-98,85
85,82,75,66,-26
71,-16,26,-3,20
16,79,88,95,-19
5,99,-70,40,35
9,11,47,1,-83
-80,-48,-54,-73,-40
-50,-76,22,67,59
57,-70,11,-80,-45
-32,32,15,-26,56
12,81,-98,-55,20
70,-65,97,4,-36
100,-46,-83,-4,-18
-4,76,97,41,7
72,79,-75,-17,62
51,68,-96,-95,82
-82,-18,-75,80,31
-67,24,19,-47,-52
-75,56,-32,56,-74
56,-72,-99,65,-51
-8,96,41,-17,21
-93,-45,76,-59,71
59,29,-94,98,4
82,-100,28,-8,38
7,72,79,95,81
94,-97,-8,88,25
-58,71,-59,-58,-57
94,75,89,42,-56
3,9,-46,-95,-39
-32,-1,-46,90,26
28,83,64,53,40
-70,-50,-26,-7,16
61,-96,-39,67,-75
-16,51,47,-19,-42
-74,-72,24,-48,64
44,73,27,-32,2
79,-93,93,-7,46
-3,58,6,30,99
27,80,-99,17,80
15,-37,52,30,22
-44,-50,-44,-61,73
-68,82,1,-48,90
45,99,88,80,-61
-28,72,-15,-16,16
90,-24,-4,-54,-17
54,1,-20,86,-45
-6,32,41,29,14
-15,-26,27,60,49
14,93,64,3,54
94,44,23,-29,58
23,-64,81,5,-81
-43,0,-63,-56,36
-58,92,52,-87,-89
-34,-38,-16,-6,-5
-63,34,44,-94,-7
51,84,63,-72,42
44,-8,23,20,-98
77,-70,-74,51,54
81,-81,-94,55,48
-21,-15,48,48,-57
24,51,32,-68,-36
2,100,-80,-1,34
32,-43,-34,-22,82
-85,21,-50,-43,87
-45,22,-83,-38,-68
2,34,-18,75,-64
54,-40,-84,-31,32
-58,-7,-99,-51,47
-21,50,-50,-44,-8
70,85,8,39,-82
92,16,-30,54,-66
73,28,-26,-38,-36
43,-76,1,39,60
-94,12,-2,95,81
25,-85,-73,-38,8
35,-23,-59,4,-64
-95,-62,3,-83,-96
3,41,-88,-37,-55
0,-36,94,-27,3
10,39,-97,16,-41
82,-91,41,86,15
23,59,88,30,96
-81,12,7,-58,-95
41,-44,-67,-40,42
46,55,71,-38,-54
16,-57,-85,47,-83
-58,17,-51,-80,-26
20,-60,70,85,-83
7,-4,91,-68,-14
44,72,70,-1,9
97,93,38,-42,45
78,77,-98,-93,88
10,50,-17,-29,44
-18,-80,-3,-33,97
100,85,46,96,42
29,68,25,-80,-84
-31,-72,-8,-46,49
-66,33,16,-71,39
-52,-43,-61,-12,40
3,93,44,-82,-64
92,-8,59,-59,-57
25,2,65,68,-49
-79,15,67,11,35
29,65,-47,67,-5
-13,-45,70,92,18
8,50,-17,70,45
35,-32,-26,-80,51
21,-27,3,-71,51
96,100,12,-24,20
70,-50,-36,-40,-26
20,29,15,-31,48
-36,-64,7,12,26
-70,-54,-46,-33,-22
-48,-72,-84,66,15
22,33,-20,42,50
-53,3,69,0,70
59,-24,-18,30,-81
56,-47,2,12,29
-16,28,29,17,86
-20,28,90,-14,-96
80,64,-25,3,79
8,28,53,22,-43
52,-7,-94,-31,-9
-32,46,-56,-82,66
5,-29,-21,-88,38
-68,49,-34,9,-50
20,-69,44,-13,52
16,-94,79,-37,-72
64,15,50,-54,-66
36,-97,36,53,40
44,79,-69,-55,86
16,-76,-35,12,-26
79,-55,-82,37,-8
80,51,-95,-62,31
10,27,-60,51,-21
-74,-92,76,82,-48
62,59,63,-54,-47
23,46,-21,-85,-77
53,6,-19,-32,-69
-41,-93,-33,97,10
-52,-70,84,56,-41
-68,-74,-25,96,-88
-35,77,-60,-22,83
-83,-98,-66,-30,10
47,75,-41,-87,-82
45,66,39,36,29
-74,-88,18,77,-58
-8,43,-17,21,-48
-27,16,-85,-53,46
96,59,12,-30,47
48,56,-14,-83,29
-7,66,33,-17,70
36,60,-6,65,-49
36,38,38,86,-88
-89,-22,91,-51,-19
95,52,-12,97,45
76,-6,-96,23,-12
30,33,-30,-100,-80
-78,7,-6,-22,-54
-82,18,41,-100,-67
-87,85,-33,-72,93
43,53,82,-71,-37
3,-40,-27,20,-28
33,99,68,72,15
52,27,-29,50,30
-19,-54,-71,-98,87
-44,0,43,83,-93
-85,29,-60,-62,-9
15,83,18,65,46
-85,-87,-50,1,93
82,91,-49,-42,-58
-99,97,-97,-72,3
-63,76,-100,-89,-26
55,-38,45,75,89
-54,-50,-64,-2,89
90,14,75,-97,27
78,72,7,17,-81
41,-30,88,-66,-17
9,-90,51,-31,-57
9,20,-58,41,71
60,43,-93,58,84
39,63,94,-17,-70
-27,67,-64,12,-35
-81,19,-27,-100,20
-70,92,-34,-42,-47
76,-57,-4,34,-73
56,99,55,25,12
44,3,55,-44,-83
88,38,-7,11,6
-32,-87,-96,-52,50
-78,96,81,32,100
89,27,67,41,-77
78,75,56,-95,-64
-16,-54,58,39,-19
48,2,-64,93,-25
60,29,52,-85,75
6,-97,66,-28,-8
-81,-43,56,-43,22
62,56,61,59,51
82,-40,-80,19,-29
-20,15,-93,-75,-96
-56,30,1,-89,39
-27,58,0,82,63
-3,3,6,48,-54
15,-77,-67,1,-95
-34,93,52,-90,74
21,-1,10,22,-100
-100,-15,-82,-70,20
