column0,column1,column2,column3,column4
-22,33,-27,38,99
-52,70,83,-26,55
-54,-31,70,87,56
-16,3,-60,-34,-77
-79,-30,-91,39,-42
80,63,30,48,84
86,-18,-48,32,-49
67,3,86,84,-28
30,-55,92,41,79
2,71,85,37,-41
60,-63,53,93,-35
93,86,-58,-78,-55
-84,-39,77,76,84
-19,-72,86,41,37
-26,-45,91,-11,63
-30,28,-58,89,70
-57,-8,92,-94,-21
-29,80,26,-66,-14
-3,-33,-31,97,-10
-14,-9,61,43,42
89,22,99,17,-62
9,-48,86,31,-65
42,64,-40,37,57
-43,40,60,43,-98
-93,91,-85,-48,-70
37,-39,99,-13,-49
10,35,-6,-50,-92
72,-32,-23,-95,70
-48,-45,66,77,-21
4,25,29,-31,-84
50,-17,12,74,28
32,-84,9,-54,35
-9,72,6,-10,21
65,21,61,31,-49
55,34,-26,83,28
-53,74,72,-22,49
52,13,-65,-57,0
2,47,-60,-4,-7
-64,-56,-56,-45,-3
29,-35,75,31,55
18,-21,84,40,-79
-27,20,-59,-50,77
-15,-30,-30,33,8
-32,34,-9,-56,-49
-35,64,-65,-42,28
9,62,-64,93,-98
65,38,-49,32,33
21,45,19,-89,-77
31,-43,78,37,-93
-26,-46,82,-25,-63
-6,-42,33,39,-50
11,45,-53,94,-63
-77,98,4,96,13
87,-61,6,-56,-84
-83,26,48,-62,-42
93,-52,49,-52,-36
-50,58,100,-54,-28
-63,-47,-25,41,99
68,67,1,86,-21
41,54,55,35,-60
-9,65,21,81,70
58,2,-77,91,-56
31,-32,-99,95,0
-70,41,-62,-25,-89
-11,-3,31,27,-95
-18,83,23,-28,-28
-68,-80,-98,-92,28
4,36,71,-79,49
-18,-17,61,36,-28
-7,-69,51,34,14
-53,73,24,-55,21
99,64,52,-37,-56
0,74,25,-53,-70
22,-49,-48,-47,98
-88,-25,83,34,-68
99,-99,62,32,92
-59,-16,68,30,30
65,-44,35,-32,84
-93,22,6,26,-42
52,-82,48,-74,35
51,63,-63,43,-70
-63,46,69,-36,35
-89,93,79,37,-47
21,72,14,40,29
-20,25,35,-57,-48
96,-92,84,-69,-56
-84,-96,66,-67,14
-17,-62,12,36,-13
-24,15,96,30,71
20,-37,-27,34,30
-34,-50,21,-27,77
-30,-14,32,92,56
-57,-94,-79,100,-77
79,-49,-20,33,23
71,57,-44,36,55
-28,11,77,35,18
61,96,-22,-83,100
34,50,-53,33,-3
-29,41,97,-70,84
38,-6,-98,-69,-71
62,-23,23,-8,28
-76,11,81,80,7
-100,41,25,87,70
66,58,-43,97,77
88,-22,-28,72,-91
47,-10,-33,4,-6
60,96,-97,4,21
-8,1,-83,18,49
-5,11,50,3,7
52,-79,12,32,79
-70,-70,90,34,-83
-38,46,-5,38,70
-50,15,5,-16,-15
28,81,43,29,98
-1,-62,-38,32,68
-71,-71,-73,-88,-35
47,-24,80,-64,-91
83,-12,-16,-6,19
-26,-53,37,36,22
-57,-5,-23,-91,78
34,30,63,-23,14
-56,-35,45,-38,14
10,45,85,33,22
-78,81,50,-47,44
96,60,-45,31,-88
63,-60,-99,35,13
-2,15,18,-5,-7
-81,72,-61,34,32
86,-45,-82,35,-91
16,32,-100,-100,-35
73,54,65,61,63
-93,59,37,28,91
56,80,32,73,49
68,-53,-85,-72,-77
-24,-93,-67,46,2
22,-10,-75,39,-38
-4,88,-59,30,70
87,-92,-77,13,-70
-30,-17,0,45,-37
93,-4,-30,19,95
-41,93,45,14,-91
-78,39,-100,35,43
2,-97,-38,5,-56
87,-64,-35,17,77
-49,-28,-64,63,-42
63,80,-87,-91,91
-13,56,-87,44,-64
33,-6,21,32,-47
-80,-78,74,60,-98
89,89,16,-44,91
-77,-64,-65,-87,-14
89,73,68,96,73
-3,-59,-86,36,-88
-54,91,61,39,-28
-34,-58,55,59,-42
60,-29,77,-31,21
29,46,88,43,-77
1,-67,-5,79,0
15,-32,45,92,-51
84,-11,58,79,82
64,77,-18,30,-4
88,41,28,-30,-34
-91,-80,-64,32,-24
-76,-10,-28,39,83
80,81,-99,13,-70
-50,53,38,-21,-84
20,46,-65,71,7
-64,-23,22,-36,56
-57,-43,-47,95,-35
59,-27,57,64,70
-54,-52,-100,53,-98
-78,50,60,34,92
94,-67,93,32,83
-65,-31,-3,48,76
67,15,45,77,-84
91,-99,-13,-60,0
-79,-66,-41,59,91
-85,1,-8,53,56
55,61,84,38,50
-77,-10,80,-40,-49
-72,86,-39,88,70
44,77,-8,-29,70
-40,-74,-30,79,74
-47,39,-59,32,38
-8,0,79,-55,-35
31,96,-76,34,38
-50,-55,84,93,66
69,-15,55,35,-39
24,-11,99,-32,63
72,99,-58,-48,21
43,20,-97,37,-5
-22,-39,-46,-5,35
80,42,95,43,49
-73,-71,-64,-49,-35
71,-6,5,13,0
41,26,1,50,-84
-27,-38,44,-84,-19
-48,44,41,-22,-63
29,1,68,16,42
-81,-46,-10,-56,-84
34,64,24,34,-37
79,-59,66,-99,78
57,-20,-59,-20,36
56,99,-17,20,-32
-52,39,-53,-56,98
1,-59,-19,39,39
62,95,-65,33,-37
-68,71,-47,-1,-35
61,79,93,-53,-39
-77,90,20,-91,49
54,-32,-66,48,42
8,-78,90,-46,-11
