column0,column1,column2,column3,column4
-90,29,-69,-13,47
75,81,91,99,-85
-60,1,-1,-72,-51
95,-52,-39,-78,27
90,34,-97,33,71
-95,75,-10,-40,-81
-60,72,-11,-9,26
-50,-20,22,-74,60
-37,93,-26,-58,-77
88,-22,86,0,84
-45,-55,-15,85,35
-81,79,51,94,-98
95,79,-6,-77,-81
-40,-88,-64,82,-46
-15,10,-23,-32,69
-100,81,-53,70,-86
-35,62,-26,42,-69
-43,83,-54,35,-59
86,79,-10,-35,100
-45,-14,-72,96,-76
20,94,61,-9,-86
100,-44,-6,-98,55
75,-15,-12,35,-28
100,42,-3,-82,-64
5,27,98,100,80
-5,-65,52,71,-4
31,-99,-30,33,19
81,10,-45,41,-78
-25,-64,14,59,-11
-70,17,-43,28,23
7,-57,14,38,-62
-40,100,61,-18,71
-90,-31,-57,-4,-10
91,-32,62,38,8
95,53,40,-65,62
-75,45,-28,-87,74
40,61,15,-17,-91
14,83,-9,52,14
-18,-26,51,41,-78
-25,-1,-87,-94,-92
60,0,-28,-48,-51
-25,-59,60,20,92
50,-100,53,-58,20
-77,-66,-85,38,9
-40,-47,-48,25,17
5,-41,-79,73,-89
-8,-73,8,44,-87
-70,-24,-17,52,-14
5,31,-71,12,67
81,47,54,30,8
-10,-6,-41,27,-33
46,19,35,40,15
-76,-63,13,35,65
-69,29,-5,58,53
60,-89,-72,-44,-88
-93,28,-29,-27,-19
-78,-44,26,34,-74
-60,95,-43,-5,76
-67,-52,-22,38,73
58,79,88,41,-28
15,-7,-77,-26,8
-100,-33,28,-41,-61
-95,-91,-36,-92,33
-70,-76,-39,-64,-21
-58,49,-4,31,52
65,8,76,59,57
90,-36,82,-92,-34
4,-57,-7,41,-81
-51,71,37,-90,16
38,-82,7,60,7
-95,-79,96,23,5
-40,4,-36,61,-41
80,-99,-41,96,-96
-50,99,0,20,93
-34,37,-39,33,16
70,6,6,23,-82
100,-27,-79,-14,-12
-10,-75,-9,3,24
-80,94,-87,88,-25
-65,47,94,-94,-7
-45,-5,81,35,30
-85,33,51,-25,-76
15,-85,-70,3,-68
85,83,-8,-56,-7
-15,16,34,88,57
5,65,73,-72,-83
-20,-66,19,65,100
55,-76,-69,-18,61
-15,41,-78,54,-45
55,-79,71,83,-90
45,-53,4,16,53
30,-72,-10,17,57
-75,-22,84,-37,82
-75,27,-82,34,-61
-75,-89,-96,67,59
-10,-60,57,-92,61
-41,-64,84,39,42
-8,9,40,37,3
-30,50,-95,30,98
10,-5,76,14,-80
80,6,30,53,43
-30,71,-60,77,92
-40,8,-64,35,24
100,-7,-64,53,16
75,-24,-20,89,89
74,94,-86,34,63
35,42,34,100,89
-65,63,9,49,30
-45,32,-25,96,-66
30,-51,-61,-75,62
-11,78,-91,-93,32
-68,50,50,32,-9
-100,88,-92,-68,-56
-70,-29,-12,74,-12
-45,3,78,86,-70
-90,0,-47,-55,53
-40,-65,87,-7,-9
-20,-60,74,83,85
-98,54,2,30,64
7,-48,-57,-88,3
-56,-12,-30,17,36
89,91,21,-11,31
-75,9,11,-79,3
90,43,-28,78,16
-40,-43,-67,82,87
55,92,-64,42,92
-15,-57,-51,-36,88
-75,-75,-29,-1,98
71,-47,18,39,-95
-14,0,-42,-78,56
89,-22,-83,69,23
10,33,-68,24,15
18,-40,-86,36,-98
75,69,-30,-92,40
58,-37,93,36,1
0,98,-27,83,43
53,-8,64,41,16
-4,-68,-27,70,58
-25,-98,-37,67,47
80,5,-37,-59,87
59,38,12,33,21
-73,72,-79,31,20
-37,3,-31,33,-20
-88,66,99,84,63
-75,-63,-5,96,71
-30,76,-90,-15,-41
-70,58,-70,-86,20
78,-57,-7,-47,64
-100,15,11,47,-65
40,-7,-20,51,79
-60,49,83,76,71
24,6,91,39,44
70,-51,7,2,11
-22,16,-61,41,-41
69,-75,-15,-79,-30
97,93,38,36,-99
66,34,-23,34,-70
-55,-95,59,-66,-60
0,-88,57,69,57
25,-80,58,7,4
70,-92,62,8,-47
58,15,55,32,-15
-35,95,-50,13,6
20,11,-89,42,30
-50,-88,82,50,-5
30,-31,-43,-59,-28
-77,45,-55,-80,-86
15,-50,65,-47,-71
-93,-18,94,31,-93
-4,-34,-68,-63,-41
54,-6,-7,14,5
-42,-53,76,-34,90
55,83,8,-29,22
60,-76,12,66,-14
-5,-75,-46,-85,99
-65,-29,24,44,36
-55,-59,54,77,-45
65,48,-86,-95,51
-54,13,67,83,47
-35,59,28,52,24
5,-73,-44,35,56
20,61,-5,-56,-73
22,-86,-100,-16,61
-95,93,83,-29,20
-5,96,-60,-85,-17
15,73,-93,62,98
55,91,27,-60,26
-19,-71,-64,-56,46
70,30,99,-47,-99
57,43,-76,37,-31
0,-20,-71,42,-71
0,-60,94,-54,6
43,93,-31,68,10
-93,32,74,32,-64
65,89,-33,-86,-76
-87,1,57,60,-19
-48,-77,-4,39,52
-26,-68,-16,-31,76
-45,-100,50,56,25
10,4,74,89,-55
45,64,-48,-26,-82
18,-34,79,86,18
-15,-44,-90,23,-2
-65,81,48,85,22
-28,-23,85,-17,10
-100,-50,-52,-68,-95
-5,99,-45,90,54
0,53,-4,-99,-44
20,-17,-21,98,25
-35,-19,20,-55,72
-4,-70,89,3,-92
70,-36,75,48,83
-6,-60,-69,-36,48
41,68,-78,9,84
19,-36,59,69,9
95,26,62,100,-12
-15,32,86,-11,95
74,-53,7,32,-3
-70,-34,-23,-14,11
-84,-31,13,33,-90
-85,-95,-100,2,-35
61,14,-57,39,27
-5,13,-94,-35,42
-70,0,-83,80,40
-67,-62,18,10,16
-5,-56,13,-34,11
30,-89,25,-91,55
-84,63,90,80,60
-55,66,-76,-33,22
80,-70,-39,-89,60
-100,-39,-19,17,-99
34,-48,3,-20,46
20,13,-58,49,-91
0,28,-57,-95,-7
50,-19,63,-93,6
100,-37,84,22,-88
