column0,column1,column2,column3,column4
-70,-58,31,-89,-35
-90,29,-85,-59,-18
65,-76,75,-90,-1
-25,94,10,79,47
79,63,-64,-18,-61
30,95,96,-88,-60
5,-11,-76,79,-5
95,61,-99,55,-62
11,94,-95,36,-37
50,-17,-79,88,-75
-50,-78,25,-94,73
-37,54,59,-40,55
-70,-36,-98,5,59
-55,5,-100,33,-34
54,54,84,-25,-98
-55,-11,-14,-17,-99
-31,-96,66,37,-51
-55,-61,19,-25,25
-54,77,55,-29,-46
-50,-78,60,-54,-85
25,32,57,90,-1
-15,33,24,-50,-90
-95,91,58,-85,-55
65,37,35,-87,-89
43,67,49,-27,-58
5,-48,39,-2,-93
-69,52,39,-41,-67
-47,-14,-92,-40,71
-70,-37,55,12,67
74,-89,-73,31,48
-60,-77,-17,-78,33
20,21,48,-75,-53
45,-52,76,90,-4
37,12,39,-41,-90
-27,54,5,-2,38
-97,-89,79,40,75
-55,-45,-47,98,39
70,56,-16,4,-25
33,-46,-58,-31,76
35,-1,65,16,30
37,98,-68,96,-41
-65,16,12,-68,75
70,-29,-52,51,13
45,-29,-34,-75,71
-80,-30,-26,10,5
-40,-18,53,64,51
-90,34,53,70,-90
-55,5,-13,86,15
-65,-88,93,-65,54
-89,73,79,49,-49
20,-57,72,7,-67
-29,78,19,-2,-71
93,78,53,13,19
-33,-69,78,-21,89
69,38,58,-41,-97
42,-77,33,94,-44
25,10,-22,-40,94
50,-84,44,52,53
-40,-83,-86,-74,-34
88,-56,-57,-36,91
-25,69,34,76,-66
20,16,-98,-29,-78
2,100,-8,-95,-96
-75,-75,13,15,-74
-32,-52,-15,81,-42
95,-68,-31,11,-23
25,34,53,-6,30
25,77,14,83,0
50,-76,-90,96,7
85,87,-64,31,-88
-23,72,-39,-85,-77
24,75,40,-19,51
75,13,87,74,11
-29,-77,58,34,-77
-55,-31,24,41,-48
-100,-85,-72,-28,-16
-20,-60,85,-69,100
-98,-87,4,40,-57
-80,94,72,40,-45
80,-12,-29,21,-56
-55,-77,-61,-65,-41
20,41,39,-39,-13
0,-89,99,33,-36
-35,-77,-20,94,55
100,-98,-26,-92,-68
40,1,-25,-69,-74
75,41,-53,2,-55
88,100,100,-41,33
95,87,2,67,28
-10,35,-34,-45,-78
-90,-8,32,35,-72
-95,79,-35,-79,20
75,10,-70,96,77
40,-42,-91,86,-89
74,36,13,32,-80
-70,-52,-12,-29,-40
80,-74,11,20,-27
25,29,-17,-20,0
-85,-21,-61,39,84
-69,35,-100,-83,45
27,2,11,37,-61
60,24,-64,52,60
-45,-98,-7,11,-41
5,58,22,15,-55
-85,-36,4,-48,-8
-45,-84,-62,-38,15
-56,-97,75,36,-42
5,-99,58,-54,38
-51,-67,-39,6,-58
73,-81,-83,25,66
80,-83,-92,-62,59
30,89,-60,61,44
33,14,-33,85,63
4,-22,-36,-78,16
45,-12,-72,-14,74
21,30,-28,41,-14
45,11,26,28,-7
0,9,-97,-17,-52
87,26,62,-86,85
-100,76,36,66,-26
50,-76,54,31,52
-30,-66,-100,25,12
65,-25,-68,2,-64
-80,28,-15,-92,74
-45,-83,53,34,18
-71,-11,47,7,-77
-2,76,12,89,-64
79,-21,-32,22,11
0,-3,-40,-38,1
-87,29,95,30,43
73,-51,35,32,15
-75,-76,31,-57,36
-32,74,-87,69,7
-50,-8,-83,40,20
20,26,-75,-47,-5
-35,14,28,-76,27
78,90,26,41,-6
40,-40,3,-61,7
-25,68,32,-89,-52
40,-36,10,-7,42
33,65,-64,-56,-64
-73,76,-73,-81,90
10,-29,-16,-29,-92
-40,0,-76,49,-17
-25,47,75,91,38
40,-31,-91,19,-55
50,26,58,38,-74
37,-42,-57,31,3
-85,-15,-47,-49,-95
-55,-38,92,-35,-37
-5,10,36,-77,-94
-58,81,25,33,-66
-65,-48,-95,-10,29
2,67,-93,39,-50
50,-85,-3,-28,-62
-18,-33,-12,86,-24
5,55,34,-93,18
73,52,-28,76,88
55,-27,64,63,82
-5,8,-7,4,-31
-20,-99,-78,50,87
59,-20,28,-55,28
16,-46,-41,-92,33
47,-48,72,-34,59
-70,-41,70,-7,-76
35,100,-80,-85,-99
45,100,61,69,-22
-13,31,55,33,-92
65,0,-87,91,-86
5,82,93,-8,-63
-83,-3,46,40,64
-90,-72,8,41,85
100,74,30,-61,51
65,56,-8,18,86
-10,92,-55,-50,18
100,-79,-40,-40,-82
-23,-72,-65,-82,-95
-55,-56,63,-6,92
55,-7,-46,11,-67
85,-75,13,81,-51
35,56,-70,58,49
1,-45,31,-88,55
-71,-2,-38,6,-20
-15,20,-5,4,-4
65,-91,52,-91,-65
90,33,76,86,26
6,30,74,40,57
-35,67,-96,91,11
-55,-38,15,77,45
-40,-57,53,89,-39
26,25,-1,35,-52
96,11,-51,36,20
-100,21,-13,69,27
59,-74,92,-35,66
-20,84,-74,-25,-17
-93,-3,25,11,-83
-98,48,-24,40,6
-38,31,87,41,-28
80,18,-40,95,-29
-26,-48,77,24,-1
85,-3,11,-25,-86
-60,-66,0,54,2
75,18,83,-93,-15
-45,-75,-70,98,-31
99,-91,96,39,-31
-61,6,31,-67,-84
-49,-15,48,38,12
-60,78,-40,76,-21
-96,-74,59,30,7
-50,100,41,-32,-62
-73,37,79,35,42
-36,35,-20,-57,50
15,15,67,28,40
64,-79,-17,34,-76
93,-39,-52,-59,-99
-41,49,-28,-23,-58
-35,97,-33,-20,-67
-100,-4,53,76,-14
-23,-33,-50,34,87
60,-83,-56,-68,71
89,34,85,83,-82
-45,92,-73,84,-61
96,-16,100,97,92
100,-33,-19,-67,-20
-20,53,-35,-40,-37
35,-100,40,77,-88
47,1,-8,-87,-98
