column0,column1,column2,column3,column4
50,62,-3,72,49
-84,23,56,31,-32
-67,56,-20,-85,91
73,-54,13,33,-80
54,45,90,-1,-49
-29,17,-46,-58,-63
17,61,-85,-55,98
16,19,-62,35,-35
66,35,59,-27,73
-35,98,-87,-32,-28
39,-58,-76,-18,-56
52,-60,77,39,-85
1,44,17,94,68
22,-63,86,67,28
63,-40,-13,54,70
-19,64,-55,35,47
28,-99,29,-35,63
95,17,3,41,-89
76,98,35,-62,-21
27,34,6,40,-84
-6,68,-6,28,85
-12,-17,-57,38,88
-49,-87,-73,37,19
-83,95,-13,-21,-91
-39,-55,-26,-23,21
88,-48,-23,8,-90
17,72,-22,38,96
-11,-59,100,44,21
60,-13,-19,29,63
54,3,-77,35,62
39,27,13,4,-70
1,66,-49,-87,-7
53,-10,-31,-95,-57
55,-3,-78,92,-42
-58,-95,-94,95,-98
-66,-38,-89,27,73
-35,86,1,-98,-49
-61,-83,-59,-15,73
-49,57,30,-98,14
-46,-4,66,-61,-44
96,-69,-33,-94,-23
-59,65,-17,-6,-63
-12,8,-26,98,14
-65,-68,14,-62,49
92,27,64,-65,79
50,-89,-13,52,35
-32,-69,-52,-25,-28
-28,8,33,-69,98
-20,33,56,-44,-89
94,46,96,69,14
97,-38,-41,86,-59
64,-86,44,19,77
-12,86,-43,31,-10
17,-45,81,58,7
38,97,-20,-14,-28
11,-27,53,93,-91
83,27,-64,-19,77
-72,-18,52,-84,14
-77,-12,33,-68,-97
-32,-43,52,31,17
-12,16,-34,60,49
66,53,-63,34,67
73,-27,-14,15,-28
75,-35,-51,-23,2
-21,-67,68,35,-8
-22,-96,36,67,-21
-32,-81,15,-8,-77
-26,90,12,30,-44
-71,-55,-59,15,28
-60,71,-50,-2,70
55,10,58,-55,47
-40,-63,-47,33,-59
-47,12,-64,37,-100
38,22,-53,-95,91
-63,-71,-65,70,-7
9,-90,26,-76,77
-11,75,-15,40,-15
-68,92,74,37,67
53,61,69,-38,84
-9,-96,-13,59,90
