column0,column1,column2,column3,column4
68,52,-20,-36,82
27,67,-66,-55,-4
63,-4,32,-7,-13
38,58,95,54,-80
91,3,-84,-4,53
67,25,-32,-77,-50
37,71,-51,96,-80
-22,-85,-84,65,-68
80,95,-6,55,-7
72,-59,-48,32,1
-7,58,-5,7,36
21,28,-68,8,26
-44,-92,-47,46,41
-63,70,38,-16,-62
-77,97,62,29,-26
42,-72,14,36,37
58,97,79,-12,-8
20,-92,97,-69,-60
-97,-81,-9,64,-87
-57,39,-81,-5,53
-2,6,-27,2,-84
18,63,-18,-18,-40
-43,-46,-27,-85,-75
-45,-15,-55,-76,-65
24,-19,-6,57,-41
-75,-64,-32,61,97
4,93,-92,38,6
-52,-8,56,19,35
8,72,-28,15,44
73,52,-65,-14,-15
-72,76,-100,77,-33
-74,30,-53,-99,97
-97,-48,71,37,31
-57,-31,-98,-95,-52
-91,-52,-13,-18,59
88,59,-86,-9,-15
-14,-2,-69,-59,66
55,35,-93,36,41
6,-26,-4,-46,32
13,-21,-38,86,40
-28,93,-61,60,44
91,85,-21,57,-28
41,45,-68,62,-2
-66,32,99,92,-18
88,-97,-8,-56,37
-59,26,-42,90,0
-53,-26,-28,-81,-40
-82,75,-24,-31,-2
76,-2,-4,-39,14
0,-5,-17,-66,-89
-49,-55,6,-94,-9
56,-14,-81,-71,-81
-91,-38,13,-5,-77
-96,28,-19,8,49
63,-14,12,48,25
-93,-53,-9,-24,54
-35,-59,-88,86,-85
23,5,66,71,-64
-8,61,-7,23,18
-79,43,-38,-57,-100
-27,-12,85,-17,65
-14,-59,79,69,22
-89,-19,-10,-27,39
8,-41,-45,-62,-42
-90,52,-66,92,50
-68,50,-98,54,23
-44,-44,-4,-53,-38
-32,44,-89,-63,35
-3,-1,-90,-3,51
40,-36,-68,-51,68
-52,-16,33,-54,35
-78,77,99,-7,-66
62,57,-3,-38,-25
-57,-13,96,25,15
-47,-42,-62,69,3
1,-1,43,37,-99
70,57,68,40,-8
62,54,82,83,53
1,11,-91,-64,32
21,66,20,-77,-76
65,67,-13,28,-4
-68,66,-94,-68,14
-38,84,-83,-13,-17
-49,-88,-87,-73,96
-56,71,-11,-76,-42
5,90,-68,-73,-73
-93,60,-62,27,15
89,-86,-93,43,-88
99,-65,86,-92,52
-75,16,36,72,55
-37,2,-25,52,-46
84,76,-18,-73,17
54,3,-14,78,22
78,31,50,-49,-69
-32,4,-83,39,-21
-24,47,-90,25,-52
11,-86,-16,97,-24
42,-78,-14,-26,-4
-15,14,-23,-66,-47
99,-82,-73,28,-20
-25,3,-44,-30,17
95,82,66,-61,-8
-61,33,-47,7,-44
28,36,-67,-19,-86
-81,39,-69,-11,89
-65,-19,38,45,-51
-9,-17,5,-2,67
80,-67,-73,79,-80
-99,-19,-48,81,60
-85,41,-29,-93,-31
86,87,91,81,-72
35,36,-57,37,58
23,-2,39,21,-18
-46,88,-31,38,3
78,-34,-25,61,19
-92,65,95,-73,-26
2,-32,12,-59,-26
21,69,96,-19,82
-49,-99,-9,23,-12
-3,29,-36,-75,25
-79,-57,-88,71,78
41,75,-69,-67,-52
-55,29,-70,-17,53
10,-97,32,-53,-74
-49,-17,-5,-29,53
-89,-98,-34,-26,-33
54,95,-69,86,-9
-92,3,14,31,44
93,41,-24,-62,3
37,-92,75,-42,-77
8,-72,-77,-76,-27
-75,-84,-25,78,27
89,-92,-78,61,81
-52,-46,-89,-97,-97
41,-24,-64,-80,51
-57,40,-29,73,71
-67,79,-22,-49,-39
-64,38,-92,-75,53
26,38,24,-93,-8
-48,40,-89,100,-93
54,95,84,74,15
38,-18,-37,-8,1
-63,-11,-80,-90,-60
-57,-36,-49,-97,-30
-60,-96,-89,21,-89
-53,68,17,-31,22
-18,44,0,77,68
-74,19,28,54,73
32,-83,-2,-85,-92
64,-58,-65,14,33
63,55,-34,15,-84
-19,90,-38,-36,-4
-73,-97,-35,-35,-8
-67,-12,-20,64,-76
77,-52,18,58,71
12,-82,95,37,-56
2,53,-41,38,-44
24,31,2,24,48
8,3,45,12,-44
-42,90,9,97,93
-87,-7,-86,-67,-89
-65,-65,95,57,-35
-41,-99,-8,3,35
-51,-50,-55,43,52
-4,96,-29,-23,23
-49,-93,-6,-97,96
52,19,-52,-60,13
-91,19,-2,79,-59
32,62,52,-56,79
100,-46,-15,-76,99
-80,7,-4,-57,-89
38,76,-82,-14,99
60,-11,85,1,18
-36,-47,-67,-73,-93
-61,47,-86,66,-9
15,58,-22,-28,2
58,-53,-23,-90,2
6,-9,-9,-76,-13
-10,71,16,-63,62
54,-99,-99,-8,-20
-24,98,27,59,-3
13,58,22,-95,-75
38,54,-29,68,-54
-60,-98,-75,96,-35
-93,-83,-85,34,-96
98,-56,-16,72,20
-16,65,6,-22,-70
52,26,-36,-12,-85
32,61,-75,-43,-28
58,82,-2,87,88
-10,-99,-33,-6,17
-41,79,-91,8,81
-57,-7,-11,-45,56
73,65,-42,-6,11
-100,10,47,-73,-65
-17,46,51,-33,84
-46,-59,-79,0,25
71,-2,-62,3,95
