column0,column1,column2,column3,column4
-13,-4,-59,33,18
59,-80,16,72,-29
97,53,59,-14,31
-34,-25,73,-15,-2
-48,-18,-65,18,-30
71,65,-48,-73,-77
51,-22,52,-21,16
-87,100,88,52,-27
-54,-3,-98,-68,38
-99,85,-5,-93,-32
41,-29,43,-12,-55
-49,63,11,43,-2
-51,-68,44,-17,89
93,-36,12,-52,-79
-96,19,76,-83,-61
-54,53,-26,62,55
-61,33,29,19,31
48,-99,-77,10,40
-81,-69,-80,-74,-12
57,-29,18,-22,-23
58,56,-91,44,12
-81,5,88,2,-24
6,99,-56,-50,-69
17,57,20,76,20
40,56,56,62,-3
31,63,67,-38,-64
-62,63,-53,-82,88
-77,-52,59,35,-87
-89,46,36,5,87
9,25,36,57,-1
-23,75,-21,40,-61
15,-82,-1,0,96
-58,87,-91,-6,-18
61,-80,-19,-67,13
-82,6,-94,54,35
91,68,98,-49,94
23,14,33,-91,-93
80,-38,-71,80,-60
-37,38,4,-69,8
-76,-52,35,94,-32
-41,-64,57,-5,-25
-49,-91,48,-39,29
-98,69,-84,-60,13
-22,99,-30,-30,17
82,28,85,-93,-71
-60,23,-61,-55,49
50,23,-78,-6,91
-5,41,-86,-72,-67
-63,24,-44,-98,-21
25,44,26,-78,52
75,30,26,-80,-65
-64,-18,-70,68,70
90,46,-21,-25,79
-23,-16,-94,1,9
15,-2,-33,0,-76
81,28,-34,-65,46
16,35,21,70,-84
-37,-61,-64,-81,85
-93,71,58,-23,67
86,18,-2,-22,-40
-70,35,-84,-18,65
35,17,-35,70,-45
-86,-9,-10,-6,-9
72,-86,44,-5,-2
-32,-58,-68,-74,44
31,-61,46,-79,42
-46,19,19,86,77
-94,10,-49,64,-57
42,10,16,-72,-52
86,-42,22,94,-40
-97,-39,84,-31,-42
-66,13,-26,-22,47
-33,79,-49,-48,25
8,-9,24,-38,41
-22,61,-34,49,-66
42,18,-77,17,90
85,9,92,-64,52
47,-21,-7,-24,97
-93,-74,76,84,92
-60,-21,93,-46,-44
59,51,27,-71,37
7,-29,-76,26,-32
6,-3,-3,-97,93
-47,21,-55,21,-15
-38,68,-55,-73,-71
16,-34,-53,-5,92
8,-82,52,46,-17
47,87,31,93,-59
67,-22,91,-37,-1
81,60,-83,10,41
12,27,39,29,-55
-39,-64,8,-88,65
-54,-93,79,99,47
50,62,-84,89,83
-90,1,-11,17,-55
89,3,61,91,33
86,15,28,-14,-79
-75,-99,-4,-51,-31
