column0,column1,column2,column3,column4
7,-7,92,-14,24
-12,-25,67,-61,-89
-82,54,100,73,-35
-56,6,64,-3,76
35,95,79,77,-44
57,-39,17,1,-8
89,4,-24,37,21
-92,47,67,-36,52
-25,92,93,-88,-17
-55,-95,-62,-28,-11
-99,74,6,75,-85
36,66,-19,84,-27
-2,-39,71,-23,11
37,12,71,16,-70
-74,-6,93,-58,-72
-36,15,99,72,72
-9,46,-88,37,58
15,-29,-64,34,-93
-53,-46,81,67,-88
55,35,90,-2,7
27,68,75,70,38
-46,1,84,-77,-4
-45,-91,12,37,62
-20,-94,-43,-54,-39
-73,79,62,39,61
-78,51,4,100,-47
8,68,61,42,-49
-11,-98,78,-22,-91
-19,-28,31,-95,26
94,-2,86,40,-32
99,89,88,-58,86
26,-24,89,29,1
-80,70,70,75,-63
-83,5,67,-63,-95
42,-48,86,30,-88
46,87,84,-90,-13
50,63,66,22,35
-53,16,47,41,-3
-7,-39,73,-1,-11
-43,-94,62,-27,-68
-38,-60,76,-26,-20
-97,6,27,-95,-19
-95,20,77,0,-4
59,14,63,93,-96
-60,28,-42,40,61
-15,91,72,-56,98
92,50,70,-33,-73
-67,47,-65,32,2
71,-8,72,76,-8
55,-22,79,83,-67
22,-7,-18,37,-98
71,22,79,-48,9
-8,-88,21,31,-36
94,93,-36,38,-27
-27,27,77,14,95
-32,-57,94,57,-16
-48,-78,93,-89,-15
94,-73,66,-27,-86
26,82,100,-94,-35
45,-11,65,-72,42
34,-42,82,-40,52
34,1,92,17,63
15,-73,-88,32,-90
-84,84,76,64,74
-60,-77,77,39,-74
-44,-50,79,-35,29
-59,-50,78,18,86
-16,-47,76,96,-15
19,79,-29,-16,84
-35,9,72,-28,-54
-54,-99,20,-4,-49
91,16,63,-2,80
-67,-83,-47,40,61
31,-30,73,69,-93
-81,-64,42,8,36
-46,34,86,74,45
-14,-79,5,34,-60
-60,-16,81,-17,40
-18,16,86,12,84
100,79,84,-1,48
31,47,93,-47,-76
-55,-65,51,35,-63
91,-36,81,-68,3
66,83,33,30,-59
-33,6,38,30,10
-74,43,87,66,-66
-72,-55,-4,31,80
-72,-4,80,-7,-65
0,94,66,78,-38
-57,-77,-38,18,-31
-90,-38,72,-21,-75
-63,-65,75,53,3
62,6,-20,-24,15
64,37,69,87,-19
60,-22,92,-61,8
-28,95,-15,-56,86
58,80,-65,33,4
-20,70,-36,41,75
20,-78,99,46,-23
-36,-25,-67,37,63
-65,-95,78,10,100
2,7,75,-40,63
58,-44,93,-78,-44
-10,-89,100,-33,-12
46,-58,82,-82,7
52,-67,84,-77,19
84,33,76,-78,-40
9,-63,81,-50,-57
-23,17,19,40,-95
-99,93,64,-60,32
58,87,-84,74,34
-51,62,68,38,74
-90,-4,71,-88,-35
22,-41,83,-47,97
8,59,64,-66,-23
-85,86,5,26,-98
-66,-77,78,56,12
-96,60,89,31,-31
65,85,75,58,55
-68,99,88,55,-83
60,40,-37,33,-64
7,33,93,48,-93
-90,-30,65,-28,-61
50,86,96,47,71
26,18,96,-73,47
80,6,79,9,38
61,-85,20,-95,19
-54,-27,-28,36,-5
27,6,87,65,-16
-14,-9,67,-96,45
-34,74,84,32,-95
31,51,67,-47,-97
77,-68,64,38,33
-21,98,63,-38,-13
-72,69,-18,30,42
8,55,93,59,30
23,75,92,25,20
90,-62,86,85,-40
84,-5,80,73,-98
-71,-2,94,27,-56
-80,-78,61,88,-1
-81,14,77,-21,34
85,-6,63,-98,24
92,-60,-83,30,51
-38,81,61,-30,10
6,-44,97,-61,37
14,-53,30,90,-91
-53,-54,85,-62,-81
-20,-49,92,58,-63
-23,-51,8,37,5
-38,-46,86,90,-2
-91,-19,81,78,80
-72,42,87,72,44
41,-2,87,74,72
9,9,93,96,-88
-3,-39,34,-10,48
-4,-70,82,23,33
-18,-10,78,84,-86
-53,-90,62,-5,-21
78,54,47,31,-82
68,-2,73,-8,-47
76,-57,92,-92,-96
71,66,97,72,48
59,-86,-73,41,69
88,-86,62,-28,-17
-61,51,-75,40,25
-73,-94,75,-15,79
23,-45,82,-69,-50
-38,13,71,31,60
-91,27,-28,-19,-77
33,79,-65,36,20
12,39,-1,36,85
18,30,93,41,-29
41,31,83,73,45
-66,-74,8,-99,-59
-45,-3,98,-14,28
75,-80,-76,39,78
94,46,99,12,82
51,74,81,-27,87
-6,26,7,5,37
82,96,89,-4,-97
-32,-44,80,-8,-19
-43,-69,66,37,19
11,8,-10,32,12
-92,81,-65,32,55
-36,-61,85,-50,-48
-5,-19,-57,4,-79
43,63,90,70,6
-7,-16,76,-67,-38
-76,-51,84,55,-58
50,-1,-99,34,46
-98,-2,88,81,-38
6,-2,62,-57,-57
-25,89,87,-77,37
49,-65,7,82,-11
88,99,-30,39,-74
-38,-27,67,13,-24
66,19,44,-35,-65
-23,-66,91,100,13
81,-59,72,29,4
-24,-27,97,-80,-38
-10,1,80,-42,-14
16,-2,87,89,-11
50,-56,64,-54,-79
31,17,67,68,-11
-75,-25,63,-35,58
-86,82,69,94,7
88,74,84,-87,33
-86,-41,86,22,-32
-59,-64,95,58,-61
-59,-31,84,-40,47
-75,85,-98,35,-28
-79,20,-74,-53,80
91,-34,77,4,40
-90,31,82,5,-14
-99,-77,99,-16,-30
60,-3,82,32,90
-28,37,-84,-82,-73
-48,-16,86,-99,7
61,-52,86,13,-48
-79,-27,93,84,-100
-44,26,-98,31,-53
-4,-89,-82,40,-26
-72,77,77,48,35
61,-28,-74,4,49
97,-61,33,34,-8
57,-52,90,1,48
-86,-28,74,93,-21
88,38,70,-64,87
-60,-98,79,-59,92
-86,58,73,-26,40
5,43,75,5,-49
-15,-81,87,98,-24
-3,-75,69,-45,35
52,-98,75,-86,-14
-69,-40,40,-79,29
71,92,87,51,86
-18,58,-36,-86,99
-7,85,1,-41,-41
45,-9,64,-10,73
16,61,71,-59,65
23,-56,54,-44,-96
58,60,80,46,-67
56,43,96,-26,-70
-21,79,-37,-98,19
-65,-20,91,93,42
33,92,62,32,-52
79,-40,100,-13,-18
91,40,64,-32,-97
12,-47,69,-38,-22
-95,-80,91,-61,-47
-12,51,66,37,-67
78,-94,100,-97,-29
55,-5,-18,-44,32
-25,-83,-54,65,-80
58,80,74,40,24
-8,-72,79,7,-63
97,-58,96,-5,76
-11,-74,87,63,18
19,-32,-44,36,20
58,-94,89,-45,58
-60,46,76,84,62
-45,2,90,37,23
-78,-50,68,47,-75
51,-43,-35,-43,83
87,16,85,-52,17
-73,86,99,-75,-17
-3,53,66,-63,79
14,37,67,-22,-74
-3,60,66,-71,-58
61,37,-79,14,37
-91,-60,68,89,78
22,50,60,41,57
-38,-19,100,-88,41
42,-38,83,-52,-60
11,14,78,1,53
-100,62,86,98,-53
-3,-71,-88,41,-89
49,35,81,92,37
-40,89,75,-11,-100
-17,-49,81,-44,-69
38,-81,-87,-19,10
93,-19,81,-57,82
-72,99,63,-25,-82
-45,76,74,-34,-75
26,-41,65,-38,-1
77,47,-23,18,64
-38,53,85,-55,-28
60,8,81,98,-74
-30,-1,-95,33,-67
-2,-90,100,96,92
42,-50,97,-76,-82
-29,-63,99,-51,-41
80,-28,23,-88,51
-78,67,63,-61,-24
-94,-3,85,-37,84
-43,-74,41,13,-66
-32,-49,71,3,21
39,-28,91,-45,-40
3,32,33,94,12
94,-81,66,24,17
-14,-5,34,49,49
85,-55,88,-96,-41
47,63,-59,87,-66
60,-14,66,-13,53
39,55,89,-2,17
55,34,-80,61,-80
-22,81,67,-100,9
-91,5,81,29,56
19,90,62,-43,-65
93,28,75,68,-35
-42,-20,85,65,-70
28,86,85,28,-14
29,-72,-76,39,96
44,-57,-5,-6,98
-30,-46,78,-15,-81
-4,-5,76,-37,26
-16,40,94,87,73
51,-78,-30,46,10
31,-10,1,39,-58
-40,44,95,8,66
70,-72,73,-45,87
56,-1,62,-85,38
-25,38,-23,-12,-98
-3,-22,79,47,1
23,25,85,-94,64
-71,59,27,32,87
64,-8,98,-38,40
55,-60,56,32,39
81,69,66,76,71
-41,66,-85,79,44
93,-85,69,-29,45
-46,55,68,-64,-84
94,50,-11,41,33
84,-15,83,80,6
20,97,83,67,-32
-58,50,96,-38,93
-86,-76,88,15,-95
-10,94,79,-6,-5
-26,-31,60,33,80
56,-6,83,-18,-38
-73,-68,15,-18,1
31,49,-8,-21,-53
57,79,24,-39,-34
-49,-42,-40,33,98
57,29,95,64,-39
50,11,68,84,-17
-18,-4,6,40,-63
12,43,78,46,86
-88,71,92,84,-45
1,9,-6,93,4
-57,-100,83,-27,75
94,68,77,-64,-52
20,89,95,-14,46
51,59,72,78,-3
53,-7,-90,31,38
-77,-82,-33,31,48
46,98,-49,40,66
-56,65,94,-74,75
6,-33,-78,91,99
37,19,88,72,-35
-1,-10,37,21,93
18,-76,96,-9,-48
-97,76,63,-38,-23
97,-88,97,-29,27
-8,82,88,22,-98
23,96,61,92,40
0,78,-87,78,-85
6,-69,71,-47,-75
96,-76,48,31,-15
-13,47,94,-73,41
-86,-27,-73,-31,40
16,28,-78,58,-31
51,-75,98,65,56
61,74,70,-80,43
-75,95,71,94,-98
67,-34,99,25,5
-59,37,88,-24,61
-20,-42,84,-76,44
-76,51,-98,24,95
82,12,43,-24,-25
62,92,-14,-7,-43
-71,-23,-7,34,-85
-87,92,77,15,42
-11,-69,63,-62,44
24,7,87,40,40
56,67,-12,33,93
-24,64,9,-51,-29
-15,20,80,-51,-10
13,4,71,47,-71
-100,-47,-93,-62,-36
-50,56,70,88,-42
51,64,68,-72,-12
-90,86,43,-60,-92
76,16,62,-40,72
-22,-38,86,98,52
83,87,98,57,-33
9,95,68,23,-78
-65,-91,-74,69,-92
36,7,-7,31,27
41,90,66,-54,79
-17,-10,63,-3,87
44,-10,10,41,-26
50,93,96,-88,-7
13,-3,-5,48,-22
-91,-47,93,47,67
-76,28,-39,31,14
-59,-89,65,-51,-75
41,9,62,-14,-36
-86,-7,70,-68,-75
77,80,79,30,-93
-6,-48,-82,41,-100
-43,-74,-74,38,-23
-48,-23,69,-90,64
86,-68,75,-9,-97
-41,-90,-94,35,2
93,20,61,56,25
24,49,-54,34,-63
-73,-38,17,-18,86
-7,-72,85,63,71
