column0,column1,column2,column3,column4
71,-15,43,-78,-47
44,14,3,-47,40
25,21,-78,-14,-24
34,0,-19,77,-7
77,-47,22,60,-61
31,-52,70,96,3
-75,-18,-47,-72,63
52,66,35,-25,71
-95,81,-74,80,10
60,67,88,59,-15
40,-53,-34,-49,89
-30,38,-52,-66,43
58,2,84,-35,51
55,12,15,-83,85
63,50,86,8,-71
-10,-29,27,27,16
81,77,-22,56,-69
94,-7,51,9,13
90,-45,69,65,-20
2,43,2,46,-67
72,33,-27,8,82
33,-37,-55,76,-23
-30,-16,-61,77,98
26,-80,91,97,-68
40,99,-8,-60,0
86,81,90,84,-91
-81,-95,-93,75,81
59,20,31,18,-90
47,-55,37,18,-60
37,76,-55,-72,-33
10,-61,-28,-17,-41
30,67,41,-13,-74
79,25,40,-68,-19
43,59,-74,60,-34
13,-39,-4,68,79
73,-68,-75,-73,80
17,31,55,77,-67
83,90,-10,33,-80
3,-100,52,19,99
56,-7,42,34,56
-75,20,-28,-97,47
-56,83,-59,-8,50
38,-21,-10,97,6
-60,87,-33,-91,-49
-83,-20,93,-15,37
90,73,29,75,-86
66,37,-81,14,33
51,41,-14,-73,-13
-30,-34,38,-29,80
44,76,-97,-17,-63
-100,-53,59,-96,91
25,35,53,-84,-33
18,39,98,85,-53
0,-85,-89,-73,8
75,11,43,-55,-33
17,20,43,-91,-59
38,19,95,46,-75
71,59,-27,91,-43
56,-45,-55,65,-68
78,-97,-78,41,-62
10,8,-81,87,38
-5,40,-36,60,-51
-32,95,-88,89,-87
67,25,-73,47,-57
60,57,-8,-12,-44
-85,70,68,31,16
-75,-28,95,87,-84
33,-16,64,28,-55
99,21,21,65,84
45,39,24,-38,63
46,-56,-80,-77,89
9,1,56,-81,63
79,91,18,-19,48
33,67,-90,65,2
90,1,-82,-64,-89
93,-30,-9,-41,-30
59,35,80,-38,32
24,89,-87,-52,-77
11,17,-73,-38,50
54,-59,6,62,11
50,27,-7,-74,-75
25,-27,-63,43,76
48,-17,-44,72,13
60,-7,-1,80,21
-42,95,-49,24,-80
31,77,-48,-80,-23
-62,-92,74,-51,75
24,24,-56,-96,-35
24,66,-54,-30,38
67,31,76,-81,-45
19,-91,-34,-28,55
-17,17,51,82,-15
-7,29,-57,-100,80
36,84,11,-11,-43
16,57,-69,-54,13
84,76,-71,34,26
61,85,19,-28,-51
25,-45,-32,-54,-89
-55,52,46,92,71
-12,11,52,34,89
13,58,-81,73,28
92,54,97,-74,41
35,96,-25,-19,22
20,-64,74,-24,27
7,-76,-69,-10,66
48,-37,59,41,16
76,-85,88,-22,35
94,-53,56,62,-68
17,-58,37,31,97
-8,-24,85,-85,-67
76,-50,-13,-30,78
-45,-99,27,-61,90
37,-18,14,-66,100
73,-55,21,40,90
-48,75,83,-72,71
-11,-29,36,-8,14
19,-24,-74,29,85
-70,-31,-97,38,-78
89,-90,27,89,-80
74,70,64,88,-14
34,-5,52,-27,58
39,84,-42,71,61
92,-61,-91,56,-57
30,46,-18,87,60
61,50,100,12,98
40,76,-88,-54,91
62,-18,-82,-89,58
27,0,29,-85,26
1,-71,-96,33,-23
46,89,-51,-41,51
76,61,45,-2,-2
6,58,32,-12,-44
-31,91,5,-85,-15
36,20,70,-96,-65
17,-26,11,77,42
94,24,-54,-79,7
7,7,-96,-87,9
72,23,-65,28,-38
-8,86,33,45,-30
73,13,-21,92,58
41,52,-97,-33,59
-90,-48,-9,-34,-90
85,-75,35,74,99
-59,-55,46,-41,68
97,-46,89,97,88
30,43,-65,41,-46
96,-81,86,57,99
55,-46,53,63,5
64,43,-26,-1,51
-20,-79,77,78,14
-31,88,91,10,32
64,71,-78,-61,47
1,17,37,4,-26
-9,-94,67,-5,79
-70,-6,31,59,-34
82,-6,20,-96,67
4,42,-89,-30,2
100,-26,91,30,95
-3,66,98,-9,-40
-64,80,-42,-15,41
-5,36,-29,45,35
86,-39,-7,-15,-32
-99,32,58,36,-63
57,7,-45,73,37
-84,10,-89,-88,13
-27,-83,49,91,73
32,9,-47,-17,-100
-85,-75,-10,-23,35
26,-86,66,93,21
36,88,39,-55,-98
77,-42,-48,50,-24
87,28,81,96,-38
-68,88,-27,-51,99
18,-62,73,-92,-52
-26,-46,-78,31,-40
36,-97,-83,89,-69
14,90,87,-53,70
1,-95,1,-7,62
61,-76,-20,65,28
-95,-60,21,8,16
-95,72,-41,16,-60
68,-38,22,-96,-46
21,-86,-49,4,-3
-85,-14,30,39,-32
26,59,79,92,85
20,-4,88,-17,35
9,-18,5,-33,-2
35,-24,-38,-31,56
14,39,69,-17,80
2,23,-42,-99,-74
50,-92,13,-17,69
45,-87,26,-79,42
9,-90,1,3,16
57,-95,-81,-11,-22
46,43,70,78,77
59,-29,-98,-61,-74
54,-50,-18,13,93
63,80,-57,10,-11
70,-75,-67,5,42
33,27,-89,-56,-53
70,64,73,0,-52
-70,48,-78,58,-86
90,36,8,-43,-14
62,-84,-31,80,13
8,58,94,-73,-82
