column0,column1,column2,column3,column4
100,52,41,-91,-28
-81,39,71,22,-27
-72,10,82,-57,2
96,66,-72,-70,-54
15,-46,-16,-54,87
-75,-28,-1,41,-86
67,-52,78,-40,6
-55,-19,50,-39,-15
-36,25,-16,16,-57
5,-61,-64,-56,57
-90,-88,-74,-17,-95
-30,-31,9,-21,-24
-99,36,-81,52,-28
-15,40,7,-61,69
55,-72,-4,-39,-84
73,44,-66,-12,-86
-79,-42,-33,-3,99
59,16,13,-67,97
45,87,-44,17,-13
72,63,59,4,41
-84,82,-85,99,46
-53,10,-49,-61,13
65,-75,31,84,-76
-95,84,35,52,77
-40,-40,-69,-13,64
-32,28,84,-45,-16
-56,22,4,84,-76
0,-76,95,77,-44
-46,-99,-96,80,-47
-70,75,-87,-29,42
-59,-9,-72,71,56
64,10,32,100,-21
-86,17,-2,52,-87
-26,15,-36,8,-95
-37,-81,34,41,64
-85,21,31,-16,-98
-45,8,-99,21,-74
-70,62,-59,64,98
-80,83,91,-9,75
-36,-95,100,-89,-52
-79,24,64,99,73
-78,23,-14,-42,73
-38,36,9,74,-48
-60,59,-38,-26,-78
-10,-51,-23,-14,-36
80,-31,57,-47,-50
76,21,-72,-96,-19
-84,41,65,-88,-58
-9,49,32,59,-46
21,18,-30,75,64
76,43,35,28,86
41,20,-52,-98,-56
-10,-23,-55,-24,-40
7,18,100,-46,-8
51,26,43,-8,61
75,97,53,-36,-29
-40,66,-75,37,-85
80,26,16,56,35
11,39,-66,51,-71
-70,-70,-7,-14,-56
64,-99,-66,4,-59
61,23,-33,-65,34
46,17,12,44,52
55,-63,6,44,66
100,76,-100,-34,70
-60,-45,-24,-54,-21
-40,-12,23,52,-51
97,23,-23,-44,69
-81,29,-37,-56,99
-50,-38,-81,56,50
-58,25,-96,-73,-45
-52,38,-67,-33,-13
73,-74,-5,-11,-88
70,59,-92,26,57
-36,29,21,-30,1
-5,46,35,17,-19
-56,14,29,-70,43
0,-66,43,-44,72
-80,-22,22,-77,89
-35,-44,-90,-31,-98
-32,10,47,16,62
-60,-18,36,34,-72
-44,92,45,83,-90
15,-39,-42,54,75
-79,48,-57,-16,-61
100,-98,-96,98,-48
-75,-26,-40,81,40
-10,-67,-47,83,-67
72,25,-8,-11,30
-70,86,-12,-29,-32
35,-94,55,5,100
0,-73,-79,-74,24
-16,38,-7,81,-25
20,84,57,0,-100
19,13,50,-4,-12
60,61,-23,51,88
-5,-55,-80,71,-7
-33,-52,-80,-20,-4
-38,89,58,-52,23
85,5,-26,-39,-79
75,-86,-89,-8,-79
71,65,-66,1,91
24,10,68,67,40
-95,-31,-23,-63,99
-53,33,-14,-90,-48
93,11,69,-50,-16
-5,11,33,74,25
93,41,-60,-19,-35
70,-68,20,-51,-66
-90,91,-49,-45,71
99,-94,89,-15,18
-31,40,65,41,23
-87,19,-22,-51,96
-10,-56,18,-90,-79
20,49,-36,1,8
53,26,-14,-64,-3
5,-1,-77,-10,29
50,-53,-84,-22,65
-17,-12,68,96,23
-84,16,-79,47,20
6,27,-49,-69,14
-30,79,50,5,-80
45,38,-87,5,-76
-18,-77,-78,-98,76
92,40,-45,-79,6
-57,69,-70,-65,40
-81,32,-36,-37,99
-53,18,-2,7,76
30,-19,-1,85,93
-18,-33,22,82,90
36,11,-21,64,-60
73,44,17,-13,-11
40,-38,30,40,-80
38,31,9,-21,14
14,44,-55,3,-42
-57,41,30,55,90
11,13,96,-38,35
45,87,-26,-46,58
-83,42,73,75,67
55,34,16,-15,-51
18,16,100,-55,17
-81,28,-55,79,9
75,27,-98,83,61
-80,19,68,-96,-26
16,26,-41,9,-40
44,24,-49,-3,29
-6,48,13,-82,13
65,53,84,74,14
40,72,-53,-18,-92
-81,-37,4,97,98
-60,-39,95,-88,-36
-55,-73,-28,-41,43
71,22,40,75,1
60,-91,-44,64,-87
100,-37,-8,-21,-90
15,-71,-55,-29,71
-9,23,-79,0,18
-5,77,-83,-77,-85
64,29,-4,29,42
100,83,-63,-45,26
7,47,34,-59,-23
46,-23,42,65,-19
-5,2,-79,10,81
-60,22,-64,16,-2
-64,19,-48,-33,-75
51,-54,94,71,62
-18,55,19,-70,-47
30,28,-7,71,26
16,32,-53,-43,-60
90,-90,22,22,20
-84,48,-45,75,25
90,18,-68,59,66
-17,39,75,93,62
11,47,62,-36,-57
81,43,-7,2,17
75,-48,-56,-61,-93
-19,48,69,84,-8
8,12,63,95,56
67,18,-77,28,-34
-29,11,-20,68,-22
42,-92,90,-51,90
14,36,8,85,-79
14,22,-35,-94,35
20,-94,53,91,-19
15,67,-35,-19,-72
-71,19,-35,-89,70
35,-37,22,-99,71
5,67,-66,27,-68
50,-27,72,-19,50
-14,19,-39,-24,19
-2,11,-79,60,-38
-50,-62,5,56,39
80,-47,-51,14,-54
-23,43,64,-47,-52
-4,67,66,41,-79
75,-75,99,-21,-82
86,49,0,-45,-84
-40,8,18,-42,64
57,24,33,-42,-8
100,-40,92,-24,-39
10,-62,-45,68,-13
32,11,43,58,-70
50,47,21,99,-33
80,-97,-37,5,-38
40,78,-55,32,-22
-16,39,-73,100,-76
-16,11,-38,87,-18
-41,25,26,-65,-88
-7,28,27,44,-56
