column0,column1,column2,column3,column4
-51,-6,-85,-99,5
12,56,-88,-54,15
32,-85,49,-58,2
31,-61,83,-85,66
98,32,26,5,-15
99,-65,40,-57,-34
99,43,98,-5,20
43,1,42,-39,-33
0,99,34,-89,27
-11,80,-31,26,8
-53,5,-23,53,18
-21,-39,40,16,-31
33,-42,-14,-34,-49
-32,38,-61,36,68
36,78,69,-41,77
13,-42,99,-77,-81
-76,34,-24,-39,54
9,0,-82,-8,60
45,-37,-84,90,80
17,-64,1,88,-23
-17,-16,-88,-40,-51
54,-75,-34,54,-4
26,-2,81,53,29
-12,-65,-39,85,-30
34,35,-84,29,52
41,-40,4,-27,-100
-32,16,-17,-72,-46
45,67,-15,90,-57
-4,-27,-19,-83,98
-12,-33,-51,-13,-85
-42,-21,-69,2,-76
26,21,7,-57,31
-64,-64,7,52,-6
2,90,-75,-75,29
44,18,81,28,-42
-49,-14,58,6,-13
-62,-76,93,-53,-95
63,-47,11,-53,-54
-7,24,49,-31,80
44,-86,25,-26,50
38,-61,51,81,70
-91,-67,-63,45,-20
44,-70,29,-58,54
64,17,-12,79,-12
62,89,-49,-58,5
93,-19,-11,-89,37
-51,97,7,-74,6
-97,33,69,-80,4
56,88,-8,79,-59
16,96,-18,-52,100
96,-45,10,32,-9
49,32,20,11,31
-49,11,46,35,-39
-73,-79,45,62,-14
-66,64,-22,59,-65
-12,-67,27,100,-86
89,87,-2,59,-13
21,11,71,95,6
40,47,-73,60,65
48,-32,-17,-80,-31
91,22,26,-98,91
24,-21,70,-48,-65
47,13,81,-34,-16
66,-62,-75,-66,87
28,-91,67,41,-48
-70,-36,30,50,-38
84,61,69,-42,94
56,39,92,17,66
47,67,39,4,-1
-18,45,-23,39,-8
-28,64,46,-83,57
15,-5,-51,72,-48
89,73,25,18,92
25,-42,-81,2,-75
41,94,20,-96,-61
-67,62,-19,-78,-33
-26,-46,-62,41,-99
10,81,86,33,32
94,-27,-92,100,19
-4,-78,-51,-86,-17
51,-47,99,22,61
98,33,-42,-57,21
39,36,-44,-82,-34
-17,-96,-24,48,-97
58,-12,48,-70,-73
-61,-49,-93,-49,-56
88,72,38,-96,-42
-62,-99,-37,-85,-58
28,-99,93,56,-61
32,53,74,22,58
8,-20,40,13,8
35,11,89,-96,-6
5,-96,-73,57,-26
74,-5,32,-34,-37
-14,-10,-26,81,-8
43,74,-98,-100,-94
46,-38,-63,39,-62
6,47,9,-76,-77
-69,3,-52,80,83
54,50,-32,-53,-66
-54,-24,49,-38,-24
