column0,column1,column2,column3,column4
-27,-35,-97,69,5
29,22,-29,55,26
-32,-4,-43,3,-87
27,34,-5,72,50
69,13,97,-30,9
-16,-8,-94,-52,96
5,71,-44,-30,-90
100,92,-23,14,33
-70,78,-18,18,-51
33,-13,-23,-47,40
-54,-85,83,81,-63
7,11,75,55,0
-98,93,-68,17,62
45,-30,85,-91,16
-70,53,98,5,-8
-100,-33,-11,-75,-72
17,70,-85,50,-4
82,-3,-75,41,-84
61,42,-99,-4,71
-81,-85,-80,-17,89
4,66,70,-16,-58
23,73,-42,-93,50
49,-18,-95,-75,82
-62,65,-35,-87,-96
7,-33,-99,-96,-64
76,20,17,7,2
-34,-62,-95,-96,93
43,17,-58,-93,28
-14,-63,-4,39,69
6,19,-77,-20,82
0,4,36,-21,63
46,-14,98,-25,3
-88,-79,-17,-3,93
-71,37,77,-56,-98
7,-94,55,-69,95
-28,42,-28,-10,-15
87,2,-58,-84,-12
-90,-73,-60,-54,-45
40,82,0,17,-73
43,-51,-17,94,28
27,26,-51,60,36
3,26,34,-32,-90
-41,-74,-40,93,-87
-47,-66,-38,-44,93
7,14,63,-4,-18
20,-11,-46,-47,-90
-63,45,97,96,-80
14,75,-82,87,-22
78,-49,-79,85,48
37,80,-69,32,60
9,-28,-95,22,-90
43,61,-82,1,22
-8,33,96,-48,-97
-2,18,77,3,-71
71,6,-55,-41,93
-5,-83,-60,-99,-5
-51,88,-26,78,55
38,60,-31,-71,53
93,-51,-89,54,93
45,28,67,-43,75
35,32,-76,37,33
-1,-54,-71,35,-3
46,-94,-85,-23,97
-59,13,-55,9,-26
32,-15,-54,8,36
-34,-2,-18,78,37
63,-67,-37,81,-99
69,47,-19,-88,-95
-85,44,-10,93,98
43,34,-36,44,-28
-87,37,86,-46,-92
-4,47,-79,-37,73
29,-76,-82,23,15
-78,21,15,100,66
28,62,-93,14,-4
-95,66,-80,51,8
-23,49,37,-25,-84
51,12,-60,-35,-1
40,37,2,10,42
90,2,-43,-59,86
-3,77,-5,51,26
-62,65,-72,15,19
-27,63,-10,72,84
57,-34,-78,-29,-25
8,-44,-40,20,-95
89,71,-7,6,-77
70,-4,-25,41,90
-44,74,-53,-71,-63
51,-12,16,-38,-9
-59,-94,-89,-37,-61
-80,-20,62,-22,87
-34,-46,-54,17,76
-46,62,-15,-99,12
75,-57,-47,-69,-31
-75,32,86,-76,-80
51,31,-35,50,49
-57,-77,-22,67,80
13,-33,-65,-81,-52
71,74,-10,-59,46
-63,26,-22,-27,74
38,-82,-88,-31,13
-54,0,-56,74,-82
-29,37,-31,0,52
-12,91,65,-59,-25
-61,-61,-13,8,-73
24,34,-32,77,-59
-36,71,-20,28,-94
-2,-78,-33,-5,41
-68,12,-92,56,2
11,78,22,5,-2
-59,1,65,60,-76
18,74,-1,38,-11
-90,40,-97,47,-60
26,55,-76,-76,-45
66,14,85,-42,66
2,-47,-82,30,27
-63,44,-70,50,93
65,-49,-80,-1,-24
-57,18,-10,-19,31
-50,34,-25,-32,60
-19,-76,10,55,-41
27,-90,-71,82,54
56,-28,41,-60,69
-8,-37,22,-94,80
-63,-72,-42,-84,100
96,36,30,99,57
-100,40,-64,-88,-40
-73,20,89,-46,-51
62,15,-55,67,-19
-86,27,71,-50,5
67,14,-64,-9,-39
-4,-38,10,-53,-73
-24,-46,-64,-28,7
69,71,-69,-23,54
12,77,70,63,-56
-86,-29,0,91,83
-13,37,73,41,-12
28,-69,53,-65,61
73,13,-99,-29,46
20,-15,-1,49,-82
-11,-96,-48,94,61
-48,-14,-81,-98,59
10,-58,-51,69,-34
2,26,-62,91,47
61,47,-73,-70,-66
79,42,68,-96,46
83,-54,-10,78,33
32,28,-92,81,-38
-31,36,-19,12,-29
99,-68,-28,0,-28
-25,39,28,-99,35
-84,-100,-9,63,-86
28,88,-75,7,66
41,-85,65,11,80
38,-6,81,-75,61
12,-29,-99,40,-85
99,37,26,62,-59
23,-45,56,-44,-29
-48,13,32,66,-62
-72,-15,-82,87,-7
76,15,47,13,28
94,-67,-75,-97,-97
-56,11,21,-86,-33
25,55,-72,-64,-99
25,74,-40,-6,57
14,80,-34,16,-48
-77,8,-11,29,51
-38,52,48,71,-2
-3,10,88,71,-29
76,96,-2,14,21
-30,-26,46,-8,-35
-78,69,34,71,-36
-8,85,-43,-63,-48
-98,-17,-49,28,-52
-19,-85,20,85,44
86,80,26,59,-61
37,46,2,-62,66
60,45,36,17,-52
70,27,-72,22,-69
-40,41,-79,72,-95
-38,76,-40,75,-52
-11,50,-13,-38,-41
-8,-58,-57,-27,-24
-53,-19,-67,-1,90
14,14,-62,-49,-17
33,70,-41,-22,-84
-26,77,-47,56,-32
96,19,-33,-60,-51
-53,79,35,-59,-66
50,71,42,58,-98
-9,21,17,93,-87
20,38,-51,33,-11
54,-63,-1,-95,-55
-23,30,68,-100,84
-38,85,-74,96,-86
20,-13,-74,-38,-46
59,31,55,-99,-80
99,10,-49,-34,26
-21,-14,-28,35,39
-43,-9,-54,41,-35
-32,-78,-100,-91,-35
80,-82,-98,86,97
43,-88,-21,42,-94
-45,80,49,-60,-40
26,-5,-38,-75,-61
-81,30,71,99,81
-47,45,-43,2,-51
