column0,column1,column2,column3,column4
15,82,80,22,32
26,74,10,-37,35
-20,-96,-44,31,-13
73,-52,4,56,42
-5,-26,-42,-65,72
27,-1,17,-30,-83
20,0,-30,-3,-30
59,89,69,100,-14
86,-42,-61,78,-20
10,85,-66,41,67
5,-96,-82,94,15
-42,-92,63,44,21
15,17,-72,7,-88
100,-93,-67,-70,67
-89,12,-13,60,-21
1,0,-97,18,-72
-10,61,23,43,-91
-54,18,-69,-36,70
80,89,14,-67,63
30,-68,-12,-50,64
100,-14,-24,84,42
-100,65,67,-92,-93
-65,3,-13,-73,-77
15,74,-82,84,79
70,32,68,-31,-7
59,8,49,-95,-47
21,-56,69,-28,-75
12,-76,-64,28,31
-68,59,-53,-95,21
-30,24,-16,-61,14
-6,22,-20,94,-14
51,89,-69,-72,-21
70,89,-60,58,6
-62,73,-32,87,42
-85,-21,78,5,9
-96,-21,-2,24,11
-89,38,93,-16,91
20,97,-76,-41,91
-14,-64,-33,22,-43
12,14,78,1,-15
98,72,-95,23,86
55,1,80,-60,-53
-25,-21,61,23,66
95,-55,72,100,-7
35,-86,46,-93,86
-81,-12,-61,98,91
-76,82,15,91,53
-70,-8,-43,-69,-57
45,-26,-90,-11,-56
-66,-60,92,89,-49
-34,-81,-22,46,-49
-32,95,-92,87,-35
35,-62,39,-51,50
95,39,40,-83,-89
70,-48,14,52,98
-33,-38,-3,-70,70
-62,8,-92,-52,77
-100,-79,47,-88,77
-100,15,3,76,-44
45,99,-89,39,-53
10,-82,26,-55,-31
9,29,-61,-81,14
-75,17,-93,89,77
-80,65,44,-44,16
20,-63,-83,-12,72
30,80,-61,97,58
35,38,35,-53,-5
33,36,5,10,-77
20,-79,-19,-96,7
-47,26,65,-49,63
50,-82,-38,81,73
-51,-91,10,-10,-7
-65,1,69,-67,-64
-96,-41,-46,-100,11
-32,72,34,38,-68
-99,72,20,3,91
85,-26,-44,100,-31
-5,63,89,-73,-96
-55,0,-89,-7,-4
35,15,22,69,65
5,-6,81,-37,9
61,83,23,63,-56
4,46,87,55,3
100,82,-69,-40,-1
-75,-27,70,-87,53
35,21,-66,-85,-78
76,27,3,69,-49
40,-44,-95,-88,-34
29,-66,-31,61,-21
59,63,-94,-35,21
80,-65,30,-21,70
-4,-14,2,11,35
80,61,54,-70,92
-55,64,70,0,3
-86,-21,-81,13,13
57,66,95,1,-52
35,-100,93,-69,47
-66,-46,-30,87,-7
-80,-12,27,-90,51
-10,-45,-50,36,16
9,30,-19,-19,8
-35,72,-29,-41,69
3,-53,-83,86,34
71,-51,27,-7,42
78,61,16,-18,-14
-95,-74,100,-16,-29
-15,67,82,7,-44
-32,-29,-93,49,-70
95,9,-94,1,-57
85,-86,-57,73,79
-15,65,-13,-12,-27
36,-4,-97,-84,81
20,60,-41,48,0
49,-4,81,-54,49
20,23,-28,-26,-68
9,78,24,3,63
20,72,-13,83,92
-15,-38,-98,17,17
16,-15,13,33,-70
-19,28,-33,-5,-49
-57,-59,29,-80,-19
75,42,91,38,-65
-30,6,64,-50,-74
-86,-89,-2,-77,3
95,42,-98,98,-68
0,66,-57,62,51
-75,22,48,-35,46
-25,28,96,-57,-85
-20,-77,100,-73,10
-98,-68,39,58,34
47,37,94,-19,89
-45,39,100,89,89
-84,-10,-41,73,-71
-73,57,74,-74,-91
-46,87,47,18,-22
-76,4,94,91,0
-70,96,-11,-52,-62
-48,-57,-63,-60,70
-10,-80,34,9,-48
60,-75,-45,89,-3
65,88,-38,-92,33
40,25,-63,90,48
100,-5,-87,4,74
-10,-21,93,17,81
-11,31,42,86,70
92,68,23,-36,55
15,-83,-29,-100,80
-63,-32,37,-29,28
41,-87,-69,-55,-12
-70,1,-99,73,-53
14,-51,28,56,49
1,9,77,33,-61
54,-42,12,-31,-21
-94,-62,-15,-65,-75
-56,-50,51,84,-16
72,-30,92,74,35
-85,-51,18,68,43
70,71,-97,30,-26
-75,-37,65,33,-87
35,8,56,-47,49
5,34,-83,-55,-85
55,-13,54,97,-56
-49,9,-79,46,35
70,-45,58,-2,2
-90,-90,-24,36,-26
27,-92,45,-96,-35
-30,39,22,-2,12
55,-22,-40,62,94
35,22,97,17,-26
-32,-19,-76,-4,1
35,8,4,-35,63
80,-66,9,-49,15
15,73,-32,-91,-28
-1,-28,99,-66,-43
-48,14,-68,61,-98
-32,60,-16,-48,14
70,-74,-22,-70,-47
-55,36,-57,-84,-54
-5,-7,36,-8,56
-18,1,-91,98,35
-25,42,22,89,75
12,-97,54,23,5
65,14,63,96,-13
97,71,37,36,99
85,-99,93,-19,13
20,65,-6,78,52
-30,-53,-27,30,7
-10,3,-53,-17,59
55,-62,15,-8,20
-55,50,45,31,36
75,31,-25,13,-84
75,-10,-81,-98,81
5,-37,-45,23,-51
-70,-96,42,-45,81
-85,-36,-50,4,39
70,-42,5,76,15
52,81,97,-1,-98
39,16,92,-69,0
100,26,35,13,-67
0,32,49,-3,-81
-60,51,-23,-46,45
-10,41,49,-33,7
80,-1,83,2,-84
-77,93,-75,73,42
50,64,-24,48,59
-93,80,42,89,13
-5,-17,54,-88,-64
93,70,-30,-19,28
90,51,52,-35,41
96,-35,72,-28,-70
88,-92,-76,-92,14
25,56,69,18,36
35,84,-93,39,-74
53,-97,81,-23,49
-84,98,-12,79,91
-9,63,-34,94,63
53,-44,-74,43,-28
-13,-20,-34,63,-98
-66,88,-53,-62,75
-50,100,73,-86,-16
-93,39,-48,-77,28
-70,32,32,-46,-22
-11,-74,67,-67,91
-10,47,41,59,-35
100,4,54,-89,-83
58,70,-72,-94,56
-100,94,23,-14,-75
87,20,-60,57,56
-75,40,-6,-79,38
-65,67,-94,-12,16
45,9,95,55,13
-75,-59,-74,-60,-27
80,-42,-94,77,75
-5,-11,-86,-86,29
-56,-72,24,12,56
99,-49,10,-70,63
91,1,-19,97,98
-35,72,79,23,16
-55,-40,-33,-8,50
75,97,25,-44,20
-6,87,55,88,-56
100,-67,3,-88,-90
-91,87,-48,11,56
-100,15,43,-64,-42
-40,12,1,18,76
59,4,64,10,70
-65,89,-28,72,-70
-55,-74,68,-40,7
-73,-86,-20,91,-91
-12,38,13,-26,-84
60,100,66,-100,-12
73,46,-28,89,93
65,-93,-64,-25,-77
50,-78,-76,56,94
0,70,35,31,73
93,39,70,-70,63
-7,-60,27,51,-91
39,76,-16,66,42
40,-40,-32,76,80
-96,40,-87,28,-42
39,19,-10,-32,7
-60,-1,-45,72,73
-45,82,27,-2,-11
-11,-43,7,-31,-70
-73,93,-72,86,-72
48,42,36,-100,32
49,-57,-43,46,-63
1,-44,-57,78,7
79,-91,-89,-89,8
-20,86,-34,-33,10
-68,50,90,-32,-54
60,-89,-69,-73,-73
95,-11,29,-46,-21
-30,-93,-33,-14,82
-47,20,75,-63,56
26,-92,8,2,-98
-36,-86,81,96,-49
65,-69,-44,9,64
-79,-45,39,-41,70
20,57,32,-80,80
74,69,-8,-61,-21
-65,-41,73,16,-41
60,31,99,50,-74
-45,36,-25,-47,-19
22,45,35,57,-7
23,-43,39,-23,55
-60,-21,-80,60,22
65,0,-12,-25,4
-3,-34,8,60,-14
-45,-42,-31,-32,-56
-77,33,-77,73,-40
21,21,-19,-58,-7
57,54,-33,-75,0
-45,-94,70,-13,76
-62,60,-96,76,-5
30,25,57,26,35
-36,95,-87,21,95
-20,-67,-41,25,-55
25,58,77,14,0
40,-46,12,25,-47
-65,45,-88,15,96
98,-29,92,32,36
94,11,-10,37,-77
-30,74,-19,-67,9
-77,22,-34,-42,-14
-79,1,-44,-76,8
-53,20,-94,61,62
-15,-19,69,-34,46
98,53,55,-40,84
-88,-9,36,-86,-98
47,-48,-7,-80,-93
-100,-97,99,48,100
23,32,48,5,56
-33,48,-88,54,24
-65,-14,-64,-83,-93
39,-95,-83,50,-42
-16,23,-18,-9,-15
-5,-88,92,18,-52
90,61,69,100,67
30,-46,-87,60,47
-61,-59,53,-14,29
25,95,-72,-94,-32
-61,-10,-12,-63,20
46,69,-43,-49,6
-9,-22,-42,66,21
85,-28,-72,-9,15
-15,9,100,-28,-78
63,-65,48,-93,72
83,59,-65,-96,-97
-6,-11,43,-46,98
60,-99,-43,76,19
66,-46,48,-95,-77
-100,82,-39,82,-87
40,-85,-56,14,-21
-90,-3,-69,-38,-10
11,-16,-57,-3,-33
-35,-62,-23,50,57
-32,24,-36,51,-70
68,-54,17,16,-7
-100,-100,43,-94,-52
-29,-46,56,-23,12
-94,26,-7,9,17
-60,67,-1,-22,67
-21,-97,-87,55,9
100,-68,73,24,-3
100,-62,-71,68,48
25,-56,66,25,27
45,-18,24,-89,-68
30,87,-55,-40,-21
0,-35,95,88,51
-5,45,98,-46,41
-66,19,59,-60,-14
-7,59,84,82,-39
-60,-49,82,-39,73
43,-65,-91,-34,35
-70,-93,-91,-87,-64
93,-2,44,-47,73
35,-97,18,47,-10
-40,-46,93,-84,-40
20,-20,81,84,32
-12,75,54,95,-14
-42,60,-79,-37,55
-50,-94,56,15,24
