column0,column1,column2,column3,column4
35,-6,44,30,83
-71,-7,38,33,-51
-57,26,38,-41,42
55,3,30,-44,-15
-50,-67,53,51,-91
37,35,-46,86,-76
65,-73,-19,-1,-14
10,-68,88,-50,64
-70,-98,37,22,-17
40,68,26,43,-73
45,22,75,-76,-94
50,-89,-86,25,-3
-60,-34,18,-37,31
85,52,3,2,20
-34,35,-50,-41,26
16,69,-61,-45,-21
-5,-96,-8,78,35
33,-58,-54,38,83
5,-34,-54,75,67
30,0,85,87,3
-71,-20,-49,54,59
-20,-87,49,-47,-51
-20,9,-68,87,-40
-63,49,99,39,-82
50,-75,63,-26,-21
35,-99,-79,-9,5
50,65,71,70,29
-55,77,39,25,-48
65,-65,-10,21,-13
75,-71,-94,16,-28
-100,73,-22,42,-36
15,37,-50,34,21
-32,-54,43,21,-27
95,-89,25,71,29
-51,1,-30,40,-27
-25,5,-16,75,-40
-70,-26,-72,-24,-69
70,65,89,93,4
-47,78,-83,37,-9
73,44,-9,38,80
54,95,53,33,-13
75,42,-83,-66,25
94,49,-6,46,-33
-10,4,-43,-4,-26
92,-60,-50,35,-48
55,50,-79,18,-20
69,63,92,-75,-98
-28,-16,-25,31,-2
15,12,33,-10,-24
15,63,-25,89,54
85,-93,-60,-20,48
-12,1,30,90,67
45,-90,-98,69,97
56,-58,18,-15,-70
-78,-69,25,-38,-34
-65,69,40,14,81
-56,-66,-76,37,95
-37,-53,-95,30,10
-10,-98,-26,-5,23
35,35,-59,79,24
35,78,68,-46,-49
5,-69,-87,-15,-10
-100,48,-90,-61,51
-70,-99,-30,60,-55
-85,-52,-89,11,-79
-35,-78,2,-72,-58
-36,-81,21,31,73
-94,-83,-20,49,29
-37,91,24,64,37
-12,55,-14,30,67
13,59,-61,-48,-30
25,-1,-39,72,49
61,69,77,-2,-27
-90,3,14,-52,-26
-3,-40,-99,34,-57
42,38,8,37,-72
20,-66,-90,92,-48
-26,0,35,31,-80
68,55,-39,30,-47
40,15,-20,4,50
-95,-43,-80,-6,-46
-64,36,-59,41,90
19,71,37,30,29
39,69,61,35,-47
9,-51,-69,-56,78
14,-89,84,-19,-86
20,81,-55,36,-7
55,95,94,39,-13
-43,77,0,-34,-71
-54,-2,-100,34,-3
95,73,15,-35,100
-20,51,-15,-51,10
-81,44,-34,55,8
10,-38,47,-78,-93
80,-84,49,63,-30
66,16,0,-22,-86
80,-17,39,92,-70
0,-6,-34,60,-84
82,77,-40,67,-34
50,37,-33,20,10
-35,69,-83,67,-65
-81,17,-27,40,-5
95,-37,66,-36,42
100,45,-87,92,-19
30,64,43,-5,37
-25,17,-60,45,-12
-35,22,46,-62,-35
53,-54,-92,25,-66
-37,-60,-32,17,89
16,79,2,35,49
33,-47,32,44,-28
73,-2,-56,-2,51
-25,50,-9,-3,-11
30,-51,78,65,-73
100,-93,33,-73,25
62,76,96,9,-4
70,-38,19,17,93
37,-47,39,-66,90
85,7,-61,1,-90
84,55,89,68,21
10,8,68,56,44
0,91,77,-47,-28
16,-44,48,-57,-45
-25,72,48,-76,56
-35,48,-31,29,-64
93,56,-2,94,99
25,-44,19,90,2
95,5,-33,-5,82
-12,13,66,32,-25
-28,40,-9,34,-29
95,78,-84,-55,52
-40,-99,68,-38,71
75,72,-66,-59,-31
50,51,59,23,22
-85,-7,39,60,23
-100,-68,-90,-50,36
65,98,88,-2,-69
52,-80,-46,-81,-76
55,73,79,34,-21
-55,-6,44,-32,3
65,60,41,19,33
63,5,3,-83,-6
25,33,-51,62,-4
-70,71,77,-47,16
-71,-84,63,53,19
-83,-15,-17,-6,-10
-15,69,-85,-6,-47
-80,-89,-8,-92,82
69,49,1,-13,-7
86,-41,87,32,-45
76,-37,-25,-88,25
-90,-70,18,95,-83
-4,48,-78,-40,-4
25,-62,-79,93,42
35,-60,-60,58,-69
70,74,99,46,14
-100,92,-61,-92,22
35,-91,67,-27,44
-60,48,61,33,-76
-15,78,-72,-55,-37
-18,-50,16,40,-55
-22,15,-40,29,36
-85,-65,-64,-24,-13
-10,-12,1,10,54
-36,55,-53,0,-32
-92,84,63,78,-48
-40,-23,2,-94,-12
-7,-34,74,41,93
20,-88,-66,-34,-56
-79,94,-4,35,-6
80,-44,-16,-45,-61
-21,81,34,-92,-69
5,-74,56,-78,88
2,-53,-21,16,12
-60,-30,36,-93,-95
-50,46,74,17,10
100,34,-48,-30,72
16,94,-86,39,19
10,74,87,51,-28
85,-55,-25,-30,-58
3,40,14,-33,-56
47,-21,56,77,-100
-85,-40,35,-52,18
-90,41,50,-26,42
5,-84,57,-39,-49
-28,-69,52,-62,70
55,83,41,40,-27
90,-4,58,92,-39
33,17,65,14,-34
-78,-1,-9,33,38
-75,69,59,26,-73
-10,33,22,-48,-63
-74,59,10,-31,87
-32,-29,-88,27,-50
-70,-35,56,-58,-85
15,-82,-12,69,-30
75,66,-11,-40,-34
-25,65,62,86,-7
-56,86,-18,41,-40
-60,91,20,-83,-75
58,8,-21,36,-54
-40,-16,-34,-57,-54
92,22,65,-23,-70
-70,-42,98,83,-20
-10,86,83,-42,34
23,-43,-47,35,-100
-70,13,-64,47,-20
5,-62,33,-85,47
-40,-95,5,63,59
49,-100,-47,-96,21
3,51,25,37,73
-39,-97,-30,-72,49
10,-15,57,54,-16
86,-57,-3,34,18
-38,95,-34,-56,-92
-75,30,12,-60,45
-20,-75,-21,-45,81
-3,-48,2,37,61
27,-54,89,31,15
-24,2,-30,18,55
-16,33,-76,37,46
-85,-70,77,96,-9
87,-64,-9,-14,18
-42,-12,31,59,37
22,-13,48,34,99
-100,44,4,-11,-26
-83,72,27,32,-14
0,-97,85,47,-85
20,-72,92,84,-18
-99,-34,-80,63,-62
65,-74,-91,-58,48
-63,-78,59,-41,-32
28,89,64,36,-4
-70,39,-13,27,-35
-92,50,-1,41,46
35,95,-96,-37,-25
-79,94,34,17,-46
-88,-27,-71,-36,47
-75,62,89,-13,-34
0,15,-13,-33,-76
-21,51,-3,33,95
43,69,6,35,7
75,-66,79,-81,71
69,2,-31,31,44
35,-85,-73,-18,58
-100,-77,30,17,-97
59,20,-33,40,71
-55,-85,19,100,65
-55,-15,31,0,19
-95,68,56,-12,-86
-60,-67,60,-14,-89
14,93,-9,-50,9
15,-35,-45,83,34
-82,-95,41,-4,-98
-85,-78,50,58,71
43,77,100,33,21
-60,-65,22,68,-19
-54,-3,22,4,-89
55,-68,-78,17,-99
95,-33,-46,-30,79
89,69,-85,37,53
6,45,-56,66,67
64,22,-39,-36,-4
-84,-11,-75,34,-23
-49,-2,-24,32,-99
80,77,12,-37,41
-23,94,61,35,-32
0,-97,83,-1,73
30,-63,75,82,27
78,60,46,-76,-17
85,-31,-22,16,46
-90,-47,-96,7,54
-42,-83,1,-62,59
-40,53,-97,-63,30
-100,-18,-17,-8,97
-60,-37,44,33,-91
17,-94,-96,39,-63
41,-41,-67,68,-50
1,24,-81,-30,-76
-50,49,62,-10,71
-38,-23,32,73,78
27,4,70,5,44
-15,-19,-90,56,-72
91,-84,-42,-47,9
-75,36,82,66,73
-9,28,-94,16,8
-25,-7,-57,94,-51
-57,-71,-94,-2,38
-26,54,-12,65,38
-60,5,-88,-23,-93
55,26,-55,-83,-20
-100,87,-17,-4,-40
88,9,-47,37,38
47,-28,-70,-16,98
-94,66,14,39,-98
-25,-60,11,35,-98
75,-38,95,70,10
26,-85,95,41,43
43,-8,-72,35,-31
53,12,-48,28,-26
28,29,54,-85,42
-45,-9,78,79,-17
-54,-89,97,-100,60
75,66,12,-28,66
70,55,-86,49,8
-20,71,-40,-62,-65
-100,83,-90,-22,5
50,85,-49,-1,53
60,-57,-81,9,57
66,-30,-13,-35,63
-39,-37,69,-8,-74
35,-81,-45,-23,-74
35,-64,-1,-26,-48
70,90,-65,-11,-54
55,59,-83,99,-79
-100,-82,-49,4,-16
-90,21,84,46,49
48,-84,-44,-78,20
90,-18,81,2,-61
-25,4,28,21,-68
55,78,-67,43,-52
22,35,88,41,0
-50,5,-41,24,14
-24,34,-6,-4,-34
75,47,-80,49,-79
-49,-45,-62,36,-63
75,71,98,-1,100
-80,16,-43,63,-37
-60,73,2,-33,-38
70,1,-97,92,67
10,-67,-73,65,59
-30,48,78,-94,-54
-50,-14,15,-7,-22
-5,49,-59,52,-1
14,52,-100,18,31
-15,97,81,-75,-65
87,74,68,0,5
-75,0,-24,76,-52
-5,22,-47,43,34
3,51,-19,83,34
-43,-96,75,-64,7
-24,-43,51,-91,-90
100,-89,-16,4,-4
77,-68,97,40,-54
-4,41,92,11,-75
-15,-63,46,-29,99
92,-8,55,-46,84
15,-88,-100,26,72
-40,-53,46,46,70
5,-39,62,77,45
25,49,-69,54,53
10,29,71,80,-73
-18,-8,6,93,-90
-5,42,-75,-91,-33
25,76,-56,-37,-61
-80,52,-34,-94,37
-25,59,86,18,50
10,-13,-68,-76,-39
80,62,-14,-24,-4
-92,9,35,35,4
-80,-56,-51,28,-63
-40,-40,53,15,93
50,40,-19,-75,51
52,-20,100,-17,-58
57,15,-78,64,-69
52,89,-54,-9,99
63,-10,71,7,34
-75,-34,-2,-43,14
21,37,85,87,-82
-11,16,63,40,1
64,43,1,39,14
25,32,-49,-36,11
68,-33,81,41,-47
85,-66,-33,43,0
85,-86,-25,57,-62
49,-87,-58,25,-45
15,-50,27,-91,-6
-65,27,-11,85,87
-8,-46,-13,-39,47
44,-50,-92,32,100
-100,93,-74,-89,78
-77,63,-16,39,-55
-28,72,34,0,-20
-30,-59,-44,-70,-68
76,-8,-41,-49,-33
80,-41,9,60,-98
10,-86,75,58,-44
-55,36,-56,-85,-61
26,12,-13,44,71
-60,12,-66,83,-66
55,56,-3,82,-83
10,7,-54,-24,51
-57,-69,73,-68,19
60,71,-86,24,56
-4,-78,-24,35,11
