column0,column1,column2,column3,column4
-90,80,10,35,4
48,66,-43,41,25
-19,-56,65,87,78
-88,12,64,34,-83
86,68,70,78,-79
92,-75,85,-59,21
-68,73,92,33,78
55,-57,67,93,49
-44,-69,72,-77,66
-63,45,74,-20,70
-48,-25,38,-81,89
34,-22,-44,50,34
-11,22,93,-11,14
45,22,74,-84,-66
-39,55,62,20,-7
16,50,-22,-6,-84
-2,-81,90,8,93
-97,-42,68,50,-33
71,-18,67,35,36
98,-17,79,-14,23
60,22,62,-21,79
21,-40,88,-30,-9
-100,59,62,-72,22
65,53,16,31,-51
-83,-26,99,-90,-39
-37,65,73,-49,-63
33,-74,68,-60,92
14,-52,63,48,-79
-77,57,86,27,9
-54,57,67,-11,7
-84,4,8,-68,31
-78,-89,65,94,63
80,-12,95,89,66
24,-32,75,-19,95
86,-90,62,91,-24
100,-1,82,-51,-56
18,6,69,-34,49
70,7,81,-88,37
-35,-51,85,-97,36
29,57,61,85,85
8,-9,-32,40,12
58,-46,-64,16,-46
44,-39,-23,23,40
81,-75,92,93,-82
-46,74,70,90,-90
79,12,76,18,76
8,-55,-14,-85,-94
-11,3,-43,78,1
-64,-18,66,53,-32
98,-55,81,-36,33
-1,68,99,-95,56
13,64,91,-60,15
11,65,41,40,-57
67,-65,90,-81,-85
-33,91,81,25,58
24,-25,95,70,23
72,-15,89,-89,-86
23,73,65,-12,100
3,43,73,-93,-27
-71,-19,24,41,-19
77,-85,69,-22,18
93,-45,-95,-72,-74
-42,10,91,-69,-74
-72,-37,-42,-87,66
15,87,-71,36,100
-94,-95,45,38,-13
-85,-79,90,-77,-88
42,23,97,32,-66
-64,-43,73,-96,66
98,50,98,-41,72
91,-98,72,63,8
61,1,92,-24,-86
99,-42,92,86,0
3,19,27,59,-39
25,87,40,-21,95
14,-70,71,-33,-94
-98,7,-50,64,38
-72,-100,90,81,-68
2,-58,89,37,37
-88,83,93,-56,-96
94,45,-50,83,10
-54,98,94,91,13
1,-29,-33,-77,96
88,-38,63,58,93
62,10,-8,40,-76
41,98,75,-95,65
-1,70,91,69,-37
-80,-25,65,89,46
40,-90,-7,62,-3
-30,-23,77,9,91
-30,-92,70,93,-14
5,-15,68,-11,10
-67,82,-99,-83,76
55,-11,65,40,-43
-16,-96,62,-89,12
-24,-15,88,75,92
-90,77,27,37,-99
11,58,-16,32,-39
40,-57,100,-21,-38
51,-23,69,61,85
-14,-70,-50,32,72
79,-89,79,93,-40
-10,88,73,-32,-5
-61,8,66,54,-74
20,-53,-69,37,10
-9,-92,87,99,85
-96,76,16,100,-20
-45,-16,63,-16,-55
-22,-65,78,55,-8
-72,81,39,52,-84
-21,0,69,26,-74
-9,16,100,-78,-12
8,41,97,-91,-54
-49,-27,66,-99,52
14,-3,85,-47,-95
-15,-17,86,98,-82
72,62,75,74,84
85,21,75,-77,45
-14,-52,-55,-61,-6
31,88,70,35,-47
-68,-63,77,-20,83
-82,-14,93,10,-94
92,48,-42,-16,2
59,21,44,-11,76
59,24,75,-41,-20
32,-78,-34,33,-22
-18,20,81,3,-51
19,-77,12,-47,-78
16,-1,81,-4,86
-31,64,75,-34,93
39,53,62,-20,70
-88,47,79,-53,-73
-80,27,-93,-35,30
3,100,95,-34,84
43,38,42,24,88
52,94,-71,86,-30
-32,87,66,71,-38
99,-8,4,-70,-42
53,100,67,18,18
-90,16,98,69,-95
-44,-98,88,88,-49
-99,-14,45,31,-48
-18,34,-41,32,11
-21,99,74,-54,-46
-86,-16,-39,-92,-54
24,-36,-42,35,-74
-3,-25,95,19,93
-67,14,70,-30,-54
-49,-15,89,-51,-44
94,-33,75,60,-89
19,-12,-27,-97,-11
68,-17,97,32,-9
-100,-41,87,81,50
-86,87,18,39,74
44,96,-94,81,-8
33,47,61,-67,85
-47,-84,18,33,-47
-13,-81,-1,33,-52
86,76,63,69,-77
-22,39,77,-99,79
-92,47,89,-85,-17
0,71,-77,60,76
-78,-98,69,6,9
26,-95,66,-99,-17
-57,-37,65,97,54
-72,53,-33,65,-87
66,22,57,32,68
-95,-73,61,66,-80
25,-47,81,12,46
25,-36,98,71,22
36,10,98,87,92
89,-83,43,37,-50
-87,41,37,1,14
60,-65,60,34,-1
36,-99,85,43,39
-13,-33,92,-37,-54
-40,-31,-47,41,19
7,-67,73,-28,54
-79,23,93,-43,45
-20,96,89,-67,100
-60,-40,-73,74,-9
-78,-87,-64,41,12
62,-82,63,46,11
-19,-89,90,-24,-71
82,48,62,9,65
-72,-55,87,5,-25
77,-71,73,56,-88
92,34,-69,-7,-88
30,61,86,-84,-7
-86,91,99,78,100
22,-35,80,58,9
-6,-37,75,57,77
-31,-25,82,-24,-95
-86,62,71,-30,-78
-38,32,91,73,3
57,-95,-32,27,99
-84,-44,73,-30,-6
-69,20,-40,79,-25
31,97,64,-58,100
93,-37,92,6,1
25,57,36,-77,42
-77,76,98,-2,80
97,-15,81,-39,77
71,-84,23,35,97
-55,-59,82,23,80
67,-70,61,-72,90
38,16,-40,37,73
76,65,95,18,57
-95,21,79,-56,-78
-11,-53,86,-26,-9
-99,72,97,54,54
-91,9,100,-41,-79
-8,22,76,2,-1
-33,44,78,-94,-30
20,28,-77,33,4
-31,-35,90,-23,63
63,79,98,-16,-28
-46,-45,63,-13,-10
-51,-95,69,-33,28
-25,82,95,2,-95
-46,-83,80,-18,72
92,51,-79,21,-12
10,-72,69,10,-72
-85,61,71,-9,62
90,59,-89,31,-26
-29,-44,90,-21,99
90,-21,-90,31,36
58,94,-60,-17,57
-37,33,-81,-66,88
85,-95,-40,10,27
-9,15,83,-78,-94
9,2,91,-96,-49
0,51,81,-100,-87
67,-74,94,14,93
91,25,78,96,31
-59,72,77,79,-90
9,-40,66,-25,86
84,0,88,88,-44
-66,97,-62,-38,39
-72,-29,27,93,3
39,19,75,57,0
93,16,3,33,8
16,67,-47,-54,-53
58,62,-21,-23,-91
86,5,75,-28,-70
18,41,-86,66,14
64,35,87,24,79
23,-65,99,-24,20
-45,-78,67,-76,-21
-40,-7,65,-70,73
-74,-17,76,-46,57
63,86,82,81,-89
84,90,50,40,51
-36,42,27,15,12
52,-51,79,3,-9
2,-53,75,65,-39
-15,-3,89,20,73
95,28,-97,27,100
-99,-86,65,15,-59
-40,74,31,-90,-7
21,9,86,1,-91
82,-46,30,32,-8
51,92,81,32,45
-35,85,31,63,26
-34,-80,62,83,56
34,83,67,-84,73
42,-71,95,-87,16
-29,-41,12,-58,86
66,-65,84,-36,57
22,2,66,-91,37
93,-95,66,63,26
37,40,-41,38,73
100,42,71,17,38
-77,51,83,-98,-4
83,-2,65,64,-85
63,-57,-95,34,0
-56,36,93,-49,46
53,-1,93,-86,2
16,1,-22,88,9
-56,63,63,-34,87
-78,90,-78,-7,-51
-12,-29,66,61,-20
-96,42,96,39,85
-67,-99,77,69,-2
85,-96,79,22,64
-72,-24,11,-94,-23
93,92,86,40,-59
-55,95,65,-96,82
-4,-23,92,1,-13
-16,-74,85,61,11
36,78,-73,-100,28
-80,-3,93,3,-29
-14,21,98,66,24
-21,-18,-92,-73,17
-82,-18,68,-12,100
-13,35,66,40,92
-93,99,74,85,-22
24,14,84,5,-89
-72,60,-54,30,38
81,16,-84,26,-5
32,-75,68,6,77
-32,41,-6,-65,74
-92,67,-62,63,-63
-40,9,91,-61,32
-29,-88,94,27,-44
-73,-37,-90,38,90
-24,-75,64,-5,-99
33,-68,74,69,-100
-93,-85,-46,-50,-18
58,-41,-32,-16,50
-72,99,94,-93,-15
11,20,64,31,16
-61,-22,69,2,14
45,27,62,63,-95
8,-99,66,-19,-1
-80,-51,88,58,-20
85,66,-90,81,41
-87,84,94,-38,-85
-80,0,74,62,-89
-16,72,96,14,94
33,45,90,-28,80
73,73,82,-35,69
-38,-20,79,9,-66
-79,80,91,-48,8
-68,72,-12,91,-31
23,84,73,58,-64
51,-65,70,-67,19
1,-28,-77,-65,56
36,-89,-46,-50,-93
16,35,93,9,-68
-42,24,93,-47,-91
70,36,96,1,22
14,9,25,41,-97
43,-97,98,-94,-90
-67,84,-56,-15,70
54,6,75,66,27
1,60,-12,38,-3
-93,-47,73,7,53
-100,-31,77,0,98
77,56,-67,37,-46
-64,-47,88,-9,30
65,-66,64,-76,-1
87,-75,-7,-90,59
-88,77,90,71,49
-98,-95,43,-35,84
27,-88,87,99,46
71,31,78,-10,-41
-44,-26,62,-65,-26
6,41,-96,34,42
88,62,71,-71,33
-58,7,66,45,-50
-30,-12,62,28,-90
-34,65,-68,-80,25
-61,32,95,100,48
-14,53,78,88,64
-7,-48,-21,-38,54
-24,81,96,-98,96
98,-70,99,34,18
97,-23,74,-87,-30
-18,-11,46,59,-32
96,48,80,-8,2
-13,26,94,-18,-88
-70,-94,-46,40,6
39,93,73,-64,-61
72,-49,5,30,-95
-80,24,97,27,-89
17,-31,9,-11,-41
80,61,43,26,59
-1,-14,17,-26,34
61,38,93,15,-51
-3,-11,-32,41,-58
42,30,-33,-56,22
-30,69,-83,37,-41
-10,-68,-58,33,-88
-59,61,-47,-14,70
42,28,61,86,77
44,-36,-77,34,57
38,46,94,-49,68
-39,86,64,-47,-70
-74,7,69,-6,81
86,-33,-11,38,-82
-12,-76,98,76,99
-95,62,64,51,13
91,-89,95,76,89
-91,42,63,68,-85
69,-69,-67,-75,-30
41,-28,79,14,54
-35,-97,99,-71,-63
29,17,90,5,-62
74,40,-21,18,34
-63,25,78,33,-99
-42,-51,-70,23,-82
1,66,73,36,-89
-86,32,43,30,45
11,-26,-25,40,-97
-42,-60,97,-7,89
-71,40,100,-84,76
-11,-85,85,22,-77
54,-79,90,63,-70
