column0,column1,column2,column3,column4
95,78,69,38,-3
-99,24,8,-36,27
75,36,-2,-23,-28
-74,-6,93,-66,-53
-14,-16,39,-56,98
-87,25,61,-68,-25
33,-1,81,46,-49
96,88,-68,-50,-64
-41,59,89,-36,71
62,99,97,58,-94
-86,100,67,28,53
-11,68,91,-60,-72
-14,16,32,71,40
44,42,-87,47,-2
39,41,17,25,43
-96,18,45,65,58
-25,94,49,-85,25
-16,30,-60,-94,-32
97,-18,71,-86,-63
-30,-71,68,-83,75
65,26,44,-49,-12
56,45,17,3,-80
-59,-3,70,18,-74
66,49,-37,-2,69
32,-51,94,-60,-71
-92,49,-25,43,-92
-46,44,-92,-98,-59
-30,29,18,47,35
68,22,55,-100,-82
-16,-37,35,-43,81
-84,41,-70,13,-6
-22,-35,82,3,24
30,18,36,-70,50
5,94,98,-72,58
-8,56,69,-45,-8
-45,2,-85,5,-10
-76,35,22,-96,-90
-63,43,-84,95,53
66,26,100,40,82
-48,-13,-9,-64,79
32,80,88,25,-17
-10,15,33,-79,93
-5,91,75,32,84
-6,93,66,-37,9
-89,-3,62,-42,29
94,31,52,79,83
-15,97,87,66,-80
40,41,-90,-8,-56
84,44,-67,-56,-24
45,-8,-25,86,39
71,42,6,80,-27
-29,42,-41,-94,87
-18,17,-17,40,-78
-98,-43,74,12,78
-51,-58,85,0,-18
31,-12,70,56,-50
-71,78,97,50,-86
-72,42,-28,45,98
91,-65,99,62,-13
-31,17,-41,-8,13
-21,9,66,96,-100
-23,35,4,-16,-57
-19,2,31,-25,-18
37,-84,26,75,-28
-49,19,37,48,-100
-16,33,86,-60,95
-18,7,76,79,26
20,31,-7,-72,-49
6,-14,-67,-67,27
82,29,-32,-21,-56
-57,27,-9,83,76
-71,-68,76,94,-51
15,-75,98,73,-46
-73,-48,65,92,-72
78,39,-50,-87,62
93,16,-61,-34,-3
67,-39,65,-23,54
-28,36,50,-33,-5
-100,19,34,31,19
-96,17,0,-10,25
-80,-96,75,79,82
-21,48,-6,-42,40
77,26,0,-94,30
