column0,column1,column2,column3,column4
-99,-96,61,-51,-81
-76,20,-75,99,59
30,-89,-84,-66,-37
100,46,71,-66,65
-62,44,34,81,3
-34,-10,-8,-17,-35
66,-1,-14,-99,-4
-72,-29,38,-21,24
81,-17,-92,36,29
42,91,-32,49,57
31,56,-84,48,-71
6,12,58,-48,91
72,-37,26,74,98
25,-45,-75,77,-17
-35,-83,-17,-75,-8
-21,-91,44,-36,-21
33,36,-38,-96,23
81,-87,-17,9,-90
71,-13,-47,-66,-97
-14,31,85,-58,-2
-73,20,69,-8,81
-39,-75,82,9,28
64,87,-41,31,-37
-82,-50,-91,45,-68
-88,-94,-2,81,23
-53,-33,38,39,26
-44,-33,72,-30,-8
1,36,46,9,24
-30,9,-20,53,73
-3,28,49,24,35
15,-88,-76,75,-19
82,23,3,-72,4
96,32,98,55,98
62,-34,99,99,95
95,100,85,-36,-46
20,17,-42,85,75
36,-71,50,-73,-28
-36,23,-17,-51,-70
-50,-66,67,54,46
-82,20,-38,55,8
49,17,66,-51,59
-98,-3,6,99,91
47,-43,25,67,7
-98,68,-24,87,62
9,24,70,10,-98
-93,81,-88,39,43
71,-100,-50,-67,70
56,21,-42,-70,-49
-19,-11,47,91,68
-86,-97,-70,99,58
-73,-45,39,48,-70
-51,81,-52,23,65
46,51,27,-37,97
-88,57,-37,99,-65
23,49,6,42,-87
56,-12,-86,-39,-50
63,87,-24,-63,-70
-51,42,58,41,-13
-1,-26,59,56,-91
28,-36,-79,78,-81
-94,65,-43,-21,61
67,-73,-46,-91,45
-31,91,-55,93,-34
41,67,29,-64,62
-52,-69,-76,73,-48
-35,-56,2,-51,-78
-52,-54,-94,-51,74
46,23,41,66,-5
94,-86,25,20,-42
9,-72,-30,25,43
-79,-50,-89,30,62
-89,-94,-46,-87,-43
92,-55,32,5,-20
-38,18,50,33,-90
-78,-90,89,21,-81
95,-17,-1,-79,42
-44,-64,4,48,26
85,-10,39,-99,-19
40,31,95,90,82
-96,91,-52,-98,-32
14,25,39,60,67
-51,-5,97,-45,88
-39,-60,66,-87,-39
26,-96,56,93,-75
85,31,-45,54,-72
52,85,-36,51,68
-36,4,-51,100,-53
77,68,93,-39,-6
-87,92,21,25,28
-61,90,-26,-68,28
5,-33,-68,97,-84
5,64,17,85,-1
-89,83,24,-10,-15
-68,-94,-90,-17,49
-54,-82,11,-47,-98
78,-100,-78,43,-84
-37,96,30,51,-9
4,-80,-34,18,60
97,-2,89,-3,23
48,65,30,-100,-7
-92,-77,80,-59,-78
17,-38,-16,-26,-98
-84,-72,64,-99,-57
24,31,37,-87,43
-37,-54,6,-96,-68
-18,-41,0,54,-2
62,64,51,1,-98
-71,5,31,78,61
-26,47,-59,18,-84
53,97,-44,-70,4
76,-94,90,-5,-21
-19,-50,34,-46,95
32,-69,-53,-96,-87
45,-98,-66,-48,89
-19,26,59,-27,41
16,-36,-2,-48,-62
-26,-79,10,-55,40
44,-80,35,90,-47
22,-23,58,30,21
2,5,66,30,-4
-76,-83,-50,-14,-11
-98,-1,33,87,27
33,25,-92,29,-42
-17,-1,-14,69,37
15,13,-87,-68,-91
59,-89,-32,55,30
-55,-75,-22,-26,-91
75,47,-41,27,-38
38,78,28,-49,-81
-97,75,16,94,50
39,-46,-99,-63,66
-21,35,-45,45,-66
-39,29,-31,88,47
83,-76,15,15,28
8,-55,-72,-50,-71
-24,64,-52,-91,72
88,-15,63,30,-48
33,-45,-86,-8,14
-86,54,65,45,-86
88,-2,8,-10,-99
-45,-46,-76,74,-19
64,-43,-28,-20,63
-49,28,-100,-72,96
40,67,37,-96,41
61,-84,78,66,81
52,-2,-40,-68,69
71,-27,60,-26,91
-54,-51,-50,69,64
45,-74,53,99,25
7,78,83,-24,-47
-57,96,96,-30,-83
58,1,88,95,42
-67,-94,-10,-81,62
-58,-60,-99,-72,-99
-27,-10,-45,-55,15
77,-40,-12,-75,48
39,-39,17,72,-100
-87,40,8,0,11
-98,7,-33,-18,32
46,-47,77,39,41
46,-80,11,-34,66
-40,-78,-24,-77,-32
82,-40,23,39,20
-20,97,15,34,51
-37,28,33,65,76
28,27,11,-35,-51
83,45,-50,-61,-42
95,38,-95,-49,-7
-38,-45,97,19,-20
73,87,63,-9,66
-58,-75,-74,-36,8
78,78,20,39,-40
-28,-55,-56,53,-63
90,-29,36,-93,-17
-78,63,-98,6,-35
-24,-75,-81,-66,3
-7,89,94,86,-43
69,84,-48,45,-61
-15,95,6,81,-69
-49,-47,-70,41,-91
7,81,36,-45,96
-1,1,1,83,-33
-74,57,65,-30,-22
-46,88,14,-39,18
66,2,16,21,-57
-17,-11,-37,48,30
27,84,-30,89,56
-61,11,-76,79,-63
14,-49,-37,-66,-99
-66,31,-93,-75,-70
42,49,-31,17,91
-24,-73,16,-81,42
5,-22,88,-97,-83
-19,-21,12,-96,-95
-79,25,67,-74,56
-76,87,-51,-78,93
34,-3,-11,12,-18
85,17,-44,-33,-23
-68,-44,-72,-13,34
81,-93,27,-16,-84
-95,53,16,-37,38
90,48,-53,34,-14
6,92,-62,99,-2
-54,61,-91,-18,63
57,89,-40,7,99
26,10,-22,33,-28
-41,-44,28,-35,-99
-72,-40,-88,69,-89
94,63,66,-72,46
28,3,61,92,-73
-13,13,1,-56,-83
-26,82,-61,58,77
-78,91,60,-87,63
