column0,column1,column2,column3,column4
27,-84,16,25,-21
93,29,30,33,-14
-77,88,96,91,-49
60,89,24,14,-15
44,-69,61,75,70
65,74,-59,79,82
-58,44,80,98,97
91,90,-65,47,34
-80,-100,-99,-49,87
27,82,15,18,-80
79,-86,-50,8,55
-28,78,-63,79,-1
-64,-27,-34,0,63
8,64,79,33,52
87,-93,29,58,-84
-29,-62,-63,-54,63
36,-46,-4,64,38
-64,35,-65,15,86
51,34,-93,45,82
66,89,3,15,71
5,39,44,-89,64
10,30,15,-84,74
15,57,-52,-37,-100
5,29,20,-80,12
2,-91,13,-59,-90
-12,89,50,-28,46
-12,1,43,84,-21
-31,47,-54,-76,-60
97,-70,33,-13,58
-7,-65,-24,50,-14
25,91,62,-69,-93
31,28,-18,13,-53
80,-38,18,21,100
-84,24,-16,-30,3
83,-8,87,-65,95
5,-66,-57,25,-48
-70,49,19,47,-6
84,33,-3,-73,11
68,11,37,-46,-10
54,9,69,-28,-95
-16,-56,62,2,-37
53,5,-20,-59,17
8,-47,-48,-2,-87
-57,-6,-100,-12,-90
-41,50,-65,-15,-95
-94,-18,51,-56,64
-25,-75,-42,93,19
63,-54,-17,-31,-84
-100,68,-81,-34,-84
-6,-97,43,96,10
72,61,29,-1,58
-94,86,94,95,66
-77,58,93,-88,-70
-92,-19,-40,-99,7
-10,-54,-81,-55,-96
-1,39,-14,-1,97
56,-50,-40,10,-35
-93,-81,38,-36,-26
41,59,92,32,-94
-70,7,39,40,-21
-43,-97,39,-73,29
44,-34,56,-8,91
-81,-57,9,-22,-93
32,-42,-24,-57,-62
-9,31,-25,-13,27
88,75,0,53,-92
-44,18,8,-77,-87
19,35,65,4,-85
73,85,13,16,-63
50,12,66,44,50
75,45,47,57,-38
7,-36,-51,70,-22
87,-15,34,-70,-88
51,28,61,18,-68
-31,-75,10,-1,16
83,-38,81,-4,88
62,7,-31,-56,-87
59,-16,-90,-97,-41
82,33,-12,28,28
98,26,19,-59,-4
5,91,-25,-4,-94
-22,47,-19,-42,37
76,18,-30,-9,-19
40,-59,42,4,-28
-24,85,44,-50,24
-45,-15,-70,-95,-9
13,87,-9,64,67
66,-97,87,5,28
41,92,80,97,-63
33,38,-88,0,-33
3,-55,4,33,-80
47,-67,-53,-80,-98
-27,54,39,42,-52
10,18,87,62,28
-19,-61,31,85,-92
-96,-79,-6,82,55
14,41,22,96,-22
6,98,95,66,-26
52,-14,-42,23,-48
-11,-90,-39,38,-82
72,-30,-4,-97,-44
5,-60,-2,-58,-1
23,99,-100,5,100
82,-90,-33,54,-7
16,60,-49,-34,39
-61,21,75,95,-19
87,45,78,79,-78
99,55,63,-5,-13
6,19,28,44,-31
75,37,-2,-69,-5
55,99,0,41,-12
-79,-57,74,-92,-61
68,47,-78,32,-92
18,79,71,56,-10
-38,-1,85,26,-82
81,75,-38,98,-14
-58,78,-50,-8,-49
28,5,-57,89,-29
-94,58,0,6,61
47,-39,59,8,-42
94,-3,-79,-82,77
51,44,-62,-43,-86
-59,-75,76,34,-39
11,63,-82,37,31
25,-25,-27,-54,-94
19,63,38,7,27
-14,85,65,-77,-78
15,12,-12,15,61
65,-50,92,-67,-35
39,-31,-80,-4,-83
80,-46,-35,63,0
73,91,-40,-83,63
66,43,-85,-80,-35
54,-81,61,-46,-82
67,-84,34,-41,34
-51,-47,88,3,-82
-31,9,-2,-70,79
79,19,-97,-17,-36
61,31,-1,29,-67
9,-20,-43,7,-46
-56,49,-35,-39,51
6,-31,-45,-94,24
62,-1,-82,53,-21
-31,65,-75,-49,-5
75,-21,-15,92,41
57,-95,60,6,38
42,-84,-48,-50,-76
26,-77,25,-53,83
90,-79,-49,34,-92
-35,19,30,75,-61
45,55,68,-23,6
49,31,-4,-82,86
19,-24,79,97,-41
74,13,-44,62,55
-37,63,14,56,-61
16,-58,-58,-32,-28
-12,-34,-100,-23,-1
69,10,-44,20,-33
