column0,column1,column2,column3,column4
-69,-67,-51,-63,77
-76,4,-12,-78,92
85,-28,25,19,43
-20,93,60,-41,77
45,96,50,47,75
0,-80,-47,-45,-34
16,-52,74,-97,33
85,80,-16,-28,63
70,-71,43,-87,15
-54,95,-27,87,-3
-82,40,93,38,87
-45,83,72,47,-39
-48,99,-45,15,-35
54,-21,15,-10,-83
-2,87,-67,83,4
24,54,-80,-26,-55
-55,92,-76,-67,83
-9,-87,59,35,-18
-15,-29,18,43,77
28,-61,-3,21,18
35,93,81,9,85
-21,-77,-41,2,65
-8,-40,27,-25,71
73,-90,-46,-27,-88
-24,-8,-94,36,-3
-37,44,96,-66,-8
-1,28,-49,81,42
-80,-22,43,90,-91
-60,14,38,-55,-4
-78,37,-22,40,-62
68,-8,1,-45,16
-40,83,56,-58,12
83,59,30,36,18
71,33,39,39,53
-82,26,-4,16,29
14,-45,-53,-81,77
80,91,94,34,-94
-40,-82,87,-31,93
55,87,44,-34,88
23,-81,-91,-85,-87
68,64,-10,-67,77
23,58,41,63,10
-67,16,10,80,72
-23,-93,-46,63,-26
17,79,22,-33,90
-54,-11,-7,-30,23
-43,-23,89,48,18
-35,30,-53,8,64
7,-80,38,-38,13
21,-5,-14,-25,87
-20,-55,-15,-14,49
-65,72,48,-99,-91
-14,51,-83,33,34
-14,-36,-95,72,58
47,-99,-25,-90,53
48,63,-19,99,69
30,86,-44,67,-95
77,62,-59,89,50
35,9,-89,71,87
-98,-48,77,83,-92
71,30,-55,18,-92
-67,-20,-50,-33,-46
48,-24,62,-57,-1
-88,-78,-50,13,-39
91,66,31,18,-13
2,-49,62,27,-64
27,8,-91,96,-60
97,-26,42,-60,75
-7,-37,90,34,-79
-95,54,77,-94,-70
-19,28,6,38,-52
-75,-9,-17,2,93
15,-81,-21,39,-30
80,-81,-20,-12,37
36,97,30,-69,-66
97,34,58,-85,9
-75,32,75,58,71
8,61,50,30,79
5,29,-81,44,-34
5,-56,-44,-39,14
5,-7,-70,-26,-10
-100,14,-24,47,-56
65,-4,-88,53,-73
97,23,-48,-42,-39
20,-87,4,38,100
-71,71,76,-4,32
32,-12,13,-75,35
-52,7,81,-78,66
99,-83,75,48,22
-80,84,-48,-24,-1
52,-53,54,-16,-36
-64,-97,-94,-57,25
-25,-3,-47,22,-100
-50,-66,6,84,44
-100,91,74,-93,67
24,-48,67,88,-70
5,-16,-74,-4,27
54,-38,80,-24,15
95,-75,23,39,-78
26,69,-24,42,67
11,-65,-31,39,-83
-99,36,66,50,-17
37,-25,-23,-5,46
-29,-87,82,79,-79
10,-19,-42,-64,83
50,-26,39,-65,46
83,71,-94,84,61
-75,-95,-94,43,-58
-35,1,-53,-92,-62
49,45,45,44,-87
-100,-48,-67,-82,-41
85,-6,-63,14,42
-47,-92,36,75,-5
-75,21,66,-92,-46
-66,82,-27,-35,-77
2,-6,-61,-50,-38
61,-54,-72,-18,78
81,-8,-69,24,47
21,-92,-33,-51,71
-95,-65,-65,-31,68
-17,80,5,-24,39
48,86,-75,-12,-17
85,-42,91,71,-18
-78,38,93,6,99
-50,-31,-62,-2,4
75,81,90,-9,-99
30,24,23,-51,30
-74,92,23,-87,11
-10,-81,97,75,80
50,-36,91,74,-79
15,70,24,-72,21
-91,-79,-48,92,-78
-45,20,-83,-9,15
-80,-90,-45,-75,78
-70,-5,-24,36,-64
-77,0,37,95,15
-60,51,67,25,-5
20,70,37,1,-86
17,-70,-61,-24,78
60,70,-68,0,-50
85,87,-26,-18,9
-96,-71,-21,-93,-68
-35,38,-90,91,-34
-12,40,86,7,-53
-81,11,4,-88,59
-91,100,52,-33,73
92,-29,90,21,94
100,-18,-46,-24,98
60,-8,16,-45,30
62,-58,37,-57,-9
-51,62,-85,-82,67
50,-63,-80,86,-80
19,-96,-41,-96,-67
-55,-57,-65,99,47
-68,31,-8,12,-7
-80,30,-29,-27,15
55,-90,100,26,-19
15,-69,77,23,-78
-76,87,47,-24,67
-30,48,-52,-42,15
8,21,-55,65,82
-14,36,68,-42,-75
70,44,-33,63,-56
0,-62,-76,-29,-10
1,57,-23,-75,-27
15,49,17,-99,45
-2,28,79,48,-95
5,23,-22,18,59
30,-65,89,-60,-79
-27,21,-38,-21,60
-41,92,21,-99,-14
81,-85,-77,-90,-53
39,-6,-73,-3,7
-63,31,65,36,95
-25,44,-49,-3,-85
-5,37,-3,-98,7
40,90,95,-22,45
-91,-100,84,14,46
-50,28,46,50,17
-3,-59,-62,-52,38
-3,-96,24,32,-92
57,-39,2,12,74
-75,-56,-85,29,100
47,-62,4,36,37
-83,-10,38,78,48
-89,-79,-54,17,69
2,-15,73,-100,81
56,29,-17,59,-13
-77,91,-72,45,42
-12,74,25,-96,54
5,87,-63,-58,69
-17,-69,-35,76,85
100,-64,59,99,-5
61,-89,18,22,-2
94,-41,90,-5,36
73,-37,79,-47,-35
42,-36,67,-21,13
27,-68,-85,-6,-8
-37,-19,-41,3,4
77,-9,-34,45,57
-21,-77,-91,99,-49
58,-78,-45,-53,64
-59,97,98,75,22
-65,-31,-31,31,70
-10,27,-78,18,-78
-79,72,17,42,82
-70,48,8,-30,21
-22,-16,-5,-98,-83
-95,16,-32,22,-8
8,-46,83,60,25
-33,9,-2,60,-93
86,-64,37,68,-31
15,87,-48,31,-12
-36,15,-31,22,-85
-89,-63,76,84,68
-95,61,-13,-94,-31
-75,-28,-98,67,-13
0,-96,42,79,-84
-27,67,-25,77,71
-12,26,23,75,-88
30,-14,-66,-32,95
-60,19,98,-30,67
-65,-14,17,-21,92
19,13,-41,-78,95
-88,-40,93,-15,-30
-75,41,25,18,17
58,-21,37,-8,-70
-100,-44,-64,71,29
53,-82,8,-45,1
-18,22,92,-92,-75
-79,76,65,66,-79
80,-31,69,68,-79
-71,93,3,-92,-38
76,-71,-29,3,-36
83,-1,30,54,-82
-72,3,44,95,91
71,-87,-34,0,-81
-11,-84,94,9,-30
-100,23,45,41,19
-56,29,93,84,-3
-61,-8,-5,-48,61
98,52,12,-33,-82
39,64,-72,90,-16
-50,-2,-48,23,-53
34,-66,23,0,78
-40,75,68,30,-2
15,-35,-13,30,81
15,-75,-82,3,-60
98,37,46,88,71
87,-86,78,-19,-3
-32,-61,-3,61,11
-24,17,12,36,-20
49,10,-40,13,33
36,-69,-92,36,98
23,100,-51,-93,-62
99,-61,7,87,-95
75,78,95,-100,-83
-5,-73,69,61,-17
94,-25,15,74,-67
-90,96,53,54,-60
17,21,4,60,-27
87,-25,85,-3,66
-68,-76,99,93,5
0,-48,71,-13,-64
72,39,88,25,-99
-54,22,62,27,70
-36,55,44,-18,-80
46,-13,-50,33,-93
75,91,1,-7,52
-72,95,-72,-35,-40
-6,28,-65,-88,29
39,87,91,9,-38
21,14,-47,59,51
55,69,-59,-54,-34
-44,5,1,40,72
82,-83,-68,33,40
71,-53,60,-64,33
-58,-7,28,-78,72
91,-85,-50,-3,9
65,-27,32,-25,97
20,72,64,-56,8
-78,-68,45,-87,61
50,3,3,56,11
-86,-17,35,-6,37
65,-66,54,24,51
85,5,-91,-63,-70
-82,39,58,-21,9
-77,46,99,60,-60
-61,64,43,-3,16
100,-53,38,-51,-65
-80,6,-79,61,27
98,94,98,-6,46
-27,-85,12,89,-83
73,44,73,72,88
37,4,-99,50,-54
6,-73,25,-6,-81
-95,89,-36,-55,83
-33,71,-15,93,87
8,94,75,65,-87
45,79,-53,66,-80
-65,-25,-91,32,100
41,61,-53,-67,-57
69,25,-84,-26,-51
-7,-60,-15,45,-88
7,-67,-1,48,-24
-4,-46,-84,45,-24
-7,-83,1,6,50
75,-96,84,11,-58
31,-72,39,-59,3
42,-46,-96,-24,88
-90,-19,-41,-71,23
-15,-7,34,11,82
-67,-79,-40,-28,96
80,89,62,40,-53
-84,-48,97,63,-48
54,12,3,19,-20
-22,32,87,-43,-86
80,77,35,57,-12
-77,36,92,-39,-62
-2,-87,-39,66,-59
77,-56,-43,21,-46
38,-54,39,-32,45
-5,-100,-76,-24,-93
17,40,-79,84,19
-55,-6,2,-15,-36
60,-1,66,11,-26
-51,-58,-75,-70,-93
59,-40,24,-4,-61
95,33,-82,-2,62
21,-48,-61,-42,-33
18,91,47,-51,-19
96,-99,88,-30,-51
-28,-28,63,12,-64
38,-78,-96,-12,-83
53,-50,15,81,-52
-77,52,6,-99,26
-15,37,20,77,26
-65,9,52,51,-76
-63,60,-96,-18,97
89,-54,59,-3,34
-42,-55,-38,-66,-9
-56,-8,-28,2,-23
-38,-37,-46,58,81
20,3,27,-82,-57
-62,48,-93,18,59
15,-32,-50,-63,83
-99,-78,88,-24,71
91,57,74,-96,-78
29,44,-92,-57,-51
68,-69,76,-73,-50
-59,46,-47,33,-97
90,73,-20,-40,58
-85,-3,-64,-23,-83
-90,-73,-40,-88,-66
-1,61,-33,45,83
-71,-40,92,45,-73
17,19,-86,48,34
41,38,69,-11,90
-39,-24,48,-78,47
-27,27,-32,-84,49
66,-75,48,66,-91
19,85,-92,9,-56
-13,57,30,-12,91
-39,-5,-36,-74,40
-86,57,-80,69,-3
5,56,58,-68,-21
-13,-75,92,-23,5
-65,95,-100,53,90
-70,-53,-67,35,-2
54,-95,92,4,-9
85,86,80,-16,-68
-71,10,-46,60,52
85,-14,-47,-42,43
98,-83,-75,-42,-98
-64,-75,-98,-63,13
-75,3,-37,-97,79
62,1,-24,-81,3
26,93,-94,-75,-39
37,83,-24,-60,74
-39,23,66,52,39
67,43,-95,-45,40
-81,1,-52,-24,-87
78,-87,-79,-46,17
70,-92,-85,-97,60
-65,63,-65,25,9
-22,60,45,64,52
52,31,-46,-30,36
-29,-81,1,67,100
-86,56,51,-93,87
85,-39,64,13,54
61,71,5,-43,14
-37,89,-18,-66,92
-74,-100,-86,-47,-47
62,70,-36,-55,-14
23,99,-68,-66,6
-61,-36,-12,69,-67
-84,50,40,-93,89
-89,-64,-31,-98,47
86,-26,51,-96,-76
15,52,-34,43,-66
-77,87,-25,6,-33
93,-96,92,-86,-38
67,36,11,33,76
85,-14,94,83,50
50,-31,-20,-26,96
-25,-70,40,89,-1
-6,24,-63,-84,-44
0,88,98,62,-79
7,-19,-82,73,-39
-88,-79,83,42,100
-23,34,34,90,-98
60,57,-48,59,-6
69,41,-49,-99,99
62,90,-51,-63,10
90,65,67,-76,-1
-10,16,0,72,-22
29,40,9,65,77
12,56,63,89,46
-14,-80,-70,-93,-76
-75,-49,73,60,43
-2,72,-32,-66,64
66,15,-46,51,-32
24,63,76,68,-2
60,79,-46,-27,-90
94,-87,-54,-3,-50
34,67,-66,55,-31
35,12,13,0,-74
-62,41,-4,57,98
-59,63,-51,-99,-94
-78,81,-27,-42,1
-41,-43,30,37,-29
-28,39,-2,-6,87
82,5,2,63,23
28,-9,-97,-27,-50
-80,79,19,39,-60
53,-29,6,-36,-70
-8,33,46,80,19
61,-94,10,48,-50
-18,71,70,-90,13
39,-71,-97,-55,46
-40,-87,-74,50,-49
32,90,-8,87,42
-75,72,68,65,40
60,-78,46,26,-88
-49,-89,36,-45,-28
-29,90,96,-96,10
-90,-10,75,1,-20
21,-5,19,14,-23
89,30,35,27,53
-81,-41,-74,-9,-35
-64,7,-54,84,21
35,-92,54,39,78
25,-91,-82,-75,-83
68,50,-74,99,-39
-2,63,-16,-42,2
99,-57,16,84,-36
-43,-40,35,-45,35
1,9,59,-3,68
23,-31,90,-28,-31
-95,-76,67,86,-6
-18,30,-2,-48,45
47,81,26,-90,-58
51,45,88,-64,77
-30,-81,22,61,38
94,-28,71,39,2
-47,-57,89,100,-63
59,12,-1,-12,54
-83,8,-60,1,16
30,66,-57,68,2
-31,34,78,-19,53
-68,14,99,-81,82
73,4,97,51,3
64,-50,62,-15,91
-34,-62,-89,-4,-47
89,90,76,-78,86
-74,-29,65,0,68
-99,86,30,15,-33
85,-65,-57,21,-21
65,-40,32,-9,84
-94,7,-32,48,67
-40,79,20,-84,35
58,54,84,69,0
62,-55,56,-45,-27
-43,-94,-36,-7,93
