column0,column1,column2,column3,column4
85,91,-9,-70,-10
-95,17,-69,-75,-4
95,11,89,-88,-36
-83,34,-33,-89,-88
26,74,-54,-68,4
25,0,71,86,74
-20,3,23,-91,-21
-3,52,-100,-43,-2
-15,-97,92,47,12
-48,-11,85,23,37
19,4,-24,79,35
90,-37,-88,86,86
-49,40,20,-37,-50
22,-83,2,-39,62
-84,30,-69,-30,-14
-38,27,-100,-56,-38
48,51,-96,-5,-33
-11,64,89,79,69
9,36,-82,86,-65
53,31,-25,-32,-75
65,28,27,85,22
-54,-57,-13,30,-28
27,5,-98,25,31
-15,-26,89,11,58
-30,61,67,-63,-56
-88,-17,-48,-4,15
63,-81,39,-59,77
52,-18,-13,55,72
-35,-84,-33,93,24
-45,55,88,-76,40
46,71,98,-10,-85
62,46,-39,69,-40
-81,46,-25,-20,-66
0,31,-53,-6,31
44,59,-78,62,-55
17,92,92,-11,0
-84,30,-68,31,-49
-95,-69,-90,27,-64
49,-62,-9,-88,-46
30,91,-31,-61,54
-62,58,-60,96,-4
90,63,-86,-56,-74
-83,37,-60,-19,-99
94,76,80,-21,-38
34,-85,-92,-45,13
35,97,-47,81,-83
-23,81,-67,-86,-37
-91,14,-43,-41,87
52,84,-81,14,-98
-1,20,-67,38,9
-65,71,-50,-62,25
-57,-97,-88,37,-71
-40,-75,37,5,80
-2,86,-18,-48,38
-74,28,1,25,68
-14,99,91,-35,5
90,83,-8,69,43
-35,54,-36,91,35
41,-6,-67,-83,82
57,92,-65,27,3
-64,-85,-90,28,13
68,-1,-36,-63,82
36,-53,-4,74,-6
58,100,-11,-78,98
-11,-98,-30,-80,53
14,70,-98,59,-36
-17,-36,-39,93,-12
62,52,-21,98,-88
-41,-68,-41,51,-82
-61,87,88,20,64
-26,20,-16,-55,-49
-36,79,-99,61,37
-50,-77,35,-59,-29
-72,51,-5,-31,56
69,78,5,6,-58
-84,-5,-30,-57,5
-33,-90,-53,-49,77
-63,-50,37,92,2
-79,16,51,85,64
-98,19,-54,-31,-7
-17,-10,-5,-95,60
27,24,-83,-68,3
0,38,-66,-29,97
-19,-58,-33,-31,37
-97,-76,-32,-61,60
47,-4,45,-29,-95
62,84,-11,27,-59
66,-22,-47,-20,21
26,-23,-49,93,-25
-85,-72,-40,80,-67
75,37,-28,2,46
-66,49,-30,44,36
95,-81,-7,54,-65
70,26,34,-33,-32
29,26,-60,-63,-64
41,-6,-16,-48,73
30,75,61,-34,0
37,-65,-94,-92,1
20,61,-4,76,-46
-38,44,62,-86,7
-25,23,-10,92,-73
-1,-52,98,23,7
70,-62,-52,-2,69
2,60,30,9,-50
68,-88,54,-83,-96
13,-15,63,-1,-81
-20,-21,58,-78,-2
-50,16,-96,-5,-7
15,5,-60,38,85
-50,-43,-38,84,87
-33,-95,-72,38,-68
-93,27,-23,94,-55
72,-4,-50,83,57
96,74,-18,1,-28
-4,24,11,87,-36
-20,-58,-73,65,-9
29,79,-42,-95,80
36,26,-93,21,1
16,-32,-7,-62,92
-17,-8,-83,-95,-56
-63,83,-35,-67,-36
41,54,-78,32,60
91,-30,-19,62,55
-52,0,-2,-93,78
50,-88,79,-34,38
-10,8,-28,-89,-83
-82,54,-69,40,-38
32,-4,-35,37,75
85,-23,4,-83,-85
-61,-26,-91,-35,92
19,52,-3,-45,77
20,-71,-77,-17,47
-56,35,-65,-37,-20
53,23,-31,48,-45
36,86,-77,0,-95
-30,39,-81,-13,-26
-82,53,75,19,23
12,-67,-100,-74,44
-71,15,-73,-69,89
28,-64,-13,-77,84
-43,-54,-14,1,64
-79,-68,-3,18,56
94,-72,64,94,-15
-57,-13,26,-75,56
9,45,-78,94,23
12,20,-100,4,-75
51,-91,-78,-31,71
-59,28,-73,64,77
-33,45,94,47,56
-36,-20,-15,66,-60
-14,-27,-84,39,66
17,-61,-16,74,51
-85,-57,25,-65,-9
-59,-33,-17,80,-16
12,59,-89,35,-22
-99,-23,-40,33,-21
80,-95,91,-28,34
5,36,82,-10,99
64,19,-92,-97,37
50,69,52,65,97
-65,-56,71,97,5
-86,16,-94,-65,-39
-68,-49,-94,-49,73
79,-54,-84,-91,17
82,-95,-59,-81,28
-11,42,-66,-55,-90
-55,85,2,-64,5
-18,100,-43,-98,4
-84,-11,-72,-88,-1
5,-94,-12,97,73
-30,62,-78,79,91
13,73,-68,71,-19
-49,-74,-86,-3,87
74,-7,-74,-46,-56
-38,-64,-72,5,-67
