column0,column1,column2,column3,column4
49,44,93,31,57
-99,-11,-38,-75,52
-37,35,-3,98,52
-96,28,-43,-26,-34
38,-11,-84,88,25
-58,97,35,-44,28
27,38,33,-59,-22
-88,39,72,-97,96
-29,-85,47,-40,-15
85,73,-54,-82,98
-63,-80,-43,60,35
52,48,37,-22,-8
-3,-95,63,51,-70
25,38,22,-67,36
-83,60,96,88,-70
-54,47,-20,-31,-59
11,23,-34,-45,86
51,47,72,2,-79
81,-45,40,84,-14
46,77,-47,-1,95
-94,31,92,99,12
97,-24,49,-43,77
-55,75,-47,99,42
-72,23,-45,40,-91
49,15,6,53,90
91,-24,35,26,-1
39,81,59,32,57
85,52,39,78,-36
-95,36,-32,33,-60
7,-69,-13,-18,9
-53,67,-96,-63,-80
45,28,-18,-34,-32
77,-81,-16,-4,56
39,-26,-85,-22,-28
63,20,-32,85,71
83,33,79,66,45
87,-23,84,-60,45
-49,-65,-38,-16,84
17,94,11,2,-84
-64,7,-83,-5,47
-29,87,-21,5,38
27,-26,1,19,-68
-57,-39,14,32,-21
-55,-69,-23,-100,-2
-15,-78,-97,1,69
94,-50,-86,15,17
75,30,50,57,-89
-71,37,-1,27,-88
-14,58,0,0,-10
49,61,-4,-97,56
-64,42,15,58,54
70,10,68,-81,-94
68,-5,-93,-31,-76
4,13,66,-77,-6
-75,33,-99,-62,75
-77,-80,-55,24,0
76,14,-78,1,28
-3,93,85,29,-98
59,-70,33,-43,-32
-69,-66,-8,-71,67
-49,-54,-82,-96,-12
82,1,41,15,-44
-15,13,-69,15,-96
83,-36,23,-31,29
-28,-27,-29,99,-79
61,80,61,-10,-63
-53,-1,30,-72,-26
66,0,-22,79,49
-63,35,72,-64,72
35,19,-93,86,-46
56,-79,-10,46,58
74,35,-33,65,33
68,53,-7,86,33
71,33,-36,92,-55
59,42,-78,66,83
-99,-45,37,-53,54
-40,-61,40,28,-95
-13,37,-95,60,46
69,82,97,22,0
34,6,98,20,29
14,69,-63,-82,-75
64,82,-95,98,-63
-25,64,98,-90,-42
-35,-12,36,-30,-88
44,-74,16,8,35
-17,46,39,32,-98
-80,24,-87,-95,76
95,-92,5,-89,19
21,39,14,-79,97
-90,-73,10,-40,82
-78,7,-45,-56,-27
-58,-53,-70,63,-22
-57,-20,-42,54,63
27,-54,-12,35,-68
9,-96,-53,-3,-49
52,-11,54,49,70
99,-72,-95,-79,-14
-38,99,-96,26,91
56,-49,-60,43,89
-9,36,47,-64,-60
-7,-35,69,44,-99
100,2,-51,48,32
-21,46,52,-82,75
-63,25,-13,42,-11
-20,-10,-36,-5,71
7,-84,-25,44,-81
-26,56,53,-8,-19
-76,-40,51,-2,-85
-26,44,-53,-95,98
-54,-84,60,83,-56
-84,24,24,66,-59
40,-100,-16,0,-35
2,10,63,-1,68
-49,-64,22,70,35
-78,-50,95,-54,-14
-62,-74,83,-97,-77
29,-38,-52,-38,15
-38,-77,-15,60,7
-78,32,0,99,13
43,29,-99,57,74
46,67,-35,41,64
-47,27,21,-65,-39
-19,60,-88,16,84
5,33,7,83,-85
78,65,17,79,39
-99,-12,-46,41,31
2,46,-74,10,85
-77,5,41,-38,-49
-46,74,-73,-28,93
-57,82,-35,82,21
-60,26,-64,95,-48
61,-80,87,-77,10
63,55,-56,-7,84
-28,-39,27,-26,75
50,65,38,82,-7
-63,67,40,63,61
-22,47,-14,-22,79
96,36,-12,-16,-97
-5,17,-30,45,-71
-54,37,-54,32,92
33,39,-51,65,-8
2,42,44,36,42
19,10,-84,-76,-83
-62,80,92,-23,-59
-42,21,-40,-53,2
4,46,72,-66,61
0,-17,65,61,22
-89,47,48,-43,-61
-94,61,-76,90,56
84,3,95,9,-7
7,-28,-54,-63,71
83,20,28,37,84
95,36,59,-63,-75
56,72,-18,-27,23
1,16,-66,77,96
-87,41,37,-26,50
-52,-39,7,45,91
46,22,-27,28,-43
1,33,-65,69,82
-6,93,15,15,97
-58,24,-89,-61,-43
73,21,39,96,-57
80,-14,38,-77,-82
-41,42,-9,-56,80
38,44,49,-23,-59
46,-76,19,78,14
76,38,-20,57,-21
78,-24,-48,-83,-92
96,33,99,95,79
68,-33,66,30,-54
-25,1,-81,33,44
-15,42,-67,-88,-100
-60,47,-84,-97,-74
23,10,10,19,56
14,-95,-5,6,67
22,-90,83,40,-98
39,43,76,27,42
85,94,77,22,63
36,-1,93,-35,-70
-42,43,-84,-15,10
-36,5,25,34,42
51,-75,23,-1,61
-14,-50,-62,54,-14
-84,5,-15,-25,-10
10,75,2,60,-18
90,40,73,78,69
-56,94,49,68,40
-1,-23,-39,-44,-91
31,93,54,3,-100
-60,10,97,54,62
-5,6,-26,-70,-35
-27,77,99,-27,-49
-96,-70,-91,-46,-42
94,73,81,25,38
-63,24,-5,69,-92
70,29,-6,-37,-41
9,12,-31,69,1
81,46,66,-90,-14
-33,41,80,75,23
-26,-4,-7,94,-22
-12,5,59,50,21
-99,68,13,8,77
59,37,1,-27,21
-99,55,-28,-8,80
41,-32,-73,-58,-46
32,20,57,-7,-3
-86,-39,25,23,-42
66,31,56,80,-33
78,19,91,-57,91
25,-37,76,70,-94
54,25,15,94,19
18,21,-51,-52,-40
-29,37,-20,-29,53
-14,73,-4,6,-28
-51,78,-4,-81,98
92,-32,64,77,97
-70,63,4,-29,14
42,19,31,-13,38
66,39,45,98,-85
-85,19,43,-4,1
-32,-32,-98,-63,91
-81,16,-78,19,89
3,26,-33,-74,60
17,25,100,-19,55
-89,67,76,23,94
-68,20,0,-63,-49
-24,-47,29,80,-86
20,-84,-93,-100,0
-50,82,46,6,-42
-44,37,52,78,-70
64,15,89,43,-96
25,20,-74,-1,-80
92,-32,-47,90,3
11,88,-86,-65,-49
-98,-83,73,-58,6
-6,-90,-29,98,84
52,43,-65,-21,70
-88,-65,-71,4,56
9,24,-12,7,43
71,93,-55,-10,16
-93,-96,98,96,17
65,31,29,85,13
28,-20,27,-70,-29
71,49,-1,-56,8
17,62,17,-11,35
-49,-16,-57,-55,69
55,-32,49,-39,7
-90,19,-9,61,78
23,48,62,-85,-88
27,13,-82,-26,-37
49,-56,-91,35,-61
65,-87,72,-77,70
-23,88,26,-3,37
-82,25,5,-67,-11
-79,36,59,74,52
17,25,-45,-55,-58
94,33,2,-51,20
