column0,column1,column2,column3,column4
-15,3,-96,-52,12
28,97,-86,-39,-73
13,-50,-74,-64,-33
47,-89,-71,22,-51
12,97,-83,14,61
-1,22,-6,-85,-49
-17,38,-85,-20,-50
-4,56,92,20,-7
-36,0,28,-86,-81
47,13,-10,-75,39
18,72,-18,-9,-42
1,51,-30,46,-17
20,59,81,7,-10
-46,-30,-90,9,57
-42,68,-63,-67,1
-1,13,-40,-64,61
88,-9,58,-15,48
-83,-90,-91,80,-17
-24,71,-65,-61,69
52,95,-30,-99,-4
-88,71,-55,0,1
-100,-71,90,-40,-90
47,-63,-48,-22,-95
29,-22,-65,49,-34
15,89,6,45,49
-69,26,-84,-74,-94
47,88,-59,43,49
-40,64,62,36,89
6,-85,-85,18,-88
75,13,26,36,-97
32,92,-64,-99,17
4,25,-9,87,-73
20,-68,-68,-21,-84
79,-96,-6,-80,-48
-67,-84,-71,-3,-48
-17,-56,-20,31,38
65,57,83,27,43
-100,5,2,2,-1
-42,95,-88,-69,62
54,-23,-55,-26,-6
-80,-55,2,-38,90
-84,-67,-57,56,56
-73,-65,-55,-28,7
-60,-50,91,89,79
6,-3,-43,89,-58
-41,59,83,54,-18
-99,78,-90,-41,-53
95,-43,68,-56,-46
80,-98,42,-24,-19
-53,4,-64,61,33
8,91,-79,-73,78
89,74,9,90,-94
70,30,19,13,-97
46,44,-54,100,17
100,8,-12,46,-27
-1,87,-78,-59,-30
-21,-19,30,-25,100
60,-41,-42,-54,-67
-47,30,-19,1,27
88,47,-90,-10,93
52,14,50,-31,-15
-15,-45,14,17,25
-45,-92,79,32,-72
0,45,96,-98,73
84,-80,0,-94,81
-49,-48,-78,-5,-13
-5,71,-26,48,-67
-58,-9,-86,42,-53
15,-94,-4,80,14
0,99,52,-88,-100
59,-29,-88,-19,47
-21,60,-47,-60,14
-49,-12,-58,26,16
42,-61,-84,-18,91
96,77,84,-4,92
-15,-43,-99,96,34
2,79,-4,-76,83
26,-91,79,29,84
-14,-82,-93,97,-30
33,77,-37,-42,37
27,-45,73,1,89
-93,-56,-75,72,-50
-40,-87,-81,-70,66
35,-32,99,28,-87
85,56,-81,60,21
5,93,-73,84,13
-89,22,-50,20,-34
42,-41,-86,-32,-44
80,-71,-36,32,49
-41,-42,-97,-53,57
-72,31,-90,-33,-59
-49,-11,-55,-58,84
82,57,-68,-5,-29
66,40,60,-43,-20
-23,21,-28,93,-67
-68,23,-64,-6,-58
-40,-30,-7,65,50
-96,-20,16,4,86
-96,22,-59,-7,-3
-14,53,-8,-16,68
99,-92,-4,-69,-53
-51,52,98,-86,78
-67,54,-25,54,52
83,-51,23,79,-93
2,-40,-76,87,-50
-97,97,-6,-65,-67
-84,5,-65,-34,-88
-75,14,100,-74,24
78,-13,-69,46,-56
-98,-96,-56,58,62
-46,-78,-38,68,9
10,-60,83,50,-10
-93,3,-74,39,78
-31,-20,-48,70,-100
-67,-25,-12,88,41
-81,-53,-59,25,-64
-61,62,-36,66,-66
87,-15,-75,-54,-3
-89,-78,-26,70,28
93,-19,-3,38,21
-12,40,14,-81,-24
-47,-50,-13,90,-89
-15,7,-47,-22,75
86,-24,-60,17,-33
4,-11,-86,-84,-8
-59,36,-53,39,23
13,-38,-82,5,-80
7,74,-95,-93,-87
7,51,-82,-51,-30
-74,54,-66,-43,-95
24,-92,-16,77,-88
-19,99,-32,-60,90
-44,-81,-56,-20,53
86,-16,-99,-18,-19
56,-53,-35,-71,-19
-15,11,59,-26,-86
5,-50,94,-58,35
53,89,-65,21,-42
32,42,-9,29,77
55,-74,-86,57,-96
50,38,16,-11,66
-47,-7,6,-49,54
67,-93,-62,-94,-39
11,65,-39,-45,-67
34,94,-65,-74,50
-99,-43,-60,-43,-98
66,29,-7,-66,-56
-38,22,-2,-53,65
21,-15,-66,-29,56
3,59,-7,-10,67
-10,-26,58,-70,-45
71,31,-71,-54,-72
-14,-83,-74,58,20
50,66,44,78,90
13,67,-32,-6,33
95,-92,-60,37,-83
-91,55,-69,18,-15
6,71,-51,100,-9
26,-38,-100,-32,73
90,-43,48,83,-49
52,-43,-14,99,-32
-97,82,-1,100,-97
-80,-5,8,63,-44
41,-58,-12,44,-29
8,53,-59,53,67
35,38,71,-96,89
-95,-29,6,79,-82
-55,-19,17,49,-100
-10,56,4,-48,-19
-36,90,-71,-83,9
-77,-98,-57,62,-76
-19,-67,-29,-13,-5
35,-22,38,23,-5
8,29,-46,-33,86
99,76,-73,46,91
46,-67,83,-72,-50
38,-87,64,-82,47
39,13,-85,14,74
-62,39,1,32,62
51,-19,51,-98,38
30,38,47,35,8
-75,52,-100,-35,78
22,-12,-5,-61,-84
14,76,-65,-3,1
-29,49,-28,-70,-65
100,69,-21,-6,-95
33,71,-18,-90,-91
38,39,-80,-11,12
90,82,2,-97,19
-37,-8,-18,69,41
-54,67,-10,57,-48
-49,62,-59,71,65
-55,-87,-94,1,-60
-47,-9,-9,92,-39
-57,-56,-50,32,94
41,-96,-4,18,-86
-53,42,-49,-68,99
19,79,-78,-66,-11
-92,72,20,14,75
39,-60,-48,-29,-30
-19,-66,61,70,-1
62,67,-10,42,-21
-89,16,19,61,21
37,97,89,-12,82
92,-78,-9,-25,53
-82,-98,-47,21,-34
-90,-48,-49,-35,-47
8,-80,-5,-46,-94
22,-97,-56,14,-98
-20,-75,11,-24,-71
-12,66,-5,87,-17
80,-38,-93,-35,81
91,90,-5,34,77
17,-15,-41,70,-23
-98,-76,23,-62,58
-56,-48,-66,39,60
56,8,-87,-44,20
-99,75,-42,-20,-27
100,85,27,-6,-79
-80,-87,-92,-7,21
-94,12,-41,80,-39
10,46,-77,-59,60
-60,-85,70,72,-64
-91,84,-67,78,-99
22,-48,-54,-96,-64
40,-43,-79,-53,78
38,-87,-90,33,48
38,92,-37,-96,62
64,36,-64,-70,29
-70,88,89,-15,-67
-46,-27,-98,-66,42
-29,12,-9,23,-82
51,-84,-45,95,-7
60,85,-96,49,20
-67,71,-85,1,-27
-36,39,-13,-86,41
-29,72,89,72,-67
-44,14,-98,-29,63
68,46,47,-11,-75
5,94,14,-97,-14
-20,91,-80,-57,-45
-78,-58,89,47,16
-17,11,-12,1,-98
63,-47,-17,-54,95
86,-92,-32,-22,-31
-32,-9,-36,-23,81
-25,28,58,11,-17
59,-17,-27,-37,62
76,6,22,-56,23
6,37,-3,93,-9
-1,-31,-35,-63,87
72,-52,-1,62,-22
