column0,column1,column2,column3,column4
-39,-19,-23,27,83
-18,74,-6,-66,46
96,-64,46,50,-85
67,28,-82,3,-78
-65,2,-94,-97,38
24,1,-54,-94,-79
32,13,-72,46,-19
-47,-40,-49,-50,-99
-19,-98,82,83,67
-89,33,22,-19,62
-97,-98,-99,-20,61
-86,-42,-3,47,-32
-36,95,-19,45,0
-76,-7,-5,31,-96
-96,-51,75,60,8
-39,64,-14,36,-33
-96,-4,-70,91,87
97,27,-73,-21,74
-26,-3,-7,-12,-97
-13,-15,-38,63,38
-66,77,70,-61,-63
97,62,-70,74,-42
77,-60,-84,-9,94
-23,98,12,-71,66
95,-74,-94,-44,-56
-29,65,27,-89,81
24,31,-10,-93,94
-27,-60,-21,-64,-35
12,-2,35,18,18
-100,-93,42,-93,64
66,1,-77,57,79
-24,61,-41,40,20
-64,68,-39,62,-41
-31,62,79,-43,66
87,17,-34,80,91
-12,-86,-71,-42,3
-70,42,-76,-62,43
-50,39,-95,-93,-22
48,-96,83,-79,37
-20,85,-73,54,63
10,-5,43,24,-20
-91,-21,81,54,-77
-23,-19,-4,92,4
66,-61,-25,97,9
-74,-12,-6,11,48
7,-95,-100,-31,39
95,51,-9,78,-29
94,97,-22,5,16
-51,-21,68,-83,79
-25,-78,-33,18,30
75,58,-20,40,-86
-35,-85,95,-90,76
-58,1,-12,-45,-7
40,-53,-68,-86,-70
12,-95,-80,-17,-58
-84,-56,61,6,87
70,-2,6,68,10
53,-87,-48,50,-66
63,-42,29,63,-82
76,73,-73,-84,-7
-10,23,43,39,-52
-17,95,100,17,-75
11,31,47,34,46
-94,-33,72,68,40
99,-35,-93,-49,5
37,-71,42,48,87
94,-50,-68,92,5
-37,-85,64,54,-74
-72,43,-69,24,83
5,-34,83,-68,21
22,97,-1,73,-68
7,92,7,-12,91
24,-2,17,86,-22
28,-16,-43,-10,-80
-4,-21,-55,27,-58
27,51,-26,92,-78
60,82,-33,-92,49
98,5,-72,22,-38
74,-92,12,10,77
73,50,29,-81,-88
-60,-16,58,72,-11
29,55,-66,45,-91
46,-72,-3,-19,46
24,-50,-70,65,-7
-57,18,-81,12,-96
98,25,-32,-5,-86
-18,98,-43,59,15
12,-56,-40,15,-8
-96,-9,83,34,94
-9,34,14,-59,-1
44,36,58,-51,-82
23,13,57,-48,52
-63,89,-82,60,-2
-7,-90,-53,-35,24
91,56,-69,-73,77
-82,-51,-57,-20,-61
89,63,-94,56,97
18,45,11,-21,-73
-77,16,-60,-30,46
5,-86,56,-94,-35
-72,-70,-48,51,23
67,-43,-45,9,-21
-14,-95,-89,54,-77
18,56,-53,89,-98
91,14,32,97,-3
45,-98,-88,75,98
-1,-26,-21,45,33
-99,29,-30,49,25
9,32,24,-53,-51
-84,84,-97,13,-65
38,-71,50,-27,-99
-14,32,-17,-62,55
87,-52,-97,-11,-11
-36,90,-74,85,-97
83,1,-86,39,-100
66,67,-16,-13,38
-79,25,-96,76,-51
25,-39,8,60,-8
-78,46,-63,-27,-57
95,-94,98,26,9
-59,-1,-47,-96,-79
-93,32,-62,12,53
11,17,29,99,49
-13,21,82,23,-3
81,68,85,6,52
94,-48,78,96,-47
