column0,column1,column2,column3,column4
32,32,98,12,-17
58,-64,87,11,-17
35,-2,79,6,92
80,-1,-9,-43,-23
23,-30,-15,-7,-81
41,87,-70,16,-82
75,14,64,60,-65
90,10,-71,-39,7
-66,-35,-39,-93,-13
91,-95,87,-76,92
16,62,83,32,-99
-81,-82,-61,7,10
54,-81,0,-77,-7
-27,69,45,89,49
-92,-46,71,91,93
36,-64,-40,42,11
-60,51,-28,-23,84
23,72,-94,-63,62
61,-47,-94,37,77
95,76,50,2,-15
-17,4,-100,-72,41
-34,69,46,-93,31
12,-36,-39,100,-87
21,44,12,-64,-20
-80,-5,51,-52,94
-46,28,-77,72,40
-14,-89,-79,30,-4
-72,75,-13,69,85
-89,-93,74,-6,99
-63,54,61,51,-21
-15,-36,1,91,-14
37,-98,93,40,82
-22,50,73,-68,49
-100,66,46,-14,88
-62,-82,83,-14,60
18,-66,-51,21,12
-66,-40,-67,-70,14
24,-17,-66,81,60
85,-61,-76,-65,96
82,17,-77,-36,21
-7,74,-2,77,-67
25,33,51,92,-85
22,-88,84,-63,38
72,-2,-95,29,21
-9,-70,-41,-78,87
-80,-18,98,-4,-67
55,31,66,17,-67
-96,36,43,-16,-92
45,-90,-72,-19,-66
85,94,-31,99,-6
-2,-20,-67,-7,-60
3,-80,7,38,13
14,-28,84,14,87
39,8,-67,-74,-15
-51,88,-40,83,77
50,-86,-57,56,-42
37,-95,-11,37,-77
69,25,-28,17,75
-15,20,70,22,39
-35,-23,-91,-32,-95
-6,-61,-31,-1,60
-74,-67,-43,11,87
-6,-7,86,15,-7
-97,100,96,25,58
84,-71,51,2,-97
48,14,1,-16,-86
49,47,-81,-59,-12
40,71,33,17,39
-72,-87,86,-13,42
-4,-21,-42,16,-28
-80,-90,10,-22,79
-80,-64,9,42,-17
53,-50,-19,90,91
-15,19,-7,47,34
7,-5,15,13,1
25,-35,41,-96,-32
-12,-89,-58,-97,32
87,-50,-37,75,67
35,-23,-44,-4,29
-78,16,-46,-72,-4
-33,-92,81,-68,41
-99,61,-63,-50,-14
-40,33,6,-39,-29
-31,25,12,42,42
-35,-71,-22,12,-93
60,-53,-71,32,14
-30,-49,9,-14,14
55,68,-26,82,94
95,-42,37,90,52
61,-95,45,31,-23
-40,3,93,-46,-58
-64,82,52,-12,-51
23,4,-91,67,-74
27,-68,-85,0,-80
69,38,-65,40,-56
-6,-33,-65,-12,9
-57,9,-64,-66,9
53,80,20,87,14
-100,91,84,83,-100
-79,46,-53,54,43
-53,48,-79,-42,-22
-49,55,9,17,75
65,72,-66,0,-87
83,-15,-79,-19,7
-65,82,78,-3,-20
-8,-44,-69,-17,-58
27,-76,-6,59,9
26,-68,-28,9,-7
-66,23,-61,25,64
-52,32,-82,-69,-39
18,-4,-53,-95,-92
56,10,-62,-8,100
-20,-20,-84,10,-36
-53,-86,-40,-7,48
77,-63,-10,-22,-66
-87,-43,73,1,0
100,-53,86,-16,-97
25,-11,-57,83,-78
2,20,-2,46,7
34,72,-76,96,56
60,49,-47,-76,29
-89,-94,-72,-26,86
25,-17,-97,-54,12
-59,-53,-36,41,-59
30,72,-87,-45,-35
-27,-24,-93,-100,-85
-24,-67,-93,-67,-55
98,21,-64,-87,-41
-95,-31,81,26,12
-17,-66,65,-11,62
-64,-78,-68,11,-91
6,41,46,78,-79
70,-75,54,76,98
-32,85,-82,63,-5
10,49,-100,14,-59
-42,54,86,-28,82
-100,-54,-44,-11,-76
79,-2,-17,-98,-18
20,14,86,45,32
-12,33,-17,-31,1
41,-11,-46,15,-58
-100,79,-63,-7,-25
19,-25,-5,39,-25
-95,-49,-60,25,41
84,-16,-55,89,75
-83,80,-49,-58,14
-86,-76,51,79,78
82,-40,-39,25,32
11,48,-41,-34,-87
-99,-59,2,-19,-19
-45,-47,47,-43,13
75,53,-44,-71,55
68,6,-19,48,40
95,2,43,-11,14
1,-13,-89,99,38
-11,87,55,81,-55
-72,80,54,80,34
20,-87,63,-57,-58
31,61,77,-43,73
72,48,-71,-58,-69
-43,58,-87,42,61
-79,57,-40,73,-6
83,79,40,42,51
-51,59,-18,1,-11
58,75,36,52,86
58,-19,92,-87,80
23,-36,1,-94,-10
-65,42,-53,-34,-85
82,39,-42,93,-46
76,-81,-46,68,63
90,76,99,-12,-39
-23,-24,-10,22,-27
61,-51,-78,74,-41
-95,78,-77,-33,-54
-83,-58,-61,-63,-72
-45,-86,94,-78,28
-64,3,-40,56,-71
-55,84,35,26,-53
-82,59,29,100,97
69,-29,-70,70,-69
-35,-21,-92,60,17
-80,-55,-33,-51,-25
1,-23,-8,-50,52
85,-56,-48,25,77
-33,-43,-25,11,-10
-92,-10,-34,-42,-19
12,-33,53,94,51
49,75,-41,-74,82
-78,56,-44,20,-16
-25,68,62,-52,-10
-41,-50,-2,24,-72
87,55,48,31,-41
