column0,column1,column2,column3,column4
-8,-44,68,62,-48
-100,-92,-22,83,61
15,-21,97,-22,59
-40,50,30,-45,-31
-32,48,51,69,27
-1,-9,77,-53,66
73,27,-26,-99,43
90,-65,-86,44,-68
64,26,12,-23,-91
15,-10,-73,-44,64
-84,35,-34,-26,-90
10,-45,-73,54,45
-3,19,22,58,75
-60,-32,76,-30,89
-74,27,-51,24,92
-75,-49,-47,-53,-25
42,-29,-12,77,-39
100,84,-29,-18,18
-70,-51,-77,15,18
85,54,-20,98,-95
-70,90,28,-15,85
18,28,-5,10,-53
75,46,52,-2,43
-5,37,83,72,87
-15,5,-34,58,-2
-90,2,66,20,50
25,38,-12,-99,26
26,-98,66,7,26
-66,11,-19,-12,-8
50,3,-85,-10,-63
-40,62,-48,3,-70
84,39,39,-82,74
-30,-40,89,-4,36
43,-8,42,-51,-4
71,-17,-69,-38,-94
95,23,-61,2,11
75,-25,-97,-83,-50
30,-79,-48,76,-89
73,0,79,-24,-88
30,7,33,-93,65
-55,-57,-87,-28,-4
-74,49,-90,41,48
-21,17,90,18,94
1,44,62,69,40
-24,26,-10,-91,-90
-70,14,-26,25,-2
25,-87,-53,-46,-58
82,52,35,27,76
76,99,-9,-69,-56
-22,27,85,73,-37
-45,-61,91,1,-65
97,-20,28,-2,-61
-10,48,-20,44,11
50,-16,-34,81,-47
83,16,-71,83,-33
-53,30,21,36,-82
-41,13,-59,-51,91
-98,60,42,-80,59
-74,-28,29,90,-60
-6,86,-89,89,70
-91,27,-29,-98,42
-60,-60,98,25,-58
-17,40,84,-73,80
37,-66,63,67,-12
45,58,59,5,78
83,47,-15,-55,81
-62,18,-94,48,27
77,7,-4,-36,-89
47,36,-45,2,16
80,-19,-16,-79,81
-81,16,29,-86,3
52,-54,25,55,0
-30,5,-50,-75,88
6,12,95,-100,100
52,-85,29,-10,100
5,44,-91,-12,-36
-67,-78,-81,-87,-32
17,-66,48,-25,46
-40,-14,70,-3,30
64,37,14,-85,-35
-30,-32,-70,19,90
25,95,-21,-19,-92
-30,-40,25,23,23
42,10,27,98,8
-15,6,-7,-4,-78
-22,-18,-83,-24,-34
73,20,87,-86,39
-40,6,12,32,-56
-10,71,41,0,23
87,36,-57,-41,-71
-33,19,64,-50,-33
-40,99,-36,-99,69
8,24,-24,3,9
-10,-8,-95,-36,-6
69,40,-63,-20,31
61,11,-86,-32,87
6,-46,-3,-43,-44
-93,-57,67,36,92
28,10,70,11,-3
-40,61,-5,12,64
60,87,-14,76,32
-49,-47,-69,-39,-52
60,94,-8,22,64
47,22,-5,32,-64
-78,23,64,-81,86
35,86,-21,-84,51
-52,19,19,11,-80
65,27,-89,1,-67
-65,85,-55,82,62
75,15,40,35,-35
85,-83,94,2,39
-30,-91,-26,-63,-20
82,90,-94,-18,43
-34,24,42,95,25
-60,-9,-54,-86,-56
-54,16,41,-19,-100
72,68,72,-56,-72
30,-10,-75,-81,63
-53,18,0,-20,22
92,41,83,40,98
37,48,-63,48,-15
60,94,82,-46,-18
18,-24,4,-30,-92
60,16,-25,38,88
30,-68,93,18,96
-57,28,32,38,72
-100,55,36,69,22
6,26,23,-97,10
15,-34,-3,96,26
-8,-7,-42,-82,35
75,63,63,-65,32
-83,12,82,12,1
25,-64,27,62,-64
-27,-44,60,-73,35
90,-32,-97,63,32
74,22,-31,-38,-46
37,48,-90,-43,-23
-10,-57,23,-52,21
-85,17,-74,-91,-25
-60,98,-20,-24,-23
-37,28,86,28,21
-65,-54,-87,-45,20
53,-56,-99,-68,13
58,38,1,-46,63
-90,-11,-72,-28,10
-36,63,26,27,-72
-98,15,37,75,-55
-78,89,-59,-47,43
-43,42,92,-9,-53
-92,25,-33,99,36
10,-96,-39,-42,8
40,-15,-38,-7,-80
-17,29,-37,24,-16
-81,10,73,37,85
19,49,-20,68,38
-45,-21,6,36,34
50,-57,-52,-27,58
75,81,-45,-34,72
-100,44,-21,15,-69
10,32,-38,-27,-34
-75,-2,-38,54,-30
25,-29,83,-21,-41
65,52,-28,63,21
-54,37,53,-93,-47
80,-22,44,-25,38
-86,28,-56,5,6
-59,48,69,17,92
-20,12,-51,51,47
76,9,31,-45,-77
-55,72,69,57,-36
5,-74,-94,65,-11
75,-34,-69,70,-55
13,-63,76,-52,-29
-35,-64,67,88,24
23,13,22,36,-85
65,-39,-86,-24,77
-95,78,-2,-5,44
98,-37,89,70,83
40,57,-87,83,-26
80,-65,-28,81,-36
60,32,-87,-97,-83
95,19,4,61,13
-50,91,-59,32,-67
60,28,-11,35,-87
-77,38,-72,-91,17
65,7,-49,56,65
-52,15,12,-25,-78
-25,-83,73,89,94
-15,-49,-23,39,36
-25,86,82,34,-63
-100,-61,-87,-79,57
-90,35,82,58,13
29,-78,-61,-74,98
-10,71,-30,70,77
60,2,0,99,-81
65,-86,54,-18,21
89,21,-21,18,56
-62,37,-42,50,-5
55,41,18,82,31
-48,-34,-55,-63,-68
25,38,59,-17,78
-46,49,-85,48,-48
78,19,-70,94,74
-99,68,57,-91,59
100,-22,80,-14,-19
96,25,-97,4,42
-28,32,90,69,67
50,16,-33,15,56
-30,-9,-77,-48,81
0,-83,-3,2,-13
-85,-11,-4,0,81
-55,44,65,8,-1
76,58,51,-58,-99
-79,89,-85,37,67
44,20,52,31,-61
-5,1,-70,36,-30
-49,-54,-26,95,2
60,-93,-63,-79,7
35,-71,-53,-20,48
45,-71,51,-39,44
-15,-7,-9,83,-73
5,-87,-24,-25,89
94,-76,-53,9,59
-70,-81,-82,-45,12
28,-59,-23,100,-64
41,36,-22,-93,7
61,42,-93,-37,28
31,23,-80,50,-95
-73,37,-88,-23,-93
4,73,-11,-80,-67
-70,90,-78,23,-50
-55,-90,-94,-34,-28
3,43,-3,-14,-49
49,-43,52,-54,94
-98,-16,-26,55,-38
-19,46,-23,42,97
15,-44,-73,88,-16
-39,25,-29,0,42
45,50,30,-37,56
95,-95,88,90,74
10,-72,-32,-40,35
70,43,24,89,-22
32,27,-12,81,72
55,91,-54,23,100
30,16,79,15,-5
44,23,-68,-33,10
-80,10,16,-23,5
-41,35,68,-98,-99
54,15,96,48,-19
75,-42,-59,10,-43
25,24,27,-11,26
-51,13,-77,-21,-41
-62,-45,4,62,19
-66,31,10,-37,44
-38,27,-2,56,5
25,-9,7,-28,40
-20,-32,10,-93,37
60,91,-66,-12,35
75,14,35,-63,100
25,-60,33,-39,-67
-95,1,97,-49,-75
0,3,38,-57,-79
-45,7,-58,-12,33
76,-49,6,-3,83
65,77,-93,-36,81
-2,43,-45,97,58
-80,-50,21,-9,50
80,63,24,-4,87
-74,26,85,15,-40
-55,-31,-42,-62,60
-66,-15,-25,-88,-65
10,29,-36,35,-69
40,-57,97,9,-82
75,88,6,13,-89
15,-49,-34,-54,-69
-66,-63,-25,-28,-21
-30,-56,83,-3,-27
42,40,-22,77,-73
-85,-27,-22,16,-36
88,30,78,-6,82
-83,25,-20,-8,-10
100,-71,-76,2,-14
50,80,-12,-42,32
-13,-42,96,87,-16
-45,-58,84,19,-91
-45,27,13,-99,80
9,13,-62,62,-27
8,29,84,-83,-71
72,94,-55,92,9
-75,-90,-77,-47,-4
65,-6,-79,-73,-18
-46,17,57,-9,-7
-100,14,29,51,27
50,2,-63,71,-84
-10,-18,69,-75,-24
88,1,-76,-77,65
42,41,-19,54,14
75,-95,13,93,27
-10,-23,-32,-77,-13
13,36,18,78,-80
-32,-70,-39,-68,-1
26,73,-72,-1,-24
-19,37,20,39,8
-34,64,95,-50,24
30,-7,-3,-23,0
79,25,70,-89,18
90,-70,-46,85,4
95,-55,12,-76,32
