column0,column1,column2,column3,column4
-51,61,-26,-74,52
3,-85,-53,-49,51
-84,12,-57,-84,-72
-64,-43,-21,9,-85
70,35,45,40,-49
12,-63,-96,-9,-41
-87,-2,-79,63,-45
5,-99,51,97,-14
-88,-84,-78,33,-26
8,87,-50,24,-4
-6,-76,5,-2,-71
-13,18,-51,82,-73
-84,-98,-8,-16,35
25,-9,57,-13,-65
11,-39,8,-13,80
28,-91,-57,-94,69
-69,26,78,-5,87
10,-70,99,6,-73
-18,32,-40,90,-68
93,-23,-80,23,-51
-17,71,76,17,-44
1,-19,64,-37,-28
-44,-51,22,72,-37
-89,42,-7,69,25
-71,-75,-83,44,-92
-36,-55,35,-30,9
69,23,-9,-53,-80
71,-55,-85,9,-5
-96,-74,87,78,25
-28,32,-67,-94,-81
-83,-53,-88,-71,-79
-94,2,-22,76,-49
-59,-83,-23,96,-73
-26,-9,-97,-70,-78
37,-71,55,-64,-2
-68,-26,22,36,42
57,82,-35,-99,-36
74,-85,-25,76,94
61,-56,72,-87,-21
41,20,-38,-70,68
24,43,-19,77,72
87,-47,-67,83,25
-41,-4,-3,-75,-29
-22,-4,12,-28,20
38,62,95,99,91
-68,-51,-7,69,-89
56,1,14,-21,-80
-48,-14,96,-70,19
78,-92,-44,39,37
31,13,-68,-7,-19
-20,-17,88,30,-78
9,-44,-55,-43,19
-63,-33,97,-23,94
78,62,39,94,59
-30,-14,6,12,-4
-33,-18,10,31,-5
-79,22,17,-21,-62
18,-67,-61,48,64
16,-98,55,89,-56
58,-40,-73,30,66
21,19,97,22,47
11,-1,63,66,-18
-99,-100,-98,-21,-23
17,-74,1,63,-70
94,88,43,-70,17
-19,91,-20,12,-25
-96,-18,-22,-37,36
-77,-82,69,-77,-9
45,-76,-72,48,69
86,-29,-87,-18,-33
-40,-99,-51,-95,-33
87,57,25,-94,28
-42,-68,-67,-96,41
57,-56,-20,-16,-58
63,28,-54,-83,74
34,-96,70,-47,-2
-25,-32,24,-33,-18
-78,-95,69,79,28
-90,74,28,-40,20
-58,34,-92,35,-91
-37,67,-7,-12,-78
-30,-19,-84,-20,-83
-39,-62,6,57,-39
-11,-5,45,67,-20
-93,80,12,54,50
-98,78,-26,-5,-62
37,27,-53,-81,19
1,62,91,14,41
-7,-94,-26,19,-6
55,-19,-65,27,-71
-65,-70,16,52,-63
-78,-44,92,24,90
-35,58,81,-43,78
-61,-55,65,73,24
26,-11,31,27,37
6,-84,-68,-88,95
67,15,-87,98,89
61,-13,78,-56,37
70,-7,57,-2,-35
22,-84,-94,25,36
-76,-46,-10,20,-43
26,4,45,-71,57
56,-73,-75,-74,8
-8,17,72,-61,-97
34,0,50,-90,25
-52,-4,38,-23,-35
47,43,-93,69,-2
2,-54,4,54,-62
-37,4,-69,85,-93
-10,22,-53,4,3
70,-24,-96,70,31
26,31,-86,-8,5
58,-84,-72,-56,50
58,89,61,-94,64
-47,-15,-27,91,22
10,-6,7,72,32
-35,66,93,-29,51
-20,-78,-35,85,11
-96,96,-4,25,31
-60,87,-74,-90,12
19,-23,6,19,-14
-6,-70,-16,-37,16
70,45,-76,-80,34
72,-21,28,87,1
-97,-2,-7,16,7
53,11,-90,-91,-95
13,-24,-86,-84,-93
35,-98,67,56,-82
19,32,86,-87,56
32,-64,17,66,-22
72,13,2,-30,57
-26,92,96,-17,62
46,3,-51,10,-94
-99,63,5,-84,46
50,-24,91,2,23
50,41,32,-63,-85
67,-49,-10,75,-82
-83,14,-92,80,46
-90,55,36,100,-47
34,90,-15,11,-67
29,26,-30,-41,28
-83,-73,-60,44,-69
95,-34,-60,-74,-47
34,-31,-16,51,14
36,-42,-29,-4,-80
31,79,-66,-36,-48
-35,61,-33,22,76
-80,-35,-99,-60,51
37,92,78,-12,22
71,80,-55,-52,-22
68,-82,-45,-15,0
57,89,-66,22,35
25,65,-10,-40,28
57,-72,-71,9,-77
-20,1,100,-46,49
90,-69,8,-4,46
65,73,-94,53,85
72,-84,-36,22,-71
-74,86,-92,42,69
-84,-49,-97,99,-66
26,83,48,-53,-35
22,54,17,45,-21
34,15,18,31,-3
87,-35,61,83,48
-23,15,-98,93,42
15,-44,67,31,-68
64,43,-85,-20,88
-27,72,-79,79,-91
-54,-19,74,-91,8
30,-13,4,-27,-78
78,-69,-13,-61,63
-43,68,-77,-16,-26
27,-37,-79,-52,8
19,-21,-85,-6,87
95,51,51,15,99
-91,-23,-34,-24,-11
-64,-68,43,-37,-97
2,34,-94,81,-79
5,-87,-7,59,42
-59,-2,66,26,98
47,-9,-12,-24,-86
-17,-89,-25,-86,26
-5,-82,-89,83,78
65,62,-40,-66,-71
-49,-88,25,-63,28
-60,-4,99,82,-85
-86,-83,-27,49,51
86,-74,-13,64,78
74,-38,-34,-79,43
79,-92,-53,-52,77
35,-14,-81,-51,60
77,53,-79,18,-8
34,22,54,-93,29
-83,43,-10,-28,-20
2,-32,1,13,-69
11,67,-26,64,-36
30,-11,2,3,-44
3,0,88,18,-13
-23,83,79,82,-43
22,62,-70,87,-93
75,-6,-67,15,40
-30,85,-96,62,69
91,-28,-7,-98,96
-22,-89,-2,-10,13
88,84,36,-76,-75
48,99,58,59,-96
86,-14,-59,9,-95
-68,-5,-93,-64,-75
11,95,-20,-82,-10
25,-24,-32,-24,-97
-22,-38,25,51,-2
-31,15,-80,-16,56
52,-11,-16,90,99
8,-95,94,-11,-25
-20,-2,36,-25,53
-91,-85,26,93,99
35,-44,-67,-96,43
85,95,-75,-52,-74
-8,-98,71,-21,-48
-35,82,41,80,-56
-39,-99,62,-26,57
52,52,26,-62,-73
-92,84,-14,-93,74
-24,46,-95,81,-9
-73,79,54,74,-27
-30,98,-49,75,99
33,24,-81,-61,-23
60,-20,-19,39,-53
-83,9,-67,-48,-31
65,-15,-11,26,0
72,92,-93,57,-44
-78,32,-2,-3,-1
-61,15,-32,33,-33
0,-61,-23,-14,-81
15,20,-95,-92,-75
-75,-32,25,7,28
51,61,62,67,-16
40,-77,-55,-16,84
-42,-42,-15,-68,-40
-90,96,40,72,-31
-4,-21,-42,11,65
-32,68,-34,-11,37
22,-24,-58,-24,54
65,24,-7,-14,-2
-8,5,-12,26,-35
-8,-99,-54,19,74
-71,77,32,-63,3
84,-1,58,-61,23
16,-35,68,42,-97
65,84,-34,12,24
-62,39,-43,-9,-64
65,-26,63,53,76
60,18,71,-40,-69
26,-79,-49,-50,1
47,-38,-5,-55,-30
58,-3,-37,96,34
-49,52,-49,-98,-70
73,59,63,66,81
60,-92,79,30,45
-100,-73,-32,45,51
-12,-47,-73,35,-43
-46,-85,-17,20,-22
9,-76,-67,-96,89
-82,83,-20,3,67
20,-82,-98,-97,2
50,-58,-65,34,81
55,93,-17,97,92
-42,-63,-88,6,-81
-90,-100,91,60,-26
-14,95,-67,59,-9
25,88,85,43,-20
-8,27,61,-4,46
37,-56,68,96,90
77,26,-53,-51,-64
74,-45,-72,-32,28
-33,-58,-54,-25,91
59,55,-1,-74,-58
-9,72,13,-36,24
5,-24,30,38,-46
63,-83,-49,49,-21
-65,14,43,-23,85
69,37,-34,84,26
-70,89,-78,25,84
58,88,39,97,-40
59,3,32,-2,62
-61,-72,-28,7,-47
-18,95,-90,-95,-28
-74,11,-15,-13,14
46,-80,100,-61,-46
68,-42,-3,51,-29
-4,18,14,2,75
-56,97,-13,76,-28
70,-65,-45,-46,-85
-46,-92,-78,-17,84
-90,-18,-1,49,-55
79,-31,27,63,-67
-41,30,-64,46,-68
5,-3,-27,-44,36
-58,90,-82,-58,68
93,-72,-94,59,-20
75,5,43,54,-59
-35,-37,-96,-13,-37
7,-45,85,-43,-21
47,-95,-88,-41,-37
-19,-32,44,98,19
31,-84,-73,-51,50
93,54,-70,93,-2
-29,-62,7,99,11
-97,-5,-55,-41,-99
-14,70,-9,60,-68
98,-80,-36,72,-31
33,27,-14,-34,100
77,22,-29,-65,-74
47,-36,-35,-33,-39
-32,-22,-24,-7,95
-69,99,-86,50,0
23,-49,4,16,84
30,12,-3,-12,40
-25,-22,29,-30,6
-83,-36,49,-50,-50
-42,36,85,-73,9
-39,-36,56,72,-76
-1,-86,88,99,-92
54,22,13,31,40
42,99,53,-8,41
85,-27,19,27,0
-2,11,91,96,70
-59,-89,29,-63,-71
-60,59,9,63,65
32,-32,-99,-98,69
97,-36,-43,-9,-51
-68,-61,-2,43,85
-68,-15,-80,-79,74
-99,-61,-64,95,-71
96,11,-56,-79,100
17,68,-6,-55,-87
55,18,-13,-83,-88
12,-55,-13,35,-22
20,-27,97,25,-8
95,94,-12,-80,100
3,-9,-14,-71,-27
94,75,-14,-7,92
-97,-24,-40,87,-24
39,-54,-10,50,45
100,51,70,-90,-33
95,7,-48,-63,-87
45,56,-10,-19,-56
-12,-66,4,29,69
-66,-68,15,-84,-31
91,-67,9,86,-82
8,19,-18,-59,-14
11,-65,-23,-58,57
-39,-82,9,55,58
-49,-55,-58,-21,69
25,-71,-57,4,84
45,36,-41,41,33
29,68,-97,-63,-35
-76,-33,6,65,3
75,-16,23,18,-63
100,-53,48,87,-80
-18,55,8,-5,-50
-3,100,8,51,-37
16,-87,75,13,41
-59,19,-37,7,100
89,-6,-91,-5,-4
-64,39,-84,72,52
57,12,-56,90,-16
43,-20,-30,75,-26
-47,30,-9,-28,-67
89,-55,-51,85,79
80,-80,-19,-30,-20
55,-64,-38,-92,-94
-94,-23,-46,43,-81
95,-86,19,-12,-52
-31,-42,-61,84,3
-68,-47,-98,0,-10
-54,-15,59,94,70
69,-28,-71,59,76
-92,68,-65,-90,17
-18,-45,-64,-84,16
-62,91,-56,73,34
-95,-46,-45,44,68
45,12,99,1,70
-66,21,-31,-78,65
38,4,84,-52,-46
95,75,-49,-36,39
10,-64,-31,-100,73
91,-86,-77,94,64
-51,-13,-98,71,22
88,-68,-99,-85,28
-90,-87,-95,71,65
46,-94,-61,82,-78
-46,69,-100,-90,18
60,97,-47,47,-79
66,-22,73,-52,97
33,-85,-4,-42,-9
98,-22,80,100,-7
-34,-3,12,91,92
46,74,-34,27,84
30,89,-79,86,-26
-53,11,40,-67,32
-6,52,-83,16,64
5,-86,-6,-38,39
-61,-15,-78,46,69
70,-24,90,26,-75
70,98,-34,-1,-90
-85,-27,-12,76,-99
-47,-59,-91,-71,-25
32,44,-54,5,65
13,-27,48,-57,-81
-32,62,-33,22,67
-62,-33,-6,16,32
-4,-51,4,-67,28
-55,12,17,55,83
-6,-71,-13,-50,20
-70,-64,-78,29,-94
-5,-23,-5,-68,-17
-32,67,26,27,-59
50,78,-94,-50,91
-90,91,-94,-46,-30
-13,85,-25,55,-7
-50,-52,88,-90,22
-6,53,-46,48,100
11,-48,-69,14,-6
72,75,-16,-83,-25
-70,-68,61,52,46
-90,34,2,-71,99
54,8,-43,98,50
-44,17,-38,83,41
42,28,-75,22,59
-12,63,-28,-59,-38
20,-100,46,-92,33
53,73,76,82,-66
81,-40,59,-52,-84
-74,33,-11,91,68
79,-98,71,86,77
-16,72,-97,-19,-52
57,86,-17,13,-94
-23,8,-77,87,-37
-1,1,5,-80,-78
-41,-59,45,91,-70
99,-55,-92,79,24
21,-4,-82,37,70
57,-19,-63,-7,46
-22,-11,-9,47,96
90,-18,-73,15,-60
-74,-72,71,-99,83
41,7,62,-31,-56
71,10,-97,-10,-49
-76,15,-26,-58,42
-91,-77,44,34,-30
28,-96,-30,-40,63
-64,-91,42,46,9
-84,-10,93,47,26
-91,82,-45,-6,-26
-2,19,78,-48,-67
24,98,-55,-18,-44
41,97,-12,-61,-100
-90,-83,16,-74,95
-22,6,-20,-34,37
-63,52,-71,-12,40
80,-77,10,-92,-35
-66,31,-13,-19,66
30,-31,49,99,59
-57,-44,-30,90,57
