column0,column1,column2,column3,column4
-28,-52,1,-66,-78
83,38,-26,68,9
-31,-10,1,-98,-86
-70,26,-36,-29,49
-14,-29,-60,-96,100
-82,72,-60,13,45
33,33,-81,24,92
-19,-93,90,-12,22
26,-49,-70,55,49
29,-86,-66,11,90
13,93,60,-68,-44
52,-70,-74,-38,20
57,8,45,-41,44
-77,35,99,-9,-21
-48,-79,-38,-99,-92
77,12,-80,-33,-45
43,-86,40,7,85
-37,81,-83,-67,2
-70,-67,-27,-19,65
88,-45,3,57,95
-98,-53,92,17,-57
-96,66,20,-72,97
-7,-40,73,-71,29
7,21,-77,45,84
-90,88,21,24,-77
53,-95,65,67,-72
69,-26,77,-32,54
-59,-92,-100,-54,-7
82,60,0,-49,98
-65,49,19,16,-47
-33,-50,-2,57,29
-100,-94,-87,55,-1
-31,88,-65,-88,-76
43,15,77,50,28
-47,-65,-28,-49,-57
16,-58,68,89,-40
93,62,46,56,35
-63,-87,-11,84,-63
-58,-91,47,-59,-96
-94,72,-51,-85,11
-39,51,-52,78,50
99,-80,18,-8,-25
-63,-91,18,51,-21
10,89,-34,24,-56
-48,92,-32,-17,-36
49,-97,95,98,-3
88,62,-36,59,56
24,15,56,4,100
-14,51,29,-23,-61
28,-37,54,-86,92
-27,13,87,75,10
8,37,-85,-41,-1
59,4,-95,15,-67
19,-4,-52,-7,-43
47,14,65,6,43
0,48,-78,-61,-23
42,-45,-45,-21,-5
-62,-77,-77,66,63
98,-50,-51,-29,-18
-15,-95,92,70,93
94,-37,55,-15,-76
78,-63,27,80,-20
23,-82,4,11,-7
-73,-19,27,38,51
11,11,-45,80,-24
31,-64,88,-67,-21
32,-61,11,79,86
-45,67,43,77,-68
-83,24,-92,-64,-88
93,60,-65,-1,-35
-28,0,82,53,-8
28,-76,-27,-82,-48
-23,-53,13,63,-49
83,95,-65,76,16
83,-76,17,90,87
47,-34,-25,56,67
-92,59,-45,-95,-31
57,-38,22,-37,-51
47,45,87,28,65
42,23,69,-72,99
13,65,72,-52,78
3,31,91,-48,97
14,-94,-21,-32,91
46,37,-33,-51,8
12,61,-96,92,-6
-84,34,45,-14,50
46,44,100,7,-4
-7,74,32,-60,-74
67,21,-44,94,-76
-29,47,-83,41,-56
-35,33,39,40,53
-5,-19,81,5,-77
