column0,column1,column2,column3,column4
47,-84,20,-15,25
-98,54,-100,57,-83
62,-82,-36,-3,-16
72,-53,-18,-68,29
34,19,19,-59,19
-87,48,-24,15,-37
15,31,35,40,-95
84,-57,-92,51,-44
51,99,21,-80,-65
10,38,-83,-12,34
-96,47,-93,-1,-45
1,-72,-89,-32,94
-82,-74,-88,-9,74
-59,89,90,-93,13
72,-9,-97,90,-72
26,-32,84,54,53
-87,30,32,3,86
19,10,-1,69,-52
87,-89,40,-42,-26
87,-18,-93,-53,-7
95,-99,-93,72,45
16,11,30,-42,-77
-21,-76,95,-9,-80
85,-92,88,73,-87
-65,-84,57,46,66
-93,-82,-48,71,85
-71,32,-18,-55,25
99,9,19,75,-87
-9,-54,15,38,-84
21,-39,62,32,66
20,99,62,-17,-67
-64,28,52,-27,67
-49,5,-11,-28,18
89,-22,-17,21,97
63,52,-12,-21,20
-5,-74,-25,69,58
87,61,74,-92,-44
50,63,-48,-12,51
-1,8,71,37,-23
56,91,-9,-44,-90
59,-71,5,-84,-74
70,38,-93,35,12
-22,-63,-34,-30,59
-71,-5,47,-21,50
-15,-62,44,-98,82
-81,65,16,-72,-89
-16,-18,-44,-72,-87
-99,88,15,51,86
22,-34,13,-8,54
-4,41,-17,-42,43
35,91,-86,-22,-92
57,45,45,67,-75
54,-10,-39,25,-81
-19,33,-6,15,77
60,-92,-46,97,-2
-5,-76,-4,37,-23
-77,-79,13,51,99
14,-98,-71,-90,-84
17,78,30,-12,31
-19,-51,93,-69,31
-27,70,-58,-75,-79
-41,-8,97,24,-91
-6,81,79,90,-53
-36,33,93,30,-17
25,44,51,-99,-70
24,-30,-71,99,82
95,-70,-19,-50,-86
-8,-65,-73,-27,-49
-52,-88,-73,75,64
85,-41,9,-29,71
82,18,-14,-43,2
79,74,42,-39,-16
-34,80,6,-21,-96
-97,-43,87,-51,-49
5,-78,100,39,-29
64,6,-27,22,-92
-30,-11,-57,3,-68
-76,92,-10,-75,-54
-6,-43,98,-90,12
-15,-75,-60,94,-2
-60,-35,-35,-21,60
-100,40,24,57,-29
-22,-34,-63,66,86
-8,78,96,63,91
-36,90,62,96,97
-48,16,97,50,-28
61,53,1,31,12
95,-18,-40,45,-16
-100,-69,-6,1,-51
-22,-33,83,29,75
0,-82,67,51,-45
-67,7,18,-63,-24
80,-24,78,-92,79
61,50,-68,93,-82
97,33,63,48,-84
-61,-49,-56,95,47
-21,-93,73,30,46
-38,65,70,68,96
40,77,-23,-82,90
56,39,-13,-84,-50
80,83,11,-99,-60
19,-58,50,90,-83
79,58,87,-93,80
-8,-81,-14,31,14
-66,-100,41,51,-31
5,-92,-20,15,95
-88,13,41,-12,13
96,63,3,-6,-15
-65,-52,-68,73,83
13,-84,61,35,-60
47,-34,-44,9,87
63,-15,-66,-93,28
-71,99,-98,48,79
-36,-9,60,42,-6
81,-38,-2,-43,19
28,-60,-27,63,96
-95,-70,-26,87,-48
40,57,14,48,-5
-95,-95,68,-66,4
-90,-88,-75,-87,92
64,15,-28,-96,-47
89,73,-6,-75,-27
15,58,75,-91,99
50,3,30,71,85
-93,100,-41,4,54
-12,-92,-6,-54,-70
29,-54,-54,22,-19
46,19,-89,-51,44
91,-24,87,24,-19
79,28,26,48,24
-61,-12,77,-65,-88
-14,-5,13,64,72
5,-79,-7,-43,48
70,-15,70,84,-74
-30,-77,-69,75,27
79,58,51,66,-77
100,-39,88,71,-76
42,-36,46,86,-26
-28,13,36,87,-42
-67,20,-93,-58,89
-27,82,21,-85,-92
30,82,-41,-54,26
56,-73,-21,15,30
56,44,-80,48,60
43,0,43,-3,-89
-39,4,77,-24,-58
48,-54,-38,-84,5
64,-21,-27,62,46
-71,7,-58,27,-55
-30,-51,-25,38,-84
26,14,74,0,50
26,-77,79,-21,10
-30,10,-45,-84,96
-64,32,-13,-42,85
-93,25,-96,6,-81
80,45,-6,25,37
-98,-45,-32,-88,-66
-53,98,-81,-90,10
2,-50,-7,-57,-46
90,97,37,-6,10
-90,40,0,3,0
41,-56,-16,-96,-71
-1,-32,-34,-51,-7
57,87,16,21,14
-30,57,-51,-23,-23
22,87,48,42,32
-6,-4,-45,31,-47
-4,-2,44,-42,-85
42,-84,-92,72,12
94,-98,9,81,-2
92,-76,38,5,18
-25,-14,-74,-50,-58
67,81,97,-12,-89
-40,15,-17,-91,16
29,-43,28,15,80
30,-57,-40,-75,-6
33,-74,58,31,27
33,69,28,-24,76
87,97,94,40,-65
-56,17,93,92,-72
-30,-34,-64,90,-99
57,-23,50,60,69
14,48,28,57,-49
75,2,33,57,-33
-84,-46,65,-27,22
62,-1,-45,30,99
-61,-97,-44,87,16
-93,-38,80,33,71
25,61,0,-78,-28
87,-50,31,42,-71
48,95,-47,19,-54
-48,37,98,41,-48
16,-81,-37,-60,31
42,0,-47,-41,-47
56,-2,-100,84,-31
-50,32,-82,-30,99
-3,-62,-10,-87,-48
53,86,-35,-54,12
-59,-72,42,46,92
69,-49,-28,9,40
5,-61,6,18,-40
-59,49,-53,-90,96
-61,-45,85,99,-52
78,45,33,-16,-81
-66,-21,-65,-24,26
-67,-86,-5,69,-23
-79,-75,-56,-84,2
-5,-9,41,21,98
93,-57,-92,75,8
-52,-38,-3,-45,-52
64,56,81,50,19
49,47,-35,-23,60
76,69,-11,15,59
81,22,35,-30,-99
-75,64,-65,26,-74
56,50,-28,-21,6
37,-37,94,63,-74
-36,-19,-9,21,-7
0,-69,-72,12,55
-58,-97,75,45,17
52,-33,66,-42,84
41,96,-12,57,91
-61,-80,97,11,50
-5,-12,-84,39,96
-35,-89,-2,-3,91
51,8,-59,-18,-4
-12,-41,55,4,-48
-7,12,-21,34,-66
13,25,-8,35,50
-8,-53,48,-78,12
74,42,-98,-88,-14
-56,-24,-3,24,-14
37,-6,96,30,51
33,75,92,6,-95
95,97,32,8,23
-40,-48,97,-63,9
28,69,69,-18,-53
41,-88,33,66,-30
-6,80,67,-3,15
1,83,-24,-96,-78
-56,85,82,-50,41
-26,-93,-44,55,-92
61,60,28,-75,19
-47,98,27,93,-46
-24,56,-77,66,-42
-18,-50,84,75,-10
68,-48,-48,34,-8
-44,70,72,-81,-14
26,-26,-13,-51,59
4,7,-56,-71,-68
98,10,-1,-84,-45
-72,45,-34,90,-100
40,-51,7,-63,-7
-6,-17,72,-42,17
-22,84,-42,-48,-69
-48,23,-72,-81,-33
51,65,-9,94,13
2,-87,-95,-69,3
-43,7,77,-21,1
-27,93,40,-51,80
-95,91,67,37,-56
52,-64,-63,-30,29
-26,-60,20,-35,-97
55,97,58,-72,60
23,-41,38,41,74
25,57,-27,100,-64
94,22,13,-30,11
-76,-31,23,12,-42
49,95,-81,-84,-93
91,62,78,5,53
13,-78,83,72,57
77,30,100,-69,38
72,-86,-51,43,-7
87,18,-100,-22,-79
63,-15,15,-33,33
-58,-5,-15,1,18
68,-73,-65,69,99
-60,18,19,-12,-41
33,-60,61,-54,-60
57,71,-5,78,-76
-5,-66,96,-3,57
94,55,38,-66,9
11,-20,-51,70,-60
-56,-94,26,9,1
53,84,14,-31,99
11,-47,28,32,80
85,81,-63,-6,-57
60,-39,-65,65,47
100,46,98,-90,45
49,-11,-75,-96,-54
-9,66,70,-84,-70
96,27,-60,-51,-99
94,60,98,-83,-15
9,92,-91,90,25
-5,-67,77,-78,59
89,-58,-48,9,9
54,73,-100,-54,36
-23,-37,-42,-51,18
-47,-42,-45,-6,-96
-84,-62,-28,-81,-49
19,-84,-11,77,-18
-79,-93,91,42,37
14,-62,-85,12,-89
11,-34,65,-48,7
-70,-21,-34,36,2
53,18,-73,-6,-73
-47,-52,-12,-45,-86
-37,-54,-8,35,-12
-46,51,-59,75,-19
14,-100,80,-30,-10
99,-45,42,32,-8
57,-80,-96,99,67
50,85,58,-60,-6
-96,-100,86,-96,91
3,45,-84,-33,-30
100,63,-16,88,76
43,-36,81,-27,11
-91,69,91,-45,68
2,7,61,-34,-20
-98,9,-48,0,-47
17,-51,-11,37,2
4,77,-14,-72,-57
31,-66,90,-27,-40
50,-55,-59,6,95
-46,96,-79,-42,-57
-27,-97,-17,-19,-96
-92,36,39,-21,-66
-49,19,41,42,-39
-11,-8,44,42,-50
73,75,70,27,86
2,-88,-36,72,-68
6,48,95,-93,-83
70,-82,38,81,95
-80,67,-70,37,53
-72,-42,75,3,22
-37,7,30,66,39
18,16,-24,-84,98
-58,-83,70,-50,-13
32,45,95,-34,-74
95,-91,35,-33,-42
-51,-23,-21,-69,-16
56,72,86,51,-46
-55,5,-92,-93,91
73,-96,84,-15,69
-64,-20,11,83,-96
-44,76,-22,87,27
-76,94,60,-8,97
45,-39,7,-95,-56
57,-31,-78,48,53
-43,-9,77,-54,-44
54,-35,-81,51,9
-6,31,29,-36,97
-44,50,-51,-42,41
42,58,-2,-24,-16
-15,23,57,37,87
-90,-2,64,-45,26
-4,-21,-69,0,-95
-59,59,12,-48,78
-36,1,-2,90,-51
-52,-7,-1,36,22
-60,-36,-16,-75,-53
-10,-40,-52,48,77
-76,-33,20,45,2
-69,-96,-92,93,48
53,-22,45,-9,66
-44,66,78,36,21
-61,89,89,-90,12
83,41,-54,21,-30
61,94,41,6,-43
-89,51,45,36,-9
14,73,-10,21,-76
-97,-88,-32,-23,-84
