column0,column1,column2,column3,column4
-73,90,7,-68,-2
-26,34,-14,26,59
83,34,-3,61,41
15,-72,-87,39,-22
42,56,-74,-72,88
9,84,-84,10,-16
-13,-32,-89,-14,88
15,-14,34,-26,47
66,-60,-25,69,89
68,-24,-38,32,76
2,63,8,-72,-52
-36,-32,-6,-51,5
84,74,95,-13,82
-98,-10,-56,3,-92
-18,18,-23,11,59
-65,43,-49,-40,-27
-66,75,85,-26,-7
-50,19,58,90,-64
-52,-93,33,-42,-74
4,78,-77,60,97
-9,9,89,-1,-83
-61,-15,81,-58,-72
30,93,-7,91,70
88,-60,-6,60,22
13,75,-69,-68,27
22,-10,-67,-19,35
20,37,-6,-40,-84
-74,-71,-36,-7,75
-91,-26,-48,39,-41
30,81,99,-61,6
-81,-70,-60,-15,99
-77,-53,5,-79,22
-24,23,-13,15,80
-98,-52,-84,-71,67
-55,54,-74,-23,-50
-92,8,-87,37,-31
-72,-10,4,-71,5
-6,75,-27,34,15
-87,-31,-91,-25,-37
-65,-51,63,-14,-65
-49,18,40,-11,-49
30,-38,67,81,-72
-23,-89,-9,28,-66
23,14,-35,77,13
4,-11,-63,65,70
-68,-10,82,25,53
-2,-87,87,68,-51
38,10,90,-34,99
27,-47,-70,20,100
49,-30,-76,-7,-66
24,-46,-47,-77,-20
-41,20,-20,63,45
5,43,67,81,-11
-33,-56,-65,94,54
19,78,-97,11,71
47,10,62,34,2
61,-18,-18,-65,72
-39,-3,4,53,20
37,-72,-87,-43,-47
58,-15,-99,82,43
-23,71,-42,72,-40
-69,-66,-38,-68,-58
21,42,-91,-17,-65
12,34,54,2,-19
97,92,93,-2,34
-85,0,-83,-53,78
-1,53,-51,96,17
82,84,-71,-33,-49
74,56,61,-5,-21
44,71,-56,-52,-78
11,-62,-39,5,86
29,84,-58,-73,66
-46,73,-43,17,-7
61,-21,-74,-94,-34
86,77,-5,78,33
-94,-20,-38,81,-87
-63,94,-4,-75,-3
-95,-33,-6,-23,11
-15,60,88,80,-52
84,-100,-83,76,26
44,6,99,-19,-41
-52,-53,91,13,26
22,27,-21,-69,-15
-28,11,-69,-50,-12
73,-48,-33,-1,34
8,58,-36,58,53
-75,96,87,-10,35
-55,37,59,-36,-77
-83,60,-66,88,91
-78,84,-9,-90,50
-13,67,78,-67,-100
66,-18,-78,77,78
-2,36,-36,-59,60
42,69,5,70,-93
51,55,61,-74,1
74,10,80,-79,-38
-100,-48,-20,22,-24
-83,35,-91,-16,-57
56,-4,-82,-20,-8
-10,-44,-9,98,78
-93,90,-73,29,32
-99,-80,-82,89,43
-77,-64,94,-73,-13
75,-5,82,78,-84
57,-60,-19,-35,-35
-37,82,-43,92,83
-98,-62,-8,93,55
36,88,-25,10,17
56,12,80,-93,90
96,-61,-44,10,-58
-81,75,-18,-36,51
-65,78,-9,-18,-71
-51,-38,39,-43,100
32,65,-34,-40,55
-75,65,-8,27,-25
48,23,-61,26,40
-7,0,39,-42,24
63,42,98,-20,-32
-3,29,-63,-100,-27
35,-29,-35,-88,-28
87,20,40,-3,-26
56,28,89,-10,72
-29,-16,19,88,83
-86,-40,63,-30,-8
86,-98,-5,-24,38
23,98,86,62,56
-98,-60,-87,-90,13
-57,17,89,30,76
-5,-87,0,-25,-53
62,-86,-28,-37,-72
-22,3,-93,-22,-67
-35,18,-14,60,-78
-53,-36,-18,57,-34
-85,-76,-51,-14,-63
42,-44,-35,-17,44
-70,-55,-35,63,37
75,91,-31,-84,18
14,49,75,5,-57
-69,87,-22,-89,40
39,-88,86,-92,-14
68,-68,15,33,53
-84,-46,-81,12,72
-15,21,-61,24,-86
-33,-19,96,-45,-12
69,2,-2,27,-9
4,-84,82,-43,-7
44,-86,-25,-87,-78
-21,55,-45,-7,45
85,-17,-2,97,-79
44,79,66,57,30
30,81,-55,-50,73
-27,28,74,-29,-97
-52,-37,-11,-74,-88
-12,40,-5,65,-73
27,-57,88,-82,-51
100,64,-1,67,-84
27,-4,69,-79,-28
80,0,86,-35,28
-72,-58,-70,67,-57
79,71,-14,-84,-57
-73,-48,-4,-9,56
-17,-58,-11,87,19
91,52,4,100,-87
-31,79,-4,-89,26
-98,-64,12,74,-60
-14,97,99,-93,71
-2,-74,26,-42,-5
-71,-21,-87,48,70
95,84,-2,-18,-58
2,-20,-57,0,-36
-73,-39,-30,13,29
79,-48,23,4,8
-27,70,-34,-19,48
8,-50,-80,44,-57
30,-71,67,67,-53
-64,22,95,39,-1
95,-55,46,-12,-67
74,-81,-77,-21,55
-53,-98,-13,9,19
-33,-66,97,-73,-100
34,-78,63,-79,84
-49,-74,-24,-15,76
19,-61,-92,70,37
12,71,-32,73,-86
-48,54,-100,-11,-59
76,26,-30,66,4
-81,-90,86,22,-59
1,28,-62,-11,95
77,1,-44,37,-7
92,-57,-92,-60,-91
2,-24,-65,-92,67
30,-20,-11,45,72
19,-2,-24,86,21
43,88,-74,97,-77
-50,-68,66,-32,100
64,49,-16,-14,48
9,89,-8,92,68
-36,-68,82,47,7
99,63,84,-66,-15
-30,-95,71,-54,-65
-62,7,61,-30,74
-87,82,47,-54,97
68,-77,-9,60,-86
-69,-44,-62,77,54
85,22,-7,-97,100
-59,19,45,99,-8
32,-65,-37,67,98
30,12,-9,94,-88
-49,-99,-36,48,-73
-30,30,-68,64,-73
-11,39,-71,-75,25
54,-26,-59,-32,54
-66,-33,-77,-20,-27
-72,88,76,37,-37
22,2,-62,0,-40
-49,-83,93,-80,90
33,24,94,-57,86
48,86,63,-64,46
72,85,-19,93,39
-46,2,-13,-55,58
33,-67,-100,59,26
87,99,71,-65,-53
83,87,86,99,63
-69,-21,-60,27,-15
27,7,97,73,10
93,32,-95,-80,7
-7,-100,-8,98,-62
-19,19,-54,27,-56
69,5,-36,8,10
72,22,77,-18,48
-99,96,-64,37,-78
-52,19,-20,-21,63
34,-10,-84,-61,-49
-33,-67,-14,-78,71
-21,-43,44,-63,-13
61,37,-18,24,-84
-43,-33,-40,-88,39
33,-20,4,12,19
85,-32,-44,14,33
23,84,-47,48,-59
89,21,-97,56,-2
36,-52,76,88,-28
89,-91,25,70,-97
-82,98,-13,-14,-47
-99,-21,4,89,30
3,74,-48,-61,-6
-76,-71,6,-55,84
52,-66,-31,-8,-2
-63,3,42,54,-5
61,-8,-72,11,-39
-33,12,-97,-87,-63
85,88,-12,-34,6
-24,95,-10,25,74
29,1,75,-82,-41
28,-61,-53,56,40
-58,55,78,72,14
-14,-65,-91,43,-95
-37,56,65,91,-3
-18,-18,97,-11,-4
1,-62,68,9,-58
-21,-50,-97,-87,-72
99,80,-28,5,-2
-74,-88,74,-3,-89
-71,-65,-63,28,82
-5,29,72,1,-82
99,17,16,-95,20
-53,-28,-7,32,32
95,-32,-100,57,-55
40,22,-88,41,-3
-77,-92,-11,49,85
40,98,17,-8,80
-79,-50,77,44,-27
65,-70,61,-96,96
-61,-89,98,-63,63
-17,76,62,-72,-68
71,8,-50,-99,-72
-79,27,-27,-75,-19
57,58,54,4,80
73,-17,95,-91,-87
38,-70,21,-89,-21
12,70,52,86,-78
45,-25,-23,-8,-57
98,78,-18,19,79
15,73,-86,-8,36
22,84,-84,-50,97
-5,63,-22,-36,-85
-70,97,-95,-46,62
-75,32,68,33,-25
51,-76,65,94,50
66,37,90,37,-94
74,-82,-54,-9,27
76,-85,12,-40,37
68,-38,-68,-59,32
36,7,-6,56,36
-2,-85,61,94,-61
19,41,-8,-18,21
58,35,90,-32,-90
64,74,79,70,8
10,32,-77,-44,8
-57,-28,31,-26,-97
78,4,-27,-48,-31
27,-38,82,-51,69
-32,58,-55,16,28
-4,-65,67,31,54
47,55,-65,-89,-65
7,1,-64,-10,76
-75,-11,86,-96,20
17,64,-98,-1,-34
96,-53,-30,-19,-75
86,65,20,-1,-97
-47,-32,-41,-76,-22
21,-85,-79,20,14
-13,-28,-58,-43,-97
-92,-34,77,95,-4
-62,29,-38,54,39
66,80,-8,-73,72
-97,84,-45,-52,51
-3,65,-38,74,10
-52,28,96,24,-49
-47,81,32,9,80
48,-73,2,-12,51
80,-23,92,-78,82
-75,-22,-14,96,-64
-79,100,-82,14,-64
-48,33,-71,-71,76
17,-89,-45,-40,-83
-76,82,-12,83,-4
-84,37,-78,67,-40
-92,45,70,76,93
35,62,86,7,21
-97,55,79,-74,-68
57,-66,100,34,-57
-98,-23,-44,44,-55
-44,45,-16,-60,93
23,35,-55,-1,63
92,-68,-83,11,-98
-99,-17,78,-87,94
77,-65,-61,-69,-5
18,39,-46,-84,45
96,-20,-27,-28,-58
-52,46,-77,76,-68
-14,94,-88,29,-2
-69,-88,-46,-11,-20
98,11,-94,6,52
51,9,-46,22,18
-39,-38,75,-98,-82
-67,-21,75,78,-12
-80,-50,-50,-65,97
99,-11,-84,-35,-27
-60,-55,60,-22,-24
-57,31,-15,86,-25
91,90,-95,1,-50
31,73,-35,-90,-92
-82,19,-87,8,62
40,44,-1,100,14
-67,-56,82,85,69
-96,-4,-38,-94,92
-36,-97,-78,-42,-19
18,-70,-88,-22,67
-52,-34,7,-81,9
-10,78,-100,-37,4
-76,79,2,-26,-80
-17,-42,100,32,27
-40,-3,53,-2,-15
40,24,44,-32,-63
32,31,-22,18,-49
-70,96,-88,-57,54
46,-20,80,-94,-45
-97,44,72,-47,98
-34,-30,-83,73,99
-26,-87,98,-4,84
71,-16,-19,92,-29
-9,-39,-9,95,-51
43,7,-19,-32,4
83,-69,-93,-6,-9
-93,24,22,79,-18
-2,19,-99,-76,77
-95,94,80,-34,-9
32,95,76,25,49
-52,56,-57,51,-69
-56,46,-58,49,51
7,-40,-3,23,71
42,-75,32,56,52
3,92,1,-17,69
-69,-45,97,98,67
9,12,-82,60,-23
-4,36,-58,11,-57
-81,20,20,89,-12
-1,-37,-88,10,0
-75,-70,-88,4,-9
-5,-6,21,57,100
40,52,80,60,-97
-78,36,-43,-22,1
69,27,84,28,-83
-35,51,-41,-20,-65
88,-96,65,10,48
-11,-96,-45,45,20
-89,-17,-1,18,-31
78,1,7,44,24
-81,80,-56,80,-4
-69,-17,-76,5,58
-40,-81,81,12,-9
-89,-67,-50,56,67
-92,-7,-71,85,-63
15,-68,63,80,63
-1,-68,-99,2,-10
-94,-94,-46,34,-80
94,78,56,91,10
86,86,2,17,16
-10,-3,49,-33,-1
