column0,column1,column2,column3,column4
94,-62,99,-43,77
58,-74,83,19,5
-98,-5,27,15,87
-38,87,71,-98,1
-61,-30,51,-30,68
-60,20,74,-85,27
21,64,100,95,-93
15,-43,94,-90,-27
-80,19,-78,-56,-92
-24,-70,67,-51,-89
42,-73,40,59,37
-97,48,-40,-88,-75
-4,-93,-32,-87,-11
-27,-92,78,-86,-56
-87,88,-33,-24,17
75,-39,-55,82,78
80,-20,-97,69,56
37,18,27,96,78
61,73,38,39,-74
-52,19,84,-97,-37
38,-55,-68,-27,4
-42,80,80,98,-26
-26,-82,-87,31,0
19,44,43,24,-13
-85,-68,85,72,66
8,-75,-26,82,74
-68,-72,-64,73,-91
-12,-92,62,40,33
-2,-91,45,48,11
39,65,-38,0,24
-55,64,96,42,12
-71,87,-83,6,-20
-95,-78,5,81,97
-29,95,100,46,-60
50,20,64,-98,5
15,52,-96,90,72
15,-53,-35,23,-4
-10,4,94,-72,75
-53,-77,-21,45,-83
-78,-11,-15,-18,-28
-34,-98,43,58,-3
-8,-56,-41,90,100
14,2,63,47,-76
-39,4,-90,-91,8
28,11,21,63,40
7,-10,-20,-57,30
-43,-57,23,81,11
-65,71,80,-93,19
66,42,-66,24,-33
-25,89,36,-78,-23
-83,61,-57,-76,45
-33,-5,-33,-84,-17
36,-85,-16,-55,9
-26,-94,-15,68,-46
40,-57,68,-38,52
50,34,23,96,-68
14,71,72,55,-97
-56,91,86,-67,15
-34,-98,79,36,1
18,85,45,-57,-58
25,-60,82,83,-69
16,2,75,-77,26
-15,5,41,-3,37
-50,-80,-98,-12,-50
15,9,59,-78,-95
-10,59,-24,-21,50
86,3,64,48,32
91,-31,-81,-72,-22
44,-84,82,-69,43
57,-55,40,27,-31
71,-29,79,-69,-97
59,59,34,-72,90
-5,4,51,12,30
32,-92,1,-64,-71
73,1,26,20,60
64,56,29,79,-77
-54,-60,-93,49,-45
38,-21,-30,-61,96
-79,-34,90,80,32
-72,86,-8,66,99
57,93,87,-45,-95
15,91,42,-58,-5
66,63,95,24,47
-77,-72,34,60,8
-23,-69,-45,67,-98
-43,82,16,-84,5
1,-46,51,42,-34
-40,-36,48,-72,24
3,-19,19,-51,-54
53,76,93,-40,61
98,-67,33,-15,32
-28,85,-19,35,35
-49,-61,93,-21,30
-33,82,79,-85,48
-9,-1,36,-93,65
24,31,-23,48,-33
-22,-54,50,-57,-62
73,25,86,63,-59
-3,39,23,4,-5
20,-13,85,-49,33
-10,80,-34,-44,21
91,52,46,-3,37
-96,-47,50,84,-29
-72,56,-28,60,46
76,-59,-82,24,-99
-70,48,-86,-15,42
80,44,20,-50,9
-99,43,62,76,88
-59,79,-43,54,-39
-70,44,-31,-74,-85
67,-61,-67,60,-7
-54,-35,13,-4,71
52,-8,26,-51,-61
75,-96,86,-37,-66
-81,8,-87,54,77
25,-56,25,-79,-62
54,-97,41,9,-94
-45,87,90,-30,1
-38,-86,90,16,2
3,-58,-100,48,-38
-4,-43,92,89,92
52,-35,3,47,-55
-67,41,76,-73,38
-98,-58,89,-9,-8
-78,-93,-56,60,-46
83,71,97,-50,76
-80,-61,75,41,7
-75,-20,44,-23,74
84,-99,-71,81,71
98,61,-74,-14,-91
-66,-1,100,-32,-53
17,-70,68,44,0
72,-37,-79,75,-30
30,86,99,-76,33
71,-92,-38,36,4
69,57,69,7,-23
7,55,55,15,60
35,65,-58,87,-69
-76,63,97,-59,-91
-44,92,-52,19,-24
57,35,91,-55,29
-38,3,-77,-96,-14
78,3,-84,-57,-28
12,-34,66,16,-67
-77,77,57,-66,15
-1,-52,45,-24,-21
53,78,-57,72,15
-95,-43,-4,26,21
-59,90,4,81,-67
0,72,-56,-39,21
-74,-55,100,25,51
-89,60,75,39,-58
84,-30,70,75,44
86,7,-12,-60,-12
-69,85,31,-69,-26
-56,-22,-43,30,-56
77,-10,-78,51,48
38,54,-19,-15,-72
81,-39,-63,3,39
-55,32,84,93,21
-93,-77,14,-53,11
32,2,-76,-9,26
82,70,-60,-15,-72
-17,76,97,34,20
-51,-56,-14,-57,-77
-70,27,24,69,-98
-14,79,-14,72,44
35,49,-42,-6,55
-19,23,42,79,88
69,-64,-38,53,-45
-77,-4,62,-42,-68
43,-41,21,-93,83
76,51,-3,-3,-99
8,62,56,-9,-8
49,-45,21,-33,-35
-9,-72,-74,-75,75
58,24,-84,-85,-2
-98,-73,90,12,65
-60,-50,90,-87,48
-11,62,53,24,93
-73,52,22,30,-78
35,91,69,-6,24
39,-85,80,-39,-59
