column0,column1,column2,column3,column4
-36,92,46,90,74
-47,55,0,84,63
58,9,86,69,-1
-58,71,-45,47,-62
-60,85,85,-86,31
-22,-37,-40,-21,-83
87,44,81,-51,6
26,-55,-81,64,-51
15,-38,-79,-24,87
46,-3,-46,-12,-75
-84,-5,-6,63,80
59,-63,93,0,-57
-49,50,-2,19,76
3,28,-44,36,-12
85,53,43,64,97
-63,59,18,-75,-56
21,46,-6,-60,-75
13,40,-90,88,17
-61,2,-67,-42,-95
0,97,-16,31,-27
65,-73,-48,5,86
74,64,-96,-88,21
12,-73,-9,-8,93
-36,-42,16,72,22
36,-52,59,48,-30
-24,60,20,0,60
-52,41,52,-82,16
29,-18,-10,27,46
-52,-29,40,-40,-77
39,-63,-84,-19,60
50,-32,-84,1,-88
58,-85,71,-97,-22
62,-24,-64,-81,59
-71,67,39,77,-96
51,-12,-24,-48,28
90,-90,-91,43,-3
70,2,-70,-88,30
51,29,-65,-78,45
-90,13,99,69,-89
-22,44,-73,-6,-98
-50,66,-67,-34,-44
20,69,38,-22,-23
1,-31,-99,-49,47
55,5,46,65,-59
16,14,29,84,82
31,-83,-63,21,100
74,9,63,69,-37
85,42,33,-59,52
35,-43,-93,55,86
-13,83,51,89,22
81,26,-77,-99,-48
-65,38,-54,58,100
55,-56,17,61,31
-42,-86,29,-9,46
-47,-69,34,72,-43
-12,-43,24,72,-40
41,-19,-78,97,92
17,-39,90,-73,62
50,-1,-3,-93,100
-100,98,-85,-90,-54
-87,12,-4,95,-75
78,29,-73,72,94
-55,-67,1,-41,-41
-59,83,-76,-3,76
43,-96,-47,-71,-10
-15,-35,-3,-91,-43
59,-6,-69,93,20
89,-59,-78,-69,-69
38,38,59,-30,13
73,94,32,-19,4
87,100,-99,93,-64
-7,46,-60,42,29
57,-81,-10,-51,-85
-37,53,-11,93,-53
-22,99,-87,-3,-10
-10,-22,-76,32,75
-74,-54,57,-48,70
-75,64,-7,91,-32
-26,-34,9,44,93
-3,-65,-26,62,22
15,91,3,62,-16
-28,-15,-48,87,48
-43,51,-91,-18,68
-75,-29,-85,-26,-36
-2,12,-79,-9,-23
13,40,-92,30,-42
-52,93,82,-95,-100
-100,-60,-83,59,77
-77,-73,72,15,-83
32,9,-62,-52,-89
35,66,15,86,49
-60,-83,21,59,19
-33,-72,-36,98,79
17,48,66,51,-12
95,-14,81,31,-37
40,43,-27,65,-16
