column0,column1,column2,column3,column4
-23,32,-76,54,-18
67,53,-85,96,-32
-99,-91,100,9,95
-87,16,-50,72,-65
-70,44,-65,-12,-38
-45,-89,-74,-62,-61
24,58,16,-43,-34
49,34,-60,-66,-32
32,33,39,87,-65
23,4,-76,23,-28
56,-6,-5,54,84
66,-43,51,6,-69
-21,37,37,-51,-31
-62,81,88,93,96
52,-42,80,-91,4
-77,77,-9,-75,96
49,-29,-80,-93,83
81,-23,27,39,-50
82,42,30,34,-62
-83,-18,54,100,87
6,51,24,13,-82
-100,26,-83,83,-85
-74,93,-14,36,6
-9,-73,19,35,86
34,-65,-15,-95,55
-14,28,-39,-3,-100
-85,36,-51,-72,16
-64,31,-98,3,72
-30,-35,-69,33,-82
-81,41,-42,-67,-16
17,33,50,10,-9
67,-47,-82,-12,-83
-97,-74,2,-66,-82
73,45,-89,-99,68
11,22,-86,-90,46
11,45,57,-10,-92
-10,23,61,-42,8
29,45,28,-42,-10
28,85,-67,90,-44
58,67,2,-78,-82
-15,-33,65,-34,-16
46,69,-8,9,16
72,26,52,-57,-10
54,14,-9,-9,-72
66,26,30,57,22
-45,-84,-35,24,60
-73,-55,85,-88,-69
-59,64,-8,42,72
-73,-4,31,-33,13
-68,32,-67,83,-66
12,34,62,-14,47
-82,-16,-99,-52,-69
-88,-21,38,0,46
13,-38,-83,9,-17
-81,85,86,66,70
100,72,78,54,-4
-55,2,-18,-8,18
-81,24,-62,-80,53
0,22,35,89,64
-52,46,-66,-63,39
-80,-7,33,-27,98
-28,72,-93,27,64
83,-79,0,18,73
44,-96,84,-24,-93
-84,-89,-93,78,60
16,100,15,-39,9
77,-36,71,3,-9
-25,-80,14,-51,90
97,38,-46,41,75
82,100,9,9,87
71,53,92,-57,-26
-3,-7,-19,-37,22
-56,100,-55,14,16
-90,81,-54,9,92
94,35,-6,93,-71
-79,-82,55,-60,-91
14,-78,82,81,77
26,-62,15,-46,-79
21,38,58,-66,-3
-48,89,15,-96,-70
57,-99,-51,66,-81
29,25,62,69,5
52,-92,-7,15,-13
-51,-62,-74,-81,-78
49,89,-72,39,-20
-25,0,-3,-14,-21
25,-64,84,-87,-25
-87,89,19,-69,-59
-55,40,62,85,40
-47,-24,-3,-27,97
-63,48,-33,-63,-74
-82,81,8,42,-92
-63,43,-100,21,75
-77,25,57,99,41
5,-88,50,-62,17
-74,1,85,39,84
59,-81,-12,-13,66
87,-5,-65,87,3
-53,5,-51,63,79
-58,-5,-53,12,75
47,30,-48,-21,-8
25,7,86,57,35
-69,-47,-78,-42,36
45,-62,-95,-75,-63
-91,-8,33,-3,48
-59,-65,2,27,21
50,-49,-37,-20,22
-15,38,-47,-69,12
-81,0,-83,58,-40
-60,-41,-30,-69,29
-59,29,-2,36,33
35,-44,96,-82,-37
-72,5,46,-78,72
-42,34,41,45,-56
-27,47,70,87,-90
71,-6,-37,-33,-33
-92,-64,2,-24,3
61,51,-92,51,40
75,-55,-59,-33,84
61,-53,-58,79,30
77,-98,5,-33,15
-9,12,79,53,-82
80,-17,-86,16,-82
19,-8,-22,-99,-84
-23,-36,-38,0,91
75,82,79,-71,90
-42,16,-82,-45,71
-2,86,35,-30,69
27,15,-4,24,-40
3,66,57,87,33
-77,26,14,1,76
57,79,-88,41,-65
3,-9,-43,78,-89
57,9,-65,-22,-36
-31,-88,-13,24,43
-17,5,22,15,-22
-1,33,-4,3,56
34,-70,47,-68,-57
-46,-87,55,87,62
68,-83,-56,14,-62
66,11,25,-90,2
-80,30,-51,51,-31
-46,37,65,-51,10
-99,4,-47,-100,79
97,-39,-98,38,-14
-75,87,-17,93,84
7,-3,5,55,97
88,84,-12,-24,23
-90,-78,-96,18,-42
-84,38,-55,24,-74
-91,73,-95,-30,-17
13,81,52,0,20
-29,84,-18,-45,-27
32,-83,-52,-72,-22
-50,16,38,-30,-1
73,60,-16,67,19
-49,88,-59,38,-20
14,-92,-38,-87,-43
-73,94,-76,37,-82
-3,-54,-64,74,77
10,90,70,93,-42
49,69,-42,91,-94
1,-27,36,-45,-74
-40,-37,99,70,-90
87,48,-81,-46,22
-89,60,39,-72,16
-94,-35,-59,-3,-14
-93,3,47,-63,15
33,42,-51,33,-2
9,-46,34,3,39
-21,84,-83,-61,-14
-51,-50,17,48,86
-31,17,20,-36,-19
89,72,-13,-63,79
33,-76,13,24,-18
-36,9,17,-21,-57
9,59,81,98,27
-38,48,-17,66,80
81,-95,-6,33,-44
25,35,-1,-98,62
24,-13,-34,-12,55
-49,74,-65,84,-39
12,-23,-91,-9,-81
-42,-95,-42,-63,7
2,2,33,39,61
30,28,-69,-27,-30
68,-11,38,87,-81
50,94,-50,71,-99
91,-70,34,93,-42
-8,95,-95,-69,14
68,59,-38,27,-89
-86,67,-31,9,81
65,-98,93,57,-58
-34,-21,20,-8,-12
94,13,51,-72,-34
-48,9,-32,-7,-39
72,15,66,98,98
-68,-38,88,-96,-45
-95,-11,23,26,-53
48,-81,99,-93,95
41,-100,73,87,-86
21,55,27,87,99
0,96,-80,-29,82
65,37,90,-56,16
76,59,-54,57,68
40,-3,-36,45,-39
53,-81,50,-84,52
-77,55,35,-3,-4
53,70,29,66,85
-43,83,-70,-12,64
-23,3,-96,67,35
-6,-34,-74,-99,0
24,45,-13,-96,97
63,86,-90,30,-28
28,-94,-80,42,61
72,48,77,-90,-5
30,38,59,32,-77
17,-90,37,72,49
32,54,68,38,-78
24,-68,44,-75,-30
33,-10,-4,-54,-88
41,97,-49,-36,78
-48,-89,28,18,35
-68,55,47,75,86
-6,-84,-5,78,-16
-35,-22,89,9,86
96,-95,7,-45,12
-15,24,-48,-12,-66
-90,-66,44,18,3
-80,91,93,-78,67
-17,39,29,-36,71
-75,-99,54,-89,-97
91,67,-93,-41,-65
-7,-37,61,21,19
78,-27,-94,-3,-13
21,-32,-52,-33,42
-17,-24,45,0,5
12,-27,86,39,4
-47,-39,80,89,-26
51,44,-10,-83,47
84,-12,72,96,40
-39,33,-90,-9,-15
-10,67,45,84,-47
-10,-24,70,12,1
-9,98,82,-21,-95
-96,57,-13,34,28
-32,-23,-58,-34,-9
96,-64,-20,12,39
40,-25,71,32,-1
-59,-54,24,5,90
28,53,-86,-12,16
-40,21,-86,6,48
1,-35,24,69,-19
-64,-98,0,54,70
33,-98,-44,-80,28
43,9,-49,54,43
70,67,-59,0,-67
16,-11,-89,36,53
44,-86,-95,-94,100
-20,87,-21,48,11
91,-10,-98,-3,45
100,86,31,87,80
-37,-63,24,-90,-72
47,100,39,75,12
76,35,100,37,8
-34,30,46,15,-55
63,1,-56,-78,-12
38,-12,17,43,-88
-91,-51,87,12,-2
62,-20,60,27,-30
32,17,40,-5,-24
-7,66,68,-57,26
52,-10,-70,72,-89
-77,87,-27,-90,32
36,-22,-69,41,-14
-62,-31,19,6,-69
48,67,89,-92,88
0,76,56,-75,-81
-89,74,-47,12,57
63,-16,78,93,-79
59,-54,-28,31,-75
-16,58,49,87,-79
34,32,77,63,-71
29,-98,60,6,-49
10,1,54,0,72
-50,76,38,3,84
-99,-80,-22,98,-7
-53,-54,-24,-50,84
-62,-60,-89,41,93
-3,-22,-56,-54,-87
85,86,-63,69,26
12,35,18,-15,58
-79,73,50,4,47
28,-92,-9,-15,89
-57,0,-74,45,43
-78,-54,66,-63,-73
-40,58,-92,99,55
17,92,3,56,89
-45,77,-67,12,-63
1,-64,71,46,-87
-61,-13,58,29,21
-80,84,-45,-57,-58
43,-43,-35,31,-17
-66,7,62,-42,-42
-87,-18,0,36,-37
51,54,25,3,-45
1,-100,-7,-3,52
8,0,31,78,64
7,-77,62,-39,58
37,-39,0,18,-60
-54,75,2,31,22
39,-38,-84,35,22
26,85,-1,-3,91
14,37,-40,21,-13
-65,-53,-10,18,71
-54,-44,-76,24,90
99,-46,-57,-84,63
-18,79,-20,-6,-92
13,55,43,90,99
98,29,44,57,-58
67,93,79,-19,76
53,-38,35,-52,-41
-55,30,80,-42,-92
-3,-12,-17,-81,-88
-31,-86,-83,-48,-76
-12,-88,-69,-51,-83
-16,-36,81,87,-64
67,-97,-70,19,-10
-69,-93,-76,-22,-47
77,59,-6,-99,20
76,100,30,73,-14
5,82,-7,-66,-51
15,91,21,54,-41
59,13,38,-48,25
47,42,-4,62,84
-77,57,65,33,-75
-25,-36,77,94,-70
82,55,67,36,55
37,10,30,31,-83
25,58,90,12,-58
-95,79,-37,12,-41
-72,80,12,35,90
-43,71,-64,30,6
-77,93,55,14,-97
-18,-36,56,-83,10
2,87,-40,-30,-3
93,-76,-28,9,3
-7,3,-28,72,41
-77,-79,-31,45,92
-24,72,-40,72,-51
26,30,-85,9,-64
84,66,34,90,22
-94,-33,-79,78,-99
-51,99,-57,-52,-17
78,-17,27,15,-72
76,76,-86,-51,-39
84,-76,11,38,90
86,8,5,-8,-24
74,41,38,-62,91
27,-38,17,-27,-23
87,-12,-7,-96,88
49,57,-26,33,54
88,-72,-74,25,-37
56,99,-36,28,7
84,79,-69,-51,-72
-23,56,-75,93,-10
6,12,88,36,-10
36,19,30,-88,62
-24,-100,65,-48,-39
89,84,58,34,-57
12,-36,-39,39,-39
50,27,42,-33,-79
-4,4,6,-93,77
59,85,-94,93,77
-29,-25,-55,-93,-38
-60,-35,59,54,-65
-17,-51,-72,54,73
-54,43,88,-50,13
82,21,65,-21,-68
-6,39,23,21,-86
37,-78,30,-57,-4
-26,-52,-13,-96,76
100,12,35,-22,9
76,-15,91,74,97
97,-37,26,-60,-33
58,-46,-13,-87,-52
99,61,96,78,49
93,57,-32,77,76
-42,96,99,-90,-11
-13,63,33,-62,42
95,-24,67,60,-64
32,-80,-1,63,-50
31,0,13,72,79
79,-9,24,48,45
-42,30,47,6,-5
-12,59,90,-76,-3
53,-88,0,57,-48
-76,69,34,-6,-45
-77,17,-42,-99,-13
55,58,-73,-23,86
-81,-75,68,-21,-48
-21,-93,30,-52,-10
-76,47,-66,-26,-2
72,-87,-83,-9,69
-92,-54,-91,-42,49
14,49,18,54,6
8,-60,-97,51,-99
63,61,75,62,69
-46,98,-73,61,6
-55,45,69,-9,42
5,-71,-100,42,-40
11,44,-8,-90,-62
-1,63,-43,72,-52
58,92,1,32,87
26,-9,84,72,37
57,9,-39,-33,22
89,-51,-54,32,-20
-49,-32,-53,75,4
1,-82,81,-20,15
-10,70,97,40,41
-23,1,20,-48,62
26,83,-90,12,-16
-70,92,85,-15,-19
