column0,column1,column2,column3,column4
61,63,-55,69,94
47,24,-66,17,26
51,94,-100,63,53
55,-53,53,-73,54
-75,99,93,20,28
53,14,-40,-17,54
11,-97,-50,12,-79
-58,21,-5,52,-66
85,59,-33,-61,-36
-73,9,-73,30,22
34,81,-23,-89,13
-47,99,22,-15,43
63,-31,-91,-50,-56
10,67,55,26,-39
-29,-24,61,96,-23
100,49,60,54,-32
-94,64,28,47,90
67,35,-5,39,-68
-52,90,-5,85,-44
75,94,-15,86,50
64,72,-51,82,-50
54,72,-42,-78,-98
53,63,-40,99,3
56,31,-23,27,-12
43,92,-3,31,84
39,56,49,-13,-19
-59,53,-61,-43,-52
79,-9,62,27,-52
-25,56,42,-69,22
-65,52,-70,-32,-62
-22,99,-62,82,9
-23,32,42,69,42
72,91,-92,-97,52
-29,-82,-73,56,-97
-64,-68,-73,-81,33
7,37,-21,-57,-68
93,-55,1,12,4
50,59,-2,-97,-8
99,-80,-74,67,-35
90,64,-59,31,-84
100,-98,-71,19,-84
72,-60,-25,-80,30
-28,4,33,-27,54
-41,-30,92,-99,-82
-70,100,50,-47,0
6,-67,15,-24,-81
-51,48,-74,34,-97
55,85,-61,85,-7
27,-67,8,67,-81
74,6,100,65,-29
-1,-3,-76,29,9
-36,75,96,90,-18
-5,37,95,3,76
95,-3,46,-11,85
15,-69,-50,62,-51
49,-67,-23,-39,27
55,-97,92,55,80
39,-91,-54,-57,-2
-58,85,-58,100,-94
-87,100,66,-78,74
-56,6,-94,64,-8
30,-95,-76,84,-100
26,75,26,-29,80
-100,-7,41,4,-35
-21,28,-89,-23,-62
-91,-87,-93,-64,67
97,81,-16,31,-10
21,-15,-38,-44,-47
-19,71,78,-64,13
-25,-58,48,-59,-39
98,-24,-46,-57,32
-84,21,18,44,-23
44,-68,-50,10,39
-25,64,-38,35,-77
68,-14,-70,35,-12
-91,-8,-55,-64,-58
-12,-35,-31,26,-21
89,-50,56,-100,31
-95,27,45,-71,-12
74,-26,-74,-23,35
-69,90,-15,86,50
38,-68,-93,-37,41
-24,-87,64,69,42
-96,57,93,35,-43
5,-44,-46,-40,8
96,-54,-88,27,-99
-9,-72,-78,17,74
54,98,-97,88,-84
42,56,57,15,-4
79,87,-26,-42,-98
-44,-71,-95,64,94
-58,-99,87,-10,96
34,-70,-82,11,60
-62,-57,66,-51,67
83,-16,8,-16,37
24,-33,-6,-54,95
79,-32,-37,-52,65
50,10,84,59,73
43,34,5,78,-42
32,93,28,-62,59
-81,-10,92,-51,4
-67,-95,-55,56,80
43,-69,-30,47,51
-88,-11,1,41,-75
