column0,column1,column2,column3,column4
-66,-29,-81,-66,-89
-38,-43,86,37,89
48,-25,-68,94,36
34,6,-17,-87,94
-3,1,-24,2,96
-39,73,-99,89,-17
-15,-28,-2,-54,-46
2,-39,-29,94,80
-65,32,-23,65,95
-12,97,56,30,-24
-17,-11,-13,-18,18
62,83,-61,80,83
-62,-96,-12,-87,60
74,-74,-3,-69,-35
26,-96,-56,-4,-46
4,88,-59,-58,-76
-37,-69,52,34,-6
-14,54,24,-39,8
-85,26,-15,-73,91
-91,68,-72,-86,-80
7,-73,-29,22,28
39,-94,77,-99,94
79,-33,-59,-78,6
-15,-62,-76,4,44
-38,-46,-97,95,68
38,-52,74,33,-41
-98,23,-26,19,16
-24,70,-53,9,-82
2,-22,-38,-84,-28
100,-40,-65,-86,50
-20,-11,-40,85,-34
54,39,86,33,-25
70,-33,-63,-96,-34
-60,2,-59,93,54
-94,17,-50,-94,7
43,-85,-55,-45,-57
-60,58,-86,-86,-24
22,45,89,-87,49
97,86,-82,10,-66
-35,-95,78,-26,-9
97,-26,-62,94,-10
-98,10,-69,8,7
18,53,-76,79,13
24,27,-9,-64,-29
83,-62,-64,-91,-43
-73,36,-18,91,-87
97,2,97,2,74
-9,-4,-7,-39,98
-22,55,90,47,16
97,76,-62,-95,74
-12,-72,-25,52,42
55,45,62,68,-54
-77,-9,-9,-24,-84
-48,96,-58,-92,-25
-18,-60,-37,9,28
-17,-93,-40,-4,-92
-5,-42,-88,-53,22
-81,-34,72,94,-32
-17,9,-3,50,88
57,-40,-34,-69,-86
84,9,-5,53,10
-76,88,-11,28,-1
-25,-11,-50,76,68
57,-39,-15,1,-79
51,-85,-36,95,-77
57,41,-43,25,89
-40,21,-45,63,97
-58,-65,42,19,35
-34,-87,0,36,7
-38,-4,-14,-84,-67
-67,54,-27,41,100
-9,9,-58,-8,-11
26,0,-15,-52,90
46,87,-79,-37,-20
22,-38,-36,-59,-33
89,-44,-82,21,-37
-75,70,-70,-75,-11
-21,18,-72,-41,69
94,-52,-78,1,0
50,-62,84,31,98
-21,-13,47,55,-59
20,63,-1,-44,-62
65,-50,-98,30,-37
24,25,-64,27,94
58,-22,-68,-11,76
62,76,-7,39,-62
-17,97,-57,78,-68
83,30,-15,-17,-8
47,33,33,-70,77
84,94,-57,23,-65
78,-43,-27,-28,51
-53,-7,20,78,-7
-16,-99,-2,-41,52
-53,78,-89,-38,55
-1,-2,42,-59,87
-44,22,-38,30,-53
79,98,-39,0,47
28,-1,-29,-87,71
-72,-85,-27,-58,33
-33,14,-70,61,60
61,-29,-82,33,16
93,81,94,-53,29
-39,75,-69,-23,77
33,-10,-41,-10,-89
-80,-7,-12,15,53
-83,32,-59,-36,91
68,50,-65,-80,6
-99,-89,-9,-28,29
93,-67,-82,9,-44
100,94,-37,88,50
58,-75,68,52,-37
82,28,-29,85,-14
-17,-59,-68,-83,-2
-8,-20,-82,-17,-5
-11,-97,-76,-42,-8
44,81,-36,15,-51
48,-59,-88,35,83
60,71,-56,-85,-33
58,90,-80,11,38
53,4,-40,60,56
-41,-62,-61,81,-33
-11,-73,-90,52,-70
66,-57,-65,-12,32
88,2,-26,62,32
-42,84,12,-87,80
-49,-27,-7,-44,-52
-40,-43,-68,-83,72
71,41,-95,-82,30
-94,43,75,-79,-18
-75,79,-39,-10,43
-40,-40,45,31,52
69,-84,-66,-95,-83
46,57,-20,-76,25
-73,90,-73,34,-69
82,54,-58,-81,-43
43,-12,-64,-86,-1
56,27,-58,57,19
-77,31,61,54,31
-71,-59,-12,54,90
98,-52,55,37,-19
-82,-93,44,39,53
62,73,-38,100,65
-63,-2,-31,-83,-19
-40,14,-46,78,34
78,79,-83,76,-60
66,71,-38,-94,63
90,-95,-31,-29,1
-54,81,-74,15,63
71,-51,-63,-29,87
-65,-9,-78,3,-76
-84,-8,-46,-7,-28
-16,-93,-26,56,89
63,-96,-61,-88,-1
70,85,49,40,-10
-25,-83,-67,-24,-94
48,27,-76,0,-80
23,37,-91,33,-67
10,13,-27,-75,-32
78,24,-83,-17,26
51,95,69,-43,59
-5,-71,-54,-74,-86
89,4,-52,-91,74
87,-35,-71,-65,-24
-44,39,38,33,0
13,39,-3,64,-39
-93,-97,-58,83,70
60,80,15,25,-60
-68,-42,-19,13,78
-93,26,-48,-18,-70
16,90,90,-52,4
39,3,-30,-41,-55
48,-51,-26,-89,-70
-85,4,-3,-48,-43
28,-3,-27,46,-88
79,1,92,-84,-11
-5,-48,-70,-99,-91
95,-98,-37,77,63
60,-61,-29,65,36
42,72,-71,51,19
-67,70,-66,-55,56
-18,27,-72,-20,-16
-28,96,80,-63,47
-51,-16,-47,-41,-27
94,-83,-62,34,90
-32,47,-71,-75,-81
-70,88,-2,-15,-96
14,11,-37,-31,-44
67,-69,-38,32,-9
-47,-62,-42,65,52
-38,-41,-39,-79,69
90,66,-99,4,-69
-79,-9,-47,73,-7
34,95,-75,86,76
-34,37,-98,49,-47
9,-59,-79,-66,83
1,81,-81,87,-53
11,-31,-77,74,-85
-83,-38,-79,-61,96
66,-65,5,40,60
3,-78,-69,55,-97
-7,-53,-9,-43,-100
-59,78,-66,-68,-73
-84,-9,-62,6,76
6,-71,-59,39,11
28,-77,-58,18,-16
72,-75,47,18,-24
-31,50,74,32,-98
-61,25,-25,14,-65
-83,-6,-79,26,-100
-57,55,-1,-51,-28
88,91,-89,36,-83
-74,-64,-81,-33,-79
4,-84,-60,-16,88
-74,95,-85,92,72
64,61,-51,-74,19
-82,99,-4,18,-77
39,35,-89,16,-45
-1,-33,2,6,-30
45,-17,36,2,12
-7,-25,-56,-93,16
27,-27,-34,37,-71
-32,-12,-71,-39,-33
54,-56,-22,58,-50
83,-77,79,-41,10
66,0,-61,63,10
-49,68,-37,-66,94
-39,92,-58,-100,43
-74,6,-92,-25,-8
4,43,-96,-24,65
18,42,-38,97,-21
53,7,35,-2,15
-76,42,91,47,-62
-49,-9,-2,-65,-43
-15,12,-31,78,-42
49,75,-60,97,-88
-6,48,67,40,-38
-99,80,-52,16,32
-51,-97,-33,6,-86
8,79,-77,-36,-56
-71,87,-86,-21,-4
76,61,-54,13,32
35,33,-76,14,57
-23,-51,-15,-27,-19
-73,30,-27,35,-11
96,84,-81,73,-82
62,-8,-82,17,-99
28,-25,86,-95,-67
0,57,-87,-98,0
-60,-16,-52,23,45
-88,-56,-16,-67,-11
54,56,-90,-33,-35
89,91,-97,-15,51
60,93,5,95,-96
-88,-32,31,12,85
64,-28,-13,41,-54
-97,-41,36,36,43
19,48,-84,47,46
-69,-69,-32,-56,-62
17,87,-94,64,-56
-31,-19,-98,-54,96
18,41,-85,87,-99
33,-56,-88,-10,-4
9,25,-64,-72,-33
-97,-16,-56,-25,100
15,-15,-13,73,-61
54,-49,-54,-70,81
-30,-8,8,32,-78
49,-16,-70,-59,5
-3,73,76,33,39
54,-6,-23,53,-20
-1,-3,81,37,94
32,-15,-65,-7,87
27,-54,-21,10,-75
-85,15,-69,-45,-66
-77,74,-56,-94,42
96,-51,-96,-70,64
-88,2,-33,-87,-51
-60,-95,-31,-41,2
-38,70,-98,52,-86
-96,1,-91,93,2
75,-39,-59,-42,61
0,62,52,40,-66
29,43,-13,82,-36
49,-27,94,34,74
20,59,-75,78,94
-4,62,-8,22,-62
-8,51,-8,96,-2
-68,-72,-100,43,8
93,-43,-42,-41,27
-30,-69,47,-70,-28
6,-32,-22,-1,36
54,-64,-76,76,46
14,39,-36,40,-95
73,-42,-5,-97,60
-63,-58,-91,89,-88
71,-38,-65,23,-32
-55,-75,-3,-20,-11
58,-37,-51,-44,53
41,23,50,-35,100
-89,32,-65,22,-98
29,-51,-75,8,-40
-62,84,-21,-93,24
74,65,3,92,-70
-49,-41,-51,46,-73
27,20,-53,92,77
-88,55,-25,-37,61
-76,84,-21,81,-96
79,43,-88,60,9
68,-35,-70,-7,54
-20,-26,-10,25,-84
-45,18,-74,52,-52
41,-96,-97,75,-22
57,15,39,-96,20
31,5,-28,-43,-40
49,19,-55,92,64
66,-56,-62,-23,-100
-39,-43,-67,67,-3
-63,-90,-44,16,-66
-1,-11,-49,24,30
13,36,-7,49,8
70,-58,92,-82,-64
-55,-69,-4,-82,48
20,-90,-97,56,87
-64,-66,-86,-39,-11
-76,10,77,94,-37
-58,-99,-38,-57,-91
28,-62,-11,-52,-66
22,-50,-74,-47,0
27,-5,-10,-35,80
-34,-40,-98,-76,27
26,39,-39,79,-1
-4,46,-11,56,24
64,-40,81,-27,37
92,51,-86,62,-97
21,77,-46,-59,38
-76,-17,59,-62,-11
73,-25,-9,-58,59
-15,-70,-48,-99,49
27,96,-91,-61,-12
-6,11,-73,98,-47
68,-85,27,-19,43
