column0,column1,column2,column3,column4
-53,-12,69,89,23
-25,-87,-5,39,-2
-26,-50,-26,-54,-3
62,41,-46,69,40
56,-30,46,61,-21
30,-82,-33,-29,43
56,-83,84,-3,88
-71,39,97,66,49
4,13,8,27,-43
-45,-6,83,-23,-79
22,60,86,-10,-30
59,20,-41,7,17
21,-87,67,51,6
82,72,-90,-49,93
54,31,67,-35,-26
30,-47,37,-96,-70
82,13,-77,19,11
89,13,19,35,-47
52,-14,-26,-28,49
63,-22,37,14,-76
42,79,-45,-65,-38
64,17,50,-54,46
2,-33,-74,40,96
67,36,-65,-58,32
25,2,-56,-52,37
71,50,-29,73,-60
72,-96,87,-92,-85
35,-9,-87,2,-80
-34,-46,33,-48,-40
-73,50,-79,26,66
64,-28,-56,-44,-93
-75,-59,-97,73,76
100,77,-14,36,10
77,-90,-21,-34,64
88,-43,-63,-9,10
-49,-28,-99,-17,-83
6,5,-34,39,38
-74,-81,97,-62,1
-30,-93,-70,-39,87
72,-63,-10,-56,-74
81,-83,63,-49,99
-27,-25,94,-55,62
-9,-7,44,83,-64
80,57,49,26,-14
12,-63,20,23,31
20,95,26,82,-39
75,-91,75,16,36
39,90,-9,-60,-91
40,-45,16,43,-52
-3,-11,-20,-81,-20
84,-2,20,65,79
47,88,10,72,-81
53,-36,-86,-31,76
97,60,-1,-21,-97
31,-85,-41,20,-81
99,85,-32,65,13
10,-17,-31,-87,34
81,-45,-63,-14,-58
-30,-37,80,67,8
14,85,-97,12,-41
57,-68,-58,92,66
79,97,75,-12,56
16,61,-51,61,51
90,-28,-54,45,99
-14,-42,-8,-56,6
19,-21,75,-8,27
95,31,-81,88,-62
-8,43,89,43,21
-99,-23,18,57,-77
65,40,50,-37,-99
70,69,-38,91,73
10,66,-57,-79,61
27,60,-91,20,10
46,-35,-5,-80,-36
96,80,-86,-58,-89
-40,15,-1,67,-88
-95,78,-53,-43,-15
42,25,91,24,-5
-100,-66,-38,-78,30
98,19,-61,52,-45
86,65,-46,-81,73
-85,-5,-67,13,54
93,-73,39,58,32
-71,-40,-7,46,4
61,-26,-78,-98,-6
6,79,-59,-3,34
76,-99,2,16,10
14,-88,93,15,-95
-54,49,-13,24,-21
54,96,31,-88,-14
56,-21,88,84,89
-19,7,9,-67,51
64,-20,5,8,38
5,-81,-27,24,-28
76,-52,93,24,-25
-71,-20,60,-17,-89
-100,22,-37,-17,-82
19,79,-70,26,-90
65,-77,-86,-11,2
92,-96,70,-44,20
32,54,-92,-32,48
90,-72,29,100,16
10,-96,-13,5,-27
-27,-92,37,6,-70
-90,-100,-41,89,93
71,25,2,-26,11
-83,72,-93,6,87
71,85,-23,24,-84
27,43,77,47,88
52,92,10,-21,82
95,38,-74,-41,7
43,38,-20,48,9
12,-43,55,-3,-8
59,-8,-2,-10,0
53,47,-3,-45,-22
1,-11,29,73,-39
72,-60,-67,-94,-52
-2,-34,-94,92,26
-9,99,18,-88,-23
17,-27,97,20,-56
47,-22,27,22,-39
-78,-12,68,8,29
75,61,-88,33,26
22,39,-68,26,26
30,-98,82,37,35
71,-93,0,59,-51
-32,70,-11,74,-91
63,80,12,-50,-63
72,77,70,85,-53
24,6,30,74,55
-23,-1,-63,-62,-69
33,-49,-45,-49,31
62,-82,61,-67,-76
-83,-54,-58,40,-99
9,-51,-93,-27,8
12,-50,-40,92,-28
-40,97,-82,56,-44
-10,72,4,54,5
19,-67,-4,-1,83
61,-63,52,-96,-64
83,41,-80,-94,7
-40,-79,-85,7,-39
-25,95,19,55,69
-15,-42,-52,-14,52
83,98,-87,94,-63
-50,-13,62,-95,19
-51,-65,-9,-31,-14
-60,-71,-57,-33,-5
-2,-33,49,-71,1
-81,-57,-58,80,-73
-39,-55,31,80,-68
13,-49,36,-8,65
13,81,-70,53,-64
54,40,-95,81,-96
95,80,14,-38,85
96,-37,55,94,-49
51,10,1,-90,54
59,-68,27,-26,84
-89,-35,8,-98,-33
98,89,40,-20,-40
-15,72,-36,-93,-58
16,-71,20,15,-84
53,-90,-7,7,-90
22,-38,69,-66,-43
2,58,-57,-58,68
-20,5,87,-57,36
92,16,-39,53,-61
-8,23,81,-13,-26
67,89,8,76,-87
-55,-93,-36,10,-97
29,-14,-77,2,91
-39,-7,94,20,-2
52,-51,23,61,-20
7,94,23,-35,-22
-25,-21,-98,-84,-80
29,-72,37,-97,-11
87,-1,-19,91,5
34,85,-77,-97,-37
21,-97,-19,53,-22
-65,-8,16,-59,-8
-84,7,-73,92,-50
26,100,84,5,-63
68,78,-45,-40,-4
-60,36,-70,-48,97
-98,62,19,-67,-89
65,-65,-91,50,51
46,-8,-48,-28,-13
48,-51,37,41,-17
68,-69,34,75,-81
43,60,4,-69,45
17,23,-49,-37,68
6,-71,-58,42,-38
10,-36,-65,-42,87
87,-82,-98,-2,98
86,81,75,-70,-57
42,55,-53,-97,-98
10,31,89,-21,-67
100,-33,31,-16,15
44,59,82,-49,-100
96,14,-1,-45,84
41,-7,-60,-1,94
-86,-28,-9,-22,-92
73,-64,-13,14,77
88,94,-8,9,93
-94,78,-32,10,71
82,52,-4,-69,21
-14,24,-55,90,44
12,-12,100,-74,-20
83,78,-39,83,-91
79,65,56,40,-76
-85,-37,-54,-10,-57
95,-34,-61,-64,-80
37,2,71,78,52
-83,99,95,73,76
94,-34,-20,-8,9
9,3,79,-75,-64
-10,-58,91,67,81
14,2,-75,48,-61
-22,1,96,-96,5
48,73,23,0,-62
69,8,88,97,-6
-72,-48,24,-68,44
41,44,-34,-26,23
81,62,-79,88,81
85,-70,15,-100,57
50,22,21,-75,-58
46,95,33,25,-1
35,-79,51,40,-79
29,52,-14,57,23
45,43,50,-64,93
48,-84,-63,1,80
90,15,57,-64,-84
60,89,-16,54,-52
37,-100,-99,53,-55
39,-47,46,53,-31
74,-91,61,-84,15
13,-47,-93,80,-61
51,20,-48,-87,56
-94,-45,65,-56,8
53,-66,-1,-14,-32
-2,48,60,28,86
-96,8,-77,-27,-34
31,-62,80,-48,-10
-48,10,-65,-19,53
-36,-58,58,98,-11
3,-55,-91,19,-89
33,80,44,-49,58
-61,96,77,67,-77
-14,65,5,-5,-12
-58,62,23,72,-28
69,-10,-64,-96,-97
87,82,91,87,-44
-45,59,-38,92,-75
31,-99,-58,56,68
68,-72,79,37,-38
-85,-55,29,66,-51
-57,58,23,-82,-3
7,-55,19,96,-12
87,-15,40,2,-88
59,-100,-92,-73,1
-80,93,39,-39,-18
-5,-35,-16,-71,-98
90,-42,-32,52,-87
79,-83,97,14,64
75,-29,-63,-75,2
43,-22,-61,-47,-22
54,96,37,-42,27
-15,-23,-12,50,51
43,9,72,-89,-47
34,20,67,-48,-53
39,86,24,40,21
12,-9,-64,-46,-88
-100,-8,5,-12,-79
-51,94,-65,57,77
10,37,-63,35,66
-35,13,-16,13,-18
28,4,12,74,-47
38,86,-32,-92,52
-27,99,69,25,-1
54,-15,-96,53,23
98,-52,-70,-65,7
17,-21,-76,90,38
-57,-57,-1,53,61
-10,75,-55,-30,40
26,-86,73,52,-80
33,-100,-29,-78,90
59,-58,81,-4,-72
63,-48,-51,-2,-16
-99,-88,36,-13,71
41,94,-77,97,38
-25,12,21,81,63
-15,-76,-93,-65,67
74,15,-68,-82,89
28,-89,48,-83,-65
66,34,-96,94,-76
12,5,-53,49,23
58,71,-53,-20,100
3,-7,23,2,84
5,-54,56,-17,-85
50,-13,20,30,44
50,-29,-37,-59,-86
-94,64,-85,10,-59
79,-57,-62,57,-21
87,-46,-41,78,-2
-37,34,-91,-58,-45
-15,44,15,84,-5
29,-43,-60,40,-100
-86,1,9,-11,-36
19,54,-49,16,-28
61,-54,-33,56,35
49,84,-25,-84,-7
-89,-54,10,-85,-52
35,68,94,73,-78
31,-8,-30,45,-19
59,70,75,-96,7
-16,-81,76,73,-61
97,-19,71,91,-64
-52,99,-92,89,-73
97,74,87,15,-35
36,74,50,-75,19
47,31,19,-4,-6
88,-86,-93,14,72
35,61,13,-30,-63
-10,2,87,94,-42
32,-42,-81,-5,-53
96,2,4,-1,-47
-57,93,-6,2,41
79,18,-72,-31,-65
8,100,8,-70,-57
-90,-16,10,15,48
38,-51,-28,-51,-22
-70,-16,-99,-66,46
90,-21,75,28,-28
71,9,-33,24,87
-76,51,88,6,91
-30,-36,-40,-97,-18
27,-1,-10,19,30
-40,-69,-6,49,-9
41,-59,-72,74,91
60,89,-93,-96,-86
48,-73,-17,-53,53
58,-30,-73,57,-70
-18,54,73,-23,-4
-40,-39,-49,32,-85
44,-18,0,-84,94
-65,-92,-28,-33,-87
-89,-63,-15,-26,35
8,-23,27,38,-21
-26,47,89,54,48
-7,-86,-73,7,18
-50,-21,-28,92,-76
-63,-64,-17,-28,11
-82,-100,51,-49,-89
-85,98,-63,67,-31
30,-67,31,44,-33
-88,-11,-42,47,-11
5,-97,45,-6,-84
63,-41,-71,-80,75
54,-39,51,70,91
33,89,77,37,-41
60,-4,-77,49,33
71,-13,13,-72,17
48,81,25,-14,-31
31,-27,-100,-82,12
92,4,-88,12,75
37,-7,-65,83,40
100,3,90,14,96
1,-42,77,-26,20
63,-52,-40,32,-33
-64,13,81,58,-23
74,-32,4,-71,-59
-30,-76,-79,-59,73
6,12,-8,-40,28
33,-84,-43,52,-98
-42,-36,-73,86,-44
32,-75,78,1,-44
73,-36,-94,-22,-49
-80,-87,-82,-9,-67
95,38,-75,68,30
68,-59,91,24,-96
-20,-2,27,-32,-35
47,19,-81,-14,16
45,44,71,42,-90
58,35,-27,46,14
34,-52,-76,-51,-23
34,52,-13,-29,-43
-23,-98,-51,-93,-66
39,54,-5,-20,-57
90,27,-89,-83,-51
71,-68,96,9,25
-16,-71,-59,-71,96
0,42,-2,-94,-9
13,-44,45,88,49
-90,-32,79,15,77
34,86,-34,-56,81
53,1,71,98,67
-71,-52,58,15,6
98,-86,-89,-16,94
34,93,-91,73,65
-3,-42,-94,75,23
-9,70,-59,17,-27
8,37,25,-15,-35
-67,-68,-71,0,82
64,9,-56,-45,-27
42,38,29,25,-34
88,68,29,-42,21
33,20,-15,90,-23
1,-77,55,35,25
27,-73,49,-15,72
11,16,-7,81,36
12,-85,-35,93,-12
49,-74,-61,6,-47
36,-72,5,99,-14
-41,-85,47,-82,-11
-77,34,67,-20,68
1,34,3,-72,-90
-55,68,-35,-36,16
82,-42,4,24,-94
58,79,-71,36,11
36,-58,-40,58,-76
45,-55,22,46,-22
67,18,-22,-59,55
-95,47,76,-72,-93
18,-40,-88,22,-18
87,40,33,32,76
18,-89,-96,69,80
-45,-78,74,-88,-7
73,-62,-85,17,87
-87,-89,70,-35,-81
20,-41,-30,5,51
-11,74,-72,-33,-46
58,50,-54,87,44
48,2,51,11,-34
20,80,87,21,-55
-52,23,89,72,-48
70,0,-34,5,-32
98,-39,8,19,-87
18,-17,-47,34,40
42,5,-82,74,82
32,-90,72,56,70
16,90,-65,89,29
61,26,23,16,78
-80,85,-94,93,-54
85,-91,63,-20,92
-80,-76,-96,100,-39
5,-84,-1,-67,89
78,-76,2,99,-72
35,38,-43,8,-36
96,-35,-99,-18,39
98,25,-80,-64,1
39,82,67,-76,-14
96,-79,66,-1,99
-49,45,-97,-96,71
-70,-14,86,-97,31
60,69,-87,-62,-58
-83,23,-11,-11,57
32,-66,-34,28,-21
59,47,87,36,77
37,40,-95,92,79
-81,28,68,83,-4
85,-81,-77,50,-97
81,61,89,-100,-78
61,-90,65,-57,-82
41,61,-91,44,41
62,-42,-34,97,87
-95,-35,-95,-64,-12
66,-96,-24,37,-88
63,-62,-98,-64,-18
53,-35,48,-28,-17
-10,-53,-87,73,-80
-47,-44,18,-94,-37
35,-25,-81,-94,-42
2,-6,94,67,-24
0,-61,-82,-42,7
31,83,-13,-77,-29
