column0,column1,column2,column3,column4
68,-47,81,-42,-37
-41,74,-50,-40,-72
-47,23,56,57,10
27,-1,-21,-75,70
96,-18,-78,88,79
93,78,39,96,85
64,-41,90,4,75
-97,-33,-53,40,-15
-16,-89,88,-69,-42
-34,88,86,-50,-2
14,-98,17,5,79
-17,-14,22,-90,-46
-72,2,-84,36,-76
18,-55,-83,48,-65
-35,97,100,-77,-33
30,-57,89,61,89
59,88,51,42,100
-31,0,-29,-76,-55
-13,16,-18,-48,-91
81,6,-72,83,-6
-63,96,1,-21,-90
41,-23,-99,-6,29
10,-76,40,40,100
-48,-70,83,-99,52
-46,64,-8,-74,-69
-93,-57,86,32,27
-3,35,23,3,51
-27,64,23,6,-30
-12,-74,-77,-54,98
79,8,66,-19,-45
73,75,99,3,-98
-64,-5,55,55,-19
79,76,65,18,-48
-69,99,63,-29,-79
99,-18,-54,-66,-10
34,97,69,-16,-33
87,-64,-98,-83,51
47,-42,-30,-60,31
-52,32,6,78,42
20,-20,-56,-1,55
47,92,-42,98,39
28,71,-42,-10,1
18,-7,5,-38,-72
-61,-85,51,83,-69
-97,-7,71,63,70
-31,46,68,-40,26
-58,-60,57,12,58
-30,-98,-83,44,-39
-32,-73,-62,-68,91
32,-66,-75,-61,92
-46,-85,-35,-15,21
98,46,22,65,-39
1,-100,-87,-78,26
-75,-78,-1,65,29
-75,-58,-27,77,81
86,-32,-64,76,-54
-38,-19,61,-73,-66
-7,81,77,63,-44
28,-74,33,38,-65
-55,-30,51,-90,-16
-15,30,68,-62,90
84,-29,70,44,-19
-17,-99,-74,-33,27
-79,-38,-51,94,31
35,63,-4,-15,94
-38,38,87,-8,-98
7,18,4,35,75
-49,-36,-41,15,22
-86,9,64,37,-46
-73,-22,43,-39,-93
34,27,-95,-5,-89
-9,85,-9,6,-13
36,-9,-47,72,-56
-97,-36,-31,-95,-23
-82,-93,55,-59,93
-64,-23,68,90,31
-59,-88,36,-85,-41
92,7,66,42,47
-72,75,-14,-52,56
25,-32,-32,95,7
-62,10,-78,6,30
61,83,53,-100,-85
-39,-43,95,-43,-17
43,-48,0,98,47
38,41,63,-16,46
-10,31,3,-90,48
-43,12,-14,26,-8
-77,4,73,1,13
-69,63,32,-22,85
80,-51,-79,14,21
3,-46,-28,-64,97
22,52,13,-33,-13
-3,-8,72,-42,85
54,-92,-44,23,100
35,78,80,77,-32
-47,-57,3,-22,28
100,77,-74,59,-35
-22,-71,9,13,37
-64,-47,-26,-38,-11
-84,-87,-13,-85,-38
-40,98,-60,-61,78
74,-61,22,72,-15
19,-60,-88,-68,1
-19,-50,9,84,19
-39,-54,-11,46,-97
-95,-100,99,-37,-64
-48,-40,-78,-26,-1
79,18,10,-88,-72
64,-52,28,22,-21
50,31,1,-76,21
56,61,15,-69,-38
-52,26,8,27,57
-67,0,19,-21,-46
83,92,-67,16,13
-75,57,47,-66,19
-89,15,1,-79,-51
-93,-27,59,9,-24
81,-78,-56,-85,73
-50,-20,-16,-61,77
93,-41,47,58,6
-17,23,56,67,64
7,-14,-15,-51,-63
47,45,-12,84,15
11,-37,-16,-68,61
-75,44,96,7,-10
1,-56,-65,6,90
12,79,-25,-25,-15
-7,-1,26,24,-94
-29,-14,27,66,17
-89,35,18,-32,-60
84,-2,98,-86,-27
-91,82,56,-15,16
-67,-21,-38,-68,51
62,-22,87,27,-30
-12,-58,2,-15,-12
56,-15,-82,63,-100
-43,65,-67,-35,29
82,82,2,98,-9
66,-98,37,8,-23
-78,16,34,34,-94
-37,37,7,-68,29
68,5,35,-26,62
-19,53,41,36,-74
-54,-49,-9,-82,93
100,84,82,-36,42
23,50,-90,-19,34
41,50,97,43,-60
-94,-16,-91,-45,30
-59,70,63,44,-3
76,-67,-28,-91,-71
-96,-19,-43,-47,94
-93,6,-5,-77,-36
43,55,-1,73,-60
-2,7,88,-35,99
53,-45,7,-52,3
-39,95,29,-44,-20
18,-87,-86,-18,8
-4,-91,46,-41,98
45,74,-77,-60,-48
33,-50,94,-60,-5
69,70,-30,-82,68
78,-40,-71,-92,76
47,53,49,59,-10
75,-73,76,74,53
-12,61,-57,1,-83
21,-65,27,45,-35
3,-79,28,27,55
13,-94,-98,-26,91
55,7,-81,85,32
2,-66,-64,-39,-52
-8,-73,-46,-25,-79
79,-100,21,19,-96
49,-54,87,-73,91
2,-22,-4,-79,-22
-45,86,90,77,86
66,-78,23,56,11
-64,77,-2,-8,79
-54,-4,20,-59,-36
55,-69,-82,18,13
-78,45,-31,31,85
40,-94,86,-73,-30
-36,15,71,88,-31
-30,-43,35,-61,45
-95,-73,55,25,82
-84,34,-86,75,-62
30,5,-16,-85,67
19,-95,-16,99,92
-24,59,33,-28,-38
55,50,-14,41,-74
-72,-2,-24,25,56
-84,40,-30,-46,-17
92,33,-1,89,-27
74,28,-3,96,-74
-29,81,-37,-3,69
-78,-95,-1,-68,-77
44,-15,47,-96,59
39,-93,-54,-66,77
18,96,-12,-15,-38
25,-90,-70,12,61
-44,-1,61,28,8
-60,-17,-60,-9,-45
-34,-11,-100,-79,61
0,-63,-82,-41,94
-89,29,54,-67,45
78,-48,-20,55,-6
-30,76,24,-29,10
67,78,-60,-57,39
1,69,-84,-27,80
-59,99,-27,84,74
-14,-46,-75,-97,-12
-100,-35,-45,39,-76
-78,-32,71,13,-51
80,40,70,60,-83
-18,-1,55,-22,49
-58,75,62,-98,32
-70,7,-30,-51,-32
-97,-56,20,-66,-65
-25,40,37,-86,75
-82,-78,-35,1,55
37,-52,-52,-76,88
-51,-39,-52,-14,-47
72,-70,-17,79,45
9,-41,19,-40,37
58,-99,-59,-31,42
91,-1,-57,-51,-49
-75,-16,-70,-2,3
-45,-53,62,58,-2
-42,-52,59,49,-59
-43,38,-2,68,16
39,48,-15,-97,-20
33,-52,20,66,14
78,-22,-66,-15,27
19,-21,-81,-5,18
-65,61,-11,70,-39
-92,-60,58,19,-7
-15,28,56,-10,-28
-53,-6,48,-25,-40
48,-56,-23,5,3
-39,19,39,16,-90
39,68,60,-69,7
81,-60,70,15,40
-32,-61,63,52,-92
-47,72,-60,-12,-5
44,3,-39,59,63
3,-57,95,-7,6
68,10,-98,-66,-95
-59,-30,-37,-69,3
91,97,77,11,-72
-30,30,97,70,-70
-6,48,78,92,26
-39,94,75,99,42
42,-58,-9,-95,-48
-7,-83,42,-66,-72
-85,-84,-84,18,-7
-100,-20,-77,36,-17
97,68,65,88,7
-11,8,-66,87,-92
52,74,-42,77,-33
