column0,column1,column2,column3,column4
35,44,-99,11,-61
36,12,78,62,52
-65,34,-59,46,52
96,21,-24,-59,-52
72,11,43,-17,18
-7,11,88,10,7
21,-32,69,-37,-3
-18,18,66,71,96
-46,66,-22,-96,89
24,14,-19,25,36
-27,12,-22,-53,85
-90,29,59,25,68
68,86,-68,35,90
-25,34,-21,-23,-35
-53,-38,61,34,-45
-56,43,-4,-55,13
-19,38,-18,57,43
-51,48,78,12,-55
47,45,-5,-15,-14
-93,100,69,-72,74
-98,97,89,93,-4
62,37,95,-63,30
-23,-73,57,-81,-96
-58,3,-34,50,-2
-60,65,-20,39,37
87,24,-70,96,15
-85,5,60,66,-64
-62,16,-62,-20,-58
-28,10,-97,2,-50
54,58,70,36,1
-4,-88,-80,-81,83
60,-39,8,8,-62
-29,28,39,72,-24
10,14,-15,55,68
18,26,-83,89,20
-21,-44,41,57,40
16,20,59,-3,72
23,19,10,44,-76
91,26,-61,80,-4
-76,63,-64,41,96
-73,85,63,35,10
-31,17,32,14,-41
-61,-18,-77,33,-78
44,20,-23,88,57
85,38,-72,-97,-78
-64,-16,99,40,69
-27,28,-45,-11,-32
-88,-31,-16,37,-80
-80,48,74,88,-52
-50,43,36,15,1
69,19,82,-76,-65
-25,17,-28,-85,10
72,-3,-1,31,7
4,3,-10,69,-44
-9,46,28,62,96
-98,21,9,78,65
33,76,1,33,-28
-24,-95,-92,33,-36
97,-11,-43,72,-90
40,17,84,13,-18
-37,40,73,63,27
39,-23,-96,38,-66
38,65,62,17,-87
95,43,-86,45,-97
59,46,-87,-72,5
21,-88,-54,30,-61
45,-3,30,36,42
-87,30,76,-60,-91
-58,13,93,18,20
-65,-82,57,13,-38
-96,23,-63,80,68
60,33,61,-87,84
11,46,-56,-7,90
-48,21,-14,73,50
59,16,-25,61,-20
84,27,-69,100,46
49,44,31,-34,67
-95,21,23,68,3
-27,54,-79,59,18
-50,28,-46,-54,73
1,32,-100,99,70
15,88,33,32,22
64,23,0,-72,-21
-98,37,-56,68,88
44,24,-80,33,-66
71,45,8,78,-70
-2,12,22,-58,16
-1,-49,14,36,98
33,37,7,-83,54
76,12,-79,13,52
63,10,-92,39,-14
-87,-65,-83,40,100
50,12,-76,-9,-37
-83,-32,-82,31,-99
38,43,19,32,-27
-7,23,-12,15,-2
31,35,45,60,-61
57,12,-29,77,-76
-55,29,-89,-68,6
-56,-92,-94,36,79
1,42,48,0,-10
27,-74,5,-38,15
88,30,9,-50,-83
-62,42,-56,29,54
-98,14,0,-100,-18
-59,35,-8,-75,78
89,33,49,-16,-66
24,11,31,43,61
-45,-65,-82,52,-60
-5,38,-96,-60,-33
-23,-87,-91,34,53
-63,31,43,70,63
-36,40,43,95,14
-73,31,-34,92,43
-60,14,-47,-49,75
-81,47,2,55,-50
61,27,-78,83,-87
99,86,-86,39,10
-66,36,-35,99,87
55,11,-45,87,-39
-48,29,35,65,98
24,39,85,-98,-55
-50,45,-30,84,20
-99,43,-56,-33,-24
47,23,21,67,-6
40,-100,45,32,16
-3,28,12,-69,11
27,-48,18,-74,61
-73,89,56,-26,-52
78,28,-16,-37,9
79,89,-13,37,-39
76,38,-3,-83,-74
38,32,74,60,-89
-3,36,-49,-30,93
-29,-76,0,35,-95
-89,11,27,-78,26
10,43,-1,-24,21
-51,33,20,-32,-98
-86,-72,-84,30,50
42,31,-61,82,93
43,11,21,94,-6
-82,35,98,-88,55
72,84,-85,37,-38
85,37,-31,-15,-65
-35,25,10,-61,22
-31,-7,-94,31,-99
-50,35,-16,45,37
-77,49,74,-67,-86
62,28,-58,-68,93
24,22,-53,-80,-26
17,30,14,-24,-54
56,-85,42,66,13
88,29,-54,-93,-52
28,30,-40,-49,-56
-5,46,-60,-78,-1
4,14,33,-46,-87
-29,-30,-93,39,-72
65,23,-2,19,-39
-95,86,-78,-69,-69
-58,18,46,62,62
37,47,-49,-5,-69
-85,42,-38,-23,41
76,47,-3,-28,-30
15,5,67,30,74
100,40,-6,20,66
-46,19,76,89,48
-62,-61,-85,-96,-23
3,8,61,46,20
54,41,-75,-48,18
50,89,33,0,64
59,11,-37,-10,38
-44,45,-90,53,91
-35,-59,-94,-23,99
3,42,40,15,51
-1,46,69,-33,-44
55,-94,48,36,-1
13,28,-2,10,-73
-12,72,-28,35,67
0,30,93,-90,46
85,-90,42,-11,-93
-70,39,4,-10,88
55,49,73,-55,60
7,-79,-75,22,-81
-29,18,-9,-54,100
-24,36,-21,44,39
-53,62,27,17,-30
86,19,-17,-65,-38
32,32,-70,53,-80
-87,47,67,49,47
35,42,-51,62,-2
24,22,-64,-66,51
1,-31,11,1,-83
17,19,91,-62,-21
14,14,7,34,-2
36,61,47,40,-69
-29,56,-89,41,-61
-21,20,31,4,41
11,-14,32,-64,-38
-97,37,0,-3,87
68,42,-99,-4,-62
-80,13,-13,-49,62
52,16,68,-10,-70
43,32,-26,-92,-53
93,47,-33,69,55
24,41,-47,-17,85
75,67,-17,40,32
-79,43,26,4,-35
16,45,18,-88,81
67,18,2,-32,-86
50,16,24,35,-81
-24,-59,12,34,-34
57,-70,42,30,59
-98,-22,-71,-17,-57
-36,22,-94,60,-100
-91,36,16,-42,-62
64,39,-86,19,-11
64,-23,-55,40,-41
11,44,-80,86,9
66,36,28,-67,11
21,39,-35,46,-93
-23,62,27,40,-31
-79,32,66,-16,-35
94,32,-56,-92,-97
-48,10,46,36,33
-39,37,88,-17,52
81,31,-60,84,-74
-26,29,71,-51,-77
-94,15,-50,-19,81
67,39,-17,-14,97
93,25,100,-91,-88
-62,29,-28,-71,-4
-30,56,60,-19,-65
19,72,-72,35,-27
53,42,50,47,35
36,38,98,-82,4
96,-43,100,32,27
-52,17,19,-85,78
-100,65,55,33,-96
2,-50,99,34,-45
68,33,41,-76,24
34,39,83,-65,35
51,-93,66,-99,-60
-98,25,30,92,59
45,-59,-84,13,96
-23,11,-73,-52,-69
-62,21,-87,-23,22
-90,11,-49,30,-11
18,-94,-97,30,48
-40,97,-66,45,-3
99,17,-96,20,86
-93,-67,-98,-57,-80
63,19,-47,-2,87
-47,24,-45,-10,-89
77,68,-53,38,57
52,25,-8,78,-5
31,36,-67,-66,-35
-64,83,11,55,24
80,25,-62,-73,47
-31,21,23,32,42
0,-52,97,67,-83
-96,17,-65,61,77
-11,31,20,-12,65
-82,10,13,51,40
29,34,-3,-99,-23
-90,-22,7,36,80
-56,48,-27,81,91
-63,25,-65,-93,73
-38,44,-74,30,56
69,16,96,-59,98
-28,-56,-56,-13,-31
-3,13,41,-98,-34
-20,51,12,41,-44
-8,30,61,-83,-39
-73,50,61,17,-27
52,-14,-61,30,-62
95,-96,1,30,-35
78,44,-24,-19,47
-52,31,-57,-29,-34
3,43,-70,-88,-64
90,-10,-6,31,16
-64,-32,50,-66,8
64,13,77,70,-3
-72,39,35,47,-27
-29,28,23,98,59
17,34,-6,94,96
-41,10,12,51,-60
-89,12,68,89,84
-71,64,8,14,-15
2,19,99,-81,-21
89,18,-3,-49,-93
51,12,-84,-13,-39
-51,23,-80,24,-91
11,20,-89,-5,-40
-50,42,-49,51,-38
-11,-41,-68,41,65
-18,28,8,-49,43
39,13,97,-52,11
85,17,40,3,51
80,-69,31,-69,87
-95,11,-80,62,96
92,41,-28,54,82
0,-12,-7,35,-25
-91,18,8,-63,16
-56,-42,-41,31,-92
71,15,87,20,100
-67,-73,-29,-23,6
-51,-55,-13,38,-52
-17,17,46,-97,-25
-79,34,-37,80,-19
81,44,-54,-49,-50
-39,12,-27,66,-28
70,29,-43,28,87
38,12,-15,8,40
-55,18,49,-36,8
-18,-9,-60,30,-98
-8,41,33,1,-11
69,18,-48,-45,-96
95,46,88,-49,2
24,49,93,-54,20
-44,45,50,-92,56
37,47,-31,15,-91
44,12,3,-71,94
-52,36,61,60,-86
-40,28,-12,78,100
-45,-15,-98,35,16
44,40,-95,-43,-78
74,22,47,-31,46
-100,23,-4,59,-52
-94,40,-45,-97,-5
-83,26,-19,91,40
-73,40,-9,63,52
-48,-62,76,-37,-3
6,47,-53,-32,85
-6,46,32,-97,-51
-16,40,19,-87,-27
-9,-97,-67,39,63
-46,-5,17,37,-64
-24,15,18,-65,25
-41,16,67,79,97
35,46,-89,95,-88
-67,-62,5,32,31
-61,71,42,37,90
-58,50,95,38,81
43,16,11,-59,5
67,-4,60,33,-97
-57,29,-50,78,35
39,63,1,-3,99
-94,31,0,3,17
28,40,-99,-73,51
-30,-19,34,41,-99
-74,25,88,-80,50
-100,14,33,12,3
6,44,-48,4,96
-42,46,75,-28,-77
90,-47,-83,32,47
18,20,-56,94,-37
-99,26,-53,98,64
89,5,-54,-82,89
79,22,-62,95,49
-94,39,40,-100,-39
91,10,-6,-61,-10
-28,16,85,-91,-33
75,70,-79,30,2
-13,36,-28,59,99
-89,20,-73,68,7
-27,28,-86,-53,19
-96,42,-27,90,-67
-95,42,49,34,-99
68,11,64,-32,-36
51,23,96,60,81
59,31,-14,-52,64
93,-14,58,61,15
20,48,-50,-8,100
37,45,-62,-98,100
-19,27,-63,42,70
99,17,55,17,-16
51,42,23,91,-73
-30,16,-72,21,60
81,42,35,98,16
-78,-67,66,37,46
-41,30,86,69,-62
-90,34,18,75,-94
-33,30,66,51,27
-40,28,83,5,24
-75,48,90,56,-15
73,34,-51,22,31
-36,12,73,-41,-77
92,26,35,-77,-13
92,25,69,55,-85
88,18,34,47,90
-74,32,19,-15,-10
-43,-10,22,-95,62
84,38,1,41,-45
-67,-50,10,17,-9
-37,14,7,-16,72
33,48,-81,89,-40
