column0,column1,column2,column3,column4
85,-5,-64,-99,-87
57,36,-78,-68,58
11,90,-53,36,87
90,-94,-39,67,-76
57,-99,-1,-34,-64
-64,-14,-49,97,27
18,-12,-8,64,-100
23,11,-22,24,10
-89,-36,-92,-34,42
-50,-80,-31,-100,-77
39,-28,-91,46,68
57,-51,-90,83,28
-4,77,46,80,-94
-7,44,-95,3,-98
-88,-33,57,-81,56
-64,100,-21,-8,-71
-7,84,-61,63,-78
69,-88,-71,-19,30
33,37,-76,-17,60
-14,-57,-54,-19,27
-58,-21,78,-10,26
0,28,-22,-43,-38
50,12,79,-64,-72
22,58,-46,34,-96
-54,15,-42,-51,-45
-82,-71,-63,-68,-9
-84,-80,-74,-27,-15
60,-95,72,2,20
-79,88,-65,-89,17
41,2,-38,85,-49
84,-99,-56,67,-93
54,-93,-17,21,-91
-70,-88,-82,-39,-93
-12,94,-34,6,-15
80,-74,-51,-84,94
24,32,-56,0,44
-46,-87,-90,71,-76
62,-78,-42,11,-51
34,82,-46,-93,19
63,21,-68,-83,-97
31,-23,38,8,-12
26,93,-97,-70,44
30,-44,-3,-80,79
67,37,-60,-37,-2
9,-28,-92,-88,81
-42,-68,-9,82,-1
-25,3,-89,-30,44
22,-30,38,-70,98
-15,-80,13,90,-48
-92,91,-34,-11,-61
56,9,-79,-100,19
-72,-92,-54,-73,43
48,57,-89,100,-75
-67,53,-90,67,57
3,-90,-62,-41,-49
-62,-78,-21,77,-21
98,63,-8,99,-15
36,15,-16,-33,-75
-88,-35,-95,-22,94
4,74,-25,68,-83
-11,75,-11,39,28
71,-4,4,27,90
-100,-41,-53,-88,-99
-60,21,-40,-41,97
-95,-84,-70,86,40
74,-36,98,-50,-97
19,6,-83,88,50
-100,-34,-89,-92,99
-46,-34,23,-29,-47
83,41,42,55,-3
-17,70,-19,-70,61
40,-13,-29,-21,70
-78,75,-49,-39,62
-39,0,39,48,20
25,-33,-87,90,21
-83,46,-27,68,-8
-99,-75,-27,-11,19
64,-88,81,-24,-10
-38,25,-71,-74,48
2,26,-63,-46,-76
-51,22,27,63,-77
61,36,-33,-3,-28
-77,-36,-93,-50,-93
20,100,-83,-41,31
45,-73,-34,35,-47
11,14,-30,-90,-69
-81,25,37,14,-75
-21,98,-28,-92,60
