column0,column1,column2,column3,column4
-69,-85,-41,45,-89
3,-3,-84,-30,-12
42,-54,22,-97,-15
72,-91,-29,-43,74
-59,84,100,31,95
89,57,-61,-78,19
98,55,-96,2,-53
-81,50,-45,-54,6
81,-59,-8,37,38
81,83,57,12,-89
6,-33,14,0,-83
75,-60,14,22,100
97,5,-87,-44,-89
95,-58,-65,-62,-26
10,8,-36,29,19
42,-4,-82,70,51
99,17,-57,66,36
-25,8,-93,-21,-4
51,0,-27,20,37
83,-29,-70,-56,41
75,-6,-43,60,-91
19,84,85,51,39
44,-97,-52,-23,1
-29,22,93,92,-37
89,-11,-17,72,48
44,-26,-23,-66,6
6,15,-24,-87,47
-76,-2,75,97,-56
-80,-94,63,48,-74
-46,75,20,-27,-34
78,-43,-57,-14,-83
91,80,-52,67,51
22,17,34,-23,-78
61,33,1,-27,-90
-33,-55,66,20,-12
34,-76,63,-93,-81
84,67,42,7,27
-91,-25,-23,26,1
-85,31,89,30,82
17,81,-94,-98,-63
61,-100,10,26,37
96,-100,-87,-54,-99
53,-58,45,-24,68
-26,32,-67,-43,0
90,-87,-6,97,61
58,-68,-1,-82,33
68,86,28,-41,-23
96,-96,-87,-48,-20
37,-81,-6,58,-41
71,12,-57,-87,12
-56,100,71,35,44
-10,4,44,-80,33
-84,69,92,-65,-95
6,43,-31,-33,-17
-59,-88,-89,-99,-5
49,29,23,-8,-11
21,-41,37,12,78
45,96,-72,99,-59
64,-30,-65,-6,51
-61,-73,-24,89,61
79,15,-46,-48,-13
31,-3,-68,-30,54
49,60,-93,-42,-3
100,-76,-13,4,69
48,-12,-35,-83,7
-46,49,-72,62,60
-41,46,57,-65,13
-15,-2,75,97,-39
100,3,-2,63,86
83,-33,-50,-68,-57
28,83,19,59,-99
-46,28,-69,5,-4
100,72,80,47,-75
78,15,40,-86,85
51,-79,-42,-26,-76
7,-98,6,-79,92
4,55,43,98,-29
-24,-47,-37,1,8
41,38,-55,91,34
37,92,-58,-7,74
39,22,61,-39,37
38,96,37,94,61
4,4,-74,64,31
-4,63,92,-8,-16
-70,-89,64,35,53
45,-15,49,51,-62
-34,51,-85,-45,50
2,-70,-16,47,72
34,-58,-83,-91,29
-70,-26,-43,-79,-61
-46,69,84,36,25
90,-25,-2,-31,-64
-53,98,66,-15,41
-45,-85,-73,-27,48
86,91,62,-94,-9
12,8,78,-56,77
56,-63,82,55,16
7,-45,-30,71,62
-73,-75,82,-6,19
59,25,55,-33,-26
75,-72,81,-40,39
30,50,-26,-21,-26
-54,60,95,44,-49
11,-61,36,61,59
-12,-99,41,-29,-34
87,72,-20,23,1
-5,-28,39,45,-52
25,-4,-36,87,-97
57,-12,38,88,-37
-96,15,17,-99,9
65,-19,67,40,81
-75,60,94,95,-47
-58,12,66,59,92
68,68,11,-45,-49
81,68,49,84,89
-26,-38,47,25,-33
-87,3,64,6,51
12,13,52,52,97
14,-45,-49,-86,-68
83,-55,-47,2,42
-35,-97,98,79,-48
95,36,-81,-9,87
-47,56,-39,47,-79
66,53,9,-86,-23
56,-96,83,-31,92
-55,9,89,2,-7
89,53,33,6,35
-2,-7,-56,-98,-77
41,-68,-39,-8,64
95,97,98,-36,31
91,8,1,-62,-41
55,-65,57,-32,85
9,4,51,-5,-71
59,-31,99,11,-66
77,-64,-55,20,50
97,-92,3,67,82
-94,16,-79,73,54
63,-26,-27,-21,-17
81,83,3,13,-52
41,36,-77,40,-55
22,82,13,84,-1
-10,40,-58,61,86
92,-71,73,-58,-100
84,88,22,-55,-96
62,-45,-33,5,-97
70,12,54,-66,-79
-86,27,8,74,62
95,66,72,27,-63
-29,-54,39,7,3
67,-90,60,35,63
-93,-14,-86,-3,99
13,-74,77,-71,-51
2,32,-35,72,87
80,54,-1,18,24
-7,-1,55,-70,77
53,30,37,-5,33
69,91,96,1,-31
23,-27,-48,93,-15
87,-5,-92,-26,-89
83,-56,-78,29,-94
11,-44,81,54,15
54,-15,-26,-48,-42
-32,78,45,-76,-90
8,-4,17,-19,8
57,67,-78,-93,-96
23,18,-60,-14,70
-84,-73,-91,-85,16
11,56,-8,-25,-17
84,56,-73,57,-100
91,-30,-18,50,-3
100,-14,17,-98,90
46,-70,-17,65,-71
-24,-82,67,-78,-5
67,71,-84,20,-77
-48,90,68,86,32
50,96,-30,-6,66
-50,-79,-92,80,100
87,-67,-43,-6,43
71,100,-59,86,52
66,24,-88,14,-98
12,-66,-12,23,-11
75,-89,60,-7,-95
100,-96,35,94,39
69,81,-74,7,66
19,1,41,98,38
-82,66,81,58,-25
14,-49,53,6,-52
16,-13,-48,93,-72
47,25,78,51,76
26,-67,-2,45,28
54,-74,-19,88,-8
70,78,82,-82,92
-37,68,61,-82,26
-26,-43,71,-13,-29
29,-1,37,8,33
33,2,93,-93,27
93,-7,51,-64,5
27,47,31,-12,80
89,42,75,-59,67
44,-100,100,-18,-22
55,13,-39,-40,-63
70,85,47,31,49
42,11,67,-50,94
67,80,77,-80,79
65,92,45,-45,-86
47,-28,37,-37,-41
25,16,-17,66,-83
31,46,85,-44,-30
87,65,-41,34,-42
-77,47,19,37,-79
-90,23,46,24,-64
-14,-32,74,81,-27
38,-65,-42,45,32
-60,67,82,58,40
23,-47,2,-56,-50
94,86,34,-37,40
84,-24,86,-14,-28
54,-34,62,-74,20
73,74,97,-95,1
76,93,-53,-92,22
-29,97,35,98,-80
73,-65,30,49,50
-24,-82,23,71,-94
8,-5,-78,58,23
48,78,85,65,-20
-8,97,82,86,-84
-20,-75,11,-65,-52
2,26,-40,56,86
-10,-43,-67,-56,-93
46,81,15,-16,-19
-81,-33,9,-77,70
68,-40,-40,89,-36
40,2,55,26,21
93,-73,-67,-97,61
94,-41,-60,15,-42
-81,90,62,-4,53
66,-96,98,95,15
-93,3,0,68,-25
78,-68,-75,68,22
76,-86,22,4,23
85,49,-3,22,-8
-71,-48,85,-9,81
-51,-70,36,59,-58
-90,89,81,-100,14
6,19,94,-4,-22
59,24,68,73,28
-45,97,36,-11,-38
30,-39,13,19,13
51,-69,-96,30,30
5,-53,5,-94,13
97,-28,-87,-65,73
-13,-28,4,-27,-94
100,38,79,-30,-71
48,-45,-58,-93,-5
51,-18,-68,47,-88
36,-65,15,11,-87
-23,-67,49,80,50
73,27,-38,-92,-97
6,-85,-4,-77,63
84,-40,71,-72,-48
-53,10,-59,-19,-74
33,100,31,-24,42
3,36,-36,-85,-91
-17,21,-91,-21,-26
59,-57,-57,55,33
54,-90,17,-56,-98
47,-71,48,-26,-83
-22,74,-54,-6,-62
-34,45,68,-33,77
88,81,-27,-92,37
2,59,-43,-98,-1
14,-60,-74,-60,24
55,-38,100,-81,57
-55,-9,-71,62,-13
-61,-80,5,-30,13
-56,55,80,-61,13
15,-37,-25,64,41
40,-92,48,54,98
-20,-9,-28,-13,88
27,79,-69,44,95
19,-97,53,26,45
-97,-49,86,-44,25
71,-86,-83,-97,-71
57,-54,58,76,26
48,23,35,-95,-5
61,30,29,84,56
89,-56,-6,-26,-80
20,-1,30,-14,-82
-30,-78,50,56,54
53,46,-70,26,-31
56,-92,-69,31,-72
87,-50,58,94,-51
-7,7,17,57,-99
83,-78,98,26,-92
-74,49,27,51,27
79,76,-85,-90,100
28,74,-70,-13,68
43,-13,-88,-24,79
-75,-31,26,-35,-54
100,77,57,79,-71
98,-87,-80,-98,-35
49,41,71,59,-61
13,79,-86,-23,62
59,-16,-42,54,-82
51,93,-62,-49,41
8,-98,-71,-25,-53
-27,27,42,-82,-41
83,-46,67,-30,-26
65,-67,-29,-77,-21
73,30,-34,-60,-79
51,-24,15,-61,68
33,-52,-95,-52,97
63,-78,47,92,21
68,-99,-83,-62,-93
45,75,35,55,-9
-39,-47,97,-3,6
82,-90,-15,-4,-53
94,73,-50,-24,72
49,-5,-2,-16,-13
43,-30,51,-49,-44
68,82,-12,65,-85
-12,-19,-5,61,68
29,-100,88,-57,91
7,-34,69,-15,43
63,-41,-48,-60,52
70,-48,-33,-84,-31
88,44,-66,-14,30
-65,72,87,32,58
40,-9,41,96,74
3,8,-5,33,42
81,59,-46,-48,-59
42,-20,-97,-8,-52
-88,76,-17,32,-45
100,10,15,75,-33
-27,-24,-34,-100,-26
46,-64,99,-15,94
86,-19,12,-55,46
78,-45,-39,56,-15
95,-37,-100,42,7
42,-7,-61,52,-28
16,-97,77,-80,82
-2,-34,89,-44,-49
9,-80,32,-100,-12
96,-93,-50,-63,-59
37,18,97,9,1
-49,78,83,-21,-4
80,22,-94,37,-75
41,49,96,49,-96
25,-82,-54,-95,-36
-53,-67,92,-17,-55
-79,-38,-81,-17,61
76,88,92,-80,51
59,23,95,90,64
40,66,73,46,-66
11,79,-45,37,35
-15,23,83,-78,87
-14,-15,10,-68,-62
