column0,column1,column2,column3,column4
70,24,-63,-57,-48
1,-53,24,100,-38
-61,-83,3,94,58
-87,-35,-92,63,-1
35,-47,3,-3,13
-96,17,-54,38,-72
-84,-82,84,8,27
6,46,-16,-43,16
-32,-59,-69,-25,-29
-48,36,-47,47,54
50,-43,33,46,18
-50,99,-92,-19,6
-30,-2,4,76,18
100,-68,99,-12,93
-70,-31,35,-78,-47
93,14,54,-73,59
70,-61,-62,-78,-100
30,-50,-53,77,-54
10,-32,78,-96,94
-63,38,81,99,-21
-20,-16,13,-32,-22
-77,35,-93,8,-57
17,25,97,99,-67
-56,18,37,32,27
58,24,-74,50,2
32,21,89,65,-77
-56,31,6,74,-49
-55,45,65,-32,-17
-12,17,-32,95,94
-80,53,57,-37,-15
73,30,35,-82,-50
57,31,-50,77,-2
-28,5,14,86,70
80,71,59,-97,0
-70,3,-31,-72,90
-60,31,20,-34,87
-99,34,-50,-23,51
77,-63,23,-76,41
1,85,49,3,-36
16,22,70,9,49
-37,49,100,60,-13
-73,43,53,-35,21
54,31,48,-19,10
-18,-20,-13,61,-35
-27,32,83,72,-83
-93,17,77,-71,74
65,-72,92,53,-60
-18,35,-71,-1,-63
-100,-41,-10,45,65
61,-59,57,-36,-62
41,-8,-2,-92,-88
-15,-66,-64,60,8
20,10,-24,-84,80
-91,-69,30,-99,22
31,-88,-9,-58,-44
5,74,51,-59,-38
-18,19,31,-13,-61
-78,-79,-100,-56,-91
95,-58,59,32,71
47,36,64,39,-56
65,19,52,96,3
60,9,-3,56,-58
85,-34,-49,60,91
-7,-16,-7,-8,-18
83,34,13,-96,5
35,75,76,43,69
-84,44,-83,-5,63
-10,97,-56,63,16
80,-65,21,-90,-58
66,19,-79,-84,86
70,-98,55,-91,-48
39,10,10,-71,-55
35,47,62,41,-93
45,41,-42,-89,71
-75,-25,90,9,41
-87,44,-47,-41,3
15,30,-6,39,10
-20,48,-4,15,26
74,16,-39,91,55
-93,36,74,-33,81
-65,83,80,7,-32
48,-99,10,-34,98
-65,-58,32,18,40
69,31,22,55,52
93,-13,73,-4,26
1,-11,-82,85,-48
80,70,-33,-62,-21
-50,77,-76,13,92
33,-46,-66,69,-27
-85,50,40,76,75
22,25,-41,-31,-80
-50,43,82,-8,42
-100,-72,-20,9,-31
75,-11,11,27,46
8,-73,-35,65,-72
-16,11,-25,75,43
24,30,-28,7,81
45,-36,49,-52,33
35,-99,30,-100,94
-15,46,16,-94,49
-8,96,-79,52,88
65,56,13,-35,3
-28,3,-61,44,-97
25,56,91,-86,55
-35,-18,76,19,-4
-64,-24,40,73,-26
31,40,96,-53,95
46,16,-98,92,-83
-66,81,-100,87,-99
-15,-2,54,-90,67
41,28,91,56,-79
-42,33,-89,8,13
89,-64,-41,-67,63
89,13,-86,-72,75
74,40,85,99,89
12,44,-15,-23,17
64,35,-83,80,-68
2,49,-22,-89,71
-77,27,-100,88,-84
74,24,-70,56,58
75,-90,-45,-31,-12
-53,-90,-88,-20,-18
-15,-40,-16,-75,-79
8,40,58,-60,-27
87,48,-86,-72,-54
61,17,-32,0,63
-88,-28,-5,62,58
-10,52,-93,74,-51
55,-21,-69,-34,-35
5,-49,87,20,97
-64,21,83,25,43
34,43,23,-28,48
