column0,column1,column2,column3,column4
-1,-55,19,-51,43
93,37,-84,73,63
-92,-43,-60,72,4
-94,55,-70,48,13
35,1,-94,-47,70
80,78,14,55,51
-39,-49,-68,-52,28
-23,-36,-4,4,-28
39,3,8,27,40
53,-38,82,88,6
-34,100,-37,-37,84
24,63,79,-24,-51
34,-90,93,-66,35
57,-46,98,95,69
-32,-67,77,-51,-18
32,10,67,-71,-49
46,59,-55,48,70
-41,-58,-24,76,-82
-3,19,15,-8,49
-99,-82,73,35,35
77,67,39,79,87
98,-94,12,-92,-67
-46,-51,-37,13,84
87,57,37,68,38
72,14,-27,55,-66
2,45,96,-8,-47
-2,-59,70,-36,-86
55,-49,62,-27,77
53,8,72,-36,3
-63,-91,79,93,-16
71,13,-7,90,-13
-80,11,-77,0,26
73,52,37,9,-99
38,-22,77,65,-29
-84,44,-20,-81,-28
16,27,21,-33,-33
-11,-56,72,82,64
34,69,-56,57,1
-77,33,48,-51,80
-14,14,-15,91,-72
22,-76,-32,51,32
60,-49,-41,66,14
-77,11,-55,-63,32
-56,58,37,-18,-82
100,-20,-92,81,2
86,47,33,21,-17
-79,-93,-98,-6,10
-5,22,75,99,-74
77,-67,-46,-87,66
71,-66,-93,-2,-94
3,-13,27,24,5
38,87,-95,-57,76
-3,53,-57,44,-98
33,-14,-74,58,-92
-73,10,-54,49,77
-94,-72,44,-58,-11
-75,58,45,-40,-22
-56,-80,-81,-61,43
94,18,96,69,68
-39,13,9,57,-78
95,41,92,95,63
63,-12,-26,56,19
85,89,34,-60,-52
23,-20,-21,66,41
97,-84,43,-3,88
-73,99,11,-9,93
-99,56,92,12,99
74,-74,-38,-80,-91
24,-16,40,-81,16
-81,-59,-80,-3,39
-2,29,-10,-97,-40
19,13,-72,72,-4
10,-27,27,53,-77
24,-3,-55,96,3
7,-94,-35,-27,18
-5,-22,-71,81,98
-21,-42,19,6,-8
48,-94,-49,-31,81
31,26,71,77,-42
-67,-76,-85,-3,-39
-21,-73,-24,-14,93
-32,-68,-13,21,-20
-45,-96,11,-48,99
86,41,5,-81,-37
72,-39,-82,64,-56
34,77,91,-11,-79
99,41,42,33,-62
-51,-33,89,34,31
50,50,-43,95,63
-64,78,86,57,-97
71,-94,70,82,-70
78,-5,-90,-12,21
-91,51,91,-64,7
89,57,36,-26,96
-96,-58,-67,-43,-14
75,-6,-64,-66,89
-79,-33,-69,-36,-11
-35,-69,42,-69,-35
13,8,75,3,10
-59,-84,-39,-33,24
-49,24,-78,48,-30
-72,-14,20,96,67
71,-6,-49,-15,-28
97,-78,-8,-2,-42
6,38,53,17,53
-49,85,-16,63,-30
63,-18,89,52,14
-12,60,96,-75,-7
20,32,-69,72,-59
-95,61,31,-69,-45
-48,58,100,68,-42
83,84,-51,-43,84
-29,-63,-57,-8,-36
-75,76,31,-20,-93
72,-6,43,10,98
-70,6,13,9,-46
49,9,-91,21,-8
27,91,92,79,-50
60,-60,84,48,-49
64,97,-31,60,88
-94,26,67,-63,60
