column0,column1,column2,column3,column4
40,28,-63,34,20
-40,60,90,-100,47
-87,-53,32,39,58
-10,-29,-39,71,66
-44,-25,90,94,-63
-40,9,62,58,93
-9,54,-66,59,-4
21,50,-66,64,-69
1,10,-54,-72,31
56,-7,84,-80,31
22,73,23,-48,-53
-24,52,-22,36,-11
71,-76,71,9,-74
8,-99,53,31,-98
-72,-29,84,38,31
64,-29,-58,22,21
29,33,-31,41,-33
99,-94,73,-97,86
-36,-55,-2,40,-7
-27,-20,79,-93,90
-93,76,23,-58,48
19,-43,-76,31,47
83,-4,-87,41,85
71,36,-11,34,-37
-3,69,78,-25,-5
7,-17,96,-80,-95
82,18,66,-41,-39
26,-43,-22,86,-93
53,-16,98,-81,-11
92,-56,89,91,-23
-32,-4,72,-66,-51
-9,95,-53,41,-46
49,52,71,28,-40
-97,-83,100,80,5
-24,89,-94,2,-73
88,89,97,-49,-38
68,6,91,100,75
-67,29,34,70,37
21,-69,93,-75,-33
-49,-22,62,-90,60
-10,57,89,86,84
55,-69,-100,83,84
94,-75,-6,91,-90
91,83,92,-45,-13
17,9,76,-11,68
-47,-49,96,66,100
-100,76,18,-57,52
-33,82,65,-47,-86
-42,-96,85,-27,65
56,-87,98,92,91
-11,47,-29,54,58
-85,50,67,-18,1
-54,-38,47,37,-46
-62,0,71,-50,-10
31,-96,98,29,-67
-52,78,80,78,-83
28,-50,96,71,45
91,58,97,14,-84
-15,96,-54,38,36
-5,5,81,75,-51
4,46,69,-87,28
8,65,91,73,-95
56,-13,85,-68,-40
88,35,98,-59,52
44,-52,53,86,-65
5,77,93,51,-22
-6,-74,63,56,-72
-50,-17,-71,-33,55
-72,-67,-37,40,64
-14,66,75,38,70
-91,-5,98,10,-14
-46,25,-96,-50,-98
72,-14,70,-35,62
-42,-93,93,92,4
-50,-24,69,67,-25
29,-24,-83,-65,-55
-1,98,97,7,54
71,-2,65,-17,96
-42,13,86,80,-14
41,1,72,-91,76
-58,64,100,47,24
-28,3,97,-84,55
92,46,75,-6,5
42,46,75,42,-100
31,-29,62,-66,46
0,42,62,51,5
17,38,97,52,-66
-28,-53,-90,34,19
83,-59,-19,32,-47
-94,-3,84,41,38
59,4,-62,35,39
-57,-84,59,31,70
69,35,32,87,2
11,32,74,52,-55
-71,-74,77,-24,5
-30,-100,72,-4,-81
61,-46,-99,-79,69
74,33,75,79,57
-95,-44,25,30,-82
-100,-59,86,-89,57
70,74,99,18,-18
-92,43,65,26,-69
80,100,83,-48,-88
-32,-61,5,88,-68
-14,6,-99,85,15
-56,-77,83,60,39
74,97,13,-34,51
-14,-5,92,70,25
98,-69,85,-35,60
-95,-93,-53,52,44
13,18,83,-65,-85
21,-33,35,37,-18
-21,-62,65,-31,-98
42,85,61,-99,40
24,-87,-12,35,-33
-34,-24,65,78,-56
