column0,column1,column2,column3,column4
-61,44,-29,-24,-31
76,32,56,14,-47
-52,91,-48,66,67
37,79,50,45,14
33,-63,-100,15,-74
78,-49,90,-35,-16
36,-12,25,6,-86
16,-3,-91,-25,-88
-41,-46,-81,18,-86
65,-39,74,67,4
96,25,-18,21,-76
-61,-63,-62,-6,-79
15,-7,45,30,-24
7,51,23,78,-70
82,-6,-32,87,88
98,-76,0,54,83
-25,-79,-61,23,85
-85,-3,-41,42,9
86,83,25,21,-84
46,94,-65,72,-19
-8,-62,96,99,-30
90,-37,55,-5,-50
-54,-47,-70,-6,4
81,-42,-36,90,64
-97,-94,92,-32,-49
-89,-10,-96,33,-58
8,4,40,71,27
93,61,-57,99,11
6,-89,57,-30,54
-89,-44,-11,-39,21
88,-58,20,-31,-59
-27,-49,30,-84,-13
48,39,54,90,27
-48,-90,12,-21,48
66,-98,78,41,-11
34,-91,-10,31,-100
18,-68,-62,35,-33
15,-34,79,-24,-16
83,3,45,-6,35
-24,-94,-65,-71,98
-39,39,73,84,-16
21,72,12,38,11
95,-32,12,-95,89
13,-64,-64,53,41
33,-89,96,32,49
32,68,-45,-63,-47
-29,-11,21,-36,-69
64,2,16,-84,84
-95,41,64,-78,-61
-57,-40,3,66,-31
100,-85,-62,-30,38
-95,40,0,9,10
-29,-46,-40,-48,14
-78,-46,79,77,-49
80,-24,65,-9,36
19,-8,-1,-27,-96
0,91,47,-60,64
54,45,-97,24,-91
-35,-49,87,75,-77
-18,-39,87,57,53
-95,5,-13,15,-38
34,-17,90,-45,-28
46,90,47,-12,77
-27,14,6,27,29
60,13,28,21,1
-36,-2,-60,-9,-44
31,24,14,-54,95
-14,38,-7,32,7
-71,62,-22,-87,83
-75,18,88,-45,45
-3,55,-4,36,-52
70,3,-45,-21,-37
60,88,-22,72,-56
-66,5,33,-3,-45
5,-59,-36,35,67
19,71,72,-3,71
40,-96,-37,30,-37
-39,2,65,57,-98
50,-22,-19,69,97
-92,-71,-58,18,-65
-11,43,-94,-15,49
46,48,-17,37,78
36,-58,53,-54,60
-20,-1,46,0,51
-71,-15,-12,12,-99
47,56,-2,-93,45
13,-49,50,84,-63
100,-60,4,65,4
-3,47,-34,37,79
-51,-11,-97,-12,-24
47,-86,-93,99,68
-7,53,55,48,-34
80,16,84,-96,67
-5,-8,66,-33,81
78,-10,44,-62,-19
-98,-77,26,45,80
-82,-58,-94,-87,-40
7,83,48,37,14
35,87,78,-51,37
24,-8,-48,-3,26
-98,41,-87,37,9
-52,73,13,-48,23
45,-96,-34,75,-16
93,77,-12,48,76
85,44,-49,-87,-99
-13,-95,-27,10,55
18,46,-5,36,-27
-34,-99,-98,48,-61
40,-48,-27,-30,-79
29,53,-9,36,-94
-71,85,-36,-9,33
50,76,-49,24,-83
0,-18,30,-24,28
49,48,13,34,91
-14,73,-44,-48,8
91,-6,68,-36,66
-2,7,-78,51,-60
42,73,-38,-94,-62
83,20,-56,60,-90
-21,15,16,32,-47
24,61,31,42,-64
79,-51,-98,-51,-87
31,81,-54,-63,98
8,-92,-9,0,59
97,-16,4,35,34
-53,47,48,-47,-50
-91,-7,-96,-39,30
-48,36,29,84,-92
54,8,-72,54,-16
100,-5,-57,99,68
-45,-43,73,35,-34
-21,6,24,-64,-57
15,75,-97,98,-22
93,52,-92,96,-97
0,-79,-10,9,-50
-13,17,-68,-93,3
97,-15,43,30,-6
48,-20,90,-20,-2
-75,-36,71,32,19
3,71,98,66,23
-85,-52,90,6,-74
-89,43,62,93,62
-88,-14,-74,-17,85
5,61,55,24,79
-65,-57,40,-46,-1
97,8,24,-84,72
55,41,16,-75,2
-99,51,-64,6,74
36,51,-98,12,-65
65,43,-90,-34,-35
27,-6,34,72,-70
10,54,-66,48,-23
-13,-95,5,24,-90
-11,22,-88,63,61
18,-69,60,54,9
60,79,70,38,20
-80,-96,51,55,-9
25,-15,-43,21,-43
-31,-42,-78,-21,97
-51,66,9,9,91
74,-14,-42,72,-26
45,-95,-1,6,31
60,-25,50,30,25
-34,-60,3,68,30
-12,-98,11,93,-98
20,-70,58,-30,11
-45,13,54,35,60
-17,-45,66,-3,-100
35,71,-93,-33,-94
-61,-42,-37,-12,-65
79,59,-74,41,28
74,71,47,75,72
12,98,36,99,-99
11,12,-55,18,-97
97,51,29,87,82
99,84,-67,27,36
85,-91,-88,42,13
-15,-10,62,34,59
95,43,-81,-27,-42
43,42,-90,-81,88
-11,43,15,-66,-95
37,-60,78,-24,66
73,26,2,-93,7
-12,7,-57,-45,99
7,-89,95,51,-17
99,-1,-55,-1,55
-44,6,95,-9,-39
84,28,-19,72,81
51,-13,-29,-6,39
26,13,-70,31,8
88,77,68,48,10
71,16,-66,54,13
94,-69,-8,40,-60
-72,62,-75,38,-72
-73,-69,-37,-86,57
12,62,47,-12,16
-97,-85,-87,3,-24
-78,37,26,51,-45
-2,-27,57,66,10
49,86,4,18,-25
23,6,-75,31,-50
65,-13,-67,59,51
40,-22,42,12,12
-66,-24,93,-66,-10
-87,-79,22,-18,-99
-62,-89,-36,90,-17
84,83,20,96,-20
62,60,10,-15,-61
80,-27,70,33,-57
29,33,4,32,-13
70,76,23,-72,11
33,-59,45,35,80
-4,10,78,30,-22
90,47,-52,9,99
-34,67,26,96,-65
-99,-53,32,-33,97
-74,45,30,-60,83
-46,1,66,30,-8
-89,-37,40,30,73
37,16,88,-39,84
96,-14,4,-33,43
-57,45,-26,60,-90
53,48,-34,-27,-39
-65,-91,20,81,35
99,33,-72,12,18
95,38,77,18,22
74,46,-6,-84,-73
-73,87,-5,56,87
98,-35,93,63,89
1,66,-2,-66,-40
55,-71,18,-67,77
84,81,-40,31,93
36,17,-81,3,92
14,-50,-51,-70,48
-97,-83,-98,-33,84
-35,18,-89,60,-16
-12,-2,72,51,-57
19,79,18,90,28
54,23,-67,6,-28
-75,-50,-26,-99,23
-92,-72,8,27,-99
-22,-76,92,-66,-29
28,39,50,36,27
-66,-49,21,51,-5
-16,-16,24,36,76
-89,-100,-27,69,28
15,-63,78,-72,44
57,6,1,-87,-36
-96,6,-80,-88,-89
58,3,-67,-72,-75
68,30,45,96,-3
95,77,54,3,95
23,-91,100,27,55
-75,-9,100,-96,-1
-97,49,-29,-72,-28
-14,9,44,-87,95
-98,11,66,69,-49
30,-78,-25,-3,-9
-46,-96,96,-90,72
-15,57,-43,90,-36
48,-3,-57,63,-93
-100,16,9,-3,-54
57,87,62,51,28
-72,62,-11,24,-41
70,52,12,-39,82
-60,39,100,35,99
-58,17,38,-99,14
93,-55,-22,87,-7
7,-39,-37,31,-28
79,88,-51,34,67
-56,22,-48,-60,73
91,-30,-89,6,93
73,-96,-44,57,-45
17,-75,62,-30,-74
-88,59,-88,-81,-40
6,13,-22,-57,-31
-56,89,0,-15,87
-10,-56,63,84,-8
79,20,61,-87,-40
9,-98,-37,62,95
-68,-33,53,51,-55
47,-55,-54,75,13
-33,24,59,45,-98
-12,82,-52,-66,49
91,-51,-23,24,-41
-46,2,-29,41,21
57,-56,54,-18,86
39,95,-40,-66,-1
-18,-90,-53,4,-9
46,-99,26,75,4
10,-95,47,-21,57
60,-8,-44,54,-86
18,6,55,21,82
-99,-10,80,66,61
39,65,95,-54,-65
-38,85,-53,30,-91
33,-78,77,69,-73
10,-26,-41,-24,-42
-57,-52,86,-100,-34
-83,91,-44,24,26
-45,-46,34,-39,-100
59,-53,35,33,64
98,47,3,-30,-63
2,-92,45,-63,97
-9,68,-78,24,43
-28,56,88,-9,43
-60,2,31,-59,-72
85,39,23,35,-78
-8,-69,43,66,-57
-54,-100,-70,32,40
4,-81,-20,63,-25
-96,47,65,68,88
-69,-71,-7,-33,43
-30,-78,-49,63,-57
4,31,97,54,-79
-71,20,-29,63,71
17,-100,92,78,-8
46,-72,99,84,-25
-22,6,-27,-80,-63
58,44,-71,30,79
-59,0,-21,48,-50
-52,16,50,-18,89
-90,-98,29,-82,10
-72,-86,-61,57,-47
43,8,-2,-87,37
-43,-79,-22,27,47
70,46,100,9,14
-59,-59,96,-57,2
48,-49,5,30,38
-16,34,13,81,-20
27,10,-73,3,-6
-51,-88,-38,37,38
16,96,-26,-69,96
-4,92,-40,49,-37
-34,-67,-38,30,17
99,-99,46,-21,-3
60,-30,80,-49,-80
78,58,0,-48,36
69,-9,71,32,-84
74,69,-98,63,83
-80,66,-14,-39,-20
-91,-75,-32,-69,68
-55,-83,19,96,-89
49,-70,67,-45,76
48,-92,-13,-70,19
-35,72,-81,41,16
-6,79,-81,75,-86
-6,34,24,7,-71
-5,79,21,0,66
5,51,49,75,33
-11,81,-83,32,22
-18,67,46,-81,35
62,46,-62,15,-49
-74,17,-88,3,41
-90,-47,80,81,-26
67,90,-74,-36,34
-83,-90,68,51,38
99,29,-62,-51,58
64,-26,-84,15,-94
13,-30,-38,33,40
-98,-61,-17,12,6
-23,25,39,-10,12
73,-13,-98,3,-10
55,-27,-76,35,15
40,14,65,-12,25
-21,33,23,-66,-63
16,5,18,84,-42
44,-2,27,36,-63
97,1,-65,66,-74
-88,58,41,-48,91
52,-16,35,-18,3
60,73,-34,87,99
-49,47,-56,-9,36
-11,-22,-98,75,48
-74,-98,60,24,31
38,-68,28,-84,-54
-15,-12,-84,-62,29
42,-41,-56,-63,-15
-95,-79,39,-30,-56
-69,-21,-7,-15,-74
94,-34,-94,6,-61
-87,-92,1,15,-1
94,6,19,-12,-96
-83,93,-89,-24,2
53,49,54,-1,39
41,71,24,40,71
-96,-5,-85,3,-18
-71,-98,-85,-33,13
-63,-67,57,-66,64
91,-56,72,-40,-24
72,-96,6,36,31
-47,-48,-19,93,53
-14,-60,16,21,18
68,-72,-35,51,16
-11,-63,48,-21,98
-42,48,-29,24,-35
-92,-45,59,93,76
-30,-68,0,43,29
-61,91,-40,93,-85
-51,-40,-84,-93,-29
30,40,-35,3,81
-54,86,90,-99,-35
-97,-83,-57,-61,41
85,14,19,-75,-88
70,2,-29,63,74
89,-47,91,-60,18
-33,19,-11,48,-26
55,22,19,87,-11
-53,76,-92,34,22
-94,70,-44,-21,45
41,54,11,9,-97
97,-80,83,0,-15
42,4,-91,82,-2
-68,-40,-61,-51,-5
-63,-9,72,96,54
82,80,-16,42,-11
-90,-13,-65,-84,49
-64,-99,0,-81,-73
65,-83,73,36,-75
19,-35,-5,-5,-87
-45,-77,-74,-69,77
-92,-99,68,84,-69
-9,90,74,84,-56
2,-93,-43,36,17
-98,44,-53,80,-99
59,-36,82,75,-1
-5,93,81,27,-71
-85,-95,86,-99,-64
-91,26,-26,-18,-61
-2,-96,-59,38,12
33,48,25,41,-59
22,-6,49,-15,-92
16,-62,-45,54,-50
-36,-11,93,45,38
