column0,column1,column2,column3,column4
-74,12,-95,31,-30
53,2,-74,-16,-94
-70,58,51,98,81
90,88,-98,-62,4
-86,13,77,61,-19
77,-65,61,62,-23
-50,-56,-71,-35,32
-90,72,-7,-15,15
45,-55,24,-87,-64
-34,-67,-73,93,58
34,-96,-60,8,-36
36,33,75,35,78
-88,-66,68,7,85
25,58,18,25,80
-95,-74,-28,28,13
66,-57,-79,-27,-71
-31,-13,1,58,-57
19,-37,84,96,23
-70,30,-92,12,37
80,78,75,-36,-91
-33,-70,74,91,-53
-57,39,-90,-35,29
-48,64,95,29,-56
-20,-47,-84,6,15
-35,74,33,-35,-38
34,-100,88,-24,-65
-92,-6,59,3,76
55,18,-73,-17,2
-40,31,24,24,-19
72,-27,92,-70,68
5,66,50,44,-22
90,75,-84,4,14
3,-22,64,-19,-12
84,-77,70,22,-45
-15,24,95,76,16
52,-54,87,-28,65
96,42,98,-16,-88
-3,28,62,56,50
-60,-55,13,100,-27
29,-40,43,-8,17
29,-67,94,-89,-65
86,59,-76,-5,-43
97,27,71,-52,79
-85,-30,-96,-46,-40
-5,-38,-9,69,-74
-45,51,-47,82,99
8,17,94,59,22
85,38,-18,-38,-13
-21,62,64,30,55
-80,17,81,66,63
21,92,69,20,90
91,-98,-82,27,65
48,-20,42,51,81
-70,-59,47,59,-91
58,-3,-5,76,-9
11,-91,-11,-39,-50
25,-59,-82,-41,14
71,88,88,-78,-44
50,-60,-96,-61,-36
51,60,78,-52,80
-76,-14,74,-32,-17
80,10,-67,61,-33
-40,-77,-58,-50,-94
-44,-53,-95,-51,90
65,-66,-19,-28,91
2,-86,72,47,53
-64,56,2,-16,4
-39,11,79,93,-82
46,-28,79,61,-30
-26,6,33,-73,-18
-36,-74,68,-33,7
-5,-15,-58,33,-16
55,69,11,1,97
100,71,21,-31,-56
53,50,-19,48,-10
-45,45,97,33,-98
36,49,75,-10,-73
73,88,-81,-23,46
-58,59,52,-41,-10
-20,46,-35,78,89
-10,92,54,-9,20
33,17,-32,42,-52
79,-89,-9,-30,96
-70,-20,-51,8,-3
70,-14,29,-85,-91
28,83,80,67,-76
82,-46,97,-41,81
-74,13,26,-30,62
-10,-4,7,64,-21
56,23,4,-98,10
41,32,84,35,-48
38,-76,-82,-97,-70
-35,59,6,96,-42
70,-43,-97,78,51
80,-15,40,32,99
-44,-70,82,27,81
95,-93,98,35,36
-15,-12,79,56,81
-6,-25,62,-97,-48
55,-29,83,2,25
45,24,17,-69,-63
15,-56,10,8,-24
-95,-27,64,14,67
12,47,-83,-29,8
57,17,38,87,24
-75,70,-84,57,-79
-43,73,-14,41,-15
12,33,84,98,99
-24,63,99,-89,0
1,-13,22,-14,93
-83,18,77,46,57
-25,65,-32,29,-20
53,-97,49,30,66
81,15,92,-10,93
24,-12,-79,-79,80
18,48,65,41,43
-78,10,72,-66,12
-74,-81,-19,92,-56
-5,87,-11,-98,-64
-30,65,49,53,83
65,83,-90,57,-82
-85,22,91,5,2
69,-66,82,-94,-86
-38,-69,100,-89,-57
31,76,78,-50,-81
55,-99,-30,75,-2
40,72,-15,72,41
-92,-20,90,71,38
-92,-75,87,-46,99
59,-17,-3,9,59
-37,8,-59,-5,61
81,-66,96,-54,-33
-22,-96,-27,-9,50
60,-41,-13,-7,-21
-100,100,-11,33,33
-40,57,-6,-67,-51
30,-82,16,-62,16
-25,77,-86,-10,-53
-61,49,51,26,-7
65,7,-47,33,0
-70,-23,15,59,58
36,7,66,54,71
61,49,-6,-78,17
-72,88,36,-10,69
28,28,96,-9,-77
-92,-62,95,34,2
5,-80,-35,7,-78
-25,70,-21,87,-42
-10,-16,-89,36,74
-17,95,95,-21,99
45,8,-11,11,99
-65,29,-50,-52,47
-69,-15,-23,-24,98
-51,84,71,-86,67
-100,-39,-81,-23,0
-35,-89,-5,-50,-49
65,-80,-62,46,-20
-25,-34,-56,58,-78
90,20,19,-17,62
