column0,column1,column2,column3,column4
-86,-11,-56,48,17
-11,-23,31,59,-98
-26,-2,-78,9,3
-61,44,35,-98,79
58,57,63,-48,-19
-29,-7,47,30,-85
99,-61,-44,-94,38
-61,70,-79,78,29
50,-67,-39,-6,-85
-32,-35,-44,-100,16
91,-84,14,77,-60
9,-77,-3,71,70
67,54,-29,-66,-95
-47,30,-15,18,-91
-18,83,-1,-85,-11
-59,75,-20,21,-21
-89,30,-70,32,82
-51,78,-91,70,-67
37,-25,-7,-99,66
-44,47,76,92,22
21,93,6,51,52
-100,95,4,97,47
-30,-19,-38,-19,27
35,-47,-92,-61,-49
-53,41,-92,67,67
38,-53,59,36,73
-36,-99,-48,-22,64
-98,-44,-83,-80,90
-59,-17,64,54,-49
-24,-8,-28,41,13
78,35,-59,31,-38
37,-86,-48,58,33
18,18,-73,36,31
-100,58,-25,32,1
30,61,34,-96,28
84,66,15,52,12
97,-14,25,36,-80
51,-22,-97,-32,37
-6,31,-33,-67,74
-95,-49,98,88,51
-28,81,71,-81,-57
47,-14,-82,-73,25
-21,-17,-31,51,49
0,-14,10,64,32
59,-41,-98,-10,78
-58,-59,38,-2,-92
96,12,78,36,38
55,-75,-25,-66,-99
-16,9,5,24,-20
89,37,-48,-71,-66
37,20,96,32,84
50,-19,-77,67,57
50,-71,-37,65,11
-47,-42,-13,-92,0
21,49,-36,49,-31
-35,31,-4,-79,-75
-1,-44,-91,87,99
-46,47,-17,78,24
-45,57,-31,-62,89
-35,-37,-57,-17,80
-33,53,18,100,63
36,-97,-20,57,-54
2,-37,-56,-80,-31
-77,3,58,-17,-74
-13,-39,-34,-97,17
-28,82,62,-91,-16
-57,25,-53,83,-45
-23,-7,-22,55,35
53,-49,-100,77,65
37,-13,-24,18,-99
87,-77,-20,89,36
-23,57,27,-40,-67
-69,17,-82,-1,-17
83,-29,-23,-79,-93
38,17,-95,42,-79
41,-66,-84,62,8
-2,78,-23,-93,-67
-98,-81,76,87,-5
-88,-67,-5,63,-66
-9,-15,7,6,4
-100,-67,-26,-8,-27
36,-64,-86,95,-46
85,42,-95,0,-16
-6,-70,-71,-53,36
96,30,92,-86,-52
-15,38,68,-49,-26
-85,-58,-56,10,-7
-20,7,-54,95,42
-100,-66,-84,46,67
99,-94,17,-64,41
-79,92,86,56,56
73,-62,-96,42,-63
-42,63,-47,-6,78
43,-64,3,30,-1
-96,-4,38,-98,99
53,96,-5,-7,-7
-20,36,85,33,66
-11,-72,37,-47,-88
72,71,94,50,55
60,60,-53,-77,-13
3,-32,59,-19,90
-12,61,-100,76,-33
-82,-45,-27,-17,-59
63,74,44,96,10
46,-66,-4,-27,39
-75,-89,-11,96,-87
-38,-54,-94,10,-2
-2,-99,40,-19,35
86,67,-57,17,-89
-45,-28,-25,-37,-66
78,-53,-82,84,57
-54,58,-44,-97,-24
41,40,-55,50,28
-62,-98,-13,78,52
-27,-8,-47,53,-8
40,36,-33,-46,-73
-20,89,26,-2,96
26,-79,-67,-19,18
-85,81,-94,-49,83
-49,84,-54,-33,87
81,-27,-85,-67,33
0,77,-82,90,39
-86,29,22,31,95
36,31,34,62,-45
35,-97,-75,-3,-70
83,-47,50,89,-6
-10,-50,-79,76,-93
-5,-61,-50,-50,-30
-24,11,-30,-75,95
-38,-14,-86,-63,22
70,-41,-46,21,-30
8,20,-36,-61,-13
19,0,37,-73,-69
-84,27,-45,-63,87
-48,-3,-28,48,-32
-88,75,15,78,-43
-36,0,-75,96,39
-26,-59,98,29,58
-47,17,61,-11,-61
-76,-51,-92,16,-26
-22,22,-97,62,11
-92,84,-63,99,40
-40,-5,53,-58,-39
53,8,75,-10,-83
7,20,-6,-22,-61
-9,-43,-67,77,-67
11,-1,-50,40,-45
-24,-27,-68,-50,86
70,-40,-67,-1,61
86,11,-1,-34,41
-14,-16,-68,31,17
64,18,-81,1,-91
-13,61,-58,-2,-3
-85,-18,29,31,-76
-34,-72,-60,-9,-22
-23,-1,51,68,77
-3,3,-43,-36,-14
40,-24,-66,61,-68
-100,-69,-17,39,28
31,33,-76,20,83
28,-56,-49,-19,65
-73,32,-85,-88,49
-67,-69,48,31,64
79,-71,94,-9,89
74,84,-70,58,-1
20,-89,-65,-87,-46
72,85,-9,12,86
91,78,-34,97,57
75,9,-99,87,-34
24,-46,-30,15,-18
67,20,72,31,-86
