column0,column1,column2,column3,column4
-71,15,-93,73,12
23,-7,-10,62,35
-72,45,-92,41,63
11,-94,-6,14,70
-52,17,73,80,-99
-63,76,-1,43,0
-8,9,22,66,77
17,15,-6,-9,8
10,10,-93,8,93
27,-45,9,86,25
-57,87,-51,50,42
-94,49,-97,-37,4
-56,-89,2,69,50
40,44,-6,97,-56
58,45,-5,4,59
71,78,47,-52,6
28,-63,-62,-2,-21
73,34,-78,-19,17
-94,10,82,-61,99
68,11,-35,4,-93
-32,18,40,17,-34
-21,-95,-75,-37,13
-25,-98,-39,-33,28
-76,23,-31,20,59
-75,-24,-97,50,-71
73,38,15,-93,37
-53,67,-95,-91,91
19,-24,-29,-98,-63
-87,22,65,19,-5
-60,-36,71,44,91
95,6,-32,-24,14
-28,45,15,-41,50
65,-86,18,-92,11
74,29,-4,-19,-74
20,-83,8,3,-91
-13,19,23,61,30
26,26,-75,17,-11
28,-71,38,50,-90
-62,28,60,32,-60
-7,30,-10,4,-39
-8,-14,-44,92,87
-10,73,-96,96,-93
44,15,-46,68,-90
-69,96,-12,60,43
-5,26,88,8,-69
-92,13,5,-70,7
56,-5,64,9,68
9,-95,-20,-98,-49
-1,95,64,-17,-42
81,22,20,92,24
-18,-95,74,77,-63
30,55,-53,-9,75
-71,16,35,79,-69
-28,48,95,-15,-23
30,41,-78,-87,61
60,-18,0,-6,35
82,94,46,-18,7
-98,37,26,-55,-25
-59,17,54,-49,2
-26,33,48,-42,46
-78,41,-89,-81,54
-50,21,9,85,51
6,51,-46,81,84
73,30,65,-11,-2
-83,47,17,-11,-62
89,27,-2,-29,92
7,73,-66,-76,56
41,-32,-29,25,7
-65,25,-26,-3,48
86,-87,11,-80,-71
-57,-24,-89,-64,-7
-64,-40,95,18,-77
-12,-26,-84,-70,91
-49,89,-59,56,-79
92,51,-10,-4,7
-50,49,63,-52,35
-95,14,-28,-61,74
45,-43,-32,96,14
-59,47,-67,60,42
-67,-83,-77,100,-56
-82,10,-5,-90,-91
-64,19,-66,-26,47
-86,6,-30,-46,86
-44,37,10,16,-64
-9,36,30,8,-76
-15,-86,-10,28,-87
46,4,-75,-44,82
85,38,73,-40,2
-86,29,-100,96,-22
-91,43,76,29,41
-46,35,7,98,67
70,87,-69,94,75
44,33,-50,42,83
30,-9,-36,-22,-77
-52,42,70,-37,-5
-100,-39,11,90,3
-17,46,9,-3,21
14,-58,-75,94,0
-53,47,-20,3,-25
-89,92,-7,47,-91
-78,95,59,-42,-68
86,48,-61,-89,54
80,-32,-30,-33,-77
-27,-96,67,87,-14
-53,38,-67,-63,-92
-88,33,18,77,-79
-74,-43,43,-40,-14
-54,-25,0,-56,-24
-86,-15,74,-43,-73
0,-86,25,-57,-94
-57,28,-25,63,-99
90,16,-95,-88,62
-85,-99,-86,-4,42
55,5,71,69,-68
-26,32,9,81,54
-32,48,-93,-54,-13
-35,78,19,39,-91
-37,-87,77,30,70
83,-45,49,-19,74
9,18,54,80,-59
-1,-47,17,32,-7
64,-97,-83,-89,-39
21,-38,-20,77,0
54,-12,98,-90,-14
15,30,87,5,-98
3,15,-17,69,42
-4,-30,-79,60,0
87,-87,-32,67,-74
-7,-77,60,-67,51
-54,1,74,-2,85
94,46,-88,-69,13
99,9,44,73,21
-91,5,21,97,28
31,-18,45,18,-47
-8,42,81,48,80
71,37,-63,-83,28
97,30,-33,6,-87
-37,90,-60,-10,51
-19,-80,-19,27,-28
48,44,-11,-26,56
69,86,38,-79,89
-68,33,-73,67,90
87,-82,90,-14,7
46,-55,-14,-64,-73
27,33,66,-41,11
-77,98,47,13,-40
54,52,17,59,-63
-80,-25,33,-92,60
67,-100,-39,70,-84
-22,14,-95,-74,-67
42,80,37,29,-30
-14,7,-36,-24,-35
