column0,column1,column2,column3,column4
10,49,-76,-68,-41
-10,44,-81,-2,-50
-17,-70,6,57,21
33,54,81,-3,84
75,-94,68,-20,-63
28,-10,34,15,-56
-43,23,-23,31,56
-16,47,-51,87,59
52,86,62,91,60
11,-48,1,-16,87
-31,-48,96,-48,-83
98,-61,-3,8,21
-46,15,-11,24,31
-8,8,-99,-2,-17
-52,94,-52,-68,-35
-86,-97,27,-58,-84
-31,-34,59,-88,84
-72,-13,81,-92,-91
95,36,27,65,48
1,12,23,73,32
73,6,-5,-60,95
-27,-48,-53,74,-28
-29,100,93,-49,-91
69,16,-88,19,55
16,-9,24,80,-17
38,-1,74,-63,15
-82,40,-20,24,-41
83,44,-80,86,-98
-43,80,-43,74,21
81,37,-24,80,68
24,-36,78,4,-91
-18,41,-69,-29,79
-32,16,58,16,3
-50,21,9,-95,8
-46,-91,-87,89,-88
8,-97,91,51,56
-31,-48,2,-93,11
91,-53,-64,-7,-52
-7,87,1,-24,98
36,61,-91,28,2
-96,12,-5,3,-20
80,22,-52,-17,-45
1,14,11,7,-39
59,25,26,-11,-36
95,55,-39,58,-89
15,44,70,-42,-9
-17,43,80,66,-12
-44,33,57,-62,-82
55,47,-71,-17,-22
57,-98,-77,75,21
-38,38,91,89,-36
14,32,72,-42,-5
20,46,99,-1,-40
100,61,26,-86,99
62,76,28,-86,-7
3,-66,15,-35,93
41,-38,-33,-5,-91
36,14,13,67,-68
-29,42,41,-17,-61
-65,33,1,-97,30
27,-7,-94,17,-70
-47,-12,45,-53,7
-8,30,-18,25,51
-85,-85,-98,-39,28
-61,10,48,-20,18
43,11,-88,-96,-9
-92,47,-90,52,33
70,-95,79,-72,-56
-34,32,26,83,-85
-85,85,20,-51,21
-7,41,-43,-5,35
-71,75,86,-79,3
26,67,-100,33,-36
-92,11,23,8,-48
-73,-46,-37,-90,-21
-14,-35,-77,96,-71
-68,-21,-81,-11,0
18,62,13,65,21
50,-90,43,-5,-80
62,17,-98,48,4
26,69,-9,-70,-14
81,71,-71,31,88
57,31,-80,-8,-18
7,74,-72,78,-91
-17,88,-52,94,36
10,-49,-80,-41,29
92,-83,57,-42,-53
-30,65,16,11,-82
-9,-29,-64,-62,-64
-65,23,92,-33,61
66,13,-79,78,-51
-74,34,-63,-85,98
24,45,-24,-64,-19
-74,57,-7,-77,63
3,38,-78,-80,99
-100,96,-86,83,30
-93,-35,-67,20,74
-40,49,39,0,-92
-22,23,61,-8,82
-17,65,-81,-27,-49
45,-22,78,88,42
-56,87,-99,2,-3
92,-55,23,18,-77
-11,43,15,95,-74
26,18,-26,15,80
-68,-16,-99,-36,-92
-56,8,57,51,62
-55,17,89,55,-63
58,18,80,-37,71
-19,-70,24,23,77
-94,11,31,48,-32
79,-51,-30,-15,-92
83,38,29,-70,96
76,34,45,-16,8
96,18,-35,-73,-14
-11,89,-99,-24,-41
-37,42,-47,64,49
37,89,-16,-30,-49
-57,59,86,41,-28
81,-55,-7,95,-85
-32,-33,-24,-44,-7
-24,46,-51,-12,41
-34,87,0,96,-100
-71,-16,75,44,98
4,-30,35,-68,98
76,22,53,5,-92
-9,15,45,-42,-1
-32,-38,-87,-72,-68
-35,23,-91,-14,-46
73,36,-98,-71,44
-92,-92,-57,0,-77
-63,10,60,-57,-16
-55,81,74,-49,97
93,-68,-45,93,-92
-70,13,-13,-14,-10
-65,62,42,-61,44
-45,-93,-88,-60,0
58,12,-49,-73,-65
-14,-44,-28,-17,-35
-25,-19,-42,-7,-62
27,94,83,-95,35
71,39,-43,42,64
53,62,84,-63,94
-83,75,-22,-41,35
15,33,-25,8,-56
-58,36,56,-79,-85
94,21,35,-2,-32
-89,22,-17,-50,67
49,44,39,-3,44
-51,31,79,-44,4
-40,-86,-38,32,43
49,17,-21,7,30
-49,25,92,66,95
-60,11,93,-71,-60
31,19,-30,99,-14
66,32,-10,-80,-4
20,5,-83,-35,18
-24,-1,-86,76,-98
-35,-68,-63,-62,-59
-85,53,62,78,3
45,39,0,13,-15
92,16,3,-19,82
-72,15,30,-34,52
72,50,87,72,-56
-33,-46,88,-92,-42
-45,5,97,91,-98
28,25,-65,18,61
82,42,97,2,56
55,-97,-80,-52,-54
73,-89,-72,-17,30
-23,-87,-27,45,-50
12,30,30,-10,-79
11,-51,74,-25,-28
59,13,76,40,20
-68,40,-10,46,16
-71,50,-23,27,44
-4,42,15,-12,76
-79,48,48,1,-41
7,-4,13,6,63
-46,-88,36,-74,28
-87,-19,-59,-76,46
-78,93,-39,96,33
-19,-76,45,4,21
65,-82,-68,36,-14
-38,27,-8,-3,-10
24,-7,43,78,95
-66,100,62,-74,-25
-40,31,2,24,29
-87,74,-44,10,-70
36,-88,-34,-53,89
-92,44,78,-52,39
-18,33,36,-63,-11
-42,-76,61,-85,-2
97,29,23,76,44
38,73,-90,6,43
12,-94,-54,86,-7
-21,26,68,-75,-58
-55,28,-32,27,-52
34,28,22,100,-3
-24,42,78,31,91
-90,21,-8,93,-79
82,34,-94,75,-94
15,-47,-18,66,-70
-97,16,-34,-99,76
-22,35,-60,-32,-97
55,14,-68,-89,-61
-85,54,61,-68,14
-90,9,-66,67,65
-14,21,-35,-59,-6
-10,48,45,57,0
81,15,88,17,-38
44,17,86,-5,90
96,34,62,-63,-56
97,24,-70,-78,23
95,32,25,-72,-9
-24,100,13,72,-29
40,30,-35,88,-100
69,-4,-88,-51,53
-82,-29,-39,61,-21
4,19,60,12,-20
-15,-84,2,-89,-21
-74,21,7,9,-50
88,35,-74,94,-48
99,-79,-68,51,-85
-75,82,12,42,0
