column0,column1,column2,column3,column4
8,-35,20,-30,-20
-1,0,-41,-79,77
83,17,99,80,73
74,-59,-35,49,-52
-2,-74,1,-11,-100
27,41,58,-95,-57
-10,58,-30,-79,-52
25,-11,73,-2,6
-81,-25,21,-63,-57
28,-99,-34,3,21
8,9,5,-95,41
99,16,3,40,39
50,-48,-88,26,64
36,52,-76,77,-17
94,92,21,79,4
84,66,52,52,-80
67,71,-17,15,7
-90,-38,86,28,8
-14,47,-41,-26,80
55,61,53,80,56
-35,-29,-53,-17,-9
100,-58,-98,0,-60
44,-41,65,-49,71
72,-55,-93,41,48
-13,22,29,-95,-87
-79,-78,49,-94,-89
-76,-60,10,-34,38
47,-95,27,6,60
-93,-48,-90,14,55
51,-64,-49,-27,-24
-76,-13,41,-25,-11
1,48,44,-50,-45
85,17,-81,27,-13
84,40,-56,43,75
76,-100,-33,-9,-20
90,75,19,-62,10
-26,100,-16,-81,-84
-40,47,88,-48,-91
50,93,-27,100,61
4,-72,-79,69,-58
55,42,81,-66,94
14,-14,-45,9,-81
22,-88,-50,88,-70
-67,-76,51,62,95
82,91,71,42,54
24,-92,-55,74,-48
83,99,39,-1,89
88,-24,-56,46,-8
-85,89,17,-70,-71
17,-76,-2,-73,-68
-63,-50,-29,-70,-20
41,-20,43,48,-81
-90,60,-94,62,21
-97,27,-96,-69,-88
66,84,48,-30,-46
68,-65,-10,-89,54
28,43,-71,-48,1
-56,-80,83,83,-75
73,-7,-45,7,-54
5,91,-27,85,78
-13,31,23,-27,-77
-76,-15,-59,57,43
30,93,-10,93,-51
67,90,57,-20,53
-90,-36,32,-11,-26
98,-59,-80,1,-70
52,67,85,54,-51
17,48,-77,29,-57
70,54,-83,-94,-84
-100,-55,41,-1,13
53,1,33,54,4
32,-11,51,10,82
44,31,8,22,52
-29,54,-8,70,7
0,-36,7,-50,70
98,-19,-24,27,45
55,40,-81,73,98
-43,-73,84,-82,-68
86,86,-79,15,-15
98,-6,-28,-66,-55
82,-79,-3,89,-30
18,-64,21,-66,92
23,-58,40,67,-99
-2,-27,92,24,11
-10,45,-100,25,-89
25,-39,97,-27,11
-45,-100,-31,1,-87
57,11,93,33,-16
-85,-70,25,-38,-69
9,-86,100,39,81
88,-63,-19,78,-95
11,-30,-90,-38,100
53,83,41,-12,-79
-75,35,-8,-61,-91
82,85,-70,-45,-10
64,-80,14,-53,-25
-10,-68,-77,-94,-27
-5,18,96,1,70
72,-75,67,18,-43
-10,14,56,17,-4
-29,-72,-45,-13,-56
-90,-41,-58,-30,92
100,25,25,46,73
92,79,-86,-91,-72
27,-52,95,7,-2
85,-41,-44,49,50
-98,-96,-7,93,-20
46,-18,14,12,42
59,-37,33,-59,-76
58,-44,-61,82,-50
3,-25,6,-30,-60
-20,-44,7,-74,-31
49,79,57,-76,22
85,65,35,67,-6
88,-36,95,79,-13
65,-9,-76,-28,-50
-28,-54,-52,-53,67
23,-96,-96,36,21
21,-15,1,-98,1
-14,-6,-54,-93,46
44,68,-63,17,-38
71,96,1,14,-55
35,-86,-47,26,2
-87,-57,-22,-63,25
20,-85,-82,-5,-14
-55,-33,-31,57,-60
43,79,39,-4,-90
-84,-84,-76,80,-49
0,-80,-1,17,97
38,33,66,50,9
-49,95,96,96,-84
49,61,-65,84,-22
-90,-69,-53,-77,88
-83,86,0,-59,31
21,43,-92,-7,19
72,-52,-52,-15,7
81,63,88,76,-43
36,51,-99,-13,85
68,22,57,-27,-100
85,-96,-52,88,74
94,57,-45,-74,66
-90,-41,42,19,-68
-86,-95,-85,-92,-64
22,-34,30,-73,-5
22,-76,59,-7,-89
21,-56,-78,46,79
83,44,32,-17,-57
98,65,-71,97,-39
87,89,-40,-92,-28
98,13,33,-39,89
-100,-6,16,17,44
-14,-55,49,-40,-11
-35,100,8,-20,-43
42,-95,53,57,-73
-35,-84,65,46,65
76,-27,-24,10,38
19,-100,-71,63,-16
-10,-50,-22,-57,-57
36,69,27,-14,27
-35,0,-67,-84,-77
57,-29,95,-43,-15
0,95,-58,-59,47
-18,-62,45,91,-21
-98,53,12,-27,10
9,29,61,-96,-58
-19,9,20,-87,82
45,-61,33,-21,20
-5,89,-85,-37,-48
2,8,55,57,-54
-86,-32,73,-63,95
5,-46,1,-14,86
37,98,-46,1,5
-40,47,-96,90,-73
-55,74,-45,-44,44
9,-98,63,88,-76
-21,-43,95,-51,-90
-40,-11,-61,-52,-88
39,-25,-55,96,-82
15,-37,-83,71,-63
-100,-82,72,43,-9
-79,87,-87,-67,16
-17,57,41,-31,18
97,26,-57,4,84
91,35,88,-70,-92
47,24,97,33,73
97,14,91,21,-69
-34,52,88,-80,11
91,-80,-64,-84,-1
54,84,-5,80,3
46,-8,-63,-9,-52
45,62,-15,84,16
91,-41,-27,-86,69
-23,-73,-42,45,56
57,-59,79,-89,-41
-19,22,71,-11,78
83,18,-59,-19,12
93,-13,-74,61,77
-63,-37,-42,-64,-38
-85,-55,27,-91,-99
52,47,-66,-32,-5
-30,42,39,-62,-84
-48,-29,81,20,-7
58,23,-80,31,34
65,77,52,5,65
-57,20,68,-68,74
28,-34,-71,1,-84
-39,38,-15,-22,-33
-93,14,60,-97,88
-99,73,15,-73,-58
-33,14,73,-75,-55
-14,-41,-87,-9,-98
33,-79,-35,-62,-1
-63,36,81,-94,93
77,-15,69,21,47
49,61,66,20,98
90,-20,60,-58,-66
19,-79,61,25,-87
9,12,22,19,23
99,-83,-99,-53,-68
17,-75,-19,-86,38
88,97,43,66,27
51,-70,-67,22,2
69,-3,-10,18,-64
34,-33,83,-98,-9
-96,-46,10,-38,11
-41,66,-64,-58,-13
1,15,-42,34,13
-81,4,-81,-90,58
35,-31,5,-28,-74
73,-39,-46,10,-20
85,78,-18,-33,35
43,54,-45,-58,-75
64,39,24,-38,59
64,-63,-42,-73,-56
-4,67,82,-49,-85
-18,-17,82,-63,54
-29,53,-57,13,-58
85,-95,-49,52,24
-15,-39,18,18,-29
53,39,75,-69,-81
-10,87,-31,-12,81
84,58,73,76,-96
7,-4,85,-3,59
-98,-12,-89,94,80
-75,63,41,66,0
84,66,-38,94,-12
50,-43,56,24,87
99,67,-47,-2,-93
-35,94,-32,65,36
-99,68,-77,84,73
15,-99,-35,-43,86
-49,29,-11,60,51
5,-32,31,-44,95
12,-37,86,33,28
41,40,22,63,48
9,-47,50,-99,-62
69,-91,11,0,-65
4,-80,75,66,5
-97,-77,56,55,-2
59,92,-12,83,58
85,36,-25,51,-36
36,38,-68,-83,-99
-52,99,36,86,98
-79,69,12,-54,-34
38,-81,52,28,-47
41,-96,-48,78,-67
-34,-83,62,42,91
-72,-1,24,92,50
15,-5,-11,-13,-15
39,52,-59,88,41
18,34,-83,-71,-11
60,93,24,-8,-43
-36,17,36,41,31
58,20,-15,-65,45
-29,-22,-67,-47,64
-60,52,2,62,61
-18,47,-89,95,-79
96,41,73,-82,-32
48,-83,-6,-39,90
5,58,-98,-85,55
45,-82,19,-3,-42
53,-20,12,4,20
-78,-39,94,18,1
98,-15,97,-97,-58
-45,43,76,89,-80
-98,-39,61,-6,-95
63,-78,83,-10,74
63,22,19,-80,22
83,-35,100,36,99
-50,18,0,-69,-54
66,-86,94,-45,-68
6,-59,68,19,-4
-8,97,-12,-55,96
58,-63,8,-53,42
79,68,17,30,-11
-99,-46,-25,-81,-96
-91,-77,95,-10,59
-38,-22,3,80,94
-30,-11,4,-64,-21
74,63,-97,-92,47
-31,82,-73,86,36
64,97,-46,-75,56
-62,-18,28,35,-29
73,13,-16,-87,-78
86,21,-28,-72,-91
-100,-31,-92,-74,-36
-76,-4,74,-95,72
84,35,26,-100,-19
80,96,-5,-24,-29
92,-58,-1,58,34
42,-59,-22,-64,75
-58,-73,3,57,-87
33,-84,42,-35,55
89,-22,45,21,95
28,77,-56,-97,28
7,97,-94,51,16
62,87,-93,-40,99
64,-98,-64,99,76
33,-15,-61,2,50
-15,-66,-84,-87,99
-80,-92,67,33,-80
-65,-30,-78,21,73
-28,-1,30,-14,65
88,-70,-24,0,74
99,-51,-42,66,-42
12,-78,-63,-19,5
91,-60,62,-62,-11
34,38,-62,73,22
-6,76,-82,-53,-75
33,21,-96,-7,-98
5,-85,-17,19,-15
-73,-11,11,-70,26
25,-10,100,-94,97
-4,-99,21,85,0
91,33,-17,7,-55
-50,-36,72,70,8
31,-37,-20,48,-43
2,25,-58,84,1
78,31,-26,90,98
-54,63,7,-31,83
84,-69,-71,-73,35
74,25,-31,-97,75
93,63,79,30,-27
-17,21,-53,71,-28
67,9,75,57,25
73,41,84,-10,24
39,32,42,-96,-80
-95,80,-62,43,-9
77,82,99,15,-4
59,4,76,82,-53
72,16,-73,41,70
44,-68,2,-24,78
-89,86,-22,88,-41
80,77,-13,63,95
-5,-69,2,-75,54
-75,-37,56,86,73
66,68,-50,-22,28
92,86,-84,-9,-19
70,100,-25,88,-43
-10,55,-93,-69,-39
-37,78,-82,-4,67
49,59,-6,-88,41
7,24,50,-78,38
7,-61,48,-46,12
8,74,83,60,97
-48,23,-10,23,-41
-66,-58,-98,-29,-95
-97,53,-2,37,-92
12,29,4,-30,64
-22,21,-55,68,-26
-74,-87,-25,100,65
-86,-47,-33,-9,-54
30,-71,31,2,-39
64,-38,62,66,-9
40,-5,-82,-72,-29
-70,73,-95,-36,55
-75,33,-95,48,74
-42,-10,-11,-79,-81
2,87,-72,68,-28
99,77,35,58,-7
23,-62,11,81,81
70,-68,-10,-76,-35
-89,18,4,-87,55
-34,39,14,-76,-21
-16,68,77,40,76
-78,19,77,-38,-54
-27,33,-41,39,-81
27,-34,41,-38,-39
70,99,-99,-95,-66
67,60,-86,4,86
-17,76,-67,-23,-59
-95,-32,-40,81,63
13,86,-22,58,-90
