column0,column1,column2,column3,column4
-68,-95,94,75,-23
-45,51,-72,11,76
-1,-91,-24,57,35
-13,75,8,41,-82
34,46,11,18,-28
4,-80,-50,-76,99
9,28,82,80,96
20,-88,-92,-8,-59
89,57,-40,-3,-34
96,-71,40,-18,91
6,-28,87,-96,-99
-43,76,70,9,-70
25,-67,100,-54,71
73,-46,15,-48,65
71,-3,-60,61,-37
-21,-58,66,-18,-71
-19,-58,-46,90,51
98,-21,-3,-43,-26
43,-94,-51,-35,-22
40,-8,15,9,-28
97,-11,39,-71,76
-79,9,-60,-23,-37
86,-99,86,-12,97
2,-95,98,78,4
16,-1,-49,-39,40
-89,28,16,14,53
-50,-78,1,39,-20
-59,-5,97,63,58
50,-84,-76,-27,-35
44,-48,-98,-22,-70
-97,40,-16,-12,96
-92,48,-21,64,-22
90,35,13,-73,-16
-17,-56,-51,70,-55
-3,76,39,68,80
57,72,-46,-25,11
82,30,93,88,21
22,-17,37,66,55
55,-47,20,-49,-69
68,36,31,22,-72
-97,14,15,41,-36
55,11,54,24,61
-14,-4,-23,-70,-42
52,-96,-53,-18,17
95,-65,97,-99,11
21,61,71,-59,67
88,-18,80,-84,21
-16,15,96,-100,30
56,29,84,17,-53
39,2,21,-92,25
46,-50,88,17,-65
-19,-80,-14,78,85
49,-2,28,56,74
-29,21,100,-14,32
-63,1,-53,-99,7
79,25,33,43,-3
99,34,-3,99,-22
88,79,-68,17,28
60,20,-27,17,54
62,-41,84,56,-93
-24,-79,87,61,-10
91,-24,-73,24,33
-2,37,23,-82,-27
28,90,26,-88,-92
61,-26,-9,47,45
56,96,-92,-4,44
-95,-1,74,27,-82
49,-72,-74,86,-2
47,0,-94,18,-78
-21,81,20,-58,-100
75,-35,-11,-28,-35
35,19,28,93,-53
-93,11,24,63,-42
44,-92,-41,86,73
42,-96,-55,34,-68
-37,84,-4,66,-44
-56,59,71,86,7
43,-2,-43,42,-47
73,-27,23,14,-86
2,60,-75,37,-33
-57,78,82,13,-22
