column0,column1,column2,column3,column4
-19,10,-20,-24,-69
-69,-45,-95,-42,-66
98,78,67,0,-29
11,63,31,-45,99
-37,41,-84,-42,17
-5,-18,98,36,-43
-49,-76,81,51,89
-63,94,88,-56,64
53,70,-60,-24,-19
-97,47,-24,-93,-16
-23,-89,-26,-3,40
-31,-50,-64,66,13
83,52,91,3,-53
6,82,-19,72,28
-97,90,49,-54,35
40,97,-84,72,-62
8,70,79,-55,50
42,3,53,-54,-36
69,94,13,39,66
60,-39,11,30,-7
-2,98,-74,6,61
73,45,-7,-81,15
3,44,17,84,61
65,-77,-54,51,36
83,-32,-73,9,-66
68,-82,-49,84,-52
-71,-49,-25,72,46
37,85,38,-79,25
59,22,40,3,95
-86,99,-39,-25,8
-6,30,7,-42,26
94,-7,71,3,75
-66,-58,-50,-27,-6
5,-82,-39,81,-24
0,-69,-10,-66,86
69,56,62,-36,-35
-14,61,-95,-72,68
-97,-45,32,38,43
62,-43,-44,70,-53
69,-29,-2,-12,-75
-95,-19,-39,90,32
-68,-42,6,-78,-82
-35,-83,34,72,44
3,61,-30,36,56
53,-91,-68,48,-19
-11,-50,82,69,86
-20,-72,33,-9,-10
71,-72,-41,-89,-48
-9,53,60,87,-21
50,-13,69,18,44
-67,-80,60,48,-54
49,53,-93,-57,4
74,32,11,35,-68
67,-24,2,9,39
23,41,29,-54,-67
-64,48,-67,21,-32
-79,-93,78,72,-60
-28,34,31,-99,91
27,-60,2,27,-77
-52,47,94,-33,-98
48,-69,-32,-93,-85
-46,-20,31,-21,18
-4,-51,-5,99,10
-82,19,-57,38,19
-49,-75,-98,-63,36
-19,100,43,18,35
-3,67,34,40,29
23,-11,-65,87,-23
28,-60,36,-68,68
-50,-2,99,54,29
-77,-23,-17,82,98
-46,-98,12,-45,14
76,-6,-22,-69,-57
23,4,66,-90,-14
76,88,-88,-54,-28
44,12,84,-87,-69
-46,-52,-9,-99,44
54,66,-79,60,-60
75,-100,-8,-33,31
-37,-45,-59,-18,-40
-75,88,53,38,21
-83,-54,-90,63,-99
-32,55,18,-18,7
-62,-16,59,-66,-30
62,78,-4,-93,99
86,4,5,-81,-66
30,4,-53,63,-47
-8,-62,-71,75,47
77,-72,39,66,73
-90,-80,10,54,16
-28,84,-90,31,-20
-32,-32,-31,57,-93
65,-82,-10,81,-47
-56,69,-41,-45,-14
-30,73,71,-33,97
-57,-87,31,85,94
-56,6,17,24,-58
11,43,52,-16,-44
-16,43,37,69,-72
11,39,-34,-78,-87
11,63,39,-42,-23
27,74,38,9,-47
2,-92,80,66,-11
29,39,67,24,-9
-11,2,-55,93,51
17,8,-27,-54,54
100,58,-16,6,44
-95,87,-92,-99,93
76,33,45,9,-27
41,36,86,87,-76
-87,77,95,99,42
-90,70,-97,57,88
-81,77,-72,-85,-42
16,67,73,73,-17
-5,-18,-33,-60,100
