column0,column1,column2,column3,column4
34,-2,-81,0,-100
65,-79,-74,73,-84
31,-54,-75,-92,88
-64,-30,43,-68,-2
68,4,-84,-65,-28
-95,57,-11,54,29
-51,-4,30,-12,59
69,98,-95,-61,51
-81,-70,-64,-61,-34
-31,98,-30,39,5
-81,26,-41,74,-100
-95,-87,-90,12,-35
-15,18,-2,-72,26
-59,72,-62,-67,55
48,30,14,10,7
-59,49,-59,-26,73
36,-78,60,30,8
-8,-19,-85,-34,-72
60,-9,27,83,-45
-78,15,-32,82,27
-33,-21,-49,-67,-65
-41,-53,37,-57,-75
-44,-81,78,-75,52
69,-40,63,-38,97
-91,-42,-95,70,-76
-78,-25,-52,-4,-2
62,-74,-95,-18,33
-32,51,-94,11,11
71,63,-4,-11,63
36,-87,-8,87,-55
-40,-4,-1,15,-100
-19,28,4,58,-53
41,-79,-78,43,25
-30,50,58,-23,23
-61,88,-74,-13,-52
100,-62,21,-63,94
0,-54,85,-9,17
-55,7,83,-8,74
-44,-97,-72,-18,-45
-22,88,26,-78,-46
-2,76,73,74,-77
35,-2,-17,-62,30
65,-64,54,-83,25
49,75,-99,-20,29
70,48,-43,56,-62
26,63,-20,-28,87
58,65,63,-86,-79
-65,-14,-90,-37,42
-77,42,73,-76,-5
8,-6,98,32,-16
-18,-82,-95,-7,-31
37,10,-31,-99,-56
7,-39,-57,12,52
59,-15,-39,-91,26
11,-72,4,-33,26
50,-79,-86,21,1
-33,77,62,-22,33
15,-23,-53,48,-54
-32,87,-34,-57,-49
4,-98,-5,-59,80
79,-80,-95,-12,-5
-82,-36,-77,-57,-52
62,-79,87,48,68
82,46,-8,18,-35
-37,49,-32,-2,-99
69,79,-89,78,10
-68,-45,-21,-52,82
-12,46,-17,-82,42
-39,-32,-44,-4,-44
25,-13,30,98,-31
54,-86,69,-36,27
-41,-79,-20,-53,91
-8,-63,-40,59,2
-97,25,69,58,-70
50,91,-78,85,83
-97,-36,56,-78,73
-82,-2,69,-25,-88
92,-20,83,-8,-97
55,-36,7,-68,30
-35,55,68,54,6
-54,-8,-26,-52,64
-59,-84,93,90,-78
-25,86,-96,-82,-66
-100,76,-52,49,-84
-42,57,18,25,-92
-58,14,-93,56,-88
29,35,43,-61,79
-89,-51,-15,13,-24
49,14,-25,41,93
-37,-49,-98,49,-72
4,-46,-71,74,3
-53,-77,-31,95,-80
-19,85,-43,81,1
-68,-70,-32,-52,88
-33,-31,-62,-89,-11
60,-23,44,15,25
-13,-43,-41,-60,68
65,-38,-97,57,94
-96,95,-53,49,42
-62,67,-43,73,-74
-19,18,18,27,89
64,35,86,38,72
-46,-76,45,51,-53
45,31,66,-16,69
20,59,75,-31,-54
37,93,-84,69,-97
-97,-83,84,78,53
-71,-75,-81,18,-18
64,-52,92,-66,32
-82,-84,-3,-86,-29
65,-32,44,-42,7
-19,30,75,-68,93
-69,93,92,38,-91
-11,-90,-65,16,-35
14,-30,86,46,64
24,97,-10,33,-60
91,89,-96,-49,69
34,70,-68,90,38
-85,93,80,-85,43
-93,99,-52,-17,35
-55,-22,81,65,-1
-59,-77,-86,75,10
-54,-74,-78,-54,8
-100,27,-15,-4,-15
14,-45,3,-56,-14
-56,76,90,-47,76
17,36,78,-95,24
-75,57,-88,79,1
-49,76,-51,-55,-89
18,-21,97,-62,58
-55,55,-18,80,77
68,-34,79,10,-90
5,0,-96,-74,-2
80,-9,-30,85,-24
-18,-15,-93,13,50
50,-16,85,-28,-84
-93,51,-96,-85,50
64,57,52,-93,-70
-49,28,-89,-9,-38
75,-58,-65,31,-81
73,-11,15,-79,81
-47,-63,-76,45,93
4,12,23,-67,23
92,-21,63,-1,-44
-53,15,46,32,68
34,-16,36,-15,-7
-2,39,67,67,-15
7,-88,-99,42,-37
65,78,44,13,30
-48,47,-76,-27,-9
-50,66,91,-40,36
-10,36,78,57,1
-73,-52,-60,-55,71
-53,77,90,73,70
-64,-44,-2,61,2
10,21,-93,-73,-87
93,99,-53,85,89
24,-97,80,-31,62
55,87,-20,-68,75
18,-34,98,99,38
87,-91,73,1,-72
-61,62,35,98,-96
-57,1,-94,-49,11
-97,48,-28,49,-42
-66,75,83,83,-80
-32,-30,10,-68,-38
-38,-62,-35,92,-65
-18,-27,-84,-69,79
-54,-43,66,-18,-31
-49,-69,-61,65,90
-62,-77,-19,-8,-99
32,17,-39,1,69
66,96,91,5,56
11,-92,-38,-18,94
4,-32,-64,34,76
-80,55,-94,-81,-98
72,8,-89,76,-18
50,-59,61,67,37
73,-49,-39,-71,-48
77,-79,2,-38,33
48,-67,-15,43,8
-80,31,87,-84,-100
5,-10,7,-77,-29
-14,93,30,96,62
98,-50,-78,-71,46
17,-97,-81,16,-61
-67,26,-17,-55,-6
100,81,-10,46,72
73,53,-92,35,29
99,-63,-61,-23,34
-92,67,-2,14,-96
-30,-12,49,-63,-56
63,-33,-62,82,-76
100,37,-44,-13,-98
-16,-27,90,73,-12
96,50,-80,16,-69
49,-59,-30,-20,-69
16,44,-94,-28,99
-5,69,72,-4,76
72,3,70,-11,-61
-9,58,57,0,46
31,-17,69,-38,42
-4,-53,-94,41,-11
9,57,11,-88,-97
-29,61,-97,1,13
-25,87,38,5,-38
-85,67,-47,66,-10
-86,13,17,-11,-98
-100,2,6,15,-65
-90,-77,33,-20,-65
-23,-63,37,-57,51
72,-46,-100,-78,-72
51,48,-48,-46,71
91,-36,-95,-61,34
83,69,-56,49,-69
46,98,-70,-83,0
-94,-12,-40,-30,-32
-13,-56,-49,12,45
96,-10,-63,-63,89
60,-47,21,42,-15
9,11,80,89,-39
-68,24,-85,48,20
57,86,20,90,35
88,64,-52,-70,98
98,-3,-27,37,72
25,-71,53,-69,17
12,-46,-18,-47,67
-10,-46,-96,-32,21
20,29,-14,80,39
-53,-41,-54,43,12
33,11,-9,-3,18
12,-62,-93,-63,-45
79,-31,-89,24,20
-85,75,54,54,92
42,-41,82,97,-5
-6,93,-98,76,-59
5,74,87,-99,-2
-15,-45,-27,-81,-7
57,79,4,-9,34
66,-61,-58,100,86
-63,40,-22,80,10
61,45,72,-20,28
-94,27,15,74,-39
-31,-70,-30,91,-48
33,50,-33,8,78
100,35,-62,-29,96
37,4,-79,98,23
-97,-73,-5,-75,52
79,-63,95,-88,50
-37,14,61,-74,-39
71,51,85,-95,80
-4,-28,-54,55,47
-9,42,-81,64,-73
-94,49,-13,78,-36
-88,46,84,34,91
34,-47,-33,73,-27
-48,-15,8,15,-93
42,-51,76,100,27
30,-49,47,40,47
97,80,-68,45,-59
-52,67,78,-93,6
-39,6,76,97,21
88,51,-71,8,-55
47,-68,-22,-55,69
84,-85,93,93,49
-72,72,65,21,74
-41,-39,94,-54,-78
88,19,-95,-24,-50
-22,-89,-86,-53,-12
-42,-53,87,-86,13
36,69,5,17,33
36,-72,-29,-63,-32
55,-13,1,38,48
90,-65,74,3,8
-42,35,95,20,-16
15,-15,92,-31,87
-74,40,-2,4,39
30,-25,-92,-35,62
60,40,96,5,-66
-34,57,92,-96,94
13,91,54,-51,-83
68,79,-29,-21,58
-21,41,-94,-31,51
20,45,-92,81,-6
-21,-38,-25,4,-51
-10,-6,65,-3,-32
-34,64,-42,-94,-49
21,-1,-38,-72,17
71,-81,5,40,72
47,-18,-83,46,47
43,-11,39,95,96
67,-43,-43,55,40
-63,5,-10,17,-37
89,31,-4,33,79
76,82,-53,-44,-40
87,-87,-92,80,56
-70,-15,-98,-6,-90
67,-40,35,88,-31
56,-75,-75,57,23
-93,-67,85,-17,91
-32,-6,-54,11,-66
-68,-26,-33,74,82
17,-87,-71,18,99
-15,40,-5,0,-62
-19,54,-30,47,18
13,-17,-55,100,-52
-45,-19,-86,-6,-74
-100,-56,79,32,5
-85,18,-49,19,-100
47,-21,-22,20,-65
-39,7,-65,-99,-39
34,84,90,54,-75
48,-86,97,-37,-43
-47,-74,-16,42,33
57,-21,65,94,-72
59,-98,9,-29,-53
5,-83,-20,-36,-78
-43,-79,-14,49,-2
46,100,-91,-79,30
-84,-71,83,78,33
-6,-14,-83,-78,-68
75,3,-98,13,-100
-17,93,-87,65,54
-65,73,-43,-12,-60
22,-65,-68,-16,-10
-49,-39,17,8,99
81,-3,86,75,85
69,46,-2,-11,15
30,15,-26,27,-44
56,-60,-88,77,94
-49,-64,-93,31,-13
-44,76,29,-80,-63
24,-43,91,-18,-6
15,28,-50,-80,-59
34,-68,-21,24,-22
49,23,-23,-88,10
44,-92,50,4,-38
-2,72,-29,22,-64
21,36,-20,-76,98
27,78,41,-14,78
30,55,80,-6,-24
1,-42,-25,-95,-9
98,-18,-91,37,50
68,-19,-17,-44,92
71,-57,-29,6,83
50,16,90,-38,56
-29,24,92,-74,17
65,25,-33,-85,29
86,-88,-100,18,69
20,-97,-12,-13,-46
53,28,88,2,50
-74,-62,90,-28,-38
79,0,-17,82,21
13,87,-14,-39,-94
