column0,column1,column2,column3,column4
36,82,-57,-70,-81
71,85,96,-30,28
0,-24,-81,47,64
42,23,-21,-23,-61
-40,73,-26,82,30
-54,-46,47,-54,-88
-82,-34,-53,33,100
64,-42,3,12,26
54,10,-27,-77,99
30,-6,-81,-60,68
-20,-29,-5,-97,-98
-15,7,-36,-73,11
43,3,58,61,-95
-52,55,80,-93,85
32,19,-85,59,30
-68,-17,-49,-24,-46
68,-34,-13,44,73
71,97,-55,53,-95
-55,-92,-36,21,60
43,60,-59,-72,43
-35,92,-7,-50,87
21,-24,34,76,-50
79,72,-51,-75,-45
-32,77,-74,69,-85
49,99,-90,-58,-93
-90,48,-95,63,62
38,100,-35,77,49
-100,42,-62,45,-19
12,42,-33,11,77
-66,87,-53,-80,11
33,85,89,-84,43
59,-25,-4,-11,58
-14,-51,-32,67,-83
31,-96,-54,-61,-50
62,-43,18,-43,29
-36,46,88,50,100
16,-9,-54,55,-13
-40,-28,-52,-100,-4
-21,22,82,9,-44
57,24,61,-78,-55
-41,-18,-5,-41,58
45,33,40,-24,-61
-73,-81,-54,-79,83
95,-16,-51,99,-94
51,6,10,54,38
-45,-92,-42,-1,-95
-96,-66,82,-96,18
44,91,28,97,38
61,0,-4,29,-30
51,60,-85,-88,47
-36,85,-11,-18,-5
33,-55,-47,40,-8
9,-86,-91,-44,60
94,-35,38,73,-24
80,-31,-60,65,-17
-51,-30,54,-14,72
-77,60,-47,-12,-83
-63,-85,-2,-7,-65
-91,59,-78,-76,28
-40,-53,-59,-21,-76
34,-52,5,29,-3
-88,39,38,96,29
-26,85,-36,-20,48
-20,40,-92,-14,56
33,93,85,16,64
56,-70,44,2,26
-6,-22,35,-47,-62
-81,-20,69,85,27
-31,-82,-22,-9,-83
-86,23,58,-69,76
-66,-57,18,-99,-72
14,95,51,2,-18
-56,-80,85,-36,24
47,28,92,90,79
18,-96,-63,29,-56
39,-44,-100,20,-75
-35,-45,-60,-68,62
55,-41,75,-75,-24
-73,-9,-16,5,-19
-83,-86,-18,46,59
-50,-32,40,-13,83
-65,-45,45,81,-65
7,81,16,-43,-85
99,-47,-44,18,30
-68,59,-64,15,34
61,-57,-45,-49,59
3,10,-31,15,-77
-88,-30,-66,-2,51
-70,18,87,23,-85
-69,-3,-96,-16,0
46,39,-94,-78,65
23,17,-9,28,56
100,-69,-85,-51,86
88,-71,-57,-71,51
-57,75,14,88,-61
-68,-42,56,57,-8
4,55,77,-21,-66
5,-32,-30,-85,-38
-83,38,-2,93,-2
-44,83,-12,-31,-2
-30,24,-83,-11,50
31,-15,-7,87,89
-78,4,-23,-73,-3
-2,4,71,-14,86
78,-71,-70,-14,-12
52,-38,-54,46,80
-35,-15,-61,-59,56
87,44,-99,16,-71
-4,-95,93,-58,93
-26,-2,-53,66,-40
-61,75,47,98,76
-25,66,-14,28,82
36,23,-20,39,-17
91,-65,-28,-33,-72
60,37,-12,-44,-28
63,-8,4,42,-93
68,34,74,-33,-93
-73,80,14,-30,35
-11,-38,42,-91,-74
93,29,-5,-77,-35
