column0,column1,column2,column3,column4
46,3,-47,-88,-30
93,-28,70,64,-38
-59,2,-14,-49,88
9,-7,25,50,65
72,99,63,-68,-26
95,-97,100,-86,-69
-69,-17,65,33,41
-70,-56,86,82,29
-48,-5,-62,-28,86
40,47,5,53,-7
10,51,57,50,-41
3,5,-30,-38,-6
53,28,1,-80,-79
25,-57,-51,80,34
-62,-48,-82,54,-89
33,-97,94,94,21
23,-65,21,66,-74
26,61,-17,21,-21
42,12,82,19,-57
-73,-23,-7,-66,-34
71,-75,-5,-25,13
58,-74,-65,-97,73
-98,-80,-42,-19,-73
47,-79,82,98,93
36,23,-7,-24,22
58,97,57,14,59
26,-37,78,-54,-21
-37,-33,-61,-68,27
-12,80,90,76,-58
76,-85,18,-20,50
29,68,-31,43,-44
73,-90,-30,-78,79
95,100,24,25,34
95,-92,-38,99,66
50,4,91,-35,-75
90,32,92,79,-48
16,33,-47,78,55
94,-58,65,-90,-2
-17,95,-73,70,-82
57,-67,38,-73,11
93,11,44,92,71
92,-14,-72,-42,34
71,18,25,-40,91
-84,-15,-73,8,-73
67,-18,-20,-80,96
99,-57,56,-96,13
-28,76,38,32,-27
-36,-57,22,-74,-100
27,2,-53,93,-87
-22,69,14,66,-32
93,4,-43,-74,63
87,-52,-97,41,-76
69,10,-32,-100,-1
32,98,61,-86,66
6,2,-6,77,-64
50,38,57,55,72
-55,39,-59,68,84
76,-77,-74,81,69
-13,46,29,-65,87
22,16,-74,-40,-83
19,29,28,22,17
-83,-24,25,-80,2
96,-4,-61,88,49
94,-56,-10,-13,-84
77,57,-44,-72,80
-50,-24,-12,-12,64
33,75,-84,96,-65
-76,46,48,33,-31
13,-39,-82,68,70
84,-48,85,-3,-57
12,-9,95,-58,-71
8,-16,36,-83,-43
90,-46,-75,-14,3
82,88,-14,-51,14
4,-16,-58,99,47
-27,-29,16,39,45
34,67,81,97,-95
-96,-19,35,-37,41
7,44,-44,54,64
69,42,-7,-11,-40
36,-84,-7,-30,-96
91,51,-14,-10,71
55,45,-7,-31,74
-39,13,59,-71,-27
71,17,63,31,88
43,9,-30,-23,-30
89,22,0,68,6
-23,-2,2,31,-69
-74,-57,96,1,-99
97,10,96,-44,-29
-62,84,-78,-86,-19
-4,-100,-34,-46,12
43,-8,-69,62,-87
-32,-46,-72,40,27
-35,-4,-34,-100,88
-75,80,72,-50,91
-75,21,54,-72,-60
56,-12,2,42,-73
22,25,100,25,26
64,52,98,-91,38
58,-80,19,-25,-16
15,72,78,58,-90
-2,-88,38,-49,-87
-87,72,-28,-9,-59
85,1,32,-74,-53
72,-99,-22,65,-76
-10,29,-93,56,-80
61,8,63,23,73
-45,-29,9,-5,-60
17,-97,4,46,-5
-60,-41,-8,71,55
-37,-28,71,81,31
93,91,99,2,94
-79,74,-64,20,59
61,62,-8,65,10
97,-38,-89,-99,-18
55,-40,30,-6,22
37,67,-52,28,-96
71,-87,9,-29,67
49,-94,-54,47,-31
73,-97,95,0,-5
31,83,9,-65,-35
57,-71,65,-75,-30
92,-54,40,-70,-66
-80,58,-45,-11,87
-5,-52,-99,-73,60
22,55,25,37,-4
-95,-24,-60,12,62
-84,9,-32,-66,44
97,-84,75,-83,50
12,60,97,53,1
64,-95,22,-1,-87
12,-57,99,28,95
60,-16,40,46,-85
-22,-59,74,21,-82
95,-16,21,-94,-4
-8,32,-66,-65,59
-47,-46,-55,69,-76
36,57,66,-32,17
-16,-14,-65,93,-5
-10,-99,15,-48,76
76,-78,-82,3,87
-52,-51,9,-68,-66
51,88,70,43,-96
-79,16,-18,67,-53
51,51,-32,92,-100
-48,-74,33,21,87
-23,-30,30,61,29
31,61,-56,97,-82
37,95,-12,0,-13
-68,44,-74,99,-22
-54,-3,2,-20,-82
4,-10,-72,85,53
-29,62,-93,-90,64
-75,-16,-33,-39,-19
-97,-64,97,32,52
76,27,94,-10,-24
23,2,56,12,-16
46,-6,2,-98,95
-100,-48,-39,-96,70
20,39,74,-38,-5
83,-41,38,-52,-84
-97,-11,-26,38,-100
-70,-18,-24,-79,14
93,-19,77,-28,-6
26,-97,-82,-4,-4
18,71,41,83,41
53,-76,39,9,1
66,60,-65,80,-35
74,-15,63,30,86
39,61,-58,-19,20
17,-4,-55,99,-13
1,-51,-54,78,84
45,-26,35,-49,-12
-61,-8,80,7,-34
-48,56,-97,39,-84
-20,85,-98,-23,-34
8,-44,1,-8,78
-22,-95,-98,-14,39
32,-69,42,-95,-89
-47,75,-41,38,-46
87,-30,64,-2,-17
-96,-20,31,32,34
30,38,70,5,-8
4,-80,-6,-59,12
-65,-31,79,41,-77
-31,93,-62,-4,84
-57,36,13,84,41
4,-82,-6,-34,-47
68,-37,-39,23,31
-53,-84,-100,59,86
-37,35,27,33,-27
-13,27,-45,4,-71
25,100,-19,-53,7
82,7,68,-86,-56
56,36,23,6,92
5,-84,43,-29,-2
39,-14,-96,-27,2
74,69,47,10,67
-79,-49,5,-72,12
68,-55,60,46,-48
12,48,71,16,-56
20,-77,-56,-26,99
-100,-99,-26,-95,52
-58,-54,33,11,23
4,73,38,-18,100
-9,18,71,-61,100
24,37,59,-49,4
-9,-88,22,86,-20
-76,-21,-36,-64,30
72,3,-22,45,-43
65,-44,86,38,-44
-84,5,-59,96,-69
73,-18,-70,75,-31
-5,9,21,-31,91
-56,-32,97,-12,37
44,-4,-22,71,-19
62,-38,15,-47,-42
-50,69,96,64,1
42,51,-22,-99,-29
24,11,74,24,53
100,11,-34,64,-82
17,97,-26,-74,2
9,-33,-63,58,45
-46,-35,-73,68,-27
99,62,-58,59,1
98,36,-11,79,-51
15,-89,-33,25,-12
-96,83,88,33,-92
40,-79,-44,-39,-16
65,-66,-69,-70,44
5,72,26,39,-30
53,-73,71,-73,60
87,48,-90,20,-79
-6,95,-82,-35,-98
-59,57,-98,-18,23
57,1,-57,80,1
19,9,65,87,12
43,96,99,81,-45
79,13,-81,-95,97
42,-19,36,-71,-49
-34,20,-37,-4,61
18,-57,-15,-63,-60
12,-11,86,-28,-55
71,-38,24,-97,-73
-56,12,16,-4,-84
46,77,-28,-7,-19
32,37,-14,-61,-61
-76,97,-34,33,-63
97,23,-35,-54,96
23,-20,-28,38,-16
14,65,-49,46,80
23,-81,31,87,97
8,20,-36,-45,3
-58,74,29,70,62
-34,27,-65,-14,-49
33,79,-83,-90,72
-93,23,-44,14,-61
31,-98,-73,-48,89
-8,67,-61,37,-70
87,82,-64,0,-55
85,69,81,-97,57
7,96,69,-32,-80
77,99,56,-52,5
57,-44,72,48,65
98,78,8,-27,-26
94,-10,-24,-10,64
-95,32,-84,40,30
96,-76,10,87,3
26,-49,-86,-6,34
81,-13,32,98,-59
-76,29,74,-78,-37
35,-25,-35,5,-93
-47,48,12,-68,3
-5,55,-55,8,-6
-31,14,15,100,55
45,-21,35,-93,87
-78,-67,-53,15,43
37,-75,-78,-86,51
86,25,7,14,74
-46,-35,-53,95,37
77,-35,34,50,-2
19,0,-10,-88,-3
96,67,72,46,-39
-20,-64,80,86,-92
-55,14,-44,34,3
87,-21,26,3,78
40,-5,-7,-66,95
67,37,-8,84,40
32,36,-46,21,11
-90,-62,46,-99,34
66,17,-24,31,76
54,-88,62,12,-5
40,-28,-43,-27,-44
86,21,-29,-49,-27
-31,-77,-61,44,-71
1,-29,91,44,-81
28,-66,-53,-81,19
-59,5,18,3,-94
65,-44,45,30,-80
-27,-85,49,30,45
46,91,48,-22,40
58,-11,-61,-52,-86
37,-6,9,8,-96
83,56,75,-13,-24
11,-10,-63,-90,65
62,-63,-99,-82,-36
40,1,-17,70,19
19,-72,-36,63,46
99,28,-76,-53,-23
-71,-87,43,11,-30
44,72,32,-45,89
87,74,45,-6,80
46,-84,54,-53,-66
86,-20,30,-81,-97
45,-11,-34,-40,-64
22,17,-42,-72,4
-39,36,34,33,96
94,53,46,80,-68
38,53,-66,-70,49
85,38,-75,81,43
-29,99,59,-78,-24
71,-12,31,37,-2
82,-77,95,-8,81
27,6,-55,-22,59
-12,36,48,31,-48
6,74,-95,86,77
-1,63,84,-63,-58
-48,-98,47,-6,48
44,13,-65,28,28
-39,-3,5,56,89
-99,87,-83,80,-95
-89,71,21,33,-78
-72,20,-44,-4,-44
100,-35,-56,99,-66
1,-96,-93,15,-20
36,-22,18,31,31
92,-36,-20,-76,-74
87,-59,-82,54,44
25,93,97,72,-71
-92,97,9,-50,-81
30,-99,-44,-99,90
36,73,12,12,2
47,-47,-85,10,74
22,-70,46,-93,9
-29,92,79,-23,7
72,87,10,12,-13
90,-71,58,84,35
-17,-69,-13,88,-40
65,2,-19,-76,-95
-78,-7,-40,30,-74
44,-77,43,86,75
38,-29,-88,25,60
35,-31,31,63,-4
23,-60,32,70,-39
25,75,-68,100,30
87,-3,53,1,-99
