column0,column1,column2,column3,column4
-21,33,-92,-95,-90
81,-22,-76,-73,-42
-92,-70,59,-54,80
3,20,-37,-54,34
-16,81,-47,82,-79
63,15,58,62,48
-99,84,-17,-44,-17
-51,-62,-81,-4,10
15,-31,-24,-55,-55
38,-16,78,57,-70
-29,41,-7,70,-62
-75,-20,-94,-9,53
48,-24,-45,1,-84
-5,-73,-74,-65,33
-26,71,29,53,-22
-16,9,-89,-56,3
20,-73,22,-84,90
4,99,90,-94,-62
-55,-83,-81,23,44
42,75,-99,-14,11
55,87,-81,-38,-4
-36,62,53,15,-62
-57,-48,-84,5,65
98,-5,-2,73,-1
50,46,88,66,94
27,98,19,44,-11
85,35,-71,84,-48
-10,-12,77,3,1
-78,-93,-49,80,75
42,49,38,-58,18
-2,-75,-98,-47,-12
61,89,-37,-61,-53
41,25,-88,77,-24
9,89,-69,49,-79
-69,-17,-88,-11,11
-27,-33,-85,74,0
-15,-90,-91,9,-51
-71,-90,-87,86,-28
41,-13,95,2,24
-45,28,19,-52,-83
-41,12,-17,-44,38
25,1,-48,-67,84
-86,34,-50,-24,19
-92,18,-97,46,-84
-72,68,-12,48,51
69,13,-41,-74,-69
52,-46,-33,39,-32
-48,-58,-37,43,25
-22,69,-57,-45,-97
85,-69,-56,-80,40
18,74,-91,-4,26
-94,52,75,67,-84
-35,36,80,-63,-3
94,76,6,12,-45
-73,4,-62,-98,-19
-20,-17,-20,-17,-53
-47,84,-76,87,90
-7,-44,-68,28,47
87,80,-83,-54,-20
12,-51,14,76,55
4,-28,61,-35,62
19,-1,-5,-67,-26
-40,9,-94,3,98
64,-53,-31,12,-81
75,-80,88,-49,-53
34,42,64,-3,-62
82,13,70,-69,-78
-9,100,27,57,99
94,-83,61,-89,84
72,-59,-15,22,-37
-60,-96,-65,1,-93
-67,-52,91,42,42
-31,-81,-8,29,38
95,-22,-90,82,-61
41,47,-79,-83,-86
1,-8,-83,-71,19
49,89,-65,-38,-14
25,-67,-13,86,47
99,14,-25,-45,-65
-59,93,44,86,17
-16,88,26,60,35
-64,-19,49,11,0
37,78,62,-28,52
-32,-81,-4,-15,9
-90,31,-45,-54,22
-17,71,-30,-90,51
4,-77,-74,64,-73
-16,-78,33,-59,-41
-97,-74,56,12,-97
-68,100,13,32,56
-88,91,-61,57,81
9,7,-37,53,-19
17,-4,-82,68,6
-8,-99,-68,-45,2
-20,71,20,58,53
42,22,-44,46,-60
-50,13,0,19,-53
-9,10,-96,95,-44
-82,-93,-67,-54,-28
-93,1,-55,21,87
21,-78,66,94,-77
-64,47,-75,72,14
-10,99,-23,4,43
-62,47,48,100,54
-32,96,-95,66,-99
-58,21,53,34,-35
66,55,-79,-78,-70
7,-90,-23,-56,-55
59,42,36,42,-17
-58,76,13,-75,30
-31,-85,-14,38,-78
-28,-81,67,14,19
84,48,-11,0,-78
6,11,-83,-26,64
24,-11,-75,5,40
-24,16,61,5,42
-16,82,55,-86,-14
-54,-5,21,62,49
-59,27,-78,87,42
-22,-36,-97,-27,-38
24,93,-5,-2,34
36,-34,86,-6,9
-15,-70,-56,58,76
82,2,90,-52,-57
77,-76,-74,8,42
-33,9,-52,14,78
30,83,-88,-90,-73
-85,-76,-29,33,51
21,-86,29,-26,-38
82,-78,-84,92,83
-29,22,-50,49,-86
50,95,-78,-5,-42
-50,-19,-12,-27,-69
-10,54,13,9,14
-31,-2,-48,-1,26
14,83,-40,27,66
-77,43,-12,10,-49
-69,43,20,-64,28
24,1,-40,-21,96
25,-44,-100,-83,-18
32,29,83,20,-31
88,74,-17,100,-90
-54,63,-71,60,63
45,98,-21,46,90
26,86,9,-49,50
-95,-66,-26,3,68
-59,-39,-41,92,79
93,64,67,-92,-65
51,6,-61,-20,38
-64,-22,-54,-79,-7
-49,-88,-40,24,41
-4,94,-78,-75,-65
-76,42,63,93,-52
9,53,98,91,-91
-72,-26,93,-69,-13
83,1,8,86,84
-31,56,100,98,-5
-72,-44,27,42,1
-1,-53,92,31,-21
52,-25,-62,-36,-53
-12,-58,-6,48,-77
3,-27,14,-27,-65
91,-28,-75,25,-96
65,-20,16,-60,58
61,61,-6,63,-98
55,17,32,-85,-56
-62,-66,-76,-91,-73
-71,-73,-82,85,62
-93,-93,3,53,81
34,44,-77,80,-19
12,-63,21,-49,-77
-90,-58,-92,30,60
-100,82,91,-34,-69
73,2,99,-45,75
-70,-97,96,76,-42
-75,33,-89,-46,74
78,14,75,53,-15
-81,88,5,16,-25
-2,-57,-2,-48,6
97,72,-82,-49,16
-21,94,84,23,77
78,66,1,-99,49
-53,74,-54,-76,94
20,86,20,-65,-3
84,74,-49,-14,-74
27,0,-67,-82,-56
-42,45,-41,-10,-50
-29,54,8,-26,26
-76,90,-78,-42,6
-27,95,-63,-7,84
-3,34,-97,22,55
-83,74,16,44,80
59,100,44,-27,-84
2,-55,26,-67,57
-73,-34,-85,-49,-15
-90,13,45,84,22
-75,98,16,-63,63
-14,-87,56,-1,3
79,-8,-56,13,100
70,-46,25,57,46
5,73,-21,61,-24
-27,28,-41,5,-79
21,76,-56,43,-69
84,-65,-36,98,-76
-1,46,-20,16,75
-5,36,-47,92,-57
-32,34,-93,-87,-99
-33,-68,-93,48,65
33,53,36,65,-91
85,13,-13,-22,-31
87,-58,-57,-47,93
93,98,46,7,80
-3,-29,-22,-64,-33
21,73,-65,99,28
36,81,79,24,19
53,73,11,7,70
-30,-97,47,-38,100
-20,94,-82,14,36
93,75,75,-41,-28
-97,-33,12,7,-77
49,53,70,-39,16
36,17,44,38,77
-76,21,-51,61,-57
-26,-23,-97,26,-74
36,61,-77,56,-77
92,-54,55,10,62
-71,37,77,52,36
70,-53,21,35,19
19,6,-3,-28,-80
-64,-77,-36,-66,21
-65,-21,90,53,-78
-28,78,71,68,-54
22,81,38,96,-31
70,66,-3,22,-33
14,-12,-30,-19,31
-91,97,-22,-75,21
14,-58,-61,30,4
-85,-20,-46,77,33
86,-77,-44,67,35
99,-15,-55,77,48
-76,-69,4,71,-27
82,66,-28,-15,-17
2,-22,-36,-56,8
60,-72,74,-43,-73
90,89,-47,51,-13
-96,14,-6,-74,83
-77,-80,29,-92,-32
51,63,-49,11,70
-41,43,-52,5,82
-27,46,40,-35,-8
47,-4,-59,72,-31
-78,12,72,65,-30
-86,44,92,60,-7
61,-72,82,-42,42
-84,65,-81,70,-10
56,63,-1,-37,85
50,59,-69,28,-57
-60,20,-49,3,-33
6,-44,-44,-100,30
-60,76,-46,-56,-54
-62,20,-24,29,42
55,-92,-75,-61,-18
68,-94,-1,4,-80
84,-71,-99,37,-84
60,-85,-87,4,-55
-57,-44,-88,-59,-38
54,-32,-73,70,76
-59,84,-86,-59,57
-65,57,-72,-92,16
11,-74,-54,79,4
-71,56,70,-31,7
-46,-97,9,-9,-19
-82,18,-86,-8,41
17,-8,65,-60,28
83,90,45,-94,-96
94,34,58,34,-87
66,23,52,97,53
-71,85,58,25,-66
26,15,24,68,9
81,32,-22,-42,70
10,-82,-64,97,45
-86,77,-76,-86,-55
1,14,-57,91,13
58,51,-4,-80,-83
-41,-92,-4,-33,-62
78,54,95,35,-49
89,-25,-3,-94,74
17,71,-52,-84,-53
34,92,-7,-95,-85
-31,93,-16,0,-32
57,51,-64,4,62
-22,-67,17,-19,-35
-12,-33,-10,55,-52
2,-82,87,-65,77
99,-33,-41,-48,21
42,-75,48,46,15
11,2,46,-21,-63
-98,-1,-91,-52,-65
85,67,-55,73,-46
67,52,70,-38,56
11,29,-96,-17,-90
93,-15,66,-5,-18
-21,-66,85,83,76
72,27,-7,-66,41
11,75,-66,-4,-38
-47,93,-44,-40,-51
-74,25,-35,21,32
35,8,59,-5,45
-42,-61,-72,-10,-70
42,63,-89,-76,28
-75,12,48,85,9
44,-26,91,2,67
-45,-68,20,97,-64
66,45,-80,-84,-18
97,6,-24,76,92
-96,84,46,53,-96
11,-46,-17,-50,7
-74,84,-10,62,-12
62,53,-60,0,-72
-94,-95,45,26,-57
-10,49,-20,29,-87
-55,0,-72,-91,-19
31,72,43,-93,49
96,25,-30,-96,-92
53,86,16,-9,-39
-12,-96,35,-48,-28
86,85,0,93,55
49,-90,-94,-44,-33
-58,-71,-40,-16,-97
-93,-20,15,90,26
-5,67,45,-71,-98
33,-46,52,-6,25
-24,52,-39,-90,-88
82,-73,24,-74,78
30,17,-78,58,-95
18,-91,-2,-77,17
-80,-43,-38,44,-64
-10,5,-56,69,-7
-72,-91,90,67,-96
-20,90,-25,-99,-49
-16,94,52,-35,-59
61,-71,67,-23,-27
-34,-33,63,49,96
9,-78,-20,-43,-29
31,-78,58,-90,-45
58,13,-6,-96,-14
-92,38,80,-48,1
-27,-28,48,-86,10
28,-63,-82,23,97
88,67,43,97,-65
-62,23,80,51,32
73,-87,-46,-55,53
63,81,-45,-89,16
30,55,-63,-22,-96
83,-99,-60,87,-87
45,-26,-1,-47,95
-20,0,54,37,-65
28,-15,-26,70,48
-5,-28,-97,-11,30
69,-79,82,-43,98
-95,-91,-5,-39,6
7,-90,-68,-87,-38
-58,90,-59,-93,-9
82,-5,-32,49,76
43,18,62,-22,-99
68,-70,-90,35,98
-22,5,60,8,-31
-32,78,-59,17,-38
29,-6,46,-81,86
-100,-54,40,-81,97
-25,-92,-5,58,39
-42,62,75,70,-42
78,-99,-75,-82,100
31,98,61,-22,85
-92,10,-33,-64,36
-41,-56,-32,100,82
61,-32,21,-70,-49
-14,-42,-27,80,64
49,25,51,-15,-93
-94,-78,-46,16,-74
58,79,-99,-52,-32
-63,-83,-86,28,-31
84,-78,14,38,0
16,-69,78,-56,54
41,-54,100,75,-14
-20,-11,9,47,-100
50,-65,52,-59,13
-49,-95,-12,71,36
-16,79,-63,92,-21
-11,-44,-66,57,62
11,13,-98,14,-56
54,-46,-68,-34,0
97,-48,4,46,-56
-93,9,6,95,-6
-61,51,-47,86,-13
-64,-19,56,61,-27
42,-64,16,-72,-21
1,-84,10,-10,61
53,-60,-74,-50,-63
25,62,-41,-14,98
35,-11,39,-1,92
55,-36,-76,51,-25
-13,-83,71,8,-87
53,-53,39,28,18
-8,71,17,65,11
64,66,91,32,-46
19,-26,-34,24,-52
74,41,-71,77,16
56,6,-71,-6,-55
-96,57,-15,0,-14
-12,33,-48,89,-26
67,-2,-48,-82,44
-69,-1,-95,19,-92
54,68,-63,47,6
45,33,63,54,-66
-100,93,42,14,-93
-71,-9,-98,0,77
71,-99,6,69,-35
32,79,-21,45,11
99,-39,-95,9,82
65,-1,-5,97,66
-66,18,7,81,-51
-67,4,-50,-68,82
-96,-12,99,-89,52
-41,51,50,50,86
-55,-100,31,-54,-50
-37,16,-91,71,-30
-28,62,-24,41,3
5,30,26,93,26
-44,-56,57,75,-22
51,49,-52,-17,-58
-63,-41,-38,98,45
-94,23,12,-59,-32
82,82,-26,-56,80
-19,-68,15,85,30
-52,76,-51,-19,-30
-28,-49,88,-66,52
-1,42,-17,-90,-21
-40,9,-32,64,-26
78,77,-29,-55,-8
-86,-59,-84,-17,-40
12,62,2,53,49
77,-46,-21,-51,-57
-96,-84,-91,34,-35
18,-96,86,-74,-51
-7,-47,-25,-83,6
54,56,-95,-81,87
-30,11,-23,-41,18
51,44,-55,85,-14
-54,80,-60,94,-90
65,63,-97,-66,-34
93,35,28,-33,50
0,-41,-91,-70,24
