column0,column1,column2,column3,column4
34,-29,-9,25,75
-17,-73,-69,42,-7
64,-57,-6,-76,-92
-98,75,67,28,13
19,-31,33,-60,100
-8,-81,-37,-26,40
99,-68,-80,-16,-73
5,47,16,-20,8
5,-25,-98,-6,81
12,21,84,-2,45
34,-29,-67,-64,-82
-32,36,-98,9,42
63,53,-84,25,97
-50,47,68,19,-24
66,-93,-30,70,7
-15,-46,67,-5,32
-13,-59,-18,12,-19
78,-15,-56,-79,10
46,71,19,-100,39
15,4,46,-84,-33
-39,31,21,11,-90
38,-43,46,88,19
48,-36,83,82,58
24,-90,63,25,-81
51,12,64,-21,42
-52,87,-78,-48,34
-40,-14,70,5,42
41,-14,-25,-73,-27
72,11,-23,32,-75
-47,-34,-11,23,-46
35,-48,-57,-63,3
-65,65,35,44,80
69,14,91,67,18
69,-84,-22,-67,-3
100,50,12,-18,-44
-32,55,-56,-42,-53
29,70,56,54,-44
-15,40,-93,91,-6
-69,22,-19,65,-5
83,9,56,-35,68
69,66,96,-96,13
-33,-11,-89,-74,-62
-21,-97,99,89,83
-96,-43,19,-22,-23
-30,57,9,-63,-63
78,6,13,0,78
-96,-63,85,55,-7
72,-39,63,0,-33
-36,18,-100,73,-58
45,-51,-77,83,61
-99,-24,-45,-1,-7
78,76,81,31,-27
11,0,55,58,-18
5,25,29,-5,-92
-84,-55,54,53,-56
74,-39,36,-77,56
42,70,77,95,24
-5,-8,-45,-38,-70
-49,-35,50,36,9
19,-85,57,2,58
-82,-42,5,48,86
13,14,-19,-9,70
96,8,39,31,56
24,8,61,32,-86
2,-80,5,-95,-33
-44,-11,69,9,70
47,-28,-64,37,-15
28,-48,58,50,66
43,58,-10,-98,-33
78,67,-29,-82,-23
34,28,30,93,-14
29,60,-20,-58,-2
14,-33,-54,16,-44
37,-64,57,-54,8
-31,-88,60,7,-91
27,88,92,-8,82
-95,31,94,-9,97
-48,-94,-15,-51,-47
39,-43,-54,13,-64
-40,-62,-78,13,-15
25,-18,-75,-85,-85
33,21,72,-47,-94
62,-17,-34,-83,94
55,57,-33,-81,61
42,-6,-64,0,91
-98,-95,61,79,-57
91,-5,21,-68,25
91,31,52,-2,45
-5,-80,42,97,-34
38,11,-77,-34,95
-90,49,56,74,6
97,-7,55,-78,71
41,89,58,-4,67
99,-59,-33,-96,-66
-35,75,68,99,41
-69,48,-98,-50,89
87,-31,21,18,20
66,-80,-73,-91,95
4,72,30,-83,81
54,-95,-19,-68,-83
84,64,51,63,4
-80,87,-55,-22,0
28,-61,-40,-99,87
44,10,93,0,6
48,36,-56,43,98
26,-76,83,100,38
64,61,-97,-58,-35
-50,-6,-42,35,-27
84,75,-37,-53,-63
63,-72,-23,-93,-86
22,-22,-65,0,73
-35,-18,-4,-7,19
67,-28,60,12,51
-64,-77,14,13,-82
4,30,-63,34,-41
82,-37,8,92,54
-78,88,-48,30,55
59,95,0,8,39
16,90,47,-21,-100
19,64,-81,-14,10
-80,95,90,-68,-51
84,-12,-47,-75,87
52,-56,98,14,83
8,6,-5,98,100
-62,-90,-62,1,-21
96,86,13,62,99
14,8,68,73,-37
75,-37,-41,-77,-68
92,100,21,83,-49
46,26,65,-89,15
-15,-67,68,-57,47
48,-21,-42,94,64
-20,-91,-43,-69,-51
-14,-94,18,94,-73
28,59,100,50,-85
-58,26,85,41,-80
67,38,78,8,-42
-14,-40,59,-62,34
-55,-63,-76,-69,88
-36,71,-63,78,-44
-42,-60,34,17,-72
32,82,-10,-98,-40
62,-19,-34,97,-47
24,-69,-25,30,35
29,52,75,-66,-20
-51,-51,73,-31,-88
35,-44,-91,94,26
13,-97,-49,36,74
-22,-52,-26,-25,-76
-75,-51,-47,66,-66
46,73,-85,96,-41
-76,15,-41,-83,49
100,38,84,67,59
98,-28,-78,-72,69
86,-48,79,-58,55
65,-67,-33,-27,55
98,43,33,-47,0
94,47,-59,4,100
80,72,-92,76,-58
-25,4,50,-31,-92
97,-59,64,-4,31
97,33,74,42,-98
-16,70,73,73,-40
-5,-99,98,-79,9
-15,-52,-16,96,16
-38,-33,4,9,37
53,-70,66,30,32
25,-10,-14,-22,-60
93,20,24,26,75
-15,-33,24,37,-69
81,7,51,35,12
-70,-87,-98,-79,-2
-44,92,-81,-12,64
70,54,-55,100,2
100,4,54,96,-70
-25,-59,-7,-3,-59
60,44,43,42,-93
-53,-8,-44,-59,-72
70,21,-42,-16,-97
64,-33,95,-96,13
-36,-38,82,46,-3
38,-47,-87,91,-73
80,79,91,41,95
51,-50,59,61,4
91,96,-29,11,20
44,32,-5,44,99
3,-94,-41,-76,-33
48,-7,15,53,-44
12,-35,50,-32,91
70,48,-53,41,-25
17,-81,3,70,75
29,-46,6,90,-56
88,45,34,-55,33
2,-61,50,23,94
46,8,-17,-67,-37
-38,-95,61,65,99
35,52,-7,-40,-83
17,58,40,-2,-61
17,69,17,-74,84
-15,34,98,-65,26
40,-4,7,-3,43
23,-74,-24,-27,33
43,100,98,72,-63
-80,-25,1,64,-65
-28,-97,-79,22,73
10,13,-35,-48,13
80,-47,93,69,37
19,-64,53,-91,15
44,-2,81,89,88
-50,-39,-70,-3,-82
-40,43,87,-20,-3
-68,-65,-20,-89,43
55,-94,-86,94,-19
92,-68,-49,-59,100
14,74,-50,-75,-94
79,-41,-90,90,-28
4,-62,73,-55,96
35,-72,-74,32,-70
44,-55,-11,-22,9
-15,12,11,45,-1
95,64,49,87,-61
39,52,88,4,3
73,-6,-61,-100,-46
50,64,50,47,32
70,-21,50,-11,40
59,70,66,52,97
-85,11,88,-26,-76
17,47,-96,-73,-56
-100,-42,-68,-100,-8
-73,-77,68,-51,-23
