column0,column1,column2,column3,column4
84,-92,23,6,-27
-52,54,60,-60,-32
30,-5,-16,-33,76
-36,84,24,57,-71
-25,69,89,50,55
72,-42,15,-42,62
-53,-39,-35,90,-39
21,97,-86,78,27
-4,-92,65,-6,-65
97,80,52,96,-69
-67,-21,-50,93,82
-70,52,34,-99,97
56,-19,22,72,-95
-20,-51,-86,-57,41
-39,-45,-34,-44,-58
-86,-53,1,-35,61
-14,75,9,-3,-95
50,-40,-74,41,47
100,-85,-43,-78,51
85,0,90,-51,27
70,12,-62,-18,61
17,-31,-47,57,36
-43,15,-86,36,-44
75,88,-82,75,98
35,-62,22,-54,-77
-37,45,-67,32,60
-18,-78,26,31,-42
-67,2,83,-3,32
-24,-6,-59,-27,77
-8,-36,-97,75,30
56,-42,75,-85,-57
-49,-62,57,-42,71
52,-54,-4,-36,-24
-90,-9,-96,33,-30
-92,-73,40,91,44
36,54,-47,27,12
87,-40,28,96,58
69,-83,35,5,-94
40,-29,84,84,70
85,-28,26,52,6
-15,22,64,27,43
-48,-75,-74,-6,10
-45,3,6,-24,6
36,38,-16,39,52
-8,53,14,20,-85
10,-46,83,30,48
-92,53,80,-75,-17
-9,-91,83,93,-11
28,90,-38,68,2
20,-96,-51,96,-13
40,86,61,-45,50
44,46,52,42,-8
-82,-89,-91,38,27
-56,18,-53,78,6
57,73,-27,78,-62
61,10,-10,9,-58
-58,-61,73,6,21
-4,-55,-21,31,37
-39,-72,71,6,-78
20,-99,97,35,-9
-94,16,68,-93,-22
40,-44,-31,21,40
-93,99,-13,-71,22
-84,76,-9,36,-9
-60,40,-69,37,8
64,9,-15,24,87
65,-12,88,-99,78
12,-59,62,99,-17
83,-36,-32,-33,65
-46,-47,33,-24,-14
-62,81,10,-66,22
41,41,3,16,-36
-31,72,-80,-99,16
-70,-33,44,-81,-61
54,7,83,32,-7
85,30,-31,24,13
-92,91,98,42,-97
-8,-60,38,63,60
65,-49,2,-87,-21
-2,-53,-1,-75,-37
-65,-21,-6,84,-6
-59,-58,20,41,27
-84,-7,-9,57,73
32,-60,20,-57,8
15,-94,-52,66,-18
43,-53,56,90,-45
64,81,-99,60,-99
-17,-4,56,12,29
45,62,-60,90,-57
-27,21,48,51,-22
-75,82,76,93,-83
99,-40,-34,-60,37
-24,-19,-72,-63,55
-1,24,30,-18,-29
-72,-17,-26,75,75
73,24,-21,36,74
81,47,39,39,-22
-8,86,-41,63,-13
13,19,19,3,-26
-22,19,20,-42,67
