column0,column1,column2,column3,column4
55,-40,-40,20,-100
82,85,92,40,12
-12,-68,83,48,77
-76,90,-9,-26,98
20,-80,14,23,70
71,-18,57,-34,40
24,51,99,48,65
67,-67,-42,-11,5
58,-49,-48,97,-86
56,-52,46,-12,-43
48,85,60,94,81
15,-73,4,73,-8
71,-22,-45,-95,-94
-17,39,63,3,56
42,68,85,71,53
19,-4,-3,-58,-51
55,44,94,24,27
-92,-15,68,36,-35
-99,72,60,83,11
-2,75,-8,38,5
40,-42,55,-31,-84
93,-62,62,-14,-34
74,26,-11,-54,57
8,81,57,55,-47
55,74,-60,-33,35
33,-36,-32,-78,3
98,27,19,82,-13
-7,-85,-16,34,100
79,0,-25,-71,98
56,34,-84,-15,-51
71,-80,31,-97,-18
47,48,85,-48,-98
97,92,28,24,51
89,-95,33,31,20
82,39,7,46,-19
54,85,40,-68,-91
-82,-37,89,69,72
96,-56,-31,67,-83
-36,4,-36,-82,-79
25,44,35,52,-69
39,-13,-37,-47,70
-8,73,-19,100,36
-15,24,-28,-93,50
38,82,-17,12,48
74,-33,34,-86,-3
28,5,-12,51,65
-3,5,-42,-49,27
65,35,75,-78,58
94,100,-7,72,13
56,66,-93,93,27
95,-85,-18,51,68
4,57,-39,18,-8
-37,-69,-18,18,8
-24,51,-82,37,-49
1,-32,27,86,82
66,91,-93,-92,42
-19,-79,-95,-34,73
93,-84,-53,39,-57
15,24,-58,-69,-91
-98,18,25,-44,-60
-32,98,31,-83,72
31,19,94,-92,21
31,-59,16,-22,87
-9,10,-5,54,-55
96,-4,38,-29,48
-86,-57,87,19,-35
13,-88,-83,-25,47
8,39,65,4,-48
70,12,-34,81,23
21,-94,50,46,-4
8,74,30,9,-19
18,-32,-74,66,-85
46,-62,-65,90,64
44,-31,-99,-94,68
52,94,-78,-33,-66
10,-73,-88,13,-64
44,91,27,10,-89
-93,55,-92,-9,7
26,-43,58,-43,-56
53,-52,-15,40,-89
45,14,-23,97,-78
23,-47,-73,-68,62
82,88,41,-45,69
26,55,-63,-52,-69
68,-19,87,76,99
59,-21,40,77,8
49,35,-60,98,-3
61,-82,-43,22,60
63,63,85,-35,-20
-59,-40,-5,-13,56
-95,96,100,-27,8
-57,23,55,36,83
4,11,-38,-16,80
4,-91,88,62,-51
-60,61,2,78,-98
65,88,-13,-76,21
74,-8,58,97,-58
46,-92,-68,23,-81
-99,-12,73,-71,35
19,14,34,-4,-66
-13,-23,-88,-36,14
61,-17,61,-43,-24
-28,-4,-39,-36,-21
47,-72,26,-96,94
27,-56,-17,27,76
-22,-18,-15,-80,6
54,99,-32,-6,70
75,-70,-18,-30,38
70,-87,-58,-98,-11
38,-79,54,14,-77
-67,-61,78,-85,-56
4,54,-85,30,-42
-34,53,-81,-92,56
28,-10,-11,86,83
87,49,41,0,69
68,-74,89,-24,7
6,69,78,26,-87
40,-19,85,53,-53
57,-61,-10,12,10
6,44,-66,76,-12
24,70,-2,-84,-51
27,26,-15,-25,33
-22,83,38,68,84
13,-52,-56,-2,63
40,-92,76,-62,77
27,-93,66,15,-21
-23,-25,-75,42,-70
-22,79,-22,-35,31
32,68,1,96,70
75,76,33,58,41
88,-66,-97,-92,56
-39,61,16,1,99
-22,83,-98,91,-50
-80,-99,64,-21,-28
79,-13,-30,-86,-28
97,12,-74,-44,40
-43,69,79,24,22
-3,80,33,72,-77
90,-70,36,-47,92
87,42,-28,34,33
54,-30,68,-47,-41
99,-63,-69,-86,-79
70,-46,87,-24,26
6,29,2,-69,-93
69,-70,29,17,25
46,-31,-66,-90,-11
86,43,-4,25,49
-97,-44,-6,-33,60
-24,69,-90,98,-38
40,-98,-89,-32,-23
-78,1,89,-12,95
97,-88,4,-59,60
68,-56,90,-85,74
-81,-80,-69,3,70
-6,-59,49,-41,0
47,27,95,60,85
-11,-29,87,-40,56
-21,65,-86,9,-29
-89,52,78,27,-97
62,-13,-8,-17,41
41,49,21,-70,10
61,24,48,-39,-3
42,48,95,84,-52
44,41,-93,95,-38
20,17,70,-73,27
43,-25,0,-58,-40
-20,81,-17,60,2
-17,2,-31,-62,77
7,41,56,71,-52
5,2,41,81,-39
77,-75,91,-57,13
30,-28,96,-22,56
32,-43,88,-96,7
35,-99,-50,82,38
-2,44,11,13,77
16,61,77,94,80
27,84,74,67,-12
-62,86,43,-35,-86
75,-27,40,17,58
-78,-49,50,19,-84
-31,67,68,-94,28
-64,-47,83,-10,70
37,50,45,70,-12
10,47,21,54,-5
19,-28,85,63,-5
70,28,28,56,83
-59,-84,-14,-85,35
29,48,24,68,-96
18,69,92,-7,18
21,89,34,98,96
49,-97,80,33,74
71,42,-52,26,-24
70,-14,-4,23,-87
-46,-5,91,-58,-60
5,-82,27,66,35
36,80,-74,44,-31
67,78,-50,-54,17
43,92,-60,-64,13
90,78,40,83,52
61,62,-12,-44,-48
-4,-94,-57,-50,-35
51,-27,56,16,-62
63,64,78,-55,-11
84,-21,56,-39,95
9,-74,-95,-9,-33
58,49,-93,29,45
18,-30,22,-42,-76
43,48,-29,-97,-23
84,55,-36,98,83
67,72,34,-61,25
92,3,8,64,-3
24,-86,-89,-64,-56
-69,10,-91,-70,-74
-21,42,94,-82,-17
4,-42,-7,-37,13
70,-24,-81,-89,54
-90,98,-3,-75,77
74,-37,78,29,-23
31,15,78,-82,34
68,-100,73,71,28
65,82,-34,-39,82
66,81,-33,19,44
8,-82,-65,79,-41
-40,50,43,51,83
89,-67,-53,31,68
97,-65,-53,1,47
26,-71,71,39,90
56,-81,73,-58,-69
-84,12,-64,97,-27
61,-90,50,85,46
94,-43,-40,-81,85
37,-95,-96,-15,88
65,-76,2,49,90
15,-40,56,-96,-20
49,-51,62,-32,-35
72,-6,15,3,3
82,12,40,-46,-42
-31,-84,2,36,31
18,-76,-14,69,69
16,-45,-67,-73,-70
60,-57,27,-48,-43
12,-89,-94,84,71
28,93,65,51,99
7,49,22,44,28
-8,100,-94,43,-39
98,84,-49,-80,57
22,-92,-35,96,-37
51,-25,-49,24,8
-89,-39,-47,-37,34
-99,-68,-18,-3,-50
66,-33,8,15,-28
33,17,-89,-93,-50
-29,53,-36,-48,82
71,75,48,-53,65
16,-93,-84,-38,28
3,-34,-7,47,39
44,-30,-61,84,26
-57,37,42,-62,35
27,-9,-65,-62,-25
96,-45,78,-4,51
95,55,42,38,28
-50,-5,-52,-70,-80
11,-20,64,-31,-44
58,-57,15,77,60
53,53,82,-4,-32
78,67,14,37,-40
38,88,86,-36,55
-70,-89,56,-18,69
-13,-73,-69,-41,-90
89,-34,2,49,-84
-87,-80,6,-73,-49
-94,41,-67,-80,88
-88,-18,40,41,-77
84,-27,42,-27,-30
72,-13,30,93,47
67,22,-52,-72,10
2,53,93,61,-8
57,-4,95,-38,45
-33,-72,-33,-68,70
9,-11,-99,65,25
78,33,100,-79,24
94,-43,95,24,20
88,-64,12,38,-34
-76,36,-62,-95,-90
78,8,45,84,-25
94,-7,-50,-57,-24
18,-29,-16,71,53
32,-30,-21,-17,9
31,80,75,65,-52
18,-55,76,40,-4
33,-75,-54,-49,-15
-96,-78,2,-89,-51
68,-20,61,-53,76
69,-57,-54,17,15
96,-74,48,61,-18
-79,17,75,-8,8
-99,-69,66,-46,44
76,73,43,-97,-46
-70,-36,26,38,9
-22,44,81,-54,46
70,72,90,27,-74
30,26,25,-61,58
-15,-30,53,39,-55
28,67,-93,-62,67
-16,28,17,-6,-10
32,54,30,-50,-16
51,-69,-9,-5,10
-94,-42,-49,85,-95
69,-37,17,36,99
-12,-83,-69,-60,63
-64,41,-100,-5,42
-74,-81,-92,-71,0
59,20,25,-92,22
2,-96,70,-32,-86
16,27,-19,48,62
98,-2,-97,36,-17
46,66,-99,98,46
-26,-91,-47,-58,18
13,-39,93,-50,-79
50,-98,76,72,88
98,73,41,39,35
22,52,82,46,87
11,98,-18,-3,-69
26,44,5,55,-22
7,-22,-84,7,-68
86,86,-37,-90,-43
87,-91,-37,-22,37
33,-21,94,68,-99
-4,-3,90,78,-35
-97,45,0,-8,-38
-77,-48,-81,18,42
-61,40,57,-20,-61
60,68,-66,-71,4
77,-70,-76,-16,85
85,81,-13,17,-8
83,17,-68,26,-12
-19,75,74,22,-64
30,-77,9,-97,38
57,-92,83,4,-40
-4,-82,-44,-71,-15
55,-96,-14,27,78
-97,95,-21,81,-7
19,10,-57,39,85
47,37,94,-57,95
9,72,-61,78,80
29,-38,-73,52,-63
-18,99,72,-42,-42
77,44,23,-90,73
54,-83,100,-83,-79
22,40,-52,-37,8
92,13,66,30,-70
87,35,-57,-41,-99
7,-37,-22,42,24
19,1,-74,-77,-97
40,-31,62,-2,-30
-48,55,-39,-100,61
69,-21,-83,64,86
25,14,-81,37,76
-86,57,10,63,-93
78,51,79,-85,0
73,-30,-89,81,-11
22,-46,97,-54,85
-28,-23,-89,61,0
3,55,-34,60,82
54,-68,13,55,-33
27,94,-95,-77,-10
23,-97,-91,-23,-96
72,6,42,86,41
35,-94,94,64,22
95,-47,-27,-14,79
-21,95,-32,-42,79
16,-15,-43,79,60
-91,48,3,16,-84
-10,-28,5,85,7
100,-7,50,-91,-22
39,56,22,39,-24
96,89,76,-23,-8
41,-97,80,-57,-22
78,-22,-34,24,17
30,-89,30,48,83
73,-94,85,4,38
-36,89,-72,55,28
-49,-86,25,-21,-6
90,93,88,11,-76
30,39,56,-84,-71
-9,77,-17,15,-57
58,85,-6,64,-60
66,-78,59,-97,-83
13,42,-41,28,22
2,97,-63,-38,94
49,24,94,-24,16
76,-23,-33,98,-87
74,-37,8,100,-57
10,7,-34,-61,-55
31,-57,16,-36,-97
46,19,33,39,27
90,43,57,99,-82
-71,-73,-15,19,29
34,-58,-57,68,38
25,71,-46,21,-54
12,-94,13,91,-71
38,75,-66,-22,-11
39,-47,48,-28,-12
42,4,-8,-75,83
56,-28,-92,-97,93
40,-100,69,29,3
71,61,-32,-15,35
61,-81,44,-11,-99
7,73,70,85,-88
-2,-48,38,-90,17
35,41,25,15,-23
46,97,-52,37,-44
-4,16,40,-9,-42
-68,89,10,-25,35
87,1,-40,85,-20
65,27,57,51,-59
-1,28,-67,-25,-75
82,5,100,-88,-80
39,14,82,-80,88
28,19,42,23,52
3,-68,-74,41,17
-40,47,-82,60,-3
37,-97,61,65,-56
39,90,95,-55,-78
11,95,47,17,-71
84,70,-85,41,85
81,43,-20,2,-92
35,98,-5,87,-70
-72,57,23,-43,2
95,-40,-99,31,-32
90,-28,-8,20,-36
86,74,7,39,-59
-96,-9,14,93,1
-13,-51,-47,-65,51
30,-84,55,11,-81
37,-2,45,-6,9
-26,-74,-19,-83,74
91,-87,80,25,-59
44,-60,-51,43,63
27,-8,-35,-50,-18
65,89,-85,-52,67
64,-51,-82,27,-59
65,90,-2,15,22
12,-47,69,81,-82
-49,-23,7,84,26
-41,56,36,-63,45
93,85,-51,42,-87
-90,65,-72,38,-31
-95,85,87,-62,-89
20,84,43,0,2
58,-25,-10,-92,84
-45,70,74,69,11
70,-51,45,-96,-35
81,85,42,52,54
11,-74,-14,-91,-15
-49,-41,-52,18,3
66,-21,32,-72,-5
-54,-38,-11,99,-49
65,-16,-17,-61,79
-78,-17,-69,71,-21
45,90,-51,13,10
54,5,-37,35,-91
38,28,69,-4,-38
12,55,-58,-11,41
-73,-86,94,42,-14
65,25,39,46,-22
24,-86,69,-37,-86
71,-31,55,87,28
52,-91,-12,-29,24
49,33,21,23,-81
-78,32,76,16,-75
3,-75,-41,78,48
82,-11,63,56,-38
-43,75,-13,-45,18
-3,11,-31,-3,-50
91,88,-41,96,-36
-11,-31,65,-43,-62
97,92,-98,-32,-65
53,48,92,-69,73
-69,-27,39,-66,0
-38,86,44,-19,28
22,-84,68,-22,-42
61,47,-65,75,16
96,-22,-45,35,34
7,-75,-51,-31,-36
96,34,89,64,-93
72,16,91,65,-15
4,87,50,86,-45
24,-97,-79,-99,31
-61,17,93,-54,-9
64,-56,96,-92,81
56,-56,57,-33,-89
24,-71,-28,-80,-88
96,-62,-56,74,75
-94,-81,-64,100,-29
